36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20020605
Launch Time (UT)                  : 07:46:00
Burst Pressure (hPa)              : 9.04
Integrated O3 to end of data (DU) : 215.99
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 50559310
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z2090
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 27.460
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.23    1.800   17.10   70.0    1.8987    0.0230    0.00 9000.00 9000.00   31.07    0.5800 9000.00000 9000.00000 9000.000
    10  826.21    1.800   16.90   69.0    1.9345    0.0234    0.00 9000.00 9000.00   31.17    0.5900 9000.00000 9000.00000 9000.000
    20  824.65    1.816   16.50   72.0    1.9345    0.0235    0.03 9000.00 9000.00   31.17    0.5900 9000.00000 9000.00000 9000.000
    30  819.48    1.870   15.40   78.0    1.9345    0.0236    0.13 9000.00 9000.00   31.17    0.5900 9000.00000 9000.00000 9000.000
    40  813.98    1.927   14.90   81.0    1.9352    0.0238    0.23 9000.00 9000.00   31.27    0.5900 9000.00000 9000.00000 9000.000
    50  808.47    1.985   14.20   84.0    1.9352    0.0239    0.33 9000.00 9000.00   31.27    0.5900 9000.00000 9000.00000 9000.000
    60  803.60    2.036   13.70   87.0    1.9000    0.0236    0.42 9000.00 9000.00   31.28    0.5800 9000.00000 9000.00000 9000.000
    70  798.90    2.085   13.30   88.0    1.9006    0.0238    0.51 9000.00 9000.00   31.38    0.5800 9000.00000 9000.00000 9000.000
    80  793.93    2.138   13.00   87.0    1.9006    0.0239    0.61 9000.00 9000.00   31.38    0.5800 9000.00000 9000.00000 9000.000
    90  788.77    2.193   12.60   86.0    1.9711    0.0250    0.70 9000.00 9000.00   31.38    0.6000 9000.00000 9000.00000 9000.000
   100  783.63    2.248   12.10   86.0    2.0414    0.0261    0.81 9000.00 9000.00   31.38    0.6200 9000.00000 9000.00000 9000.000
   110  779.05    2.297   12.00   83.0    2.0773    0.0267    0.90 9000.00 9000.00   31.49    0.6300 9000.00000 9000.00000 9000.000
