36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20070711
Launch Time (UT)                  : 08:32:00
Burst Pressure (hPa)              : 5.22
Integrated O3 to end of data (DU) : 257.87
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 28351446
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 1.500
Ozonesonde Instrument             : 2Z6231
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 33.400
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.89    1.800   14.50   80.0    2.4772    0.0301    0.00 9000.00 9000.00   30.67    0.6300 9000.00000 9000.00000 9000.000
    10  818.31    1.847   13.80   84.0    2.6053    0.0318    0.11 9000.00 9000.00   30.67    0.6600 9000.00000 9000.00000 9000.000
    20  813.06    1.902   13.20   87.0    2.6908    0.0331    0.25 9000.00 9000.00   30.67    0.6800 9000.00000 9000.00000 9000.000
    30  806.84    1.966   12.60   90.0    2.6917    0.0334    0.41 9000.00 9000.00   30.78    0.6800 9000.00000 9000.00000 9000.000
    40  800.72    2.030   12.10   93.0    2.7345    0.0342    0.57 9000.00 9000.00   30.78    0.6900 9000.00000 9000.00000 9000.000
    50  794.62    2.095   11.50   96.0    2.7345    0.0344    0.74 9000.00 9000.00   30.78    0.6900 9000.00000 9000.00000 9000.000
    60  789.01    2.154   11.10   97.0    2.7345    0.0347    0.89 9000.00 9000.00   30.78    0.6900 9000.00000 9000.00000 9000.000
    70  783.15    2.216   10.70   97.0    2.6918    0.0344    1.05 9000.00 9000.00   30.79    0.6800 9000.00000 9000.00000 9000.000
    80  777.79    2.274   10.50   98.0    2.6918    0.0346    1.20 9000.00 9000.00   30.79    0.6800 9000.00000 9000.00000 9000.000
    90  771.74    2.339   10.20   98.0    2.6918    0.0349    1.36 9000.00 9000.00   30.79    0.6800 9000.00000 9000.00000 9000.000
   100  765.17    2.410    9.80   98.0    2.6491    0.0346    1.54 9000.00 9000.00   30.79    0.6700 9000.00000 9000.00000 9000.000
   110  759.33    2.474    9.50   97.0    2.6919    0.0355    1.70 9000.00 9000.00   30.80    0.6800 9000.00000 9000.00000 9000.000
   120  754.30    2.529    9.30   97.0    2.6919    0.0357    1.85 9000.00 9000.00   30.80    0.6800 9000.00000 9000.00000 9000.000
   130  748.70    2.591    9.10   97.0    2.6919    0.0360    2.00 9000.00 9000.00   30.80    0.6800 9000.00000 9000.00000 9000.000
   140  743.83    2.645    8.80   97.0    2.6919    0.0362    2.14 9000.00 9000.00   30.80    0.6800 9000.00000 9000.00000 9000.000
   150  738.25    2.708    8.50   96.0    2.7775    0.0376    2.31 9000.00 9000.00   30.81    0.7000 9000.00000 9000.00000 9000.000
   160  732.51    2.772    8.20   96.0    2.8629    0.0391    2.48 9000.00 9000.00   30.81    0.7200 9000.00000 9000.00000 9000.000
   170  728.38    2.819    8.10   96.0    2.9912    0.0411    2.61 9000.00 9000.00   30.81    0.7500 9000.00000 9000.00000 9000.000
   180  723.56    2.874    7.90   96.0    3.0339    0.0419    2.77 9000.00 9000.00   30.81    0.7600 9000.00000 9000.00000 9000.000
   190  718.81    2.928    7.70   95.0    3.0767    0.0428    2.93 9000.00 9000.00   30.82    0.7700 9000.00000 9000.00000 9000.000
   200  713.70    2.987    7.40   95.0    3.1194    0.0437    3.10 9000.00 9000.00   30.82    0.7800 9000.00000 9000.00000 9000.000
   210  708.91    3.043    7.10   95.0    3.1194    0.0440    3.27 9000.00 9000.00   30.82    0.7800 9000.00000 9000.00000 9000.000
   220  703.88    3.102    7.00   96.0    3.1621    0.0449    3.44 9000.00 9000.00   30.82    0.7900 9000.00000 9000.00000 9000.000
   230  699.85    3.149    7.10   96.0    3.1194    0.0446    3.59 9000.00 9000.00   30.82    0.7800 9000.00000 9000.00000 9000.000
   240  695.46    3.201    7.20   94.0    3.0341    0.0436    3.74 9000.00 9000.00   30.83    0.7600 9000.00000 9000.00000 9000.000
   250  691.55    3.247    7.00   93.0    2.9914    0.0433    3.87 9000.00 9000.00   30.83    0.7500 9000.00000 9000.00000 9000.000
   260  687.79    3.292    6.70   92.0    2.9486    0.0429    4.00 9000.00 9000.00   30.83    0.7400 9000.00000 9000.00000 9000.000
   270  683.41    3.345    6.50   91.0    2.8631    0.0419    4.15 9000.00 9000.00   30.83    0.7200 9000.00000 9000.00000 9000.000
   280  679.51    3.392    6.10   90.0    2.8205    0.0415    4.28 9000.00 9000.00   30.84    0.7100 9000.00000 9000.00000 9000.000
   290  675.68    3.438    5.80   90.0    2.7786    0.0411    4.40 9000.00 9000.00   30.94    0.7000 9000.00000 9000.00000 9000.000
   300  671.07    3.494    5.60   90.0    2.7786    0.0414    4.55 9000.00 9000.00   30.94    0.7000 9000.00000 9000.00000 9000.000
   310  666.25    3.553    5.20   90.0    2.7359    0.0411    4.71 9000.00 9000.00   30.94    0.6900 9000.00000 9000.00000 9000.000
   320  662.12    3.604    5.10   91.0    2.7359    0.0413    4.84 9000.00 9000.00   30.94    0.6900 9000.00000 9000.00000 9000.000
   330  657.92    3.656    4.70   90.0    2.7360    0.0416    4.98 9000.00 9000.00   30.95    0.6900 9000.00000 9000.00000 9000.000
   340  653.72    3.709    4.20   87.0    2.7360    0.0419    5.12 9000.00 9000.00   30.95    0.6900 9000.00000 9000.00000 9000.000
   350  650.29    3.752    3.90   88.0    2.7360    0.0421    5.23 9000.00 9000.00   30.95    0.6900 9000.00000 9000.00000 9000.000
   360  645.85    3.807    3.50   87.0    2.7351    0.0423    5.38 9000.00 9000.00   30.85    0.6900 9000.00000 9000.00000 9000.000
   370  641.25    3.865    2.90   84.0    2.7352    0.0427    5.53 9000.00 9000.00   30.86    0.6900 9000.00000 9000.00000 9000.000
   380  636.26    3.929    2.50   85.0    2.6924    0.0423    5.70 9000.00 9000.00   30.86    0.6800 9000.00000 9000.00000 9000.000
   390  632.22    3.980    2.10   87.0    2.7352    0.0433    5.84 9000.00 9000.00   30.86    0.6900 9000.00000 9000.00000 9000.000
   400  628.78    4.024    1.90   86.0    2.6924    0.0428    5.96 9000.00 9000.00   30.86    0.6800 9000.00000 9000.00000 9000.000
   410  625.21    4.070    1.60   87.0    2.7352    0.0437    6.08 9000.00 9000.00   30.86    0.6900 9000.00000 9000.00000 9000.000
   420  621.31    4.121    1.20   87.0    2.6925    0.0433    6.21 9000.00 9000.00   30.87    0.6800 9000.00000 9000.00000 9000.000
   430  617.35    4.172    0.90   86.0    2.6925    0.0436    6.35 9000.00 9000.00   30.87    0.6800 9000.00000 9000.00000 9000.000
   440  613.15    4.227    0.50   88.0    2.6925    0.0439    6.49 9000.00 9000.00   30.87    0.6800 9000.00000 9000.00000 9000.000
   450  608.95    4.282    0.10   88.0    2.6498    0.0435    6.64 9000.00 9000.00   30.87    0.6700 9000.00000 9000.00000 9000.000
   460  604.94    4.335   -0.20   89.0    2.6499    0.0438    6.78 9000.00 9000.00   30.88    0.6700 9000.00000 9000.00000 9000.000
   470  601.17    4.385   -0.50   88.0    2.6499    0.0441    6.91 9000.00 9000.00   30.88    0.6700 9000.00000 9000.00000 9000.000
   480  597.51    4.434   -1.00   81.0    2.6499    0.0443    7.03 9000.00 9000.00   30.88    0.6700 9000.00000 9000.00000 9000.000
   490  594.16    4.479   -2.10   61.0    2.7354    0.0460    7.15 9000.00 9000.00   30.88    0.6900 9000.00000 9000.00000 9000.000
   500  591.30    4.517   -3.30   37.0    2.7781    0.0470    7.26 9000.00 9000.00   30.88    0.7000 9000.00000 9000.00000 9000.000
   510  587.68    4.566   -3.30   29.0    2.8210    0.0480    7.39 9000.00 9000.00   30.89    0.7100 9000.00000 9000.00000 9000.000
   520  583.97    4.616   -3.30   32.0    2.9064    0.0498    7.54 9000.00 9000.00   30.89    0.7300 9000.00000 9000.00000 9000.000
   530  580.50    4.663   -2.60   29.0    2.9064    0.0501    7.67 9000.00 9000.00   30.89    0.7300 9000.00000 9000.00000 9000.000
   540  576.38    4.720   -2.30   28.0    2.7782    0.0482    7.83 9000.00 9000.00   30.89    0.7000 9000.00000 9000.00000 9000.000
   550  572.42    4.774   -1.80   19.0    2.9919    0.0523    7.99 9000.00 9000.00   30.89    0.7500 9000.00000 9000.00000 9000.000
   560  569.27    4.818   -1.80   20.0    3.2484    0.0571    8.13 9000.00 9000.00   30.90    0.8100 9000.00000 9000.00000 9000.000
   570  565.55    4.870   -1.30   20.0    3.4621    0.0612    8.30 9000.00 9000.00   30.90    0.8600 9000.00000 9000.00000 9000.000
   580  560.48    4.942   -1.00   21.0    3.4621    0.0618    8.55 9000.00 9000.00   30.90    0.8600 9000.00000 9000.00000 9000.000
   590  555.97    5.007   -1.10   26.0    3.3767    0.0607    8.77 9000.00 9000.00   30.90    0.8400 9000.00000 9000.00000 9000.000
   600  552.98    5.049   -1.20   26.0    3.2914    0.0595    8.91 9000.00 9000.00   30.91    0.8200 9000.00000 9000.00000 9000.000
   610  549.59    5.098   -1.30   24.0    3.2485    0.0591    9.07 9000.00 9000.00   30.91    0.8100 9000.00000 9000.00000 9000.000
   620  546.77    5.140   -1.50   18.0    3.1204    0.0571    9.20 9000.00 9000.00   30.91    0.7800 9000.00000 9000.00000 9000.000
   630  542.91    5.196   -1.70   18.0    2.9494    0.0543    9.37 9000.00 9000.00   30.91    0.7400 9000.00000 9000.00000 9000.000
   640  539.18    5.251   -1.80   14.0    2.8640    0.0531    9.52 9000.00 9000.00   30.92    0.7200 9000.00000 9000.00000 9000.000
   650  535.13    5.311   -2.20   13.0    2.7785    0.0519    9.69 9000.00 9000.00   30.92    0.7000 9000.00000 9000.00000 9000.000
   660  531.44    5.365   -2.40   15.0    2.7785    0.0523    9.84 9000.00 9000.00   30.92    0.7000 9000.00000 9000.00000 9000.000
   670  528.37    5.411   -2.30   17.0    2.8640    0.0542    9.97 9000.00 9000.00   30.92    0.7200 9000.00000 9000.00000 9000.000
   680  524.79    5.465   -2.50   19.0    2.8641    0.0546   10.13 9000.00 9000.00   30.93    0.7200 9000.00000 9000.00000 9000.000
   690  521.10    5.521   -3.00   22.0    2.8641    0.0550   10.29 9000.00 9000.00   30.93    0.7200 9000.00000 9000.00000 9000.000
   700  518.12    5.567   -3.20   23.0    2.9068    0.0561   10.42 9000.00 9000.00   30.93    0.7300 9000.00000 9000.00000 9000.000
   710  514.84    5.617   -3.60   23.0    2.9068    0.0565   10.56 9000.00 9000.00   30.93    0.7300 9000.00000 9000.00000 9000.000
   720  511.56    5.667   -3.90   23.0    2.8641    0.0560   10.71 9000.00 9000.00   30.93    0.7200 9000.00000 9000.00000 9000.000
   730  508.24    5.719   -4.20   21.0    2.8642    0.0564   10.85 9000.00 9000.00   30.94    0.7200 9000.00000 9000.00000 9000.000
   740  505.41    5.762   -4.40   17.0    2.7786    0.0550   10.98 9000.00 9000.00   30.94    0.7000 9000.00000 9000.00000 9000.000
   750  502.34    5.810   -4.50   15.0    2.7350    0.0544   11.11 9000.00 9000.00   30.84    0.6900 9000.00000 9000.00000 9000.000
   760  499.36    5.857   -4.70   13.0    2.6923    0.0539   11.24 9000.00 9000.00   30.84    0.6800 9000.00000 9000.00000 9000.000
   770  495.93    5.911   -4.80    8.0    2.6923    0.0543   11.39 9000.00 9000.00   30.84    0.6800 9000.00000 9000.00000 9000.000
   780  492.65    5.964   -4.90    6.0    2.6496    0.0538   11.53 9000.00 9000.00   30.85    0.6700 9000.00000 9000.00000 9000.000
   790  488.97    6.022   -5.30    7.0    2.5642    0.0524   11.68 9000.00 9000.00   30.85    0.6500 9000.00000 9000.00000 9000.000
   800  486.04    6.069   -5.50    6.0    2.5214    0.0519   11.80 9000.00 9000.00   30.85    0.6400 9000.00000 9000.00000 9000.000
   810  482.37    6.129   -5.80    5.0    2.4360    0.0505   11.95 9000.00 9000.00   30.85    0.6200 9000.00000 9000.00000 9000.000
   820  479.22    6.180   -5.90    3.0    2.4360    0.0508   12.08 9000.00 9000.00   30.86    0.6200 9000.00000 9000.00000 9000.000
   830  476.74    6.221   -6.00    1.0    2.4788    0.0520   12.18 9000.00 9000.00   30.86    0.6300 9000.00000 9000.00000 9000.000
   840  473.84    6.268   -6.10    1.0    2.4360    0.0514   12.29 9000.00 9000.00   30.86    0.6200 9000.00000 9000.00000 9000.000
   850  470.34    6.326   -6.50    1.0    2.4360    0.0518   12.44 9000.00 9000.00   30.86    0.6200 9000.00000 9000.00000 9000.000
   860  466.72    6.386   -6.80    1.0    2.3934    0.0513   12.58 9000.00 9000.00   30.87    0.6100 9000.00000 9000.00000 9000.000
   870  464.00    6.432   -7.00    1.0    2.4361    0.0525   12.70 9000.00 9000.00   30.87    0.6200 9000.00000 9000.00000 9000.000
   880  460.70    6.488   -7.40    1.0    2.3934    0.0520   12.83 9000.00 9000.00   30.87    0.6100 9000.00000 9000.00000 9000.000
   890  457.43    6.543   -7.80    2.0    2.3934    0.0523   12.97 9000.00 9000.00   30.87    0.6100 9000.00000 9000.00000 9000.000
   900  454.11    6.600   -8.20    4.0    2.3508    0.0518   13.10 9000.00 9000.00   30.88    0.6000 9000.00000 9000.00000 9000.000
   910  451.66    6.641   -8.40    3.0    2.3079    0.0511   13.20 9000.00 9000.00   30.88    0.5900 9000.00000 9000.00000 9000.000
   920  449.17    6.684   -8.70    2.0    2.3508    0.0523   13.30 9000.00 9000.00   30.88    0.6000 9000.00000 9000.00000 9000.000
   930  446.12    6.737   -9.00 9000.0    2.3079    0.0517   13.43 9000.00 9000.00   30.88    0.5900 9000.00000 9000.00000 9000.000
