36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20100721
Launch Time (UT)                  : 07:31:33
Burst Pressure (hPa)              : 5.18
Integrated O3 to end of data (DU) : 230.46
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : D2434509
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z15728
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.150
Flowrate Correction (%)           : 1.36
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.50    1.800   17.40   68.0    2.3882    0.0289    0.00    0.00    0.00   29.44    0.6700   36.75900   -1.30200 9000.000
     2  824.33    1.812   16.74   53.0    2.4268    0.0294    0.03  168.00    1.70   29.45    0.6800   36.75900   -1.30200 9000.000
     4  823.00    1.826   16.21   56.0    2.4654    0.0300    0.06  178.00    2.00   29.46    0.6900   36.75900   -1.30200 9000.000
     6  821.52    1.841   15.88   59.0    2.4654    0.0300    0.09  171.00    2.20   29.46    0.6900   36.75900   -1.30200 9000.000
     8  820.01    1.857   15.72   61.0    2.4655    0.0301    0.13  169.00    2.30   29.47    0.6900   36.75900   -1.30200 9000.000
    10  818.73    1.870   15.58   63.0    2.4655    0.0301    0.16  167.00    2.50   29.47    0.6900   36.75900   -1.30100 9000.000
    12  817.71    1.881   15.51   64.0    2.4654    0.0302    0.18  166.00    2.60   29.46    0.6900   36.75900   -1.30100 9000.000
    14  816.69    1.891   15.47   65.0    2.5040    0.0307    0.21  164.00    2.60   29.46    0.7000   36.75900   -1.30100 9000.000
    16  815.65    1.902   15.38   66.0    2.5039    0.0307    0.23  162.00    2.70   29.45    0.7000   36.75900   -1.30100 9000.000
    18  814.63    1.913   15.30   67.0    2.5423    0.0312    0.26  161.00    2.70   29.44    0.7100   36.75900   -1.30200 9000.000
    20  813.67    1.923   15.12   67.0    2.5423    0.0312    0.28  160.00    2.70   29.44    0.7100   36.75900   -1.30100 9000.000
    22  812.84    1.931   14.89   67.0    2.5808    0.0318    0.30  159.00    2.60   29.44    0.7200   36.75900   -1.30100 9000.000
