36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20100811
Launch Time (UT)                  : 07:11:51
Burst Pressure (hPa)              : 6.10
Integrated O3 to end of data (DU) : 235.79
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : F1374570
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z15696
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.810
Flowrate Correction (%)           : 2.88
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.70    1.800   15.40   86.0    2.1294    0.0258    0.00    0.00    0.00   30.02    0.6000   36.75900   -1.30200 9000.000
     2  826.16    1.806   15.12   79.0    2.1294    0.0258    0.01  195.00    0.90   30.02    0.6000   36.75900   -1.30200 9000.000
     4  825.46    1.813   14.88   77.0    2.1681    0.0263    0.03  188.00    1.10   30.03    0.6100   36.75900   -1.30200 9000.000
     6  824.37    1.824   14.67   78.0    2.1681    0.0263    0.05  193.00    1.30   30.03    0.6100   36.75900   -1.30200 9000.000
     8  823.27    1.835   14.47   79.0    2.1681    0.0263    0.07  191.00    1.40   30.03    0.6100   36.75900   -1.30200 9000.000
    10  822.23    1.846   14.32   80.0    2.2069    0.0268    0.09  190.00    1.60   30.03    0.6200   36.75900   -1.30200 9000.000
    12  821.18    1.857   14.24   80.0    2.2069    0.0269    0.11  188.00    1.70   30.03    0.6200   36.75900   -1.30200 9000.000
    14  820.20    1.867   14.20   81.0    2.2069    0.0269    0.14  185.00    1.80   30.03    0.6200   36.75900   -1.30200 9000.000
    16  819.19    1.877   14.10   82.0    2.2068    0.0269    0.16  182.00    1.90   30.02    0.6200   36.75900   -1.30200 9000.000
    18  818.01    1.890   13.99   82.0    2.2067    0.0270    0.18  179.00    2.00   30.01    0.6200   36.75900   -1.30200 9000.000
    20  816.69    1.903   13.84   83.0    2.2454    0.0275    0.21  176.00    2.00   30.00    0.6300   36.75900   -1.30100 9000.000
    22  815.40    1.916   13.64   83.0    2.2454    0.0275    0.24  173.00    2.10   30.00    0.6300   36.75900   -1.30100 9000.000
    24  814.30    1.928   13.51   84.0    2.2453    0.0276    0.26  170.00    2.10   29.99    0.6300   36.75900   -1.30100 9000.000
    26  813.30    1.938   13.42   84.0    2.2452    0.0276    0.28  166.00    2.20   29.98    0.6300   36.75900   -1.30100 9000.000
    28  812.20    1.950   13.32   85.0    2.2452    0.0276    0.31  163.00    2.20   29.98    0.6300   36.75900   -1.30100 9000.000
    30  811.18    1.960   13.22   86.0    2.2839    0.0282    0.33  160.00    2.30   29.98    0.6400   36.75900   -1.30100 9000.000
    32  810.13    1.971   13.12   86.0    2.2838    0.0282    0.35  157.00    2.40   29.97    0.6400   36.75900   -1.30100 9000.000
    34  808.86    1.984   12.96   86.0    2.3226    0.0287    0.38  155.00    2.50   29.97    0.6500   36.75900   -1.30100 9000.000
    36  807.68    1.997   12.83   87.0    2.3226    0.0288    0.41  153.00    2.60   29.97    0.6500   36.75900   -1.30100 9000.000
    38  806.64    2.008   12.74   88.0    2.3225    0.0288    0.43  151.00    2.70   29.96    0.6500   36.75900   -1.30100 9000.000
    40  805.51    2.019   12.64   88.0    2.3226    0.0288    0.46  150.00    2.90   29.97    0.6500   36.75900   -1.30100 9000.000
    42  804.31    2.032   12.52   89.0    2.3613    0.0294    0.49  150.00    3.10   29.97    0.6600   36.75900   -1.30100 9000.000
    44  803.10    2.045   12.39   89.0    2.3612    0.0294    0.51  150.00    3.20   29.96    0.6600   36.75900   -1.30100 9000.000
    46  801.83    2.058   12.25   90.0    2.3611    0.0294    0.54  151.00    3.40   29.95    0.6600   36.75900   -1.30100 9000.000
    48  800.58    2.071   12.15   90.0    2.3611    0.0295    0.57  152.00    3.60   29.95    0.6600   36.75900   -1.30100 9000.000
    50  799.24    2.085   12.02   90.0    2.3610    0.0295    0.60  153.00    3.80   29.94    0.6600   36.75900   -1.30100 9000.000
    52  798.10    2.097   11.87   91.0    2.3610    0.0296    0.63  154.00    3.90   29.93    0.6600   36.75900   -1.30100 9000.000
    54  797.21    2.106   11.77   91.0    2.3610    0.0296    0.65  156.00    4.10   29.93    0.6600   36.75900   -1.30100 9000.000
    56  796.25    2.116   11.69   92.0    2.3610    0.0297    0.67  158.00    4.20   29.93    0.6600   36.75900   -1.30100 9000.000
    58  795.13    2.128   11.56   93.0    2.3610    0.0297    0.70  159.00    4.30   29.93    0.6600   36.75900   -1.30100 9000.000
    60  794.19    2.138   11.46   93.0    2.3610    0.0297    0.72  160.00    4.40   29.93    0.6600   36.75900   -1.30100 9000.000
    62  793.30    2.148   11.42   92.0    2.3610    0.0298    0.74  161.00    4.50   29.93    0.6600   36.75900   -1.30000 9000.000
    64  792.16    2.160   11.36   92.0    2.3996    0.0303    0.77  162.00    4.60   29.92    0.6700   36.75900   -1.30000 9000.000
    66  791.15    2.170   11.29   92.0    2.3995    0.0303    0.79  163.00    4.60   29.91    0.6700   36.75900   -1.30000 9000.000
    68  790.26    2.180   11.22   93.0    2.3995    0.0304    0.82  163.00    4.60   29.91    0.6700   36.75900   -1.30000 9000.000
    70  789.35    2.189   11.18   93.0    2.3994    0.0304    0.84  163.00    4.70   29.90    0.6700   36.75900   -1.30000 9000.000
    72  788.48    2.199   11.09   93.0    2.3994    0.0304    0.86  163.00    4.70   29.90    0.6700   36.75900   -1.30000 9000.000
    74  787.80    2.206   11.02   93.0    2.4381    0.0309    0.88  163.00    4.70   29.90    0.6800   36.75900   -1.30000 9000.000
    76  787.14    2.213   10.96   93.0    2.4381    0.0310    0.89  163.00    4.70   29.90    0.6800   36.75800   -1.30000 9000.000
    78  786.21    2.223   10.84   94.0    2.4382    0.0310    0.91  162.00    4.70   29.91    0.6800   36.75800   -1.30000 9000.000
    80  785.29    2.233   10.75   94.0    2.4769    0.0315    0.94  162.00    4.70   29.91    0.6900   36.75800   -1.30000 9000.000
    82  784.39    2.242   10.69   94.0    2.4771    0.0316    0.96  162.00    4.70   29.93    0.6900   36.75800   -1.30000 9000.000
    84  783.33    2.253   10.60   94.0    2.4771    0.0316    0.99  162.00    4.80   29.93    0.6900   36.75800   -1.29900 9000.000
    86  782.35    2.264   10.50   94.0    2.5159    0.0322    1.01  162.00    4.80   29.94    0.7000   36.75800   -1.29900 9000.000
    88  781.49    2.273   10.48   94.0    2.5159    0.0322    1.03  163.00    4.90   29.95    0.7000   36.75800   -1.29900 9000.000
    90  780.64    2.282   10.45   94.0    2.5159    0.0322    1.05  163.00    4.90   29.95    0.7000   36.75800   -1.29900 9000.000
    92  779.74    2.292   10.37   94.0    2.5159    0.0323    1.08  164.00    5.00   29.95    0.7000   36.75800   -1.29900 9000.000
    94  778.88    2.301   10.28   95.0    2.5159    0.0323    1.10  164.00    5.00   29.94    0.7000   36.75800   -1.29900 9000.000
    96  778.03    2.310   10.16   95.0    2.5546    0.0328    1.12  165.00    5.10   29.94    0.7100   36.75800   -1.29900 9000.000
    98  777.15    2.320   10.09   96.0    2.5546    0.0329    1.14  166.00    5.20   29.94    0.7100   36.75800   -1.29900 9000.000
   100  776.30    2.329   10.09   96.0    2.5546    0.0329    1.17  167.00    5.20   29.94    0.7100   36.75800   -1.29900 9000.000
   102  775.48    2.338   10.05   96.0    2.5546    0.0329    1.19  168.00    5.30   29.95    0.7100   36.75800   -1.29900 9000.000
   104  774.50    2.348    9.97   96.0    2.5933    0.0335    1.21  169.00    5.30   29.95    0.7200   36.75800   -1.29900 9000.000
   106  773.31    2.361    9.86   96.0    2.5933    0.0335    1.24  170.00    5.30   29.95    0.7200   36.75800   -1.29900 9000.000
   108  772.04    2.375    9.78   96.0    2.5933    0.0336    1.28  171.00    5.30   29.95    0.7200   36.75800   -1.29800 9000.000
   110  770.93    2.386    9.71   96.0    2.5933    0.0336    1.31  172.00    5.30   29.95    0.7200   36.75800   -1.29800 9000.000
   112  769.95    2.397    9.62   97.0    2.5933    0.0337    1.33  173.00    5.30   29.95    0.7200   36.75800   -1.29800 9000.000
   114  769.01    2.407    9.53   97.0    2.6320    0.0342    1.36  174.00    5.20   29.94    0.7300   36.75800   -1.29800 9000.000
   116  768.02    2.418    9.44   98.0    2.6319    0.0343    1.39  176.00    5.20   29.93    0.7300   36.75800   -1.29800 9000.000
   118  767.06    2.428    9.35   98.0    2.6318    0.0343    1.41  177.00    5.10   29.92    0.7300   36.75800   -1.29800 9000.000
   120  766.11    2.439    9.27   98.0    2.6318    0.0344    1.44  178.00    5.00   29.92    0.7300   36.75800   -1.29800 9000.000
   122  765.11    2.450    9.20   98.0    2.6318    0.0344    1.46  178.00    5.00   29.92    0.7300   36.75800   -1.29800 9000.000
