36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20100915
Launch Time (UT)                  : 06:36:49
Burst Pressure (hPa)              : 9.66
Integrated O3 to end of data (DU) : 207.96
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : E4825664
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z15691
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.840
Flowrate Correction (%)           : 1.86
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.30    1.800   16.10   75.0    2.3803    0.0288    0.00  180.00    1.50   30.18    0.6600   36.75900   -1.30200 9000.000
     2  824.46    1.809   15.49   66.0    2.3804    0.0289    0.02  156.00    2.70   30.19    0.6600   36.75900   -1.30200 9000.000
     4  823.37    1.820   15.28   68.0    2.4572    0.0298    0.04  155.00    3.00   30.19    0.6800   36.75900   -1.30200 9000.000
     6  822.27    1.831   15.13   69.0    2.4956    0.0303    0.07  155.00    3.30   30.19    0.6900   36.75900   -1.30200 9000.000
     8  821.23    1.842   15.04   70.0    2.4956    0.0304    0.10  154.00    3.40   30.19    0.6900   36.75900   -1.30100 9000.000
    10  820.26    1.852   14.96   71.0    2.4955    0.0304    0.12  153.00    3.60   30.18    0.6900   36.75900   -1.30100 9000.000
    12  819.26    1.862   14.88   72.0    2.4954    0.0305    0.14  151.00    3.70   30.17    0.6900   36.75900   -1.30100 9000.000
    14  818.25    1.873   14.81   73.0    2.4953    0.0305    0.17  149.00    3.70   30.16    0.6900   36.75900   -1.30100 9000.000
    16  817.20    1.884   14.73   73.0    2.4952    0.0305    0.19  146.00    3.70   30.15    0.6900   36.75900   -1.30100 9000.000
    18  815.87    1.898   14.61   74.0    2.4952    0.0306    0.22  143.00    3.70   30.15    0.6900   36.75900   -1.30100 9000.000
    20  814.32    1.914   14.43   75.0    2.4952    0.0306    0.26  139.00    3.70   30.15    0.6900   36.75900   -1.30100 9000.000
    22  812.87    1.929   14.27   75.0    2.4952    0.0307    0.30  135.00    3.70   30.15    0.6900   36.75900   -1.30100 9000.000
