36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20110810
Launch Time (UT)                  : 06:43:23
Burst Pressure (hPa)              : 7.48
Integrated O3 to end of data (DU) : 216.45
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : F1324483
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z18359
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.160
Flowrate Correction (%)           : 1.62
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.00    1.800   15.90   89.0    0.6662    0.0081    0.00    0.00    0.00   33.81    0.2100   36.75900   -1.30200 9000.000
     2  822.99    1.800   15.87   89.0    0.6271    0.0076    0.00    0.00    0.10   33.82    0.2000   36.75900 9000.00000 9000.000
     4  822.99    1.800   15.84   89.0    0.6271    0.0076    0.00    0.00    0.10   33.83    0.2000   36.75900   -1.30200 9000.000
     6  822.98    1.800   15.81   89.0    0.6271    0.0076    0.00    0.00    0.10   33.84    0.2000   36.75900   -1.30200 9000.000
     8  822.97    1.800   15.78   89.0    0.6271    0.0076    0.00    0.00    0.10   33.84    0.2000   36.75900   -1.30200 9000.000
    10  822.96    1.800   15.75   89.0    0.6271    0.0076    0.00    0.00    0.10   33.86    0.2000   36.75900   -1.30200 9000.000
    12  822.96    1.800   15.72   89.0    0.6272    0.0076    0.00    0.00    0.20   33.87    0.2000   36.75900   -1.30200 9000.000
    14  822.95    1.801   15.69   89.0    0.6272    0.0076    0.00    0.00    0.20   33.88    0.2000   36.75900   -1.30200 9000.000
    16  822.94    1.801   15.66   89.0    0.6272    0.0076    0.00    0.00    0.20   33.88    0.2000   36.75900   -1.30200 9000.000
    18  822.94    1.801   15.63   89.0    0.6272    0.0076    0.00    0.00    0.20   33.88    0.2000   36.75900   -1.30200 9000.000
    20  822.93    1.801   15.60   88.0    0.6272    0.0076    0.00    0.00    0.20   33.88    0.2000   36.75900   -1.30200 9000.000
    22  822.92    1.801   15.57   88.0    0.6272    0.0076    0.00    0.00    0.30   33.89    0.2000   36.75900   -1.30200 9000.000
    24  822.91    1.801   15.54   88.0    0.6272    0.0076    0.00    0.00    0.30   33.90    0.2000   36.75900   -1.30200 9000.000
    26  822.91    1.801   15.51   88.0    0.6272    0.0076    0.00    0.00    0.40   33.90    0.2000   36.75900   -1.30200 9000.000
    28  822.90    1.801   15.48   88.0    0.6272    0.0076    0.00    0.00    0.50   33.90    0.2000   36.75900   -1.30200 9000.000
    30  822.89    1.801   15.45   88.0    0.6272    0.0076    0.00  119.00    0.60   33.91    0.2000   36.75900   -1.30200 9000.000
    32  822.88    1.801   15.42   88.0    0.6273    0.0076    0.00  122.00    0.70   33.93    0.2000   36.75900   -1.30200 9000.000
    34  822.88    1.801   15.39   88.0    0.6273    0.0076    0.00  125.00    0.90   33.93    0.2000   36.75900   -1.30200 9000.000
    36  822.87    1.801   15.36   88.0    0.6273    0.0076    0.00  127.00    1.00   33.94    0.2000   36.75900   -1.30200 9000.000
    38  822.86    1.801   15.33   88.0    0.6273    0.0076    0.00  129.00    1.20   33.94    0.2000   36.75900   -1.30200 9000.000
    40  822.86    1.801   15.30   88.0    0.6273    0.0076    0.00  130.00    1.40   33.95    0.2000   36.75900   -1.30200 9000.000
    42  822.85    1.802   15.27   88.0    0.6273    0.0076    0.00  131.00    1.60   33.96    0.2000   36.75900   -1.30200 9000.000
    44  822.84    1.802   15.24   88.0    0.6274    0.0076    0.00  131.00    1.80   33.97    0.2000   36.75900   -1.30200 9000.000
    46  822.83    1.802   15.21   88.0    0.6274    0.0076    0.00  131.00    2.00   33.98    0.2000   36.75900   -1.30200 9000.000
    48  822.83    1.802   15.18   88.0    0.6274    0.0076    0.00  131.00    2.20   33.99    0.2000   36.75900   -1.30200 9000.000
    50  822.82    1.802   15.15   88.0    0.6274    0.0076    0.00  131.00    2.50   33.99    0.2000   36.75900   -1.30200 9000.000
    52  822.81    1.802   15.12   88.0    0.6274    0.0076    0.00  130.00    2.70   34.00    0.2000   36.75900   -1.30200 9000.000
    54  822.81    1.802   15.09   88.0    0.6274    0.0076    0.00  129.00    2.90   34.01    0.2000   36.75900   -1.30200 9000.000
    56  822.80    1.802   15.06   87.0    0.6274    0.0076    0.00  128.00    3.10   34.01    0.2000   36.75900   -1.30200 9000.000
    58  822.79    1.802   15.03   87.0    0.6275    0.0076    0.00  127.00    3.30   34.02    0.2000   36.75900   -1.30200 9000.000
    60  822.78    1.802   15.00   87.0    0.6275    0.0076    0.00  126.00    3.50   34.04    0.2000   36.75900   -1.30200 9000.000
    62  822.23    1.808   14.91   85.0    0.6667    0.0081    0.00  125.00    3.60   34.04    0.2100   36.75900   -1.30200 9000.000
    64  821.18    1.819   14.77   86.0    0.6667    0.0081    0.01  123.00    3.80   34.05    0.2100   36.75900   -1.30200 9000.000
    66  820.19    1.829   14.68   87.0    0.6668    0.0081    0.02  121.00    3.90   34.06    0.2100   36.75900   -1.30200 9000.000
    68  819.12    1.840   14.57   88.0    0.6668    0.0081    0.02  120.00    3.90   34.06    0.2100   36.75900   -1.30100 9000.000
    70  818.12    1.850   14.48   89.0    0.7060    0.0086    0.03  118.00    4.00   34.07    0.2200   36.75900   -1.30100 9000.000
    72  817.14    1.861   14.43   89.0    0.7060    0.0086    0.04  115.00    4.00   34.07    0.2200   36.75900   -1.30200 9000.000
    74  816.06    1.872   14.33   89.0    0.7060    0.0087    0.05  113.00    4.00   34.07    0.2200   36.75900   -1.30200 9000.000
    76  814.82    1.885   14.19   90.0    0.7060    0.0087    0.05  110.00    3.90   34.08    0.2200   36.75900   -1.30100 9000.000
    78  813.51    1.898   14.05   91.0    0.7453    0.0092    0.06  107.00    3.90   34.08    0.2300   36.75900   -1.30100 9000.000
    80  812.17    1.912   13.91   91.0    0.7453    0.0092    0.07  103.00    3.80   34.09    0.2300   36.75900   -1.30100 9000.000
    82  811.00    1.924   13.77   92.0    0.7453    0.0092    0.08   99.00    3.70   34.09    0.2300   36.75900   -1.30100 9000.000
    84  809.97    1.935   13.68   93.0    0.7453    0.0092    0.09   95.00    3.60   34.09    0.2300   36.75800   -1.30100 9000.000
    86  808.99    1.945   13.59   93.0    0.7453    0.0092    0.10   91.00    3.50   34.09    0.2300   36.75800   -1.30100 9000.000
    88  808.00    1.956   13.49   94.0    0.7453    0.0092    0.10   87.00    3.50   34.10    0.2300   36.75800   -1.30100 9000.000
    90  806.94    1.967   13.38   94.0    0.7453    0.0092    0.11   83.00    3.40   34.10    0.2300   36.75800   -1.30100 9000.000
    92  806.08    1.976   13.31   95.0    0.7453    0.0093    0.12   79.00    3.40   34.11    0.2300   36.75800   -1.30100 9000.000
    94  805.25    1.985   13.34   95.0    0.7454    0.0093    0.12   75.00    3.30   34.12    0.2300   36.75800   -1.30200 9000.000
    96  804.32    1.994   13.34   96.0    0.7846    0.0098    0.13   71.00    3.30   34.12    0.2400   36.75800   -1.30200 9000.000
    98  803.39    2.004   13.25   96.0    0.7846    0.0098    0.14   68.00    3.30   34.13    0.2400   36.75800   -1.30200 9000.000
   100  802.56    2.013   13.18   96.0    0.7846    0.0098    0.14   65.00    3.20   34.13    0.2400   36.75800   -1.30100 9000.000
   102  801.66    2.022   13.09   96.0    0.7846    0.0098    0.15   62.00    3.20   34.13    0.2400   36.75800   -1.30100 9000.000
   104  800.74    2.032   13.02   97.0    0.8238    0.0103    0.16   58.00    3.10   34.13    0.2500   36.75800   -1.30200 9000.000
   106  799.79    2.042   13.00   96.0    0.8631    0.0108    0.17   54.00    3.10   34.13    0.2600   36.75800   -1.30200 9000.000
   108  798.91    2.051   12.98   96.0    0.8631    0.0108    0.17   49.00    3.10   34.13    0.2600   36.75800   -1.30200 9000.000
   110  798.08    2.060   12.93   96.0    0.9023    0.0113    0.18   44.00    3.10   34.13    0.2700   36.75800   -1.30200 9000.000
   112  797.12    2.070   12.89   96.0    0.9415    0.0118    0.19   38.00    3.10   34.13    0.2800   36.75800   -1.30200 9000.000
   114  796.10    2.081   12.84   96.0    0.9808    0.0123    0.20   32.00    3.10   34.13    0.2900   36.75800   -1.30200 9000.000
   116  795.03    2.092   12.75   96.0    1.0200    0.0128    0.21   27.00    3.20   34.13    0.3000   36.75800   -1.30200 9000.000
   118  793.97    2.103   12.71   95.0    1.0593    0.0133    0.22   21.00    3.40   34.15    0.3100   36.75800   -1.30200 9000.000
   120  793.05    2.113   12.72   93.0    1.0985    0.0139    0.23   16.00    3.60   34.15    0.3200   36.75800   -1.30200 9000.000
   122  792.37    2.121   12.74   93.0    1.1378    0.0144    0.24   12.00    3.80   34.15    0.3300   36.75800   -1.30200 9000.000
   124  791.61    2.129   12.73   92.0    1.1770    0.0149    0.25    9.00    4.00   34.15    0.3400   36.75800   -1.30200 9000.000
   126  790.74    2.138   12.68   92.0    1.1770    0.0149    0.26    6.00    4.20   34.15    0.3400   36.75800   -1.30200 9000.000
   128  789.86    2.147   12.63   92.0    1.2162    0.0154    0.27    4.00    4.30   34.15    0.3500   36.75800   -1.30200 9000.000
   130  788.99    2.157   12.58   92.0    1.2162    0.0154    0.28    3.00    4.40   34.15    0.3500   36.75800   -1.30200 9000.000
   132  788.13    2.166   12.52   92.0    1.2555    0.0159    0.29    2.00    4.50   34.15    0.3600   36.75800   -1.30200 9000.000
