36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20111228
Launch Time (UT)                  : 07:14:25
Burst Pressure (hPa)              : 5.73
Integrated O3 to end of data (DU) : 210.54
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : G2214948
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z18379
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.750
Flowrate Correction (%)           : 1.59
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.030
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  819.70    1.800   16.90   93.0    0.7599    0.0093    0.00    0.00    0.00   34.00    0.2200 9000.00000   -1.30200 9000.000
     2  818.66    1.811   16.52   82.0    0.7599    0.0093    0.01   18.00    1.20   34.01    0.2200   36.75900   -1.30200 9000.000
     4  817.57    1.822   16.24   85.0    0.7599    0.0093    0.02   19.00    1.50   34.01    0.2200   36.75900   -1.30200 9000.000
     6  816.44    1.834   16.17   88.0    0.7600    0.0093    0.02   17.00    1.50   34.02    0.2200   36.75900   -1.30200 9000.000
     8  815.30    1.846   16.10   90.0    0.7600    0.0093    0.03   15.00    1.60   34.03    0.2200   36.75900   -1.30200 9000.000
    10  814.14    1.858   15.99   91.0    0.7200    0.0088    0.04   13.00    1.70   34.03    0.2100   36.75900   -1.30200 9000.000
    12  813.01    1.870   15.90   92.0    0.7200    0.0089    0.05   12.00    1.70   34.04    0.2100   36.75900   -1.30200 9000.000
    14  811.95    1.881   15.76   92.0    0.7200    0.0089    0.06   10.00    1.80   34.04    0.2100   36.75900   -1.30200 9000.000
    16  810.87    1.892   15.59   92.0    0.7200    0.0089    0.06    9.00    1.90   34.04    0.2100   36.75900   -1.30200 9000.000
    18  809.75    1.904   15.45   92.0    0.7200    0.0089    0.07    8.00    2.00   34.04    0.2100   36.75900   -1.30200 9000.000
    20  808.69    1.915   15.36   93.0    0.7200    0.0089    0.08    8.00    2.10   34.04    0.2100   36.75900   -1.30200 9000.000
    22  807.74    1.925   15.27   94.0    0.6800    0.0084    0.09    8.00    2.20   34.04    0.2000   36.75900   -1.30200 9000.000
    24  806.81    1.935   15.19   94.0    0.6800    0.0084    0.09    8.00    2.40   34.04    0.2000   36.75900   -1.30200 9000.000
    26  805.87    1.945   15.10   94.0    0.6800    0.0084    0.10    9.00    2.60   34.05    0.2000   36.75900   -1.30200 9000.000
    28  804.99    1.954   15.03   94.0    0.6801    0.0084    0.10   10.00    2.80   34.06    0.2000   36.75900   -1.30200 9000.000
    30  804.04    1.964   15.21   91.0    0.6801    0.0085    0.11   11.00    3.10   34.06    0.2000   36.75900   -1.30200 9000.000
    32  803.04    1.975   15.79   85.0    0.6801    0.0085    0.12   12.00    3.30   34.06    0.2000   36.75900   -1.30200 9000.000
    34  802.06    1.985   16.17   82.0    0.7201    0.0090    0.12   13.00    3.50   34.07    0.2100   36.75900   -1.30200 9000.000
    36  801.05    1.996   16.37   80.0    0.7601    0.0095    0.13   14.00    3.80   34.07    0.2200   36.75900   -1.30300 9000.000
    38  800.11    2.006   16.42   79.0    0.8401    0.0105    0.14   15.00    4.00   34.07    0.2400   36.75900   -1.30300 9000.000
    40  799.27    2.015   16.40   78.0    0.9201    0.0115    0.15   16.00    4.20   34.07    0.2600   36.75900   -1.30300 9000.000
    42  798.41    2.024   16.40   77.0    1.0002    0.0125    0.15   17.00    4.40   34.08    0.2800   36.75900   -1.30300 9000.000
    44  797.49    2.034   16.38   75.0    1.0802    0.0135    0.16   18.00    4.60   34.08    0.3000   36.75900   -1.30300 9000.000
    46  796.57    2.044   16.33   74.0    1.1602    0.0146    0.17   19.00    4.70   34.08    0.3200   36.75900   -1.30300 9000.000
    48  795.70    2.053   16.24   75.0    1.2002    0.0151    0.18   20.00    4.90   34.08    0.3300   36.75900   -1.30300 9000.000
    50  794.75    2.063   16.11   75.0    1.2802    0.0161    0.20   21.00    5.00   34.08    0.3500   36.75900   -1.30300 9000.000
    52  793.78    2.074   16.01   75.0    1.3602    0.0171    0.21   22.00    5.20   34.08    0.3700   36.75900   -1.30300 9000.000
    54  792.90    2.083   15.96   74.0    1.4002    0.0177    0.22   22.00    5.30   34.08    0.3800   36.75900   -1.30300 9000.000
    56  792.08    2.092   15.92   74.0    1.4403    0.0182    0.23   23.00    5.40   34.09    0.3900   36.75900   -1.30300 9000.000
    58  791.28    2.101   15.87   74.0    1.4803    0.0187    0.24   24.00    5.60   34.09    0.4000   36.75900   -1.30300 9000.000
    60  790.58    2.108   15.80   74.0    1.5203    0.0192    0.25   24.00    5.70   34.09    0.4100   36.75900   -1.30400 9000.000
    62  789.80    2.117   15.72   74.0    1.5603    0.0198    0.27   25.00    5.90   34.09    0.4200   36.75900   -1.30400 9000.000
    64  788.91    2.126   15.62   75.0    1.6003    0.0203    0.28   25.00    6.00   34.09    0.4300   36.75900   -1.30400 9000.000
    66  787.99    2.136   15.55   76.0    1.6403    0.0208    0.29   26.00    6.20   34.09    0.4400   36.75900   -1.30400 9000.000
    68  787.11    2.146   15.48   76.0    1.6404    0.0208    0.31   26.00    6.30   34.10    0.4400   36.75800   -1.30400 9000.000
    70  786.25    2.155   15.41   76.0    1.6804    0.0214    0.32   26.00    6.50   34.10    0.4500   36.75800   -1.30400 9000.000
    72  785.31    2.165   15.35   74.0    1.7204    0.0219    0.34   26.00    6.60   34.10    0.4600   36.75800   -1.30400 9000.000
