36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20120502
Launch Time (UT)                  : 06:16:20
Burst Pressure (hPa)              : 17.96
Integrated O3 to end of data (DU) : 136.68
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : G2534917
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z18421
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.700
Flowrate Correction (%)           : 1.30
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.00    1.800   18.20   83.0    1.9539    0.0237    0.00  220.00    2.50   32.71    0.5600   36.75900   -1.30200 9000.000
     2  822.25    1.808   17.99   78.0    1.9540    0.0238    0.01  242.00    2.30   32.72    0.5600   36.75900   -1.30200 9000.000
     4  821.22    1.819   17.67   78.0    1.9924    0.0243    0.03  261.00    2.10   32.73    0.5700   36.75900   -1.30200 9000.000
     6  819.95    1.832   17.40   79.0    1.9924    0.0243    0.06  273.00    2.00   32.74    0.5700   36.75900   -1.30200 9000.000
     8  818.79    1.844   17.30   80.0    1.9924    0.0243    0.08  275.00    2.10   32.74    0.5700   36.75900   -1.30200 9000.000
    10  817.73    1.855   17.18   81.0    1.9924    0.0244    0.10  271.00    2.20   32.74    0.5700   36.75900   -1.30200 9000.000
    12  816.46    1.868   17.01   81.0    1.9924    0.0244    0.13  267.00    2.30   32.74    0.5700   36.75900   -1.30200 9000.000
    14  815.13    1.882   16.90   82.0    2.0308    0.0249    0.15  264.00    2.40   32.74    0.5800   36.76000   -1.30200 9000.000
    16  813.94    1.895   16.84   83.0    2.0691    0.0254    0.17  261.00    2.40   32.74    0.5900   36.76000   -1.30200 9000.000
    18  812.74    1.907   16.70   83.0    2.0691    0.0255    0.20  259.00    2.40   32.74    0.5900   36.76000   -1.30200 9000.000
    20  811.43    1.921   16.50   84.0    2.0690    0.0255    0.23  258.00    2.40   32.73    0.5900   36.76000   -1.30200 9000.000
    22  810.03    1.936   16.23   84.0    2.0690    0.0255    0.25  257.00    2.30   32.73    0.5900   36.76000   -1.30200 9000.000
    24  808.66    1.950   15.99   85.0    2.0690    0.0256    0.28  258.00    2.20   32.73    0.5900   36.76000   -1.30200 9000.000
    26  807.34    1.964   15.81   86.0    2.1073    0.0261    0.31  260.00    2.10   32.73    0.6000   36.76000   -1.30200 9000.000
    28  806.12    1.977   15.71   86.0    2.1073    0.0261    0.33  263.00    2.00   32.73    0.6000   36.76000   -1.30200 9000.000
    30  804.96    1.989   15.69   86.0    2.1074    0.0262    0.36  268.00    2.00   32.74    0.6000   36.76000   -1.30200 9000.000
    32  803.75    2.002   15.62   87.0    2.1074    0.0262    0.38  273.00    1.90   32.74    0.6000   36.76000   -1.30200 9000.000
    34  802.46    2.016   15.51   88.0    2.1457    0.0267    0.41  278.00    1.90   32.74    0.6100   36.76000   -1.30200 9000.000
    36  801.14    2.030   15.39   89.0    2.1458    0.0268    0.44  283.00    1.90   32.75    0.6100   36.76000   -1.30200 9000.000
    38  799.71    2.045   15.23   89.0    2.1458    0.0268    0.47  286.00    2.00   32.76    0.6100   36.76000   -1.30200 9000.000
    40  798.33    2.060   15.12   90.0    2.1458    0.0269    0.50  289.00    2.10   32.76    0.6100   36.76000   -1.30200 9000.000
    42  797.04    2.074   15.00   90.0    2.1459    0.0269    0.52  290.00    2.10   32.77    0.6100   36.76000   -1.30200 9000.000
    44  795.70    2.088   14.83   90.0    2.1459    0.0270    0.55  289.00    2.10   32.77    0.6100   36.76000   -1.30200 9000.000
    46  794.23    2.103   14.67   91.0    2.1459    0.0270    0.58  288.00    2.10   32.77    0.6100   36.76000   -1.30200 9000.000
    48  792.82    2.119   14.51   92.0    2.1459    0.0271    0.61  287.00    2.10   32.77    0.6100   36.76000   -1.30200 9000.000
    50  791.55    2.132   14.40   92.0    2.1459    0.0271    0.64  284.00    2.00   32.77    0.6100   36.76000   -1.30200 9000.000
    52  790.46    2.144   14.27   93.0    2.1459    0.0271    0.66  281.00    1.80   32.77    0.6100   36.76000   -1.30200 9000.000
    54  789.54    2.154   14.15   93.0    2.1459    0.0272    0.68  276.00    1.60   32.77    0.6100   36.76000   -1.30200 9000.000
    56  788.61    2.164   14.09   92.0    2.1460    0.0272    0.70  271.00    1.30   32.78    0.6100   36.76100   -1.30200 9000.000
    58  787.65    2.174   14.13   91.0    2.1460    0.0272    0.72  262.00    1.00   32.78    0.6100   36.76100   -1.30200 9000.000
    60  786.68    2.184   14.12   91.0    2.1460    0.0273    0.75  247.00    0.80   32.78    0.6100   36.76000   -1.30200 9000.000
    62  785.83    2.194   14.08   91.0    2.1460    0.0273    0.76  218.00    0.60   32.78    0.6100   36.76000   -1.30200 9000.000
    64  784.99    2.203   14.08   90.0    2.1842    0.0278    0.78  181.00    0.50   32.77    0.6200   36.76100   -1.30200 9000.000
    66  784.10    2.212   14.10   90.0    2.1842    0.0279    0.80  151.00    0.70   32.77    0.6200   36.76100   -1.30200 9000.000
    68  783.16    2.223   14.33   87.0    2.2226    0.0284    0.82  134.00    0.90   32.77    0.6300   36.76000   -1.30200 9000.000
    70  782.21    2.233   14.81   83.0    2.2226    0.0284    0.84  124.00    1.10   32.78    0.6300   36.76000   -1.30200 9000.000
    72  781.38    2.242   15.11   80.0    2.2610    0.0289    0.86  116.00    1.20   32.79    0.6400   36.76000   -1.30200 9000.000
    74  780.51    2.251   15.30   77.0    2.2610    0.0290    0.88  110.00    1.30   32.79    0.6400   36.76000   -1.30200 9000.000
    76  779.57    2.261   15.37   75.0    2.3377    0.0300    0.90  103.00    1.30   32.80    0.6600   36.76000   -1.30200 9000.000
    78  778.61    2.272   15.31   75.0    2.3761    0.0305    0.93   96.00    1.30   32.80    0.6700   36.76000   -1.30200 9000.000
    80  777.52    2.284   15.24   74.0    2.4145    0.0311    0.95   87.00    1.30   32.81    0.6800   36.76000   -1.30200 9000.000
    82  776.42    2.296   15.28   73.0    2.4911    0.0321    0.98   78.00    1.20   32.81    0.7000   36.76000   -1.30200 9000.000
    84  775.48    2.306   15.31   73.0    2.5294    0.0326    1.01   69.00    1.20   32.81    0.7100   36.76000   -1.30200 9000.000
    86  774.48    2.317   15.31   73.0    2.5295    0.0327    1.03   58.00    1.10   32.82    0.7100   36.76000   -1.30200 9000.000
    88  773.43    2.329   15.24   73.0    2.5679    0.0332    1.06   48.00    1.10   32.83    0.7200   36.76000   -1.30200 9000.000
    90  772.50    2.339   15.18   73.0    2.6446    0.0342    1.08   38.00    1.10   32.83    0.7400   36.76000   -1.30200 9000.000
    92  771.68    2.348   15.18   73.0    2.6446    0.0343    1.11   28.00    1.10   32.83    0.7400   36.76000   -1.30200 9000.000
    94  770.90    2.356   15.19   73.0    2.6829    0.0348    1.13   19.00    1.00   32.83    0.7500   36.76000   -1.30200 9000.000
    96  770.08    2.365   15.19   73.0    2.6829    0.0348    1.15    9.00    1.00   32.83    0.7500   36.76000   -1.30200 9000.000
    98  769.08    2.376   15.24   73.0    2.7213    0.0354    1.18  359.00    1.00   32.83    0.7600   36.76000   -1.30200 9000.000
   100  768.01    2.388   15.56   72.0    2.7596    0.0359    1.21  349.00    0.90   32.83    0.7700   36.76000   -1.30200 9000.000
   102  766.88    2.401   15.76   71.0    2.7597    0.0360    1.24  339.00    1.00   32.84    0.7700   36.76000   -1.30200 9000.000
   104  765.70    2.414   15.74   70.0    2.7980    0.0365    1.27  330.00    1.00   32.84    0.7800   36.76000   -1.30200 9000.000
   106  764.60    2.426   15.66   70.0    2.7981    0.0366    1.30  323.00    1.10   32.85    0.7800   36.76000   -1.30200 9000.000
   108  763.49    2.439   15.62   70.0    2.8365    0.0372    1.34  318.00    1.10   32.86    0.7900   36.76000   -1.30200 9000.000
   110  762.35    2.451   15.53   69.0    2.8365    0.0372    1.37  315.00    1.20   32.86    0.7900   36.76000   -1.30200 9000.000
   112  761.30    2.463   15.43   69.0    2.8366    0.0373    1.40  314.00    1.30   32.87    0.7900   36.76000   -1.30200 9000.000
   114  760.29    2.474   15.36   69.0    2.8367    0.0373    1.43  314.00    1.40   32.88    0.7900   36.76000   -1.30200 9000.000
   116  759.29    2.486   15.26   69.0    2.8750    0.0379    1.46  315.00    1.40   32.88    0.8000   36.76000   -1.30200 9000.000
   118  758.30    2.497   15.23   69.0    2.8750    0.0379    1.49  317.00    1.50   32.88    0.8000   36.76000   -1.30200 9000.000
   120  757.47    2.506   15.29   68.0    2.8751    0.0380    1.52  319.00    1.50   32.89    0.8000   36.76000   -1.30200 9000.000
   122  756.82    2.513   15.33   67.0    2.9135    0.0385    1.53  321.00    1.60   32.89    0.8100   36.76000   -1.30200 9000.000
   124  756.03    2.522   15.29   67.0    2.9136    0.0385    1.56  322.00    1.60   32.90    0.8100   36.76000   -1.30200 9000.000
   126  755.07    2.533   15.27   67.0    2.9136    0.0386    1.59  324.00    1.60   32.90    0.8100   36.76000   -1.30200 9000.000
   128  754.02    2.545   15.31   66.0    2.9519    0.0391    1.62  325.00    1.60   32.90    0.8200   36.76000   -1.30200 9000.000
   130  752.87    2.558   15.37   64.0    2.9519    0.0392    1.66  325.00    1.60   32.90    0.8200   36.76000   -1.30200 9000.000
   132  751.65    2.571   15.33   63.0    2.9902    0.0398    1.69  326.00    1.70   32.90    0.8300   36.76000   -1.30200 9000.000
   134  750.51    2.584   15.24   63.0    2.9902    0.0398    1.73  326.00    1.70   32.90    0.8300   36.76000   -1.30200 9000.000
   136  749.58    2.595   15.21   63.0    2.9902    0.0399    1.76  327.00    1.70   32.90    0.8300   36.76000   -1.30200 9000.000
   138  748.71    2.605   15.19   63.0    2.9902    0.0399    1.79  327.00    1.80   32.90    0.8300   36.76000   -1.30200 9000.000
   140  747.77    2.615   15.30   62.0    2.9902    0.0400    1.82  328.00    1.80   32.90    0.8300   36.76100   -1.30200 9000.000
   142  746.94    2.625   15.39   61.0    2.9901    0.0400    1.84  329.00    1.90   32.89    0.8300   36.76100   -1.30200 9000.000
   144  746.11    2.634   15.41   61.0    3.0284    0.0406    1.87  330.00    1.90   32.88    0.8400   36.76100   -1.30200 9000.000
   146  745.21    2.644   15.39   60.0    3.0283    0.0406    1.90  332.00    1.90   32.87    0.8400   36.76100   -1.30200 9000.000
   148  744.36    2.654   15.36   60.0    3.0666    0.0412    1.93  333.00    1.90   32.87    0.8500   36.76000   -1.30200 9000.000
   150  743.59    2.663   15.29   60.0    3.0666    0.0412    1.95  335.00    1.90   32.87    0.8500   36.76100   -1.30200 9000.000
   152  742.84    2.671   15.19   60.0    3.0666    0.0413    1.97  337.00    1.90   32.87    0.8500   36.76100   -1.30300 9000.000
   154  742.07    2.680   15.09   60.0    3.0666    0.0413    2.00  339.00    1.80   32.87    0.8500   36.76100   -1.30300 9000.000
   156  741.17    2.691   15.02   60.0    3.1050    0.0419    2.03  341.00    1.70   32.88    0.8600   36.76100   -1.30300 9000.000
   158  740.20    2.702   14.97   60.0    3.1051    0.0419    2.06  344.00    1.60   32.89    0.8600   36.76100   -1.30300 9000.000
   160  739.30    2.712   14.93   61.0    3.1051    0.0420    2.09  346.00    1.50   32.89    0.8600   36.76100   -1.30300 9000.000
   162  738.61    2.720   14.93   60.0    3.1053    0.0420    2.11  349.00    1.40   32.91    0.8600   36.76100   -1.30300 9000.000
   164  737.94    2.727   14.87   60.0    3.1053    0.0421    2.14  353.00    1.40   32.91    0.8600   36.76100   -1.30300 9000.000
   166  737.14    2.737   14.74   60.0    3.1438    0.0426    2.16  356.00    1.30   32.92    0.8700   36.76100   -1.30300 9000.000
   168  736.14    2.748   14.61   60.0    3.1439    0.0427    2.20  358.00    1.30   32.93    0.8700   36.76100   -1.30300 9000.000
   170  734.96    2.762   14.48   61.0    3.1440    0.0428    2.24  359.00    1.40   32.94    0.8700   36.76100   -1.30300 9000.000
   172  733.80    2.775   14.38   61.0    3.1440    0.0428    2.28  360.00    1.50   32.94    0.8700   36.76100   -1.30300 9000.000
   174  732.81    2.787   14.32   61.0    3.1440    0.0429    2.31  359.00    1.70   32.94    0.8700   36.76100   -1.30300 9000.000
   176  732.06    2.795   14.29   62.0    3.1441    0.0429    2.33  358.00    1.90   32.95    0.8700   36.76100   -1.30300 9000.000
   178  731.44    2.802   14.25   61.0    3.1441    0.0430    2.36  356.00    2.10   32.95    0.8700   36.76100   -1.30300 9000.000
   180  730.79    2.810   14.15   62.0    3.1441    0.0430    2.38  354.00    2.30   32.95    0.8700   36.76100   -1.30300 9000.000
   182  730.02    2.819   14.04   62.0    3.1441    0.0431    2.40  352.00    2.60   32.95    0.8700   36.76100   -1.30300 9000.000
   184  729.18    2.829   13.97   62.0    3.1441    0.0431    2.43  350.00    2.80   32.95    0.8700   36.76000   -1.30300 9000.000
   186  728.41    2.838   13.88   62.0    3.1442    0.0432    2.46  348.00    3.00   32.96    0.8700   36.76100   -1.30300 9000.000
   188  727.61    2.847   13.77   62.0    3.1442    0.0432    2.49  347.00    3.10   32.96    0.8700   36.76100   -1.30300 9000.000
   190  726.76    2.857   13.68   63.0    3.1443    0.0433    2.52  345.00    3.20   32.97    0.8700   36.76100   -1.30300 9000.000
   192  725.97    2.866   13.61   63.0    3.1443    0.0433    2.54  344.00    3.20   32.97    0.8700   36.76100   -1.30300 9000.000
   194  725.15    2.875   13.55   63.0    3.1442    0.0434    2.57  343.00    3.10   32.96    0.8700   36.76100   -1.30300 9000.000
   196  724.19    2.886   13.42   64.0    3.1442    0.0434    2.60  342.00    3.10   32.96    0.8700   36.76100   -1.30400 9000.000
   198  723.26    2.897   13.30   64.0    3.1443    0.0435    2.64  341.00    2.90   32.97    0.8700   36.76100   -1.30400 9000.000
