36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20120926
Launch Time (UT)                  : 08:39:45
Burst Pressure (hPa)              : 8.27
Integrated O3 to end of data (DU) : 210.77
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : H0733011
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z21108
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.90    1.800   20.40   59.0    3.5618    0.0432    0.00  180.00    4.50   34.58    0.9700   36.75900   -1.30200 9000.000
     2  823.83    1.811   20.28   43.0    3.5619    0.0432    0.04  148.00    1.50   34.59    0.9700   36.75900   -1.30200 9000.000
     4  822.84    1.822   20.14   46.0    3.6007    0.0438    0.07  143.00    1.40   34.60    0.9800   36.75900   -1.30200 9000.000
     6  821.77    1.833   19.99   49.0    3.6394    0.0443    0.11  141.00    1.70   34.60    0.9900   36.75900   -1.30200 9000.000
     8  820.58    1.845   19.92   50.0    3.6394    0.0444    0.15  139.00    1.80   34.60    0.9900   36.75900   -1.30200 9000.000
    10  819.36    1.858   19.77   51.0    3.6394    0.0444    0.19  137.00    1.90   34.60    0.9900   36.75900   -1.30100 9000.000
    12  818.34    1.869   19.50   52.0    3.6396    0.0445    0.23  136.00    2.10   34.61    0.9900   36.75900   -1.30100 9000.000
    14  817.53    1.877   19.30   52.0    3.6783    0.0450    0.26  136.00    2.20   34.61    1.0000   36.75900   -1.30200 9000.000
    16  816.69    1.886   19.12   52.0    3.6783    0.0450    0.29  136.00    2.30   34.61    1.0000   36.75900   -1.30200 9000.000
    18  815.98    1.894   19.02   53.0    3.6783    0.0451    0.31  137.00    2.40   34.61    1.0000   36.75900   -1.30200 9000.000
    20  815.31    1.901   19.02   54.0    3.6783    0.0451    0.34  139.00    2.40   34.61    1.0000   36.75900   -1.30200 9000.000
    22  814.53    1.909   18.95   55.0    3.7170    0.0456    0.36  141.00    2.50   34.61    1.0100   36.75900   -1.30100 9000.000
    24  813.51    1.920   18.82   54.0    3.7556    0.0462    0.40  143.00    2.60   34.60    1.0200   36.75900   -1.30100 9000.000
    26  812.32    1.932   18.61   54.0    3.7943    0.0467    0.44  145.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    28  811.08    1.946   18.44   55.0    3.7943    0.0468    0.49  147.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    30  809.88    1.958   18.29   56.0    3.7943    0.0469    0.53  148.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    32  808.83    1.969   18.13   55.0    3.7943    0.0469    0.57  148.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    34  807.71    1.981   17.88   55.0    3.7943    0.0470    0.61  148.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    36  806.60    1.993   17.83   57.0    3.7943    0.0470    0.66  147.00    2.60   34.60    1.0300   36.75900   -1.30100 9000.000
    38  805.70    2.003   18.05   57.0    3.7944    0.0471    0.69  146.00    2.60   34.61    1.0300   36.75900   -1.30100 9000.000
    40  804.97    2.010   17.91   56.0    3.8332    0.0476    0.72  144.00    2.70   34.61    1.0400   36.75900   -1.30100 9000.000
    42  804.04    2.020   17.61   56.0    3.8332    0.0477    0.75  141.00    2.70   34.61    1.0400   36.75900   -1.30100 9000.000
    44  802.90    2.032   17.46   57.0    3.8717    0.0482    0.79  139.00    2.80   34.60    1.0500   36.75900   -1.30100 9000.000
    46  801.68    2.045   17.29   57.0    3.8717    0.0483    0.84  138.00    2.90   34.60    1.0500   36.75800   -1.30100 9000.000
    48  800.39    2.059   17.07   57.0    3.8717    0.0484    0.89  136.00    3.00   34.60    1.0500   36.75800   -1.30100 9000.000
    50  799.06    2.073   16.93   58.0    3.8717    0.0485    0.94  135.00    3.20   34.60    1.0500   36.75800   -1.30100 9000.000
    52  797.84    2.086   16.90   59.0    3.8719    0.0485    0.99  135.00    3.40   34.61    1.0500   36.75800   -1.30100 9000.000
    54  796.76    2.098   16.86   59.0    3.8720    0.0486    1.03  135.00    3.50   34.62    1.0500   36.75800   -1.30100 9000.000
    56  795.58    2.111   16.83   59.0    3.8720    0.0487    1.07  135.00    3.70   34.62    1.0500   36.75800   -1.30100 9000.000
    58  794.19    2.125   16.70   59.0    3.8720    0.0488    1.13  134.00    3.80   34.62    1.0500   36.75800   -1.30100 9000.000
    60  792.85    2.140   16.59   59.0    3.8720    0.0488    1.18  134.00    4.00   34.62    1.0500   36.75800   -1.30100 9000.000
    62  791.61    2.153   16.48   59.0    3.8721    0.0489    1.23  134.00    4.10   34.63    1.0500   36.75800   -1.30100 9000.000
    64  790.25    2.168   16.29   60.0    3.8721    0.0490    1.28  133.00    4.10   34.63    1.0500   36.75800   -1.30100 9000.000
    66  788.79    2.184   16.03   61.0    3.8723    0.0491    1.34  131.00    4.20   34.64    1.0500   36.75800   -1.30100 9000.000
    68  787.40    2.199   15.73   62.0    3.8723    0.0492    1.39  129.00    4.30   34.64    1.0500   36.75800   -1.30100 9000.000
    70  786.15    2.212   15.57   63.0    3.8724    0.0493    1.44  128.00    4.30   34.65    1.0500   36.75800   -1.30000 9000.000
    72  785.09    2.224   15.47   63.0    3.8725    0.0493    1.48  126.00    4.30   34.66    1.0500   36.75800   -1.30000 9000.000
    74  784.02    2.235   15.46   63.0    3.8725    0.0494    1.52  123.00    4.40   34.66    1.0500   36.75800   -1.30000 9000.000
    76  783.03    2.246   15.49   61.0    3.8725    0.0495    1.56  121.00    4.40   34.66    1.0500   36.75800   -1.30000 9000.000
    78  782.10    2.256   15.46   59.0    3.8726    0.0495    1.60  120.00    4.50   34.67    1.0500   36.75800   -1.30000 9000.000
    80  781.21    2.266   15.33   60.0    3.8726    0.0496    1.63  119.00    4.60   34.67    1.0500   36.75700   -1.30000 9000.000
    82  780.04    2.278   15.12   62.0    3.8726    0.0496    1.68  118.00    4.60   34.67    1.0500   36.75700   -1.30000 9000.000
    84  778.64    2.294   14.88   64.0    3.9115    0.0502    1.73  118.00    4.70   34.68    1.0600   36.75700   -1.30000 9000.000
    86  777.22    2.309   14.72   65.0    3.9115    0.0503    1.79  118.00    4.80   34.68    1.0600   36.75700   -1.30000 9000.000
    88  775.97    2.323   14.66   65.0    3.9116    0.0504    1.84  120.00    4.90   34.69    1.0600   36.75700   -1.30000 9000.000
    90  774.91    2.334   14.64   64.0    3.8729    0.0500    1.88  121.00    5.10   34.69    1.0500   36.75700   -1.30000 9000.000
    92  773.82    2.346   14.51   63.0    3.8730    0.0501    1.92  123.00    5.20   34.70    1.0500   36.75700   -1.30000 9000.000
    94  772.75    2.358   14.41   62.0    3.8731    0.0501    1.97  125.00    5.30   34.71    1.0500   36.75700   -1.30000 9000.000
    96  771.69    2.369   14.31   62.0    3.9119    0.0507    2.01  127.00    5.40   34.71    1.0600   36.75700   -1.30000 9000.000
    98  770.64    2.381   14.13   63.0    3.9120    0.0508    2.05  129.00    5.50   34.72    1.0600   36.75700   -1.30000 9000.000
   100  769.56    2.393   13.97   64.0    3.9120    0.0508    2.09  131.00    5.60   34.72    1.0600   36.75700   -1.30000 9000.000
   102  768.35    2.406   13.91   64.0    3.9121    0.0509    2.14  132.00    5.70   34.73    1.0600   36.75700   -1.30000 9000.000
   104  767.10    2.420   13.79   64.0    3.9509    0.0515    2.19  134.00    5.70   34.73    1.0700   36.75700   -1.30000 9000.000
   106  765.79    2.434   13.63   65.0    3.9510    0.0516    2.25  135.00    5.70   34.74    1.0700   36.75700   -1.29900 9000.000
   108  764.52    2.448   13.50   65.0    3.9510    0.0517    2.30  136.00    5.70   34.74    1.0700   36.75700   -1.29900 9000.000
