36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20121108
Launch Time (UT)                  : 07:53:23
Burst Pressure (hPa)              : 6.87
Integrated O3 to end of data (DU) : 221.38
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : G2534049
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z21102
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.10    1.800   19.00   74.0    2.6146    0.0317    0.00   90.00    1.50   37.02    0.7000   36.75900   -1.30200 9000.000
     2  823.09    1.811   19.12   58.0    2.6147    0.0318    0.03   72.00    2.00   37.03    0.7000 9000.00000   -1.30200 9000.000
     4  821.88    1.823   18.99   59.0    2.6549    0.0323    0.06   70.00    2.20   37.03    0.7100   36.75900   -1.30200 9000.000
     6  820.67    1.836   18.89   62.0    2.6549    0.0324    0.09   71.00    2.40   37.03    0.7100   36.75900   -1.30200 9000.000
     8  819.48    1.848   18.84   64.0    2.6549    0.0324    0.12   71.00    2.60   37.03    0.7100   36.75900   -1.30200 9000.000
    10  818.36    1.860   18.79   65.0    2.6951    0.0329    0.15   71.00    2.70   37.02    0.7200   36.75900   -1.30200 9000.000
    12  817.20    1.872   18.60   66.0    2.6950    0.0330    0.18   71.00    2.90   37.01    0.7200   36.75900   -1.30200 9000.000
    14  815.89    1.886   18.34   67.0    2.6950    0.0330    0.21   71.00    3.00   37.01    0.7200   36.75900   -1.30200 9000.000
    16  814.63    1.899   18.15   67.0    2.7352    0.0336    0.24   71.00    3.10   37.01    0.7300   36.75900   -1.30200 9000.000
    18  813.45    1.912   18.03   67.0    2.7351    0.0336    0.27   71.00    3.20   37.00    0.7300   36.75900   -1.30200 9000.000
    20  812.09    1.926   17.91   68.0    2.7351    0.0337    0.31   72.00    3.30   37.00    0.7300   36.75900   -1.30200 9000.000
    22  810.57    1.942   17.80   69.0    2.7752    0.0342    0.35   72.00    3.40   36.99    0.7400   36.75800   -1.30200 9000.000
    24  809.05    1.958   17.71   71.0    2.8154    0.0348    0.39   72.00    3.50   36.98    0.7500   36.75800   -1.30200 9000.000
    26  807.69    1.973   17.54   72.0    2.8154    0.0349    0.43   72.00    3.50   36.98    0.7500   36.75800   -1.30200 9000.000
    28  806.50    1.985   17.30   72.0    2.8154    0.0349    0.46   72.00    3.60   36.98    0.7500   36.75800   -1.30200 9000.000
    30  805.32    1.998   17.11   72.0    2.8155    0.0350    0.50   72.00    3.70   36.99    0.7500   36.75800   -1.30200 9000.000
    32  804.10    2.011   16.94   73.0    2.8155    0.0350    0.53   72.00    3.80   37.00    0.7500   36.75800   -1.30200 9000.000
    34  802.80    2.025   16.82   74.0    2.8558    0.0356    0.57   72.00    3.80   37.00    0.7600   36.75800   -1.30200 9000.000
    36  801.49    2.039   16.75   74.0    2.8558    0.0356    0.60   71.00    3.90   37.00    0.7600   36.75800   -1.30200 9000.000
    38  800.20    2.052   16.70   75.0    2.8558    0.0357    0.64   70.00    4.00   37.00    0.7600   36.75800   -1.30200 9000.000
    40  798.85    2.067   16.55   76.0    2.8559    0.0357    0.68   69.00    4.00   37.01    0.7600   36.75800   -1.30200 9000.000
    42  797.57    2.080   16.40   76.0    2.8559    0.0358    0.71   68.00    4.10   37.01    0.7600   36.75800   -1.30200 9000.000
    44  796.37    2.093   16.32   77.0    2.8559    0.0359    0.75   67.00    4.20   37.01    0.7600   36.75800   -1.30200 9000.000
    46  795.10    2.107   16.19   77.0    2.8559    0.0359    0.78   66.00    4.30   37.01    0.7600   36.75800   -1.30200 9000.000
    48  793.86    2.120   16.05   78.0    2.8558    0.0360    0.82   65.00    4.30   37.00    0.7600   36.75800   -1.30200 9000.000
    50  792.57    2.134   15.88   78.0    2.8556    0.0360    0.86   64.00    4.40   36.98    0.7600   36.75700   -1.30200 9000.000
    52  791.18    2.149   15.70   79.0    2.8555    0.0361    0.89   63.00    4.40   36.97    0.7600   36.75700   -1.30200 9000.000
    54  789.77    2.164   15.58   79.0    2.8555    0.0362    0.93   62.00    4.40   36.97    0.7600   36.75700   -1.30200 9000.000
    56  788.59    2.177   15.46   78.0    2.8553    0.0362    0.97   61.00    4.40   36.95    0.7600   36.75700   -1.30200 9000.000
    58  787.85    2.185   15.37   77.0    2.8553    0.0362    0.99   60.00    4.30   36.95    0.7600   36.75700   -1.30300 9000.000
    60  787.05    2.194   15.35   75.0    2.8553    0.0363    1.01   59.00    4.20   36.95    0.7600   36.75700   -1.30300 9000.000
    62  786.03    2.205   15.21   76.0    2.8553    0.0363    1.04   58.00    4.00   36.95    0.7600   36.75700   -1.30300 9000.000
    64  784.97    2.216   15.07   77.0    2.8554    0.0364    1.07   57.00    3.80   36.96    0.7600   36.75700   -1.30300 9000.000
    66  784.02    2.226   15.04   76.0    2.8555    0.0364    1.10   57.00    3.60   36.97    0.7600   36.75700   -1.30300 9000.000
    68  783.24    2.235   15.01   76.0    2.8958    0.0370    1.12   56.00    3.40   36.98    0.7700   36.75700   -1.30300 9000.000
    70  782.32    2.245   14.90   77.0    2.8959    0.0370    1.15   56.00    3.20   36.99    0.7700   36.75700   -1.30300 9000.000
    72  781.17    2.257   14.81   76.0    2.8958    0.0371    1.18   57.00    2.90   36.98    0.7700   36.75700   -1.30300 9000.000
    74  780.04    2.270   14.71   75.0    2.8957    0.0371    1.22   58.00    2.70   36.97    0.7700   36.75700   -1.30300 9000.000
