36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20131106
Launch Time (UT)                  : 08:16:32
Burst Pressure (hPa)              : 9.26
Integrated O3 to end of data (DU) : 219.35
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : H4443663
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z21042
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.500
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.60    1.800   17.00   67.0    1.8259    0.0221    0.00   90.00    2.00   32.51    0.5200   36.75900   -1.30200 9000.000
     2  822.74    1.819   19.66 9000.0    1.8261    0.0222    0.03   57.00    3.30   32.53    0.5200   36.75900   -1.30200 9000.000
     4  821.61    1.831   19.95   56.0    1.8261    0.0222    0.05   54.00    3.80   32.53    0.5200   36.75900   -1.30200 9000.000
     6  820.57    1.842   19.78   59.0    1.8649    0.0227    0.07   57.00    4.10   32.53    0.5300   36.75900   -1.30200 9000.000
     8  819.47    1.854   19.54   60.0    1.8649    0.0228    0.09   58.00    4.40   32.53    0.5300   36.75900   -1.30200 9000.000
    10  818.35    1.865   19.41   61.0    1.8649    0.0228    0.11   59.00    4.80   32.53    0.5300   36.75900   -1.30200 9000.000
    12  817.32    1.876   19.29   62.0    1.9038    0.0233    0.13   61.00    5.00   32.53    0.5400   36.75900   -1.30200 9000.000
    14  816.32    1.887   19.16   62.0    1.9038    0.0233    0.15   62.00    5.20   32.53    0.5400   36.75800   -1.30200 9000.000
    16  815.21    1.899   19.05   63.0    1.9426    0.0238    0.17   64.00    5.40   32.53    0.5500   36.75800   -1.30200 9000.000
    18  814.11    1.910   18.89   64.0    1.9427    0.0239    0.19   66.00    5.50   32.54    0.5500   36.75800   -1.30200 9000.000
    20  813.07    1.921   18.71   64.0    1.9427    0.0239    0.21   67.00    5.60   32.54    0.5500   36.75800   -1.30200 9000.000
    22  812.08    1.932   18.52   65.0    1.9816    0.0244    0.23   69.00    5.60   32.55    0.5600   36.75800   -1.30200 9000.000
    24  810.99    1.943   18.24   66.0    1.9816    0.0244    0.25   71.00    5.60   32.55    0.5600   36.75800   -1.30300 9000.000
    26  809.90    1.955   18.08   66.0    2.0205    0.0249    0.27   72.00    5.50   32.56    0.5700   36.75800   -1.30300 9000.000
    28  808.74    1.967   18.03   67.0    2.0206    0.0250    0.29   74.00    5.40   32.58    0.5700   36.75800   -1.30300 9000.000
    30  807.56    1.980   17.88   67.0    2.0596    0.0255    0.32   75.00    5.30   32.59    0.5800   36.75800   -1.30300 9000.000
    32  806.37    1.992   17.75   68.0    2.0596    0.0255    0.34   76.00    5.20   32.60    0.5800   36.75800   -1.30300 9000.000
    34  805.23    2.004   17.67   68.0    2.0987    0.0261    0.36   77.00    5.00   32.63    0.5900   36.75700   -1.30300 9000.000
    36  804.22    2.015   17.63   68.0    2.0988    0.0261    0.38   78.00    4.90   32.65    0.5900   36.75700   -1.30300 9000.000
    38  803.26    2.025   17.62   68.0    2.0989    0.0261    0.40   78.00    4.80   32.66    0.5900   36.75700   -1.30300 9000.000
    40  802.25    2.036   17.50   68.0    2.1379    0.0266    0.43   79.00    4.60   32.68    0.6000   36.75700   -1.30300 9000.000
    42  801.12    2.048   17.37   68.0    2.1379    0.0267    0.45   79.00    4.50   32.68    0.6000   36.75700   -1.30300 9000.000
    44  800.02    2.060   17.37   69.0    2.1380    0.0267    0.47   80.00    4.40   32.69    0.6000   36.75700   -1.30300 9000.000
    46  798.98    2.071   17.29   69.0    2.1381    0.0268    0.49   81.00    4.40   32.71    0.6000   36.75700   -1.30300 9000.000
    48  797.95    2.082   17.12   69.0    2.1383    0.0268    0.52   82.00    4.30   32.73    0.6000   36.75700   -1.30300 9000.000
    50  796.90    2.093   17.04   70.0    2.1771    0.0273    0.54   83.00    4.30   32.73    0.6100   36.75700   -1.30300 9000.000
    52  795.73    2.106   17.05   70.0    2.1772    0.0274    0.56   84.00    4.20   32.74    0.6100   36.75700   -1.30300 9000.000
    54  794.50    2.119   16.97   71.0    2.1774    0.0274    0.59   86.00    4.20   32.76    0.6100   36.75700   -1.30300 9000.000
    56  793.34    2.132   16.93   71.0    2.1774    0.0274    0.62   88.00    4.10   32.77    0.6100   36.75700   -1.30300 9000.000
    58  792.23    2.144   16.79   71.0    2.1776    0.0275    0.64   90.00    4.10   32.80    0.6100   36.75700   -1.30300 9000.000
    60  791.03    2.157   16.41   71.0    2.1778    0.0275    0.67   92.00    4.00   32.82    0.6100   36.75700   -1.30300 9000.000
    62  789.79    2.170   16.12   72.0    2.1779    0.0276    0.69   93.00    4.00   32.83    0.6100   36.75600   -1.30300 9000.000
    64  788.65    2.182   15.95   72.0    2.1780    0.0276    0.72   95.00    3.90   32.85    0.6100   36.75600   -1.30300 9000.000
    66  787.60    2.194   15.97   72.0    2.1781    0.0277    0.74   96.00    3.80   32.87    0.6100   36.75600   -1.30300 9000.000
    68  786.64    2.204   15.89   72.0    2.1783    0.0277    0.76   97.00    3.70   32.89    0.6100   36.75600   -1.30300 9000.000
    70  785.61    2.215   15.58   72.0    2.2173    0.0282    0.78   97.00    3.60   32.90    0.6200   36.75600   -1.30300 9000.000
    72  784.47    2.227   15.40   73.0    2.2173    0.0283    0.81   97.00    3.50   32.91    0.6200   36.75600   -1.30300 9000.000
    74  783.39    2.239   15.38   73.0    2.2175    0.0283    0.83   97.00    3.40   32.93    0.6200   36.75600   -1.30300 9000.000
    76  782.41    2.250   15.30   73.0    2.2176    0.0283    0.86   97.00    3.30   32.95    0.6200   36.75600   -1.30300 9000.000
    78  781.49    2.260   15.16   74.0    2.2178    0.0284    0.88   96.00    3.20   32.98    0.6200   36.75600   -1.30300 9000.000
    80  780.45    2.271   15.03   74.0    2.2179    0.0284    0.90   95.00    3.10   32.99    0.6200   36.75600   -1.30300 9000.000
    82  779.38    2.283   14.87   75.0    2.2181    0.0285    0.92   94.00    3.10   33.01    0.6200   36.75600   -1.30300 9000.000
    84  778.40    2.293   14.75   75.0    2.2183    0.0285    0.95   94.00    3.10   33.04    0.6200   36.75600   -1.30300 9000.000
    86  777.44    2.304   14.65   76.0    2.2185    0.0285    0.97   93.00    3.10   33.07    0.6200   36.75600   -1.30300 9000.000
    88  776.50    2.314   14.57   77.0    2.2186    0.0286    0.99   93.00    3.10   33.08    0.6200   36.75600   -1.30300 9000.000
    90  775.60    2.324   14.52   77.0    2.2188    0.0286    1.01   92.00    3.10   33.11    0.6200   36.75600   -1.30300 9000.000
    92  774.59    2.335   14.40   77.0    2.2578    0.0291    1.03   92.00    3.10   33.12    0.6300   36.75600   -1.30300 9000.000
    94  773.48    2.347   14.21   78.0    2.2581    0.0292    1.06   92.00    3.20   33.16    0.6300   36.75600   -1.30300 9000.000
    96  772.40    2.359   14.10   79.0    2.2581    0.0292    1.08   92.00    3.30   33.17    0.6300   36.75600   -1.30300 9000.000
    98  771.37    2.370   14.03   80.0    2.2582    0.0293    1.11   92.00    3.30   33.18    0.6300   36.75500   -1.30300 9000.000
   100  770.46    2.380   13.96   80.0    2.2584    0.0293    1.13   91.00    3.40   33.20    0.6300   36.75500   -1.30300 9000.000
   102  769.60    2.390   13.89   79.0    2.2586    0.0293    1.15   91.00    3.50   33.23    0.6300   36.75500   -1.30300 9000.000
   104  768.81    2.398   13.85   79.0    2.2587    0.0294    1.17   91.00    3.60   33.25    0.6300   36.75500   -1.30300 9000.000
   106  768.21    2.405   13.76   80.0    2.2588    0.0294    1.18   91.00    3.70   33.26    0.6300   36.75500   -1.30300 9000.000
   108  767.49    2.413   13.60   80.0    2.2590    0.0294    1.20   90.00    3.80   33.28    0.6300   36.75500   -1.30300 9000.000
   110  766.58    2.423   13.46   80.0    2.2592    0.0295    1.22   90.00    3.90   33.32    0.6300   36.75500   -1.30300 9000.000
   112  765.81    2.431   13.43   79.0    2.2593    0.0295    1.23   90.00    4.00   33.33    0.6300   36.75500   -1.30300 9000.000
   114  765.14    2.439   13.39   79.0    2.2595    0.0295    1.25   89.00    4.10   33.35    0.6300   36.75500   -1.30300 9000.000
   116  764.31    2.448   13.28   80.0    2.2595    0.0296    1.27   89.00    4.20   33.36    0.6300   36.75500   -1.30300 9000.000
   118  763.22    2.460   13.13   81.0    2.2597    0.0296    1.30   88.00    4.30   33.38    0.6300   36.75500   -1.30300 9000.000
   120  762.11    2.472   13.02   82.0    2.2598    0.0297    1.32   88.00    4.40   33.40    0.6300   36.75500   -1.30300 9000.000
   122  760.91    2.486   12.90   82.0    2.2601    0.0297    1.35   87.00    4.50   33.43    0.6300   36.75500   -1.30300 9000.000
   124  759.60    2.500   12.72   84.0    2.2602    0.0298    1.38   86.00    4.70   33.45    0.6300   36.75500   -1.30300 9000.000
   126  758.24    2.515   12.54   86.0    2.2603    0.0298    1.41   85.00    4.80   33.46    0.6300   36.75500   -1.30300 9000.000
   128  756.94    2.530   12.40   86.0    2.2604    0.0299    1.44   85.00    4.90   33.47    0.6300   36.75400   -1.30300 9000.000
   130  755.92    2.541   12.31   86.0    2.2606    0.0299    1.47   84.00    5.10   33.51    0.6300   36.75400   -1.30300 9000.000
   132  754.99    2.551   12.27   86.0    2.2606    0.0299    1.49   84.00    5.20   33.51    0.6300   36.75400   -1.30300 9000.000
   134  754.05    2.562   12.25   86.0    2.2606    0.0300    1.51   83.00    5.30   33.51    0.6300   36.75400   -1.30300 9000.000
   136  753.16    2.572   12.40   83.0    2.2217    0.0295    1.53   83.00    5.40   33.52    0.6200   36.75400   -1.30300 9000.000
   138  752.41    2.580   12.59   79.0    2.2218    0.0295    1.55   83.00    5.50   33.53    0.6200   36.75400   -1.30300 9000.000
   140  751.67    2.588   12.65   74.0    2.2219    0.0296    1.57   83.00    5.60   33.54    0.6200   36.75400   -1.30300 9000.000
   142  750.94    2.596   12.66   71.0    2.1829    0.0291    1.58   83.00    5.60   33.54    0.6100   36.75400   -1.30300 9000.000
   144  750.20    2.605   12.66   70.0    2.1830    0.0291    1.60   83.00    5.60   33.55    0.6100   36.75400   -1.30300 9000.000
   146  749.37    2.614   12.57   70.0    2.1442    0.0286    1.62   83.00    5.60   33.58    0.6000   36.75400   -1.30300 9000.000
   148  748.47    2.624   12.40   71.0    2.1053    0.0281    1.64   84.00    5.60   33.59    0.5900   36.75300   -1.30300 9000.000
