36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150218
Launch Time (UT)                  : 07:34:34
Burst Pressure (hPa)              : 10.30
Integrated O3 to end of data (DU) : 173.17
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123197
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25519
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.10    1.800   21.30   66.0    2.9271    0.0355    0.00    0.00    0.00   36.52    0.7600   36.75900   -1.30200 9000.000
     2  823.07    1.811   20.47   62.0    2.9684    0.0361    0.03  120.00    1.00   36.52    0.7700   36.75900   -1.30200 9000.000
     4  822.15    1.821   20.20   61.0    3.0097    0.0366    0.06  136.00    1.40   36.53    0.7800   36.75900   -1.30200 9000.000
     6  821.26    1.830   20.05   62.0    3.0097    0.0366    0.08  130.00    1.60   36.53    0.7800   36.75900   -1.30200 9000.000
     8  820.41    1.839   19.96   63.0    3.0098    0.0367    0.11  128.00    1.80   36.54    0.7800   36.75900   -1.30200 9000.000
    10  819.71    1.846   19.81   63.0    3.0510    0.0372    0.13  127.00    2.00   36.54    0.7900   36.75900   -1.30200 9000.000
    12  818.91    1.855   19.69   64.0    3.0922    0.0378    0.15  125.00    2.20   36.54    0.8000   36.75900   -1.30200 9000.000
    14  817.96    1.865   19.58   64.0    3.0922    0.0378    0.18  124.00    2.40   36.54    0.8000   36.75900   -1.30200 9000.000
    16  816.91    1.876   19.45   65.0    3.1335    0.0384    0.21  123.00    2.50   36.54    0.8100   36.75900   -1.30200 9000.000
    18  815.80    1.887   19.33   66.0    3.1335    0.0384    0.24  121.00    2.70   36.54    0.8100   36.75900   -1.30200 9000.000
    20  814.73    1.899   19.24   66.0    3.1335    0.0385    0.28  120.00    2.80   36.54    0.8100   36.75900   -1.30200 9000.000
    22  813.80    1.909   19.17   67.0    3.1747    0.0390    0.30  118.00    2.90   36.54    0.8200   36.75900   -1.30100 9000.000
    24  812.84    1.919   19.09   67.0    3.1747    0.0391    0.33  116.00    2.90   36.54    0.8200   36.75900   -1.30100 9000.000
    26  811.78    1.930   19.01   67.0    3.1747    0.0391    0.37  115.00    3.00   36.54    0.8200   36.75900   -1.30100 9000.000
    28  810.62    1.942   18.89   68.0    3.1747    0.0392    0.40  113.00    3.00   36.54    0.8200   36.75900   -1.30100 9000.000
    30  809.42    1.955   18.75   68.0    3.2159    0.0397    0.44  111.00    3.00   36.54    0.8300   36.75900   -1.30100 9000.000
    32  808.27    1.967   18.63   68.0    3.2159    0.0398    0.48  109.00    3.00   36.54    0.8300   36.75900   -1.30100 9000.000
    34  807.12    1.980   18.54   69.0    3.2159    0.0398    0.51  107.00    2.90   36.54    0.8300   36.75900   -1.30100 9000.000
    36  806.01    1.991   18.42   69.0    3.2159    0.0399    0.55  106.00    2.90   36.54    0.8300   36.75800   -1.30100 9000.000
    38  804.98    2.002   18.32   69.0    3.2160    0.0400    0.58  104.00    2.90   36.55    0.8300   36.75800   -1.30100 9000.000
    40  803.94    2.013   18.21   70.0    3.2161    0.0400    0.61  102.00    2.90   36.56    0.8300   36.75800   -1.30100 9000.000
    42  802.79    2.026   18.07   71.0    3.2161    0.0401    0.65  101.00    3.00   36.56    0.8300   36.75800   -1.30100 9000.000
    44  801.60    2.039   17.94   71.0    3.2161    0.0401    0.69  100.00    3.00   36.56    0.8300   36.75800   -1.30100 9000.000
    46  800.57    2.049   17.84   72.0    3.1750    0.0397    0.72   98.00    3.00   36.57    0.8200   36.75800   -1.30100 9000.000
    48  799.43    2.062   17.75   72.0    3.1750    0.0397    0.75   97.00    3.10   36.57    0.8200   36.75800   -1.30100 9000.000
    50  798.19    2.075   17.67   73.0    3.1750    0.0398    0.79   96.00    3.10   36.57    0.8200   36.75800   -1.30100 9000.000
    52  796.98    2.088   17.59   73.0    3.1750    0.0398    0.83   95.00    3.20   36.57    0.8200   36.75800   -1.30100 9000.000
    54  795.79    2.101   17.49   72.0    3.1750    0.0399    0.87   95.00    3.30   36.57    0.8200   36.75800   -1.30100 9000.000
    56  794.71    2.112   17.37   72.0    3.1750    0.0400    0.90   94.00    3.30   36.57    0.8200   36.75800   -1.30100 9000.000
    58  793.74    2.123   17.27   72.0    3.1749    0.0400    0.93   93.00    3.30   36.56    0.8200   36.75800   -1.30100 9000.000
    60  792.65    2.135   17.14   73.0    3.1337    0.0395    0.97   92.00    3.30   36.56    0.8100   36.75800   -1.30100 9000.000
    62  791.52    2.147   17.00   74.0    3.1337    0.0396    1.00   91.00    3.30   36.56    0.8100   36.75800   -1.30100 9000.000
    64  790.45    2.158   16.87   75.0    3.1337    0.0396    1.04   90.00    3.20   36.56    0.8100   36.75800   -1.30100 9000.000
    66  789.30    2.171   16.76   75.0    3.0924    0.0392    1.07   88.00    3.10   36.56    0.8000   36.75700   -1.30100 9000.000
    68  788.15    2.183   16.66   76.0    3.0924    0.0392    1.11   87.00    3.00   36.56    0.8000   36.75700   -1.30100 9000.000
    70  787.01    2.196   16.56   76.0    3.0924    0.0393    1.14   85.00    2.90   36.56    0.8000   36.75700   -1.30100 9000.000
    72  785.87    2.208   16.45   76.0    3.0924    0.0394    1.18   82.00    2.80   36.56    0.8000   36.75700   -1.30100 9000.000
    74  784.75    2.220   16.33   76.0    3.0922    0.0394    1.21   80.00    2.70   36.54    0.8000   36.75700   -1.30100 9000.000
    76  783.59    2.233   16.21   76.0    3.0922    0.0395    1.25   77.00    2.60   36.54    0.8000   36.75700   -1.30100 9000.000
    78  782.45    2.245   16.08   77.0    3.0922    0.0395    1.29   74.00    2.60   36.54    0.8000   36.75700   -1.30100 9000.000
    80  781.34    2.257   15.99   78.0    3.0922    0.0396    1.32   71.00    2.50   36.54    0.8000   36.75700   -1.30100 9000.000
    82  780.00    2.272   15.86   78.0    3.0922    0.0396    1.36   68.00    2.50   36.54    0.8000   36.75700   -1.30100 9000.000
    84  778.69    2.286   15.71   79.0    3.0510    0.0392    1.40   65.00    2.50   36.54    0.7900   36.75700   -1.30100 9000.000
    86  777.50    2.299   15.60   80.0    3.0511    0.0392    1.44   63.00    2.50   36.55    0.7900   36.75700   -1.30100 9000.000
    88  776.27    2.313   15.48   80.0    3.0510    0.0393    1.48   61.00    2.50   36.54    0.7900   36.75700   -1.30100 9000.000
    90  774.97    2.327   15.31   81.0    3.0511    0.0394    1.52   61.00    2.50   36.55    0.7900   36.75700   -1.30100 9000.000
    92  773.74    2.341   15.17   81.0    3.0511    0.0394    1.56   60.00    2.50   36.55    0.7900   36.75700   -1.30100 9000.000
    94  772.47    2.355   15.07   82.0    3.0511    0.0395    1.60   61.00    2.40   36.55    0.7900   36.75700   -1.30100 9000.000
    96  771.17    2.369   14.93   82.0    3.0512    0.0396    1.64   62.00    2.40   36.56    0.7900   36.75700   -1.30200 9000.000
    98  769.85    2.383   14.76   82.0    3.0512    0.0396    1.68   63.00    2.40   36.56    0.7900   36.75700   -1.30200 9000.000
   100  768.59    2.397   14.59   82.0    3.0513    0.0397    1.72   65.00    2.30   36.57    0.7900   36.75700   -1.30200 9000.000
   102  767.46    2.410   14.49   83.0    3.0101    0.0392    1.75   68.00    2.30   36.57    0.7800   36.75700   -1.30200 9000.000
   104  766.33    2.422   14.37   84.0    3.0101    0.0393    1.79   71.00    2.20   36.57    0.7800   36.75700   -1.30200 9000.000
   106  765.14    2.435   14.25   84.0    3.0101    0.0393    1.82   74.00    2.10   36.57    0.7800   36.75700   -1.30200 9000.000
   108  763.86    2.450   14.12   85.0    3.0101    0.0394    1.86   78.00    2.10   36.57    0.7800   36.75700   -1.30200 9000.000
   110  762.74    2.462   13.98   86.0    3.0100    0.0395    1.90   82.00    2.00   36.56    0.7800   36.75700   -1.30200 9000.000
   112  761.75    2.473   13.87   86.0    3.0100    0.0395    1.93   86.00    2.00   36.56    0.7800   36.75700   -1.30200 9000.000
