36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150513
Launch Time (UT)                  : 07:19:44
Burst Pressure (hPa)              : 7.21
Integrated O3 to end of data (DU) : 216.54
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123591
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25456
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.50    1.800   19.40   78.0    1.6794    0.0203    0.00    0.00    0.00   35.17    0.4700 9000.00000   -1.30200 9000.000
     2  824.59    1.809   18.80   64.0    1.6794    0.0204    0.01    0.00    0.30   35.18    0.4700   36.75900   -1.30200 9000.000
     4  823.36    1.822   18.51   69.0    1.7195    0.0209    0.03    0.00    0.40   35.19    0.4800   36.75900   -1.30200 9000.000
     6  822.08    1.836   18.37   72.0    1.7195    0.0209    0.06    0.00    0.50   35.20    0.4800   36.75900   -1.30200 9000.000
     8  820.89    1.848   18.24   74.0    1.7596    0.0214    0.08   37.00    0.50   35.21    0.4900   36.75900   -1.30200 9000.000
    10  819.86    1.859   18.15   76.0    1.7596    0.0215    0.09   34.00    0.50   35.22    0.4900   36.75900   -1.30200 9000.000
    12  818.97    1.868   18.15   76.0    1.7596    0.0215    0.11   33.00    0.60   35.22    0.4900   36.75900   -1.30200 9000.000
    14  818.05    1.878   18.14   76.0    1.7596    0.0215    0.12   33.00    0.60   35.22    0.4900   36.75900   -1.30200 9000.000
    16  816.89    1.890   18.03   77.0    1.7996    0.0220    0.14   35.00    0.50   35.22    0.5000   36.75900   -1.30200 9000.000
    18  815.61    1.904   17.86   78.0    1.7996    0.0221    0.17   41.00    0.50   35.22    0.5000   36.75900   -1.30200 9000.000
    20  814.34    1.917   17.63   78.0    1.8396    0.0226    0.19    0.00    0.50   35.22    0.5100   36.75900   -1.30200 9000.000
    22  813.15    1.929   17.49   79.0    1.8396    0.0226    0.21    0.00    0.50   35.22    0.5100   36.75900   -1.30200 9000.000
    24  812.18    1.940   17.41   79.0    1.8396    0.0227    0.23   74.00    0.50   35.22    0.5100   36.75900   -1.30200 9000.000
    26  811.20    1.950   17.28   79.0    1.8396    0.0227    0.24   84.00    0.60   35.22    0.5100   36.75900   -1.30200 9000.000
    28  810.11    1.962   17.17   80.0    1.8396    0.0227    0.26   90.00    0.70   35.22    0.5100   36.75900   -1.30200 9000.000
    30  808.99    1.973   17.13   81.0    1.8796    0.0232    0.28   93.00    0.90   35.22    0.5200   36.75900   -1.30200 9000.000
