36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20151209
Launch Time (UT)                  : 06:25:07
Burst Pressure (hPa)              : 7.28
Integrated O3 to end of data (DU) : 205.69
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253781
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25430
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.400
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.40    1.800   19.50 9000.0    1.9752    0.0239    0.00  110.00    3.00   32.60    0.5600   36.75900   -1.30200 9000.000
     2  824.74    1.807   19.04   62.0    1.9753    0.0240    0.01   72.00    3.30   32.61    0.5600   36.75900   -1.30200 9000.000
     4  824.01    1.814   18.63   65.0    1.9753    0.0240    0.03   66.00    3.70   32.61    0.5600   36.75900   -1.30200 9000.000
     6  822.93    1.826   18.30   68.0    1.9753    0.0240    0.05   65.00    4.00   32.61    0.5600   36.75900   -1.30200 9000.000
     8  821.83    1.837   18.18   70.0    1.9752    0.0240    0.07   62.00    4.40   32.60    0.5600   36.75900   -1.30200 9000.000
    10  820.66    1.849   18.11   71.0    1.9751    0.0241    0.09   60.00    4.60   32.58    0.5600   36.75800   -1.30200 9000.000
    12  819.39    1.863   17.99   73.0    1.9751    0.0241    0.11   58.00    4.90   32.58    0.5600   36.75800   -1.30200 9000.000
    14  818.28    1.874   17.93   74.0    2.0137    0.0246    0.14   56.00    5.10   32.57    0.5700   36.75800   -1.30200 9000.000
    16  817.16    1.886   17.87   74.0    2.0137    0.0246    0.16   55.00    5.30   32.56    0.5700   36.75800   -1.30100 9000.000
    18  815.72    1.901   17.72   75.0    2.0136    0.0247    0.19   53.00    5.40   32.55    0.5700   36.75800   -1.30100 9000.000
    20  814.21    1.917   17.58   76.0    2.0523    0.0252    0.21   52.00    5.60   32.55    0.5800   36.75800   -1.30100 9000.000
    22  812.81    1.932   17.44   75.0    2.0523    0.0252    0.24   51.00    5.60   32.55    0.5800   36.75800   -1.30100 9000.000
    24  811.35    1.947   17.26   75.0    2.0910    0.0258    0.27   51.00    5.70   32.55    0.5900   36.75800   -1.30100 9000.000
    26  809.81    1.964   17.08   77.0    2.0910    0.0258    0.30   50.00    5.70   32.55    0.5900   36.75800   -1.30100 9000.000
    28  808.32    1.979   16.95   78.0    2.0910    0.0259    0.33   50.00    5.80   32.55    0.5900   36.75800   -1.30100 9000.000
    30  806.84    1.995   16.93   79.0    2.0909    0.0259    0.36   49.00    5.80   32.53    0.5900   36.75800   -1.30100 9000.000
    32  805.50    2.009   16.87   78.0    2.0909    0.0260    0.39   49.00    5.80   32.53    0.5900   36.75800   -1.30100 9000.000
    34  804.31    2.022   16.73   78.0    2.0909    0.0260    0.42   48.00    5.70   32.53    0.5900   36.75800   -1.30100 9000.000
    36  803.08    2.035   16.50   78.0    2.0909    0.0260    0.44   47.00    5.70   32.53    0.5900   36.75700   -1.30100 9000.000
    38  801.77    2.049   16.22   79.0    2.0909    0.0261    0.47   47.00    5.70   32.53    0.5900   36.75700   -1.30100 9000.000
    40  800.33    2.064   15.95   80.0    2.0910    0.0261    0.50   46.00    5.70   32.54    0.5900   36.75700   -1.30100 9000.000
    42  798.76    2.081   15.73   81.0    2.0910    0.0262    0.53   44.00    5.60   32.54    0.5900   36.75700   -1.30100 9000.000
    44  797.13    2.098   15.56   82.0    2.1298    0.0267    0.56   43.00    5.60   32.55    0.6000   36.75700   -1.30100 9000.000
    46  795.61    2.115   15.42   82.0    2.1298    0.0268    0.60   42.00    5.60   32.56    0.6000   36.75700   -1.30100 9000.000
    48  794.22    2.129   15.32   84.0    2.1298    0.0268    0.63   41.00    5.50   32.56    0.6000   36.75700   -1.30000 9000.000
    50  793.04    2.142   15.26   85.0    2.1298    0.0269    0.65   40.00    5.50   32.55    0.6000   36.75700   -1.30000 9000.000
    52  792.08    2.152   15.19   85.0    2.1684    0.0274    0.67   39.00    5.50   32.54    0.6100   36.75700   -1.30000 9000.000
    54  790.91    2.165   15.10   85.0    2.2071    0.0279    0.70   38.00    5.40   32.54    0.6200   36.75700   -1.30000 9000.000
    56  789.68    2.178   14.92   87.0    2.2458    0.0284    0.72   38.00    5.40   32.53    0.6300   36.75700   -1.30000 9000.000
    58  788.49    2.191   14.74   88.0    2.2458    0.0285    0.75   37.00    5.30   32.53    0.6300   36.75700   -1.30000 9000.000
    60  787.33    2.203   14.69   88.0    2.2459    0.0285    0.78   36.00    5.20   32.54    0.6300   36.75700   -1.30000 9000.000
    62  786.08    2.217   14.56   87.0    2.2459    0.0286    0.81   36.00    5.10   32.55    0.6300   36.75700   -1.30000 9000.000
    64  784.93    2.229   14.40   86.0    2.2460    0.0286    0.83   36.00    5.00   32.56    0.6300   36.75700   -1.30000 9000.000
    66  783.72    2.242   14.29   87.0    2.2461    0.0287    0.86   35.00    4.90   32.57    0.6300   36.75700   -1.30000 9000.000
    68  782.46    2.256   14.22   86.0    2.2075    0.0282    0.89   35.00    4.80   32.59    0.6200   36.75700   -1.30000 9000.000
    70  781.21    2.270   14.22   83.0    2.2075    0.0283    0.91   36.00    4.70   32.59    0.6200   36.75600   -1.29900 9000.000
    72  779.88    2.284   13.99   84.0    2.2463    0.0288    0.94   36.00    4.60   32.60    0.6300   36.75600   -1.29900 9000.000
    74  778.78    2.296   13.72   90.0    2.2076    0.0283    0.97   37.00    4.50   32.60    0.6200   36.75600   -1.29900 9000.000
    76  777.93    2.305   13.63   92.0    2.2076    0.0284    0.99   38.00    4.50   32.60    0.6200   36.75600   -1.29900 9000.000
    78  776.98    2.315   13.53   92.0    2.2076    0.0284    1.01   39.00    4.50   32.61    0.6200   36.75600   -1.29900 9000.000
    80  775.88    2.327   13.41   93.0    2.2077    0.0285    1.03   41.00    4.50   32.62    0.6200   36.75600   -1.29900 9000.000
    82  774.66    2.341   13.32   94.0    2.2077    0.0285    1.06   42.00    4.60   32.62    0.6200   36.75600   -1.29900 9000.000
    84  773.55    2.353   13.24   93.0    2.2077    0.0285    1.09   43.00    4.70   32.62    0.6200   36.75600   -1.29900 9000.000
    86  772.47    2.365   13.22   89.0    2.2078    0.0286    1.11   45.00    4.90   32.63    0.6200   36.75600   -1.29900 9000.000
    88  771.27    2.378   13.14   85.0    2.2078    0.0286    1.14   46.00    5.10   32.63    0.6200   36.75600   -1.29900 9000.000
    90  770.22    2.389   13.09   82.0    2.2078    0.0287    1.16   47.00    5.30   32.63    0.6200   36.75600   -1.29900 9000.000
    92  769.27    2.400   13.07   81.0    2.2078    0.0287    1.18   48.00    5.50   32.63    0.6200   36.75600   -1.29900 9000.000
    94  768.42    2.409   13.01   80.0    2.2079    0.0287    1.20   48.00    5.70   32.64    0.6200   36.75600   -1.29900 9000.000
    96  767.63    2.418   13.04   80.0    2.2079    0.0288    1.22   49.00    5.90   32.64    0.6200   36.75600   -1.29900 9000.000
    98  766.85    2.426   13.02   78.0    2.2079    0.0288    1.24   49.00    6.10   32.64    0.6200   36.75600   -1.29900 9000.000
   100  766.06    2.435   12.89   77.0    2.2079    0.0288    1.26   49.00    6.20   32.64    0.6200   36.75600   -1.29900 9000.000
   102  765.09    2.445   12.71   78.0    2.2079    0.0289    1.28   50.00    6.20   32.65    0.6200   36.75500   -1.29900 9000.000
   104  763.96    2.458   12.58   80.0    2.2468    0.0294    1.30   50.00    6.30   32.67    0.6300   36.75500   -1.29800 9000.000
   106  762.79    2.471   12.49   81.0    2.2469    0.0295    1.33   50.00    6.20   32.68    0.6300   36.75500   -1.29800 9000.000
   108  761.73    2.483   12.50   81.0    2.2470    0.0295    1.36   50.00    6.10   32.69    0.6300   36.75500   -1.29800 9000.000
   110  760.84    2.492   12.51   80.0    2.2083    0.0290    1.38   51.00    6.00   32.70    0.6200   36.75500   -1.29800 9000.000
   112  759.96    2.502   12.42   80.0    2.2084    0.0291    1.40   51.00    5.80   32.71    0.6200   36.75500   -1.29800 9000.000
   114  758.97    2.513   12.27   82.0    2.2084    0.0291    1.42   51.00    5.70   32.72    0.6200   36.75500   -1.29800 9000.000
   116  758.00    2.524   12.18   83.0    2.2472    0.0296    1.44   52.00    5.50   32.72    0.6300   36.75500   -1.29800 9000.000
   118  757.07    2.534   12.16   82.0    2.2473    0.0297    1.46   52.00    5.30   32.73    0.6300   36.75500   -1.29800 9000.000
   120  756.31    2.543   12.18   80.0    2.2473    0.0297    1.48   53.00    5.20   32.74    0.6300   36.75500   -1.29800 9000.000
   122  755.58    2.551   12.16   79.0    2.2473    0.0297    1.50   53.00    5.10   32.74    0.6300   36.75500   -1.29800 9000.000
   124  754.65    2.561   12.10   82.0    2.2474    0.0298    1.52   54.00    5.00   32.75    0.6300   36.75500   -1.29800 9000.000
