36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20160302
Launch Time (UT)                  : 06:46:26
Burst Pressure (hPa)              : 8.94
Integrated O3 to end of data (DU) : 200.54
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : L1713164
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25444
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.70    1.800   19.00   82.0    1.3177    0.0160    0.00    0.00    0.00   34.16    0.3700   36.75900   -1.30200 9000.000
     2  824.21    1.805   20.13   67.0 9000.0000 9000.0000    0.00   73.00    1.80 9000.00    0.3800   36.75900   -1.30200 9000.000
     4  823.65    1.811   20.12   68.0    1.3589    0.0165    0.00   83.00    2.20   34.17    0.3800   36.75900   -1.30200 9000.000
     6  822.60    1.822   19.82   70.0    1.4001    0.0170    0.01   80.00    2.40   34.18    0.3900   36.75900   -1.30200 9000.000
     8  821.47    1.834   19.71   71.0    1.4002    0.0170    0.03   80.00    2.50   34.19    0.3900   36.75900   -1.30200 9000.000
    10  820.54    1.844   19.64   72.0    1.4002    0.0171    0.04   80.00    2.70   34.19    0.3900   36.75900   -1.30200 9000.000
    12  819.56    1.854   19.56   72.0    1.4001    0.0171    0.05   79.00    2.80   34.18    0.3900   36.75900   -1.30200 9000.000
    14  818.41    1.866   19.39   73.0    1.4001    0.0171    0.07   78.00    2.80   34.18    0.3900   36.75900   -1.30200 9000.000
    16  817.36    1.877   19.24   74.0    1.4413    0.0176    0.08   78.00    2.80   34.18    0.4000   36.75900   -1.30200 9000.000
    18  816.34    1.888   19.16   73.0    1.4413    0.0177    0.10   77.00    2.80   34.18    0.4000   36.75900   -1.30200 9000.000
    20  815.23    1.900   19.10   73.0    1.4413    0.0177    0.11   75.00    2.80   34.17    0.4000   36.75900   -1.30200 9000.000
    22  814.21    1.911   18.97   74.0    1.4413    0.0177    0.13   74.00    2.80   34.17    0.4000   36.75800   -1.30200 9000.000
    24  813.54    1.918   18.89   75.0    1.4413    0.0177    0.14   72.00    2.70   34.17    0.4000   36.75800   -1.30200 9000.000
    26  813.10    1.922   18.87   74.0    1.4413    0.0177    0.14   70.00    2.70   34.18    0.4000   36.75800   -1.30200 9000.000
    28  812.63    1.927   18.93   74.0    1.4413    0.0177    0.15   68.00    2.70   34.18    0.4000   36.75800   -1.30200 9000.000
    30  811.89    1.935   18.90   74.0    1.4824    0.0183    0.16   66.00    2.70   34.17    0.4100   36.75800   -1.30200 9000.000
    32  811.06    1.944   18.82   74.0    1.5236    0.0188    0.17   64.00    2.80   34.17    0.4200   36.75800   -1.30200 9000.000
    34  810.26    1.952   18.74   74.0    1.5236    0.0188    0.19   63.00    2.90   34.17    0.4200   36.75800   -1.30200 9000.000
    36  809.51    1.960   18.62   75.0    1.5236    0.0188    0.20   62.00    2.90   34.17    0.4200   36.75800   -1.30100 9000.000
    38  808.72    1.969   18.57   74.0    1.5236    0.0188    0.21   61.00    3.00   34.17    0.4200   36.75800   -1.30100 9000.000
    40  807.95    1.977   18.51   75.0    1.5236    0.0189    0.22   61.00    3.10   34.17    0.4200   36.75800   -1.30100 9000.000
    42  807.07    1.986   18.39   76.0    1.5236    0.0189    0.23   62.00    3.20   34.17    0.4200   36.75800   -1.30100 9000.000
    44  806.03    1.997   18.26   76.0    1.5236    0.0189    0.25   62.00    3.30   34.17    0.4200   36.75800   -1.30100 9000.000
    46  804.94    2.009   18.17   76.0    1.5237    0.0189    0.26   63.00    3.40   34.18    0.4200   36.75800   -1.30100 9000.000
    48  803.94    2.020   18.08   77.0    1.5238    0.0190    0.28   64.00    3.50   34.20    0.4200   36.75800   -1.30100 9000.000
    50  803.07    2.029   18.07   77.0    1.5238    0.0190    0.29   65.00    3.50   34.21    0.4200   36.75800   -1.30100 9000.000
