36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20160330
Launch Time (UT)                  : 06:48:55
Burst Pressure (hPa)              : 7.77
Integrated O3 to end of data (DU) : 208.78
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : L1723617
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28343
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.90    1.800   22.20   68.0    1.8495    0.0224    0.00   60.00    4.00   35.86    0.5100   36.75900   -1.30200 9000.000
     2  825.14    1.808   21.75   58.0    1.8898    0.0229    0.01   54.00    2.80   35.87    0.5200   36.75900   -1.30200 9000.000
     4  823.92    1.821   21.03   61.0    1.9703    0.0239    0.04   53.00    3.10   35.88    0.5400   36.75900   -1.30200 9000.000
     6  822.55    1.835   20.28   64.0    1.9703    0.0240    0.06   53.00    3.40   35.88    0.5400   36.75900   -1.30200 9000.000
     8  821.32    1.848   20.41   65.0    1.9703    0.0240    0.09   53.00    3.70   35.88    0.5400   36.75900   -1.30200 9000.000
    10  820.23    1.860   20.36   66.0    1.9301    0.0235    0.11   52.00    4.00   35.88    0.5300   36.75900   -1.30200 9000.000
    12  819.11    1.872   20.56   67.0    1.9300    0.0236    0.13   52.00    4.30   35.87    0.5300   36.75900   -1.30200 9000.000
    14  817.84    1.885   20.42   67.0    1.9300    0.0236    0.15   51.00    4.40   35.87    0.5300   36.75800   -1.30200 9000.000
    16  816.53    1.899   20.02   68.0    1.9300    0.0236    0.17   51.00    4.60   35.87    0.5300   36.75800   -1.30200 9000.000
    18  815.18    1.913   19.70   69.0    1.9702    0.0242    0.20   50.00    4.70   35.87    0.5400   36.75800   -1.30200 9000.000
    20  813.80    1.928   19.47   70.0    1.9702    0.0242    0.23   49.00    4.80   35.87    0.5400   36.75800   -1.30200 9000.000
    22  812.54    1.941   19.28   71.0    1.9702    0.0242    0.25   49.00    4.80   35.87    0.5400   36.75800   -1.30200 9000.000
    24  811.43    1.953   19.17   72.0    1.9702    0.0243    0.27   48.00    4.80   35.87    0.5400   36.75800   -1.30300 9000.000
    26  810.30    1.965   19.09   72.0    1.9702    0.0243    0.29   47.00    4.70   35.87    0.5400   36.75800   -1.30300 9000.000
    28  809.07    1.978   18.99   73.0    1.9702    0.0244    0.32   47.00    4.70   35.87    0.5400   36.75800   -1.30300 9000.000
    30  807.82    1.991   18.85   73.0    2.0104    0.0249    0.34   46.00    4.60   35.87    0.5500   36.75800   -1.30300 9000.000
    32  806.59    2.004   18.65   74.0    2.0506    0.0254    0.37   45.00    4.50   35.87    0.5600   36.75800   -1.30300 9000.000
    34  805.49    2.016   18.48   75.0    2.0507    0.0255    0.39   45.00    4.40   35.88    0.5600   36.75800   -1.30300 9000.000
    36  804.27    2.029   18.32   76.0    2.0507    0.0255    0.41   44.00    4.40   35.88    0.5600   36.75800   -1.30300 9000.000
    38  803.01    2.043   18.20   76.0    2.0507    0.0255    0.44   44.00    4.30   35.88    0.5600   36.75800   -1.30300 9000.000
    40  801.83    2.055   18.13   77.0    2.0507    0.0256    0.46   43.00    4.20   35.88    0.5600   36.75800   -1.30300 9000.000
    42  800.67    2.068   17.99   77.0    2.0506    0.0256    0.49   43.00    4.20   35.87    0.5600   36.75800   -1.30300 9000.000
    44  799.59    2.079   17.84   78.0    2.0506    0.0256    0.51   42.00    4.10   35.86    0.5600   36.75800   -1.30300 9000.000
    46  798.67    2.089   17.70   79.0    2.0506    0.0257    0.53   42.00    4.10   35.86    0.5600   36.75800   -1.30300 9000.000
    48  797.63    2.100   17.55   80.0    2.0506    0.0257    0.55   41.00    4.10   35.87    0.5600   36.75800   -1.30300 9000.000
    50  796.43    2.113   17.44   81.0    2.0506    0.0257    0.57   41.00    4.10   35.87    0.5600   36.75800   -1.30300 9000.000
    52  795.19    2.127   17.32   82.0    2.0506    0.0258    0.60   41.00    4.20   35.87    0.5600   36.75700   -1.30300 9000.000
    54  793.90    2.141   17.14   83.0    2.0506    0.0258    0.62   40.00    4.20   35.87    0.5600   36.75800   -1.30300 9000.000
    56  792.65    2.154   17.02   84.0    2.0506    0.0259    0.65   40.00    4.30   35.87    0.5600   36.75800   -1.30300 9000.000
    58  791.67    2.165   16.96   82.0    2.0506    0.0259    0.67   40.00    4.30   35.87    0.5600   36.75700   -1.30300 9000.000
    60  791.05    2.171   16.91   82.0    2.0506    0.0259    0.68   40.00    4.30   35.86    0.5600   36.75700   -1.30300 9000.000
    62  790.38    2.179   16.86   82.0    2.0505    0.0259    0.69   40.00    4.40   35.85    0.5600   36.75700   -1.30400 9000.000
    64  789.53    2.188   16.70   83.0    2.0103    0.0255    0.71   40.00    4.40   35.85    0.5500   36.75700   -1.30400 9000.000
    66  788.81    2.196   16.55   84.0    2.0102    0.0255    0.73   40.00    4.40   35.84    0.5500   36.75700   -1.30400 9000.000
    68  788.07    2.204   16.49   85.0    2.0103    0.0255    0.74   40.00    4.40   35.85    0.5500   36.75700   -1.30400 9000.000
    70  787.25    2.213   16.42   85.0    2.0102    0.0255    0.76   40.00    4.40   35.84    0.5500   36.75700   -1.30400 9000.000
    72  786.38    2.222   16.43   85.0    2.0103    0.0256    0.78   40.00    4.40   35.85    0.5500   36.75700   -1.30400 9000.000
    74  785.52    2.231   16.49   82.0    2.0103    0.0256    0.79   40.00    4.40   35.85    0.5500   36.75700   -1.30400 9000.000
