36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20161005
Launch Time (UT)                  : 07:28:26
Burst Pressure (hPa)              : 6.04
Integrated O3 to end of data (DU) : 234.52
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253802
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28417
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.400
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.10    1.800   17.40   80.0    1.0369    0.0126    0.00    0.00    0.00   31.33    0.3100   36.75900   -1.30200 9000.000
     2  823.57    1.806   16.52   78.0    1.0369    0.0126    0.01   56.00    2.20   31.33    0.3100   36.75900   -1.30200 9000.000
     4  822.94    1.812   16.32   80.0    1.0369    0.0126    0.01   59.00    2.60   31.34    0.3100   36.75900   -1.30200 9000.000
     6  821.99    1.822   16.18   82.0    1.0768    0.0131    0.02   56.00    2.80   31.34    0.3200   36.75900   -1.30200 9000.000
     8  821.05    1.832   16.08   83.0    1.0768    0.0131    0.03   54.00    3.00   31.34    0.3200   36.75900   -1.30200 9000.000
    10  820.03    1.842   16.01   84.0    1.1166    0.0136    0.04   52.00    3.20   31.33    0.3300   36.75900   -1.30200 9000.000
    12  818.97    1.853   15.94   84.0    1.1166    0.0136    0.05   50.00    3.40   31.31    0.3300   36.75900   -1.30200 9000.000
    14  817.87    1.865   15.85   85.0    1.1564    0.0141    0.07   48.00    3.50   31.30    0.3400   36.75900   -1.30200 9000.000
    16  816.74    1.877   15.74   85.0    1.1563    0.0142    0.08   45.00    3.60   31.28    0.3400   36.75900   -1.30200 9000.000
    18  815.59    1.888   15.62   86.0    1.1961    0.0147    0.09   43.00    3.80   31.25    0.3500   36.75900   -1.30200 9000.000
    20  814.59    1.899   15.57   86.0    1.1960    0.0147    0.10   40.00    3.80   31.23    0.3500   36.75900   -1.30200 9000.000
    22  813.62    1.909   15.57   87.0    1.1959    0.0147    0.11   38.00    3.90   31.21    0.3500   36.75800   -1.30200 9000.000
    24  812.52    1.921   15.48   87.0    1.2357    0.0152    0.13   36.00    4.00   31.19    0.3600   36.75800   -1.30200 9000.000
    26  811.52    1.931   15.38   88.0    1.2357    0.0152    0.14   34.00    4.00   31.18    0.3600   36.75800   -1.30200 9000.000
    28  810.61    1.941   15.29   88.0    1.2356    0.0152    0.15   33.00    4.00   31.17    0.3600   36.75800   -1.30200 9000.000
    30  809.64    1.951   15.19   88.0    1.2754    0.0158    0.16   32.00    4.00   31.15    0.3700   36.75800   -1.30300 9000.000
    32  808.58    1.962   15.11   88.0    1.2754    0.0158    0.17   31.00    3.90   31.14    0.3700   36.75800   -1.30300 9000.000
    34  807.46    1.974   14.99   88.0    1.2754    0.0158    0.19   31.00    3.80   31.14    0.3700   36.75800   -1.30300 9000.000
    36  806.33    1.986   14.86   88.0    1.2754    0.0158    0.20   31.00    3.70   31.15    0.3700   36.75800   -1.30300 9000.000
    38  805.34    1.996   14.78   89.0    1.2755    0.0158    0.22   31.00    3.60   31.16    0.3700   36.75800   -1.30300 9000.000
    40  804.42    2.006   14.71   89.0    1.3154    0.0164    0.23   32.00    3.40   31.17    0.3800   36.75800   -1.30300 9000.000
    42  803.46    2.016   14.60   89.0    1.3154    0.0164    0.24   32.00    3.30   31.18    0.3800   36.75800   -1.30300 9000.000
    44  802.46    2.026   14.48   90.0    1.3154    0.0164    0.25   33.00    3.10   31.18    0.3800   36.75800   -1.30300 9000.000
    46  801.30    2.039   14.30   91.0    1.3553    0.0169    0.27   34.00    3.00   31.18    0.3900   36.75800   -1.30300 9000.000
    48  800.22    2.050   14.16   92.0    1.3552    0.0169    0.28   35.00    2.80   31.16    0.3900   36.75800   -1.30300 9000.000
    50  799.19    2.061   14.09   91.0    1.3551    0.0170    0.30   37.00    2.70   31.15    0.3900   36.75800   -1.30300 9000.000
    52  798.15    2.072   14.04   91.0    1.3551    0.0170    0.31   38.00    2.60   31.14    0.3900   36.75800   -1.30300 9000.000
    54  797.09    2.083   13.98   90.0    1.3550    0.0170    0.32   40.00    2.50   31.13    0.3900   36.75800   -1.30300 9000.000
    56  795.85    2.096   13.75   92.0    1.3949    0.0175    0.34   42.00    2.40   31.13    0.4000   36.75800   -1.30300 9000.000
    58  794.70    2.109   13.57   94.0    1.3550    0.0171    0.36   45.00    2.40   31.12    0.3900   36.75800   -1.30300 9000.000
    60  793.87    2.118   13.49   94.0    1.3948    0.0176    0.37   48.00    2.50   31.11    0.4000   36.75800   -1.30300 9000.000
    62  793.01    2.127   13.41   94.0    1.3948    0.0176    0.38   51.00    2.50   31.10    0.4000   36.75800   -1.30300 9000.000
    64  791.90    2.138   13.34   95.0    1.3947    0.0176    0.40   54.00    2.60   31.09    0.4000   36.75800   -1.30300 9000.000
    66  790.70    2.151   13.33   95.0    1.3947    0.0176    0.41   57.00    2.80   31.08    0.4000   36.75800   -1.30300 9000.000
    68  789.57    2.163   13.31   95.0    1.3947    0.0177    0.43   59.00    2.90   31.08    0.4000   36.75800   -1.30300 9000.000
    70  788.53    2.174   13.36   93.0    1.4345    0.0182    0.44   62.00    3.20   31.08    0.4100   36.75800   -1.30300 9000.000
    72  787.39    2.187   13.30   93.0    1.4346    0.0182    0.46   63.00    3.40   31.09    0.4100   36.75800   -1.30300 9000.000
    74  786.20    2.200   13.14   94.0    1.4347    0.0182    0.48   64.00    3.60   31.11    0.4100   36.75800   -1.30300 9000.000
    76  784.95    2.213   13.04   94.0    1.4347    0.0183    0.49   65.00    3.80   31.11    0.4100   36.75800   -1.30400 9000.000
    78  783.63    2.227   12.95   94.0    1.4745    0.0188    0.51   65.00    4.00   31.11    0.4200   36.75700   -1.30400 9000.000
    80  782.32    2.241   12.87   94.0    1.4746    0.0188    0.53   65.00    4.20   31.12    0.4200   36.75700   -1.30300 9000.000
    82  781.15    2.254   12.92   93.0    1.4746    0.0189    0.55   65.00    4.40   31.13    0.4200   36.75700   -1.30300 9000.000
    84  780.30    2.263   13.01   91.0    1.4746    0.0189    0.56   64.00    4.60   31.13    0.4200   36.75700   -1.30400 9000.000
    86  779.31    2.274   12.98   91.0    1.4746    0.0189    0.58   63.00    4.70   31.13    0.4200   36.75700   -1.30400 9000.000
    88  778.20    2.286   12.91   90.0    1.5145    0.0195    0.59   63.00    4.80   31.13    0.4300   36.75700   -1.30400 9000.000
    90  777.26    2.296   12.85   90.0    1.5543    0.0200    0.61   62.00    4.90   31.12    0.4400   36.75700   -1.30400 9000.000
    92  776.37    2.306   12.77   91.0    1.5941    0.0205    0.62   62.00    4.90   31.11    0.4500   36.75700   -1.30400 9000.000
    94  775.55    2.314   12.71   91.0    1.5941    0.0206    0.64   62.00    5.00   31.11    0.4500   36.75700   -1.30400 9000.000
    96  774.79    2.323   12.68   90.0    1.6339    0.0211    0.65   62.00    4.90   31.10    0.4600   36.75700   -1.30400 9000.000
    98  773.94    2.332   12.59   90.0    1.6737    0.0216    0.66   62.00    4.90   31.10    0.4700   36.75700   -1.30400 9000.000
   100  772.94    2.343   12.49   90.0    1.7136    0.0222    0.68   63.00    4.80   31.10    0.4800   36.75700   -1.30400 9000.000
