36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 16 January, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20170913
Launch Time (UT)                  : 08:09:38
Burst Pressure (hPa)              : 7.64
Integrated O3 to end of data (DU) : 211.01
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : L1723429
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28372
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.030
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.50    1.800   15.50   77.0    2.4667    0.0299    0.00  142.00    1.70   29.77    0.6600   -1.30180   36.75930 9000.000
     2  824.81    1.807   15.31   64.0    2.5059    0.0304    0.02   97.00    1.70   29.77    0.6700   -1.30180   36.75910 9000.000
     4  823.78    1.818   15.01   69.0    2.5451    0.0309    0.04  100.00    1.90   29.78    0.6800   -1.30180   36.75900 9000.000
     6  822.79    1.828   14.91   71.0    2.5451    0.0309    0.07  106.00    2.30   29.78    0.6800   -1.30180   36.75900 9000.000
     8  822.01    1.836   14.85   72.0    2.5843    0.0314    0.08  110.00    2.60   29.79    0.6900   -1.30180   36.75900 9000.000
    10  821.17    1.845   14.74   73.0    2.5844    0.0315    0.11  114.00    2.90   29.80    0.6900   -1.30190   36.75890 9000.000
    12  820.13    1.855   14.60   74.0    2.5844    0.0315    0.13  118.00    3.20   29.80    0.6900   -1.30190   36.75880 9000.000
    14  819.15    1.865   14.50   75.0    2.6627    0.0325    0.16  122.00    3.40   29.80    0.7100   -1.30180   36.75870 9000.000
    16  818.23    1.875   14.40   76.0    2.6627    0.0325    0.18  125.00    3.70   29.80    0.7100   -1.30170   36.75870 9000.000
    18  817.30    1.885   14.29   76.0    2.6628    0.0326    0.20  128.00    3.90   29.81    0.7100   -1.30170   36.75860 9000.000
    20  816.24    1.896   14.20   77.0    2.7021    0.0331    0.23  130.00    4.00   29.82    0.7200   -1.30160   36.75860 9000.000
    22  815.27    1.906   14.13   77.0    2.7021    0.0331    0.26  132.00    4.20   29.82    0.7200   -1.30150   36.75850 9000.000
    24  814.39    1.915   14.05   77.0    2.7022    0.0332    0.28  134.00    4.20   29.83    0.7200   -1.30140   36.75840 9000.000
