36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 16 January, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20171004
Launch Time (UT)                  : 08:25:32
Burst Pressure (hPa)              : 9.33
Integrated O3 to end of data (DU) : 199.84
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253567
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28385
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.10    1.800   20.90   57.0    2.1242    0.0257    0.00  159.00    1.90   36.93    0.5800   -1.30180   36.75930 9000.000
     2  823.81    1.814   20.94   38.0    2.1643    0.0263    0.03   91.00    2.00   36.94    0.5900   -1.30180   36.75910 9000.000
     4  822.69    1.825   20.95   34.0    2.2445    0.0273    0.05   92.00    2.30   36.94    0.6100   -1.30180   36.75900 9000.000
     6  821.55    1.837   20.82   35.0    2.2444    0.0273    0.07   96.00    2.60   36.93    0.6100   -1.30180   36.75900 9000.000
     8  820.32    1.850   20.56   37.0    2.2444    0.0274    0.10   98.00    2.80   36.93    0.6100   -1.30190   36.75890 9000.000
    10  818.97    1.864   20.33   39.0    2.3245    0.0284    0.13  101.00    3.10   36.92    0.6300   -1.30190   36.75880 9000.000
    12  817.56    1.879   20.24   40.0    2.3645    0.0289    0.16  104.00    3.30   36.91    0.6400   -1.30190   36.75880 9000.000
    14  816.19    1.894   20.06   41.0    2.3645    0.0290    0.19  106.00    3.50   36.91    0.6400   -1.30200   36.75870 9000.000
    16  815.01    1.906   19.88   41.0    2.4046    0.0295    0.22  109.00    3.70   36.91    0.6500   -1.30190   36.75850 9000.000
    18  813.80    1.919   19.69   42.0    2.4046    0.0295    0.25  111.00    3.90   36.91    0.6500   -1.30170   36.75850 9000.000
    20  812.51    1.933   19.54   42.0    2.4047    0.0296    0.28  114.00    4.10   36.92    0.6500   -1.30160   36.75850 9000.000
    22  811.14    1.947   19.40   43.0    2.4449    0.0301    0.31  116.00    4.30   36.93    0.6600   -1.30170   36.75850 9000.000
    24  809.77    1.962   19.21   43.0    2.4849    0.0307    0.35  118.00    4.50   36.93    0.6700   -1.30170   36.75840 9000.000
    26  808.61    1.974   19.11   44.0    2.4850    0.0307    0.37  120.00    4.60   36.93    0.6700   -1.30160   36.75830 9000.000
    28  807.67    1.984   19.05   44.0    2.5251    0.0313    0.40  121.00    4.80   36.94    0.6800   -1.30150   36.75810 9000.000
    30  806.67    1.995   18.99   44.0    2.5252    0.0313    0.42  123.00    5.00   36.95    0.6800   -1.30140   36.75800 9000.000
    32  805.52    2.007   18.82   45.0    2.5252    0.0313    0.45  124.00    5.20   36.96    0.6800   -1.30140   36.75790 9000.000
    34  804.36    2.019   18.60   45.0    2.5654    0.0319    0.48  125.00    5.30   36.97    0.6900   -1.30140   36.75780 9000.000
    36  803.31    2.030   18.34   46.0    2.5654    0.0319    0.50  126.00    5.50   36.97    0.6900   -1.30140   36.75780 9000.000
    38  802.49    2.039   18.21   47.0    2.6055    0.0325    0.53  127.00    5.70   36.97    0.7000   -1.30130   36.75780 9000.000
    40  801.59    2.049   18.20   47.0    2.6055    0.0325    0.55  128.00    5.80   36.97    0.7000   -1.30120   36.75780 9000.000
    42  800.57    2.060   17.98   47.0    2.6456    0.0330    0.58  128.00    5.90   36.98    0.7100   -1.30110   36.75770 9000.000
    44  799.67    2.069   17.70   48.0    2.6456    0.0331    0.60  128.00    6.00   36.98    0.7100   -1.30100   36.75750 9000.000
    46  798.81    2.079   17.57   49.0    2.6457    0.0331    0.62  128.00    6.00   36.99    0.7100   -1.30100   36.75740 9000.000
    48  797.97    2.088   17.50   49.0    2.6457    0.0332    0.64  128.00    5.90   36.99    0.7100   -1.30090   36.75730 9000.000
    50  797.16    2.096   17.44   50.0    2.6458    0.0332    0.66  128.00    5.80   37.00    0.7100   -1.30070   36.75720 9000.000
    52  796.22    2.106   17.34   50.0    2.6860    0.0337    0.69  127.00    5.70   37.01    0.7200   -1.30070   36.75710 9000.000
    54  794.99    2.120   17.18   50.0    2.7261    0.0343    0.72  126.00    5.40   37.01    0.7300   -1.30060   36.75700 9000.000
    56  793.46    2.136   17.02   50.0    2.7262    0.0344    0.76  124.00    5.10   37.02    0.7300   -1.30060   36.75680 9000.000
    58  791.79    2.154   16.90   51.0    2.7664    0.0349    0.81  121.00    4.80   37.03    0.7400   -1.30060   36.75670 9000.000
    60  790.15    2.172   16.78   51.0    2.7665    0.0350    0.85  117.00    4.50   37.04    0.7400   -1.30060   36.75670 9000.000
    62  788.62    2.188   16.57   52.0    2.7665    0.0351    0.90  112.00    4.10   37.04    0.7400   -1.30070   36.75660 9000.000
    64  787.29    2.203   16.43   53.0    2.7664    0.0351    0.93  107.00    3.80   37.03    0.7400   -1.30070   36.75660 9000.000
    66  785.92    2.217   16.33   53.0    2.8065    0.0357    0.97  101.00    3.60   37.03    0.7500   -1.30080   36.75660 9000.000
    68  784.51    2.233   16.21   54.0    2.8065    0.0358    1.01   95.00    3.40   37.03    0.7500   -1.30080   36.75650 9000.000
    70  783.13    2.248   16.08   54.0    2.8066    0.0358    1.05   88.00    3.30   37.04    0.7500   -1.30070   36.75650 9000.000
    72  781.91    2.261   15.96   54.0    2.8067    0.0359    1.09   83.00    3.30   37.06    0.7500   -1.30070   36.75630 9000.000
    74  780.92    2.272   15.87   55.0    2.8469    0.0365    1.11   78.00    3.30   37.07    0.7600   -1.30090   36.75610 9000.000
    76  780.03    2.281   15.77   55.0    2.8470    0.0365    1.14   75.00    3.40   37.08    0.7600   -1.30100   36.75620 9000.000
    78  779.08    2.292   15.64   56.0    2.8471    0.0365    1.17   74.00    3.50   37.09    0.7600   -1.30100   36.75620 9000.000
