36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 16 January, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20171129
Launch Time (UT)                  : 06:21:27
Burst Pressure (hPa)              : 7.88
Integrated O3 to end of data (DU) : 196.94
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423870
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28409
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.90    1.800   17.00   86.0    1.6215    0.0196    0.00   81.00    1.40   31.80    0.4600   -1.30180   36.75930 9000.000
     2  825.02    1.809   17.32   67.0    1.6610    0.0201    0.01   43.00    3.90   31.80    0.4700   -1.30200   36.75910 9000.000
     4  823.98    1.820   17.31   71.0    1.7005    0.0206    0.03   42.00    4.60   31.79    0.4800   -1.30210   36.75900 9000.000
     6  822.96    1.831   17.25   73.0    1.7002    0.0207    0.05   43.00    5.00   31.74    0.4800   -1.30210   36.75890 9000.000
     8  822.13    1.839   17.22   73.0    1.7001    0.0207    0.06   43.00    5.50   31.72    0.4800   -1.30220   36.75880 9000.000
    10  821.36    1.847   17.06   73.0    1.7001    0.0207    0.07   44.00    5.90   31.72    0.4800   -1.30230   36.75870 9000.000
    12  820.49    1.856   16.94   73.0    1.7397    0.0212    0.09   44.00    6.30   31.73    0.4900   -1.30240   36.75860 9000.000
    14  819.52    1.866   16.80   74.0    1.7792    0.0217    0.10   44.00    6.60   31.73    0.5000   -1.30250   36.75850 9000.000
    16  818.44    1.878   16.56   76.0    1.7793    0.0217    0.12   45.00    6.80   31.74    0.5000   -1.30260   36.75860 9000.000
    18  817.41    1.888   16.34   77.0    1.8189    0.0223    0.14   45.00    7.00   31.75    0.5100   -1.30270   36.75850 9000.000
    20  816.58    1.897   16.26   78.0    1.8189    0.0223    0.16   45.00    7.20   31.75    0.5100   -1.30270   36.75830 9000.000
    22  815.76    1.906   16.20   78.0    1.8584    0.0228    0.17   46.00    7.30   31.75    0.5200   -1.30280   36.75810 9000.000
    24  814.70    1.917   16.11   77.0    1.8585    0.0228    0.19   46.00    7.40   31.76    0.5200   -1.30290   36.75800 9000.000
    26  813.72    1.927   16.02   78.0    1.8980    0.0233    0.21   47.00    7.40   31.76    0.5300   -1.30300   36.75800 9000.000
    28  813.02    1.934   15.99   79.0    1.8981    0.0233    0.22   48.00    7.50   31.77    0.5300   -1.30320   36.75790 9000.000
