36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 14 June, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180110
Launch Time (UT)                  : 08:46:37
Burst Pressure (hPa)              : 6.96
Integrated O3 to end of data (DU) : 200.26
Radiosonde                        : OIF-92
Radiosonde Serial Number          : K4253795
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28411
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.70    1.800   18.00   70.0    2.4204    0.0293    0.00    0.00    0.00   33.83    0.6600   -1.30180   36.75930 9000.000
     2  822.68    1.821   19.20   58.0    2.4602    0.0299    0.05   47.00    2.20   33.84    0.6700   -1.30180   36.75910 9000.000
     4  821.26    1.836   18.99   55.0    2.4998    0.0304    0.08   53.00    2.90   33.84    0.6800   -1.30180   36.75900 9000.000
     6  819.97    1.849   18.81   56.0    2.4998    0.0305    0.11   50.00    3.20   33.84    0.6800   -1.30180   36.75900 9000.000
     8  818.63    1.863   18.56   57.0    2.4998    0.0305    0.14   48.00    3.60   33.84    0.6800   -1.30190   36.75890 9000.000
    10  817.45    1.876   18.36   57.0    2.4998    0.0306    0.17   47.00    4.00   33.83    0.6800   -1.30200   36.75880 9000.000
    12  816.42    1.887   18.22   58.0    2.4997    0.0306    0.20   46.00    4.40   33.82    0.6800   -1.30210   36.75880 9000.000
    14  815.41    1.897   18.10   59.0    2.4997    0.0307    0.22   45.00    4.80   33.82    0.6800   -1.30210   36.75880 9000.000
    16  814.33    1.909   17.92   59.0    2.4996    0.0307    0.25   44.00    5.10   33.81    0.6800   -1.30210   36.75870 9000.000
    18  813.20    1.921   17.66   59.0    2.4996    0.0307    0.28   43.00    5.40   33.81    0.6800   -1.30220   36.75850 9000.000
    20  812.11    1.932   17.44   60.0    2.4994    0.0308    0.30   42.00    5.60   33.79    0.6800   -1.30230   36.75840 9000.000
    22  811.05    1.943   17.36   61.0    2.5391    0.0313    0.33   42.00    5.80   33.79    0.6900   -1.30240   36.75850 9000.000
