36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 14 June, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180214
Launch Time (UT)                  : 07:29:13
Burst Pressure (hPa)              : 6.40
Integrated O3 to end of data (DU) : 198.07
Radiosonde                        : OIF-92
Radiosonde Serial Number          : N1423869
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28399
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.10    1.800   17.80   80.0    0.7798    0.0094    0.00   81.00    3.10   38.17    0.2400   -1.30180   36.75930 9000.000
     2  825.28    1.809   17.64   74.0    0.7798    0.0094    0.01   59.00    3.40   38.17    0.2400   -1.30180   36.75910 9000.000
     4  824.25    1.819   17.44   74.0    0.8619    0.0105    0.01   56.00    3.80   38.17    0.2600   -1.30180   36.75900 9000.000
     6  823.23    1.830   17.21   76.0    0.9030    0.0110    0.02   56.00    4.20   38.17    0.2700   -1.30190   36.75890 9000.000
     8  822.34    1.839   17.07   77.0    0.9030    0.0110    0.03   55.00    4.60   38.17    0.2700   -1.30210   36.75860 9000.000
    10  821.44    1.848   17.06   78.0    0.9029    0.0110    0.04   54.00    4.90   38.16    0.2700   -1.30250   36.75830 9000.000
    12  820.57    1.857   16.92   79.0    0.9029    0.0110    0.05   53.00    5.20   38.15    0.2700   -1.30280   36.75800 9000.000
    14  819.80    1.865   16.74   79.0    0.9439    0.0115    0.05   52.00    5.50   38.13    0.2800   -1.30310   36.75770 9000.000
    16  819.09    1.873   16.66   80.0    0.9439    0.0115    0.06   51.00    5.80   38.13    0.2800   -1.30340   36.75750 9000.000
    18  818.19    1.882   16.58   80.0    0.9439    0.0115    0.07   50.00    6.00   38.13    0.2800   -1.30360   36.75730 9000.000
    20  817.09    1.894   16.46   81.0    0.9849    0.0121    0.08   49.00    6.30   38.12    0.2900   -1.30380   36.75710 9000.000
    22  815.89    1.906   16.31   81.0    0.9849    0.0121    0.09   48.00    6.50   38.12    0.2900   -1.30400   36.75690 9000.000
    24  814.77    1.918   16.20   82.0    0.9849    0.0121    0.10   47.00    6.80   38.12    0.2900   -1.30420   36.75670 9000.000
    26  813.87    1.928   16.16   82.0    1.0260    0.0126    0.11   46.00    7.00   38.13    0.3000   -1.30430   36.75660 9000.000
    28  812.94    1.937   16.11   82.0    1.0260    0.0126    0.12   45.00    7.20   38.13    0.3000   -1.30440   36.75650 9000.000
    30  811.97    1.947   16.05   81.0    1.0260    0.0126    0.13   44.00    7.30   38.14    0.3000   -1.30450   36.75640 9000.000
    32  810.98    1.958   16.03   80.0    1.0260    0.0127    0.14   44.00    7.50   38.15    0.3000   -1.30460   36.75630 9000.000
    34  809.80    1.970   15.92   81.0    1.0671    0.0132    0.15   43.00    7.70   38.15    0.3100   -1.30470   36.75620 9000.000
    36  808.50    1.984   15.75   83.0    1.0671    0.0132    0.16   42.00    7.80   38.15    0.3100   -1.30470   36.75610 9000.000
    38  807.19    1.998   15.64   83.0    1.1081    0.0137    0.18   42.00    8.00   38.15    0.3200   -1.30480   36.75600 9000.000
    40  805.87    2.012   15.58   82.0    1.1081    0.0138    0.19   42.00    8.10   38.14    0.3200   -1.30480   36.75600 9000.000
    42  804.84    2.023   15.52   82.0    1.1081    0.0138    0.20   41.00    8.20   38.14    0.3200   -1.30480   36.75590 9000.000
    44  803.91    2.032   15.48   81.0    1.1081    0.0138    0.21   41.00    8.30   38.13    0.3200   -1.30480   36.75590 9000.000
    46  802.90    2.043   15.40   81.0    1.1491    0.0143    0.22   41.00    8.40   38.13    0.3300   -1.30480   36.75580 9000.000
    48  802.05    2.052   15.32   80.0    1.1901    0.0148    0.23   42.00    8.50   38.12    0.3400   -1.30480   36.75580 9000.000
    50  801.09    2.062   15.28   79.0    1.1901    0.0149    0.24   42.00    8.60   38.12    0.3400   -1.30480   36.75570 9000.000
    52  799.95    2.074   15.20   79.0    1.1901    0.0149    0.26   43.00    8.60   38.12    0.3400   -1.30480   36.75570 9000.000
    54  798.83    2.086   15.09   80.0    1.1901    0.0149    0.27   43.00    8.70   38.13    0.3400   -1.30480   36.75560 9000.000
    56  797.85    2.097   15.01   79.0    1.1901    0.0149    0.28   44.00    8.70   38.13    0.3400   -1.30480   36.75560 9000.000
    58  796.85    2.107   14.93   79.0    1.1902    0.0149    0.29   46.00    8.80   38.14    0.3400   -1.30480   36.75550 9000.000
    60  795.67    2.120   14.82   80.0    1.2312    0.0155    0.31   47.00    8.80   38.14    0.3500   -1.30470   36.75550 9000.000
    62  794.52    2.132   14.71   81.0    1.2312    0.0155    0.32   49.00    8.80   38.14    0.3500   -1.30470   36.75540 9000.000
    64  793.51    2.143   14.61   81.0    1.2312    0.0155    0.34   51.00    8.90   38.14    0.3500   -1.30470   36.75520 9000.000
    66  792.54    2.153   14.52   81.0    1.2312    0.0155    0.35   52.00    8.90   38.14    0.3500   -1.30490   36.75500 9000.000
    68  791.45    2.165   14.44   81.0    1.2312    0.0156    0.36   54.00    8.90   38.14    0.3500   -1.30500   36.75480 9000.000
    70  790.40    2.176   14.37   82.0    1.2312    0.0156    0.37   56.00    9.00   38.14    0.3500   -1.30520   36.75470 9000.000
    72  789.51    2.186   14.30   82.0    1.2312    0.0156    0.38   57.00    9.00   38.14    0.3500   -1.30520   36.75460 9000.000
    74  788.59    2.196   14.24   82.0    1.2312    0.0156    0.40   58.00    9.10   38.14    0.3500   -1.30530   36.75450 9000.000
    76  787.61    2.206   14.16   82.0    1.2312    0.0156    0.41   59.00    9.10   38.14    0.3500   -1.30540   36.75430 9000.000
    78  786.78    2.215   14.09   82.0    1.2312    0.0156    0.42   60.00    9.20   38.14    0.3500   -1.30550   36.75420 9000.000
    80  785.88    2.225   14.08   81.0    1.2312    0.0157    0.43   60.00    9.30   38.13    0.3500   -1.30550   36.75410 9000.000
    82  784.87    2.236   14.13   80.0    1.2312    0.0157    0.44   60.00    9.40   38.13    0.3500   -1.30560   36.75390 9000.000
    84  783.73    2.248   14.12   79.0    1.2311    0.0157    0.46   60.00    9.60   38.12    0.3500   -1.30570   36.75370 9000.000
    86  782.62    2.260   14.08   78.0    1.2311    0.0157    0.47   59.00    9.70   38.12    0.3500   -1.30580   36.75350 9000.000
    88  781.70    2.270   14.02   78.0    1.2311    0.0157    0.48   59.00    9.80   38.12    0.3500   -1.30590   36.75340 9000.000
    90  780.81    2.280   13.95   78.0    1.2311    0.0158    0.49   58.00    9.90   38.11    0.3500   -1.30590   36.75330 9000.000
    92  780.00    2.288   13.88   78.0    1.2311    0.0158    0.50   58.00   10.00   38.11    0.3500   -1.30600   36.75310 9000.000
    94  779.07    2.298   13.78   78.0    1.2721    0.0163    0.51   57.00   10.10   38.11    0.3600   -1.30620   36.75290 9000.000
    96  778.03    2.310   13.69   78.0    1.2721    0.0164    0.53   57.00   10.20   38.10    0.3600   -1.30630   36.75280 9000.000
    98  776.99    2.321   13.60   79.0    1.2721    0.0164    0.54   57.00   10.30   38.10    0.3600   -1.30640   36.75270 9000.000
   100  776.14    2.330   13.55   79.0    1.2721    0.0164    0.55   56.00   10.30   38.09    0.3600   -1.30650   36.75250 9000.000
   102  775.26    2.340   13.46   79.0    1.2721    0.0164    0.56   57.00   10.40   38.09    0.3600   -1.30670   36.75230 9000.000
   104  774.32    2.350   13.40   79.0    1.2721    0.0164    0.58   57.00   10.40   38.09    0.3600   -1.30680   36.75230 9000.000
   106  773.29    2.361   13.32   79.0    1.2721    0.0164    0.59   57.00   10.40   38.09    0.3600   -1.30680   36.75210 9000.000
   108  772.30    2.372   13.22   80.0    1.2720    0.0165    0.60   57.00   10.40   38.08    0.3600   -1.30690   36.75190 9000.000
   110  771.35    2.382   13.14   80.0    1.2720    0.0165    0.61   58.00   10.40   38.07    0.3600   -1.30710   36.75170 9000.000
   112  770.45    2.392   13.09   80.0    1.2720    0.0165    0.63   58.00   10.40   38.07    0.3600   -1.30720   36.75150 9000.000
   114  769.56    2.402   13.01   80.0    1.2720    0.0165    0.64   58.00   10.40   38.07    0.3600   -1.30730   36.75140 9000.000
   116  768.58    2.413   12.88   80.0    1.2720    0.0165    0.65   58.00   10.40   38.07    0.3600   -1.30730   36.75130 9000.000
   118  767.52    2.424   12.72   81.0    1.2720    0.0166    0.66   58.00   10.40   38.08    0.3600   -1.30740   36.75100 9000.000
   120  766.64    2.434   12.63   82.0    1.2720    0.0166    0.68   59.00   10.40   38.08    0.3600   -1.30750   36.75090 9000.000
   122  765.91    2.442   12.54   82.0    1.2720    0.0166    0.69   59.00   10.40   38.08    0.3600   -1.30770   36.75080 9000.000
   124  765.16    2.450   12.47   82.0    1.2720    0.0166    0.69   58.00   10.40   38.07    0.3600   -1.30770   36.75070 9000.000
   126  764.39    2.459   12.40   83.0    1.2720    0.0166    0.70   58.00   10.50   38.08    0.3600   -1.30780   36.75050 9000.000
   128  763.63    2.467   12.30   83.0    1.2720    0.0167    0.71   58.00   10.50   38.07    0.3600   -1.30790   36.75030 9000.000
   130  762.75    2.477   12.21   84.0    1.3130    0.0172    0.73   58.00   10.50   38.06    0.3700   -1.30810   36.75010 9000.000
   132  761.73    2.488   12.15   84.0    1.3130    0.0172    0.74   58.00   10.50   38.06    0.3700   -1.30820   36.75000 9000.000
   134  760.75    2.499   12.09   84.0    1.3130    0.0173    0.75   58.00   10.60   38.07    0.3700   -1.30820   36.74980 9000.000
   136  759.80    2.509   12.04   83.0    1.2720    0.0167    0.77   58.00   10.60   38.07    0.3600   -1.30830   36.74960 9000.000
   138  758.98    2.518   12.06   83.0    1.2720    0.0168    0.78   58.00   10.60   38.07    0.3600   -1.30850   36.74950 9000.000
