36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 14 June, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180328
Launch Time (UT)                  : 06:24:42
Burst Pressure (hPa)              : 128.82
Integrated O3 to end of data (DU) : 30.31
Radiosonde                        : OIF-92
Radiosonde Serial Number          : N1423309
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28403
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.800
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.90    1.800   17.30   87.0    1.4876    0.0181    0.00   47.00    2.30   37.06    0.4000   -1.30180   36.75930 9000.000
     2  822.89    1.811   17.24   78.0    1.4876    0.0181    0.01   43.00    3.40   37.06    0.4000   -1.30200   36.75910 9000.000
     4  821.67    1.823   17.17   79.0    1.5301    0.0186    0.03   44.00    3.80   37.06    0.4100   -1.30210   36.75900 9000.000
     6  820.46    1.836   16.97   79.0    1.5300    0.0186    0.05   47.00    4.20   37.04    0.4100   -1.30210   36.75900 9000.000
     8  819.34    1.847   16.68   80.0    1.5300    0.0187    0.07   49.00    4.50   37.04    0.4100   -1.30220   36.75890 9000.000
    10  818.20    1.859   16.56   81.0    1.5300    0.0187    0.08   51.00    4.90   37.04    0.4100   -1.30230   36.75870 9000.000
    12  817.15    1.870   16.45   81.0    1.5300    0.0187    0.10   53.00    5.20   37.04    0.4100   -1.30240   36.75860 9000.000
    14  816.30    1.879   16.34   82.0    1.5725    0.0193    0.11   55.00    5.50   37.04    0.4200   -1.30240   36.75870 9000.000
    16  815.42    1.888   16.27   83.0    1.5725    0.0193    0.12   57.00    5.80   37.04    0.4200   -1.30250   36.75870 9000.000
    18  814.42    1.899   16.25   83.0    1.6150    0.0198    0.14   59.00    6.00   37.04    0.4300   -1.30250   36.75850 9000.000
    20  813.50    1.908   16.20   83.0    1.6150    0.0199    0.15   60.00    6.30   37.04    0.4300   -1.30250   36.75840 9000.000
    22  812.59    1.918   16.13   83.0    1.6150    0.0199    0.17   62.00    6.50   37.05    0.4300   -1.30250   36.75830 9000.000
    24  811.68    1.928   16.03   84.0    1.6150    0.0199    0.18   63.00    6.80   37.05    0.4300   -1.30260   36.75810 9000.000
    26  810.83    1.937   15.99   85.0    1.6151    0.0199    0.20   63.00    7.00   37.06    0.4300   -1.30270   36.75800 9000.000
    28  809.92    1.946   15.94   85.0    1.6576    0.0205    0.21   64.00    7.20   37.07    0.4400   -1.30280   36.75790 9000.000
    30  809.03    1.956   15.80   86.0    1.6576    0.0205    0.23   65.00    7.40   37.07    0.4400   -1.30280   36.75770 9000.000
    32  808.15    1.965   15.60   86.0    1.6577    0.0205    0.24   65.00    7.60   37.07    0.4400   -1.30290   36.75760 9000.000
    34  807.26    1.974   15.50   86.0    1.6576    0.0205    0.25   66.00    7.80   37.06    0.4400   -1.30300   36.75750 9000.000
    36  806.28    1.985   15.42   86.0    1.6576    0.0206    0.27   66.00    8.00   37.06    0.4400   -1.30300   36.75750 9000.000
    38  805.19    1.996   15.31   87.0    1.6576    0.0206    0.29   66.00    8.20   37.07    0.4400   -1.30300   36.75730 9000.000
    40  803.95    2.009   15.18   87.0    1.7001    0.0211    0.31   67.00    8.30   37.07    0.4500   -1.30320   36.75710 9000.000
    42  802.83    2.021   15.13   87.0    1.7001    0.0212    0.33   67.00    8.50   37.07    0.4500   -1.30330   36.75700 9000.000
    44  802.14    2.028   15.13   86.0    1.7426    0.0217    0.34   67.00    8.60   37.07    0.4600   -1.30320   36.75690 9000.000
    46  801.32    2.037   15.06   87.0    1.7426    0.0217    0.35   67.00    8.70   37.07    0.4600   -1.30320   36.75670 9000.000
    48  800.16    2.049   14.95   87.0    1.7427    0.0218    0.37   67.00    8.90   37.08    0.4600   -1.30320   36.75650 9000.000
    50  799.01    2.062   14.82   87.0    1.7852    0.0223    0.39   67.00    9.00   37.08    0.4700   -1.30330   36.75630 9000.000
    52  798.05    2.072   14.78   87.0    1.7852    0.0224    0.41   67.00    9.10   37.09    0.4700   -1.30350   36.75620 9000.000
    54  796.96    2.083   14.65   88.0    1.7852    0.0224    0.43   67.00    9.20   37.09    0.4700   -1.30350   36.75610 9000.000
    56  795.66    2.097   14.47   89.0    1.8278    0.0230    0.45   67.00    9.30   37.09    0.4800   -1.30350   36.75600 9000.000
