36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 8 November, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180627
Launch Time (UT)                  : 08:27:35
Burst Pressure (hPa)              : 6.16
Integrated O3 to end of data (DU) : 210.87
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1413175
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32333
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O) (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : No
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.80    1.800   19.40   68.0    1.6952    0.0205    0.00  101.00    2.10   32.88    0.4700   -1.30180   36.75930 9000.000
     2  824.04    1.818   18.55   50.0    1.7347    0.0211    0.03  180.00    2.00   32.88    0.4800   -1.30170   36.75910 9000.000
     4  822.88    1.830   18.37   53.0    1.8135    0.0220    0.05  185.00    2.20   32.88    0.5000   -1.30160   36.75910 9000.000
     6  821.69    1.843   18.13   57.0    1.8526    0.0225    0.07  184.00    2.50   32.82    0.5100   -1.30160   36.75900 9000.000
     8  820.42    1.856   17.98   60.0    1.9310    0.0235    0.09  185.00    2.70   32.76    0.5300   -1.30150   36.75910 9000.000
    10  819.17    1.869   17.90   63.0    1.9308    0.0236    0.12  186.00    2.90   32.72    0.5300   -1.30150   36.75920 9000.000
    12  817.98    1.882   17.73   64.0    2.0094    0.0246    0.14  187.00    3.20   32.69    0.5500   -1.30140   36.75930 9000.000
    14  816.92    1.893   17.49   64.0    2.0484    0.0251    0.16  189.00    3.40   32.63    0.5600   -1.30130   36.75920 9000.000
    16  816.02    1.902   17.32   65.0    2.0875    0.0256    0.18  190.00    3.60   32.59    0.5700   -1.30130   36.75910 9000.000
    18  815.00    1.913   17.12   65.0    2.1265    0.0261    0.20  191.00    3.70   32.54    0.5800   -1.30120   36.75910 9000.000
    20  813.95    1.924   17.10   67.0    2.1656    0.0266    0.22  192.00    3.90   32.49    0.5900   -1.30120   36.75920 9000.000
    22  813.02    1.934   17.07   68.0    2.2045    0.0271    0.24  193.00    4.00   32.43    0.6000   -1.30120   36.75930 9000.000
    24  812.09    1.943   16.93   68.0    2.2434    0.0276    0.26  194.00    4.10   32.36    0.6100   -1.30100   36.75930 9000.000
