36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 8 November, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180718
Launch Time (UT)                  : 06:54:33
Burst Pressure (hPa)              : 8.67
Integrated O3 to end of data (DU) : 205.49
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1413153
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32337
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : No
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.00    1.800   14.00   74.0    1.7340    0.0210    0.00  113.00    1.30   29.72    0.4900   -1.30180   36.75930 9000.000
     2  825.84    1.812   13.66   61.0    1.7340    0.0210    0.02  149.00    0.80   29.72    0.4900   -1.30180   36.75910 9000.000
     4  824.50    1.826   13.45   65.0    1.7734    0.0215    0.04  153.00    0.90   29.73    0.5000   -1.30180   36.75910 9000.000
     6  823.07    1.840   13.44   68.0    1.7734    0.0215    0.07  154.00    1.00   29.73    0.5000   -1.30180   36.75910 9000.000
     8  821.80    1.853   13.41   70.0    1.8128    0.0221    0.09  156.00    1.10   29.73    0.5100   -1.30180   36.75900 9000.000
    10  820.74    1.864   13.26   70.0    1.8128    0.0221    0.11  157.00    1.10   29.73    0.5100   -1.30170   36.75900 9000.000
    12  819.55    1.876   13.09   71.0    1.8127    0.0221    0.13  158.00    1.20   29.71    0.5100   -1.30160   36.75910 9000.000
    14  818.12    1.891   12.94   72.0    1.8127    0.0222    0.15  158.00    1.20   29.70    0.5100   -1.30170   36.75910 9000.000
    16  816.68    1.906   12.77   73.0    1.8127    0.0222    0.18  158.00    1.20   29.70    0.5100   -1.30180   36.75910 9000.000
    18  815.23    1.921   12.58   73.0    1.8126    0.0222    0.20  157.00    1.20   29.69    0.5100   -1.30170   36.75900 9000.000
    20  813.81    1.935   12.44   74.0    1.8126    0.0223    0.23  156.00    1.10   29.69    0.5100   -1.30160   36.75900 9000.000
    22  812.35    1.951   12.32   75.0    1.8520    0.0228    0.25  155.00    1.10   29.69    0.5200   -1.30150   36.75900 9000.000
    24  811.00    1.964   12.17   75.0    1.8521    0.0228    0.28  152.00    1.10   29.70    0.5200   -1.30160   36.75900 9000.000
    26  809.75    1.977   12.03   76.0    1.8521    0.0229    0.30  150.00    1.00   29.70    0.5200   -1.30170   36.75900 9000.000
    28  808.66    1.989   11.87   76.0    1.8915    0.0234    0.32  146.00    1.00   29.70    0.5300   -1.30160   36.75900 9000.000
    30  807.60    2.000   11.75   77.0    1.8915    0.0234    0.34  142.00    1.00   29.70    0.5300   -1.30150   36.75900 9000.000
    32  806.30    2.013   11.63   77.0    1.9309    0.0239    0.36  137.00    1.00   29.70    0.5400   -1.30150   36.75900 9000.000
    34  804.97    2.027   11.54   78.0    1.9704    0.0245    0.39  131.00    1.00   29.71    0.5500   -1.30160   36.75900 9000.000
    36  803.63    2.041   11.48   79.0    1.9704    0.0245    0.42  125.00    1.00   29.71    0.5500   -1.30160   36.75890 9000.000
    38  802.27    2.055   11.35   79.0    1.9704    0.0246    0.44  118.00    1.00   29.71    0.5500   -1.30160   36.75890 9000.000
    40  800.91    2.069   11.15   79.0    1.9704    0.0246    0.47  111.00    1.10   29.72    0.5500   -1.30150   36.75890 9000.000
    42  799.62    2.083   10.95   80.0    1.9704    0.0246    0.49  104.00    1.20   29.72    0.5500   -1.30140   36.75890 9000.000
    44  798.27    2.097   10.79   80.0    1.9704    0.0247    0.52   98.00    1.20   29.72    0.5500   -1.30150   36.75900 9000.000
    46  796.93    2.111   10.67   81.0    1.9704    0.0247    0.55   92.00    1.30   29.72    0.5500   -1.30150   36.75890 9000.000
    48  795.84    2.122   10.57   82.0    1.9704    0.0248    0.57   87.00    1.40   29.72    0.5500   -1.30140   36.75880 9000.000
    50  794.74    2.134   10.39   82.0    2.0099    0.0253    0.59   82.00    1.40   29.73    0.5600   -1.30140   36.75880 9000.000
    52  793.63    2.146   10.20   83.0    2.0099    0.0253    0.61   78.00    1.40   29.73    0.5600   -1.30140   36.75870 9000.000
    54  792.59    2.157   10.10   83.0    2.0098    0.0254    0.63   74.00    1.40   29.72    0.5600   -1.30150   36.75880 9000.000
    56  791.35    2.170    9.99   83.0    2.0099    0.0254    0.66   71.00    1.30   29.73    0.5600   -1.30160   36.75880 9000.000
    58  790.22    2.181    9.87   84.0    2.0099    0.0254    0.68   68.00    1.20   29.73    0.5600   -1.30160   36.75870 9000.000
    60  789.36    2.191    9.80   84.0    2.0493    0.0260    0.70   64.00    1.10   29.73    0.5700   -1.30160   36.75860 9000.000
    62  788.41    2.201    9.72   85.0    2.0493    0.0260    0.72   61.00    0.90   29.73    0.5700   -1.30150   36.75860 9000.000
    64  787.40    2.211    9.67   85.0    2.0493    0.0260    0.74   56.00    0.70   29.73    0.5700   -1.30150   36.75850 9000.000
    66  786.48    2.221    9.68   84.0    2.0494    0.0261    0.76    0.00    0.50   29.74    0.5700   -1.30160   36.75850 9000.000
    68  785.69    2.229    9.66   82.0    2.0494    0.0261    0.77    0.00    0.20   29.74    0.5700   -1.30160   36.75850 9000.000
    70  784.92    2.237    9.63   80.0    2.0494    0.0261    0.79    0.00    0.10   29.74    0.5700   -1.30160   36.75860 9000.000
    72  784.03    2.247    9.54   80.0    2.0888    0.0266    0.81    0.00    0.30   29.74    0.5800   -1.30160   36.75870 9000.000
    74  782.91    2.259    9.39   82.0    2.0888    0.0267    0.83    0.00    0.40   29.74    0.5800   -1.30150   36.75870 9000.000
    76  781.68    2.272    9.27   84.0    2.1282    0.0272    0.86  237.00    0.60   29.74    0.5900   -1.30150   36.75860 9000.000
    78  780.53    2.284    9.14   85.0    2.1283    0.0273    0.88  232.00    0.70   29.75    0.5900   -1.30160   36.75860 9000.000
    80  779.63    2.294    9.07   85.0    2.1282    0.0273    0.90  229.00    0.80   29.74    0.5900   -1.30160   36.75870 9000.000
    82  778.79    2.303    9.01   84.0    2.1282    0.0273    0.92  225.00    0.90   29.74    0.5900   -1.30150   36.75880 9000.000
    84  777.86    2.312    8.91   84.0    2.1677    0.0279    0.94  221.00    1.00   29.75    0.6000   -1.30150   36.75880 9000.000
