36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 7 March, 2019
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20190124
Launch Time (UT)                  : 06:56:10
Burst Pressure (hPa)              : 7.22
Integrated O3 to end of data (DU) : 213.98
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423961
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32942
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.60    1.800   18.80   70.0    2.2462    0.0272    0.00   80.00    4.00   36.15    0.6100   -1.30180   36.75930 9000.000
     2  824.65    1.810   18.74   50.0    2.2462    0.0272    0.02   50.00    2.50   36.15    0.6100   -1.30180   36.75910 9000.000
     4  823.47    1.822   18.66   53.0    2.2864    0.0278    0.05   48.00    2.70   36.16    0.6200   -1.30180   36.75900 9000.000
     6  822.12    1.836   18.57   55.0    2.2864    0.0278    0.08   49.00    3.20   36.16    0.6200   -1.30180   36.75900 9000.000
     8  820.85    1.849   18.41   57.0    2.2865    0.0279    0.10   49.00    3.60   36.17    0.6200   -1.30190   36.75900 9000.000
    10  819.65    1.862   18.11   59.0    2.2865    0.0279    0.13   48.00    3.90   36.17    0.6200   -1.30200   36.75890 9000.000
    12  818.69    1.872   17.96   60.0    2.2865    0.0279    0.15   48.00    4.20   36.17    0.6200   -1.30210   36.75880 9000.000
    14  817.63    1.883   17.87   60.0    2.2865    0.0280    0.17   48.00    4.50   36.17    0.6200   -1.30220   36.75870 9000.000
    16  816.41    1.896   17.81   62.0    2.3266    0.0285    0.20   48.00    4.70   36.17    0.6300   -1.30230   36.75860 9000.000
    18  815.34    1.907   17.70   63.0    2.3266    0.0285    0.23   48.00    4.90   36.17    0.6300   -1.30240   36.75860 9000.000
    20  814.42    1.917   17.62   63.0    2.3267    0.0286    0.25   47.00    5.00   36.18    0.6300   -1.30240   36.75850 9000.000
    22  813.49    1.927   17.59   62.0    2.3668    0.0291    0.27   47.00    5.10   36.18    0.6400   -1.30240   36.75850 9000.000
    24  812.30    1.939   17.41   62.0    2.3668    0.0291    0.30   46.00    5.20   36.18    0.6400   -1.30240   36.75850 9000.000
    26  810.98    1.953   17.21   63.0    2.4070    0.0297    0.33   45.00    5.20   36.19    0.6500   -1.30250   36.75840 9000.000
    28  809.76    1.966   17.08   64.0    2.4070    0.0297    0.35   44.00    5.20   36.19    0.6500   -1.30260   36.75820 9000.000
    30  808.58    1.979   16.95   65.0    2.4071    0.0298    0.38   42.00    5.20   36.19    0.6500   -1.30270   36.75810 9000.000
    32  807.49    1.990   16.84   65.0    2.4071    0.0298    0.41   41.00    5.20   36.19    0.6500   -1.30270   36.75800 9000.000
    34  806.43    2.001   16.73   66.0    2.4071    0.0298    0.43   39.00    5.20   36.19    0.6500   -1.30270   36.75790 9000.000
    36  805.31    2.013   16.64   66.0    2.4071    0.0299    0.46   37.00    5.20   36.20    0.6500   -1.30280   36.75800 9000.000
    38  803.98    2.027   16.56   67.0    2.4473    0.0304    0.49   35.00    5.20   36.21    0.6600   -1.30300   36.75800 9000.000
    40  802.68    2.041   16.44   67.0    2.4473    0.0305    0.52   33.00    5.20   36.21    0.6600   -1.30300   36.75790 9000.000
    42  801.51    2.053   16.34   67.0    2.4072    0.0300    0.55   32.00    5.20   36.21    0.6500   -1.30300   36.75780 9000.000
    44  800.26    2.067   16.16   67.0    2.4072    0.0301    0.58   30.00    5.20   36.21    0.6500   -1.30310   36.75780 9000.000
    46  799.04    2.080   15.95   69.0    2.4072    0.0301    0.61   29.00    5.30   36.22    0.6500   -1.30320   36.75780 9000.000
    48  797.85    2.092   15.72   70.0    2.4072    0.0302    0.64   27.00    5.30   36.22    0.6500   -1.30330   36.75780 9000.000
    50  796.65    2.105   15.52   71.0    2.4072    0.0302    0.67   27.00    5.40   36.22    0.6500   -1.30350   36.75770 9000.000
    52  795.40    2.118   15.37   70.0    2.4073    0.0303    0.70   26.00    5.50   36.23    0.6500   -1.30360   36.75760 9000.000
    54  794.14    2.132   15.24   71.0    2.4475    0.0308    0.73   26.00    5.60   36.23    0.6600   -1.30360   36.75760 9000.000
    56  792.80    2.146   15.13   71.0    2.4475    0.0309    0.76   26.00    5.70   36.24    0.6600   -1.30360   36.75760 9000.000
    58  791.46    2.161   14.97   71.0    2.4475    0.0309    0.79   26.00    5.90   36.24    0.6600   -1.30370   36.75750 9000.000
    60  790.16    2.175   14.82   72.0    2.4475    0.0310    0.82   26.00    6.00   36.24    0.6600   -1.30390   36.75740 9000.000
    62  788.89    2.188   14.85   71.0    2.4476    0.0310    0.85   26.00    6.10   36.24    0.6600   -1.30400   36.75740 9000.000
    64  787.84    2.200   15.39   63.0    2.4476    0.0311    0.88   26.00    6.30   36.24    0.6600   -1.30400   36.75740 9000.000
    66  787.02    2.208   15.84   56.0    2.4476    0.0311    0.90   27.00    6.40   36.24    0.6600   -1.30410   36.75730 9000.000
    68  786.26    2.217   15.86   53.0    2.4476    0.0311    0.92   27.00    6.60   36.24    0.6600   -1.30420   36.75730 9000.000
    70  785.37    2.226   15.92   50.0    2.4476    0.0312    0.94   27.00    6.70   36.24    0.6600   -1.30440   36.75730 9000.000
    72  784.23    2.239   16.02   47.0    2.4878    0.0317    0.97   28.00    6.80   36.25    0.6700   -1.30460   36.75720 9000.000
    74  783.21    2.250   16.10   45.0    2.5279    0.0323    0.99   28.00    7.00   36.25    0.6800   -1.30470   36.75710 9000.000
    76  782.28    2.260   16.09   44.0    2.5280    0.0323    1.02   28.00    7.10   36.27    0.6800   -1.30470   36.75700 9000.000
    78  781.27    2.271   15.95   43.0    2.5280    0.0324    1.04   29.00    7.20   36.27    0.6800   -1.30480   36.75690 9000.000
    80  780.20    2.282   15.85   44.0    2.5681    0.0329    1.07   30.00    7.30   36.27    0.6900   -1.30490   36.75690 9000.000
    82  778.99    2.296   15.78   45.0    2.5681    0.0330    1.10   30.00    7.40   36.27    0.6900   -1.30510   36.75690 9000.000
    84  777.82    2.308   15.68   45.0    2.5681    0.0330    1.13   31.00    7.50   36.27    0.6900   -1.30520   36.75680 9000.000
    86  776.84    2.319   15.64   45.0    2.5682    0.0331    1.16   32.00    7.60   36.28    0.6900   -1.30530   36.75670 9000.000
    88  775.91    2.329   15.58   45.0    2.5683    0.0331    1.18   33.00    7.70   36.29    0.6900   -1.30540   36.75670 9000.000
    90  774.96    2.339   15.52   46.0    2.5683    0.0331    1.21   34.00    7.80   36.29    0.6900   -1.30560   36.75670 9000.000
    92  774.02    2.350   15.49   45.0    2.6085    0.0337    1.23   35.00    7.90   36.30    0.7000   -1.30570   36.75660 9000.000
    94  772.99    2.361   15.47   45.0    2.6086    0.0337    1.26   36.00    8.00   36.31    0.7000   -1.30580   36.75640 9000.000
    96  771.87    2.373   15.35   45.0    2.6086    0.0338    1.29   37.00    8.10   36.31    0.7000   -1.30590   36.75630 9000.000
    98  770.80    2.385   15.25   46.0    2.6086    0.0338    1.32   38.00    8.10   36.31    0.7000   -1.30600   36.75620 9000.000
   100  769.86    2.395   15.23   46.0    2.6087    0.0339    1.34   39.00    8.10   36.32    0.7000   -1.30610   36.75600 9000.000
   102  768.87    2.406   15.12   46.0    2.6087    0.0339    1.37   39.00    8.10   36.32    0.7000   -1.30630   36.75590 9000.000
   104  767.75    2.419   15.04   46.0    2.6087    0.0340    1.40   40.00    8.10   36.32    0.7000   -1.30640   36.75590 9000.000
   106  766.51    2.432   14.94   47.0    2.6087    0.0340    1.43   40.00    8.00   36.32    0.7000   -1.30650   36.75590 9000.000
   108  765.30    2.446   14.87   47.0    2.6087    0.0341    1.47   40.00    7.80   36.32    0.7000   -1.30650   36.75580 9000.000
   110  764.33    2.457   14.87   46.0    2.6087    0.0341    1.49   40.00    7.70   36.32    0.7000   -1.30670   36.75560 9000.000
   112  763.39    2.467   14.77   46.0    2.6087    0.0342    1.52   40.00    7.50   36.32    0.7000   -1.30680   36.75540 9000.000
   114  762.46    2.477   14.61   46.0    2.6088    0.0342    1.54   40.00    7.30   36.33    0.7000   -1.30690   36.75530 9000.000
   116  761.45    2.489   14.42   47.0    2.6087    0.0343    1.57   39.00    7.20   36.32    0.7000   -1.30710   36.75530 9000.000
   118  760.36    2.501   14.22   48.0    2.6088    0.0343    1.60   39.00    7.00   36.34    0.7000   -1.30720   36.75530 9000.000
   120  759.33    2.512   14.19   49.0    2.6088    0.0344    1.63   39.00    6.90   36.34    0.7000   -1.30720   36.75520 9000.000
   122  758.39    2.523   14.16   50.0    2.6088    0.0344    1.65   38.00    6.90   36.34    0.7000   -1.30730   36.75520 9000.000
   124  757.47    2.533   14.13   49.0    2.6088    0.0344    1.68   38.00    6.90   36.34    0.7000   -1.30730   36.75510 9000.000
   126  756.38    2.545   14.12   48.0    2.6089    0.0345    1.71   37.00    6.90   36.35    0.7000   -1.30740   36.75500 9000.000
   128  755.23    2.558   14.21   46.0    2.6089    0.0345    1.74   37.00    7.00   36.35    0.7000   -1.30750   36.75490 9000.000
   130  754.07    2.571   14.18   45.0    2.6091    0.0346    1.77   36.00    7.20   36.37    0.7000   -1.30770   36.75480 9000.000
   132  753.10    2.582   14.14   45.0    2.6091    0.0346    1.80   36.00    7.40   36.37    0.7000   -1.30780   36.75480 9000.000
   134  752.34    2.590   14.20   44.0    2.6091    0.0347    1.82   35.00    7.70   36.37    0.7000   -1.30780   36.75470 9000.000
   136  751.49    2.600   14.19   42.0    2.6091    0.0347    1.84   34.00    8.00   36.37    0.7000   -1.30790   36.75470 9000.000
   138  750.60    2.610   14.05   42.0    2.6092    0.0348    1.87   34.00    8.40   36.38    0.7000   -1.30800   36.75450 9000.000
   140  749.69    2.620   13.91   42.0    2.6494    0.0353    1.89   33.00    8.70   36.38    0.7100   -1.30810   36.75440 9000.000
   142  748.70    2.631   13.79   43.0    2.6494    0.0354    1.92   32.00    9.00   36.38    0.7100   -1.30830   36.75420 9000.000
   144  747.73    2.642   13.66   43.0    2.6494    0.0354    1.95   32.00    9.30   36.38    0.7100   -1.30840   36.75420 9000.000
   146  746.79    2.652   13.58   42.0    2.6897    0.0360    1.97   31.00    9.60   36.40    0.7200   -1.30870   36.75410 9000.000
   148  745.84    2.663   13.50   42.0    2.6897    0.0361    2.00   31.00    9.90   36.40    0.7200   -1.30880   36.75410 9000.000
   150  744.86    2.674   13.41   42.0    2.6897    0.0361    2.03   30.00   10.10   36.40    0.7200   -1.30900   36.75410 9000.000
   152  743.80    2.686   13.32   42.0    2.6897    0.0362    2.06   30.00   10.30   36.40    0.7200   -1.30920   36.75400 9000.000
   154  742.76    2.698   13.29   42.0    2.6898    0.0362    2.09   30.00   10.50   36.41    0.7200   -1.30940   36.75380 9000.000
   156  741.67    2.710   13.20   42.0    2.6899    0.0363    2.12   29.00   10.60   36.42    0.7200   -1.30950   36.75370 9000.000
   158  740.49    2.724   13.11   42.0    2.7300    0.0369    2.15   29.00   10.70   36.42    0.7300   -1.30960   36.75360 9000.000
   160  739.31    2.737   12.99   41.0    2.7300    0.0369    2.19   29.00   10.80   36.42    0.7300   -1.30970   36.75350 9000.000
   162  738.27    2.749   12.91   41.0    2.6899    0.0364    2.22   29.00   10.80   36.43    0.7200   -1.31000   36.75350 9000.000
   164  737.31    2.760   12.91   41.0    2.7300    0.0370    2.25   29.00   10.80   36.43    0.7300   -1.31020   36.75340 9000.000
   166  736.41    2.770   12.87   41.0    2.6899    0.0365    2.27   29.00   10.90   36.43    0.7200   -1.31040   36.75320 9000.000
   168  735.52    2.780   12.87   40.0    2.7301    0.0371    2.30   29.00   10.90   36.44    0.7300   -1.31050   36.75310 9000.000
   170  734.71    2.790   12.83   39.0    2.7302    0.0372    2.32   29.00   10.80   36.45    0.7300   -1.31060   36.75300 9000.000
   172  733.92    2.799   12.65   39.0    2.7301    0.0372    2.34   29.00   10.80   36.44    0.7300   -1.31080   36.75290 9000.000
   174  733.04    2.809   12.50   39.0    2.7301    0.0372    2.37   29.00   10.80   36.44    0.7300   -1.31100   36.75290 9000.000
   176  731.94    2.821   12.40   39.0    2.7301    0.0373    2.40   29.00   10.70   36.44    0.7300   -1.31120   36.75280 9000.000
   178  730.82    2.834   12.36   39.0    2.7302    0.0374    2.44   29.00   10.70   36.44    0.7300   -1.31140   36.75270 9000.000
   180  729.87    2.845   12.38   38.0    2.7302    0.0374    2.46   30.00   10.60   36.44    0.7300   -1.31160   36.75250 9000.000
   182  729.10    2.854   12.42   38.0    2.7303    0.0374    2.49   30.00   10.60   36.46    0.7300   -1.31170   36.75240 9000.000
   184  728.23    2.864   12.36   37.0    2.7303    0.0375    2.51   30.00   10.40   36.46    0.7300   -1.31190   36.75230 9000.000
   186  727.32    2.874   12.24   36.0    2.7304    0.0375    2.54   30.00   10.30   36.47    0.7300   -1.31200   36.75220 9000.000
   188  726.53    2.884   12.24   37.0    2.7304    0.0376    2.56   31.00   10.20   36.47    0.7300   -1.31220   36.75220 9000.000
   190  725.83    2.892   12.28   36.0    2.7706    0.0382    2.58   31.00   10.00   36.47    0.7400   -1.31240   36.75210 9000.000
   192  724.98    2.901   12.20   36.0    2.7706    0.0382    2.61   31.00    9.80   36.47    0.7400   -1.31250   36.75210 9000.000
   194  724.11    2.911   12.14   38.0    2.7706    0.0383    2.64   32.00    9.50   36.47    0.7400   -1.31270   36.75190 9000.000
   196  723.38    2.920   12.20   41.0    2.7707    0.0383    2.66   32.00    9.30   36.48    0.7400   -1.31290   36.75180 9000.000
   198  722.68    2.928   12.32   39.0    2.7707    0.0383    2.68   32.00    9.00   36.48    0.7400   -1.31300   36.75170 9000.000
