36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Aug 12 15:18:49 2020
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20190802
Launch Time (UT)                  : 06:49:09
Burst Pressure (hPa)              : 6.35
Integrated O3 to end of data (DU) : 228.71
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423714
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33360
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.60    1.800   16.20   79.0    1.4226    0.0172    0.00  103.00    0.90   30.56    0.4000   -1.30180   36.75930 9000.000
     2  826.94    1.807   16.40   60.0    1.4227    0.0172    0.01   43.00    1.60   30.57    0.4000   -1.30180   36.75910 9000.000
     4  826.05    1.816   16.57   64.0    1.4227    0.0172    0.02   40.00    1.90   30.58    0.4000   -1.30190   36.75910 9000.000
     6  824.94    1.827   16.45   66.0    1.4622    0.0177    0.04   44.00    2.10   30.58    0.4100   -1.30180   36.75910 9000.000
     8  824.01    1.837   16.29   67.0    1.4622    0.0177    0.05   45.00    2.30   30.57    0.4100   -1.30190   36.75900 9000.000
    10  823.32    1.844   16.10   68.0    1.4622    0.0178    0.06   46.00    2.40   30.57    0.4100   -1.30200   36.75900 9000.000
    12  822.53    1.852   16.05   69.0    1.4621    0.0178    0.07   47.00    2.60   30.56    0.4100   -1.30210   36.75890 9000.000
    14  821.70    1.861   16.01   70.0    1.5016    0.0183    0.08   48.00    2.70   30.55    0.4200   -1.30220   36.75890 9000.000
    16  820.94    1.869   15.94   71.0    1.5015    0.0183    0.09   48.00    2.70   30.53    0.4200   -1.30220   36.75890 9000.000
    18  820.34    1.875   15.81   71.0    1.5015    0.0183    0.10   48.00    2.80   30.52    0.4200   -1.30210   36.75890 9000.000
    20  819.63    1.882   15.69   72.0    1.5409    0.0188    0.11   48.00    2.70   30.51    0.4300   -1.30210   36.75880 9000.000
    22  818.75    1.892   15.62   72.0    1.5409    0.0188    0.13   47.00    2.60   30.50    0.4300   -1.30210   36.75870 9000.000
    24  817.90    1.900   15.57   73.0    1.5803    0.0193    0.14   46.00    2.50   30.49    0.4400   -1.30220   36.75860 9000.000
    26  817.16    1.908   15.45   71.0    1.5802    0.0193    0.15   45.00    2.40   30.47    0.4400   -1.30220   36.75860 9000.000
    28  816.36    1.916   15.35   69.0    1.5802    0.0194    0.16   45.00    2.20   30.47    0.4400   -1.30230   36.75850 9000.000
    30  815.47    1.926   15.25   70.0    1.6197    0.0199    0.18   44.00    2.10   30.46    0.4500   -1.30240   36.75850 9000.000
    32  814.70    1.934   15.15   72.0    1.6196    0.0199    0.19   45.00    1.90   30.45    0.4500   -1.30240   36.75850 9000.000
    34  814.02    1.941   15.08   72.0    1.6592    0.0204    0.20   47.00    1.80   30.45    0.4600   -1.30240   36.75860 9000.000
    36  813.03    1.951   14.99   74.0    1.6591    0.0204    0.21   51.00    1.70   30.44    0.4600   -1.30240   36.75860 9000.000
    38  811.83    1.964   14.90   75.0    1.6986    0.0209    0.23   56.00    1.70   30.44    0.4700   -1.30240   36.75860 9000.000
    40  810.56    1.977   14.79   75.0    1.6986    0.0210    0.25   63.00    1.70   30.43    0.4700   -1.30250   36.75860 9000.000
    42  809.30    1.990   14.67   70.0    1.7380    0.0215    0.28   71.00    1.80   30.42    0.4800   -1.30250   36.75850 9000.000
    44  808.10    2.003   14.56   70.0    1.7379    0.0215    0.30   79.00    1.90   30.41    0.4800   -1.30250   36.75850 9000.000
    46  806.95    2.015   14.44   72.0    1.7379    0.0215    0.32   86.00    2.10   30.40    0.4800   -1.30250   36.75850 9000.000
    48  805.94    2.025   14.32   74.0    1.7772    0.0221    0.33   91.00    2.40   30.37    0.4900   -1.30240   36.75850 9000.000
    50  805.05    2.035   14.22   75.0    1.7771    0.0221    0.35   95.00    2.70   30.36    0.4900   -1.30240   36.75840 9000.000
    52  804.13    2.044   14.13   74.0    1.7770    0.0221    0.36   99.00    3.00   30.35    0.4900   -1.30240   36.75830 9000.000
    54  803.21    2.054   14.05   73.0    1.7770    0.0221    0.38  101.00    3.30   30.34    0.4900   -1.30250   36.75820 9000.000
    56  802.35    2.063   13.95   73.0    1.7769    0.0221    0.40  104.00    3.60   30.33    0.4900   -1.30250   36.75810 9000.000
    58  801.48    2.072   13.88   74.0    1.7769    0.0222    0.41  105.00    3.80   30.32    0.4900   -1.30250   36.75800 9000.000
    60  800.52    2.082   13.80   76.0    1.7769    0.0222    0.43  107.00    4.10   30.32    0.4900   -1.30250   36.75790 9000.000
    62  799.54    2.093   13.71   78.0    1.8162    0.0227    0.45  108.00    4.30   30.30    0.5000   -1.30240   36.75790 9000.000
    64  798.75    2.101   13.63   78.0    1.8162    0.0227    0.46  110.00    4.40   30.30    0.5000   -1.30240   36.75780 9000.000
    66  798.19    2.107   13.56   78.0    1.8162    0.0228    0.47  111.00    4.60   30.30    0.5000   -1.30230   36.75780 9000.000
    68  797.51    2.114   13.47   76.0    1.8163    0.0228    0.48  111.00    4.70   30.30    0.5000   -1.30220   36.75780 9000.000
    70  796.67    2.123   13.37   75.0    1.8163    0.0228    0.50  112.00    4.90   30.30    0.5000   -1.30220   36.75770 9000.000
    72  795.76    2.133   13.28   76.0    1.8163    0.0228    0.51  112.00    5.10   30.30    0.5000   -1.30210   36.75760 9000.000
    74  794.86    2.142   13.19   76.0    1.8163    0.0229    0.53  112.00    5.30   30.30    0.5000   -1.30210   36.75750 9000.000
    76  793.91    2.152   13.09   77.0    1.8557    0.0234    0.55  112.00    5.50   30.30    0.5100   -1.30210   36.75730 9000.000
    78  792.84    2.164   12.97   77.0    1.8557    0.0234    0.57  112.00    5.70   30.30    0.5100   -1.30220   36.75730 9000.000
    80  791.88    2.174   12.88   78.0    1.8558    0.0234    0.58  111.00    5.90   30.30    0.5100   -1.30210   36.75720 9000.000
    82  791.09    2.182   12.81   78.0    1.8558    0.0235    0.60  111.00    6.20   30.30    0.5100   -1.30210   36.75710 9000.000
    84  790.32    2.190   12.73   77.0    1.8557    0.0235    0.61  111.00    6.40   30.29    0.5100   -1.30200   36.75710 9000.000
    86  789.37    2.201   12.62   77.0    1.8557    0.0235    0.63  110.00    6.60   30.29    0.5100   -1.30190   36.75700 9000.000
    88  788.50    2.210   12.56   77.0    1.8952    0.0240    0.65  110.00    6.80   30.29    0.5200   -1.30180   36.75690 9000.000
    90  787.71    2.218   12.59   76.0    1.8952    0.0241    0.66  110.00    6.90   30.29    0.5200   -1.30180   36.75670 9000.000
    92  786.91    2.227   12.59   76.0    1.8952    0.0241    0.68  110.00    7.00   30.29    0.5200   -1.30170   36.75650 9000.000
    94  786.17    2.235   12.54   77.0    1.8952    0.0241    0.69  110.00    7.10   30.29    0.5200   -1.30160   36.75630 9000.000
    96  785.32    2.244   12.48   78.0    1.8952    0.0241    0.71  110.00    7.10   30.29    0.5200   -1.30160   36.75620 9000.000
    98  784.30    2.255   12.40   80.0    1.8953    0.0242    0.73  111.00    7.10   30.30    0.5200   -1.30160   36.75600 9000.000
   100  783.32    2.265   12.39   82.0    1.8953    0.0242    0.75  113.00    7.10   30.31    0.5200   -1.30160   36.75590 9000.000
   102  782.48    2.274   12.31   82.0    1.8954    0.0242    0.76  114.00    7.10   30.33    0.5200   -1.30160   36.75580 9000.000
   104  781.64    2.283   12.20   82.0    1.8953    0.0242    0.78  116.00    7.10   30.32    0.5200   -1.30160   36.75580 9000.000
   106  780.86    2.292   12.12   82.0    1.8558    0.0238    0.79  118.00    7.10   30.31    0.5100   -1.30160   36.75570 9000.000
   108  780.17    2.299   12.07   83.0    1.8557    0.0238    0.81  120.00    7.10   30.30    0.5100   -1.30150   36.75550 9000.000
   110  779.50    2.306   12.02   83.0    1.8161    0.0233    0.82  122.00    7.10   30.28    0.5000   -1.30140   36.75540 9000.000
   112  778.63    2.316   11.95   83.0    1.8161    0.0233    0.83  123.00    7.20   30.28    0.5000   -1.30130   36.75540 9000.000
   114  777.70    2.326   11.83   84.0    1.8161    0.0234    0.85  125.00    7.30   30.28    0.5000   -1.30130   36.75530 9000.000
   116  776.94    2.334   11.83   84.0    1.8161    0.0234    0.87  126.00    7.40   30.27    0.5000   -1.30120   36.75510 9000.000
   118  776.23    2.342   11.80   84.0    1.8161    0.0234    0.88  127.00    7.50   30.27    0.5000   -1.30100   36.75500 9000.000
   120  775.44    2.350   11.67   85.0    1.8161    0.0234    0.89  128.00    7.60   30.27    0.5000   -1.30090   36.75490 9000.000
   122  774.53    2.360   11.61   85.0    1.7765    0.0229    0.91  129.00    7.70   30.26    0.4900   -1.30080   36.75490 9000.000
   124  773.47    2.371   11.57   85.0    1.7765    0.0230    0.93  129.00    7.80   30.26    0.4900   -1.30080   36.75470 9000.000
   126  772.38    2.383   11.60   86.0    1.7765    0.0230    0.95  129.00    7.80   30.26    0.4900   -1.30070   36.75450 9000.000
   128  771.37    2.394   11.53   86.0    1.7765    0.0230    0.97  128.00    7.90   30.26    0.4900   -1.30060   36.75440 9000.000
   130  770.39    2.405   11.41   86.0    1.7765    0.0231    0.98  128.00    8.00   30.25    0.4900   -1.30050   36.75430 9000.000
   132  769.39    2.416   11.24   87.0    1.7370    0.0226    1.00  127.00    8.10   30.24    0.4800   -1.30040   36.75420 9000.000
   134  768.32    2.427   11.06   87.0    1.6975    0.0221    1.02  127.00    8.20   30.24    0.4700   -1.30030   36.75410 9000.000
   136  767.31    2.438   10.95   87.0    1.6975    0.0221    1.04  126.00    8.30   30.24    0.4700   -1.30030   36.75400 9000.000
   138  766.47    2.448   10.89   87.0    1.6974    0.0221    1.05  125.00    8.40   30.22    0.4700   -1.30020   36.75400 9000.000
   140  765.65    2.457   10.89   88.0    1.6973    0.0222    1.07  125.00    8.60   30.21    0.4700   -1.30010   36.75390 9000.000
   142  764.71    2.467   10.99   89.0    1.6973    0.0222    1.08  124.00    8.70   30.20    0.4700   -1.30000   36.75380 9000.000
   144  763.78    2.477   11.07   89.0    1.6972    0.0222    1.10  124.00    8.90   30.19    0.4700   -1.29980   36.75370 9000.000
   146  762.87    2.487   11.09   89.0    1.6972    0.0222    1.12  124.00    9.10   30.19    0.4700   -1.29970   36.75350 9000.000
   148  761.96    2.497   11.07   89.0    1.6577    0.0218    1.13  124.00    9.40   30.18    0.4600   -1.29970   36.75330 9000.000
   150  761.18    2.506   11.00   89.0    1.6182    0.0213    1.15  124.00    9.60   30.17    0.4500   -1.29960   36.75300 9000.000
   152  760.37    2.514   10.94   89.0    1.6182    0.0213    1.16  124.00    9.80   30.18    0.4500   -1.29960   36.75290 9000.000
   154  759.42    2.525   10.85   89.0    1.5787    0.0208    1.18  124.00   10.00   30.18    0.4400   -1.29950   36.75270 9000.000
   156  758.55    2.534   10.75   89.0    1.5392    0.0203    1.19  124.00   10.20   30.17    0.4300   -1.29940   36.75260 9000.000
