36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:26 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200129
Launch Time (UT)                  : 07:41:18
Burst Pressure (hPa)              : 7.31
Integrated O3 to end of data (DU) : 188.91
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2633312
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33248
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.30    1.800   18.40   81.0    1.6417    0.0199    0.00   90.00    2.30   30.27    0.4700   -1.30180   36.75930 9000.000
     2  824.13    1.812   18.36   64.0    1.6417    0.0199    0.02   74.00    1.40   30.28    0.4700   -1.30180   36.75910 9000.000
     4  823.00    1.824   18.24   67.0    1.6809    0.0204    0.04   71.00    1.60   30.29    0.4800   -1.30180   36.75910 9000.000
     6  821.87    1.836   18.11   69.0    1.6809    0.0205    0.05   67.00    1.80   30.29    0.4800   -1.30180   36.75900 9000.000
     8  820.93    1.846   18.05   71.0    1.6809    0.0205    0.07   64.00    2.00   30.29    0.4800   -1.30170   36.75900 9000.000
    10  820.06    1.855   18.01   72.0    1.6809    0.0205    0.08   60.00    2.20   30.30    0.4800   -1.30170   36.75890 9000.000
    12  819.06    1.865   17.91   73.0    1.7200    0.0210    0.10   56.00    2.40   30.30    0.4900   -1.30170   36.75880 9000.000
    14  818.11    1.875   17.81   74.0    1.7200    0.0210    0.12   52.00    2.60   30.30    0.4900   -1.30180   36.75880 9000.000
    16  817.16    1.885   17.68   75.0    1.7591    0.0215    0.13   48.00    2.80   30.30    0.5000   -1.30190   36.75870 9000.000
    18  816.18    1.895   17.54   76.0    1.7592    0.0216    0.15   44.00    2.90   30.31    0.5000   -1.30200   36.75870 9000.000
    20  815.34    1.904   17.58   76.0    1.7592    0.0216    0.16   41.00    3.10   30.31    0.5000   -1.30200   36.75870 9000.000
    22  814.55    1.913   17.80   77.0    1.7592    0.0216    0.18   37.00    3.20   30.31    0.5000   -1.30200   36.75880 9000.000
    24  813.52    1.923   17.80   77.0    1.7593    0.0216    0.19   34.00    3.30   30.32    0.5000   -1.30200   36.75870 9000.000
    26  812.34    1.936   17.58   77.0    1.7593    0.0217    0.21   32.00    3.40   30.32    0.5000   -1.30210   36.75860 9000.000
    28  811.04    1.949   17.32   77.0    1.7593    0.0217    0.24   29.00    3.50   30.32    0.5000   -1.30220   36.75860 9000.000
    30  809.79    1.963   17.06   78.0    1.7593    0.0217    0.26   27.00    3.60   30.32    0.5000   -1.30230   36.75860 9000.000
    32  808.70    1.974   16.98   78.0    1.7593    0.0218    0.28   26.00    3.60   30.33    0.5000   -1.30230   36.75850 9000.000
    34  807.53    1.987   16.95   79.0    1.7202    0.0213    0.30   24.00    3.70   30.33    0.4900   -1.30230   36.75840 9000.000
    36  806.59    1.997   16.87   79.0    1.7202    0.0213    0.31   23.00    3.70   30.33    0.4900   -1.30240   36.75840 9000.000
    38  805.83    2.005   16.83   80.0    1.7202    0.0213    0.33   21.00    3.70   30.34    0.4900   -1.30250   36.75850 9000.000
    40  804.91    2.014   16.70   80.0    1.7202    0.0214    0.34   20.00    3.70   30.34    0.4900   -1.30260   36.75850 9000.000
    42  803.99    2.024   16.50   79.0    1.7202    0.0214    0.36   18.00    3.70   30.34    0.4900   -1.30270   36.75850 9000.000
    44  803.29    2.032   16.41   78.0    1.6812    0.0209    0.37   17.00    3.80   30.35    0.4800   -1.30280   36.75830 9000.000
    46  802.51    2.040   16.31   77.0    1.6812    0.0209    0.38   16.00    3.80   30.35    0.4800   -1.30280   36.75830 9000.000
    48  801.65    2.049   16.21   78.0    1.6812    0.0210    0.39   15.00    3.90   30.35    0.4800   -1.30280   36.75820 9000.000
    50  800.78    2.058   16.13   79.0    1.7204    0.0215    0.41   14.00    3.90   30.36    0.4900   -1.30290   36.75820 9000.000
    52  799.99    2.067   16.02   79.0    1.7204    0.0215    0.42   14.00    4.00   30.37    0.4900   -1.30290   36.75830 9000.000
    54  799.28    2.074   15.95   79.0    1.7204    0.0215    0.44   15.00    4.20   30.37    0.4900   -1.30300   36.75840 9000.000
    56  798.53    2.082   15.84   80.0    1.7205    0.0215    0.45   16.00    4.30   30.38    0.4900   -1.30310   36.75840 9000.000
    58  797.62    2.092   15.72   81.0    1.7596    0.0221    0.46   17.00    4.40   30.39    0.5000   -1.30320   36.75840 9000.000
    60  796.56    2.103   15.64   82.0    1.7597    0.0221    0.48   19.00    4.60   30.40    0.5000   -1.30320   36.75830 9000.000
    62  795.42    2.115   15.59   81.0    1.7989    0.0226    0.50   21.00    4.70   30.41    0.5100   -1.30330   36.75820 9000.000
    64  794.22    2.128   15.53   80.0    1.7989    0.0226    0.52   23.00    4.90   30.41    0.5100   -1.30340   36.75830 9000.000
    66  793.07    2.141   15.43   80.0    1.7989    0.0227    0.54   26.00    5.00   30.42    0.5100   -1.30350   36.75820 9000.000
    68  792.15    2.151   15.37   80.0    1.7989    0.0227    0.56   28.00    5.10   30.42    0.5100   -1.30360   36.75820 9000.000
    70  791.44    2.158   15.34   80.0    1.7990    0.0227    0.57   31.00    5.30   30.43    0.5100   -1.30370   36.75810 9000.000
    72  790.67    2.166   15.24   81.0    1.7990    0.0228    0.59   33.00    5.40   30.43    0.5100   -1.30390   36.75800 9000.000
    74  789.71    2.177   15.07   82.0    1.7990    0.0228    0.60   35.00    5.50   30.43    0.5100   -1.30400   36.75800 9000.000
    76  788.68    2.188   15.08   81.0    1.7990    0.0228    0.62   36.00    5.60   30.43    0.5100   -1.30400   36.75790 9000.000
    78  787.60    2.200   15.03   81.0    1.7990    0.0228    0.64   37.00    5.70   30.43    0.5100   -1.30400   36.75780 9000.000
    80  786.53    2.211   14.88   81.0    1.7991    0.0229    0.66   38.00    5.80   30.44    0.5100   -1.30400   36.75770 9000.000
    82  785.53    2.222   14.79   81.0    1.7991    0.0229    0.68   39.00    5.90   30.45    0.5100   -1.30410   36.75760 9000.000
    84  784.58    2.232   14.78   81.0    1.7991    0.0229    0.70   38.00    5.90   30.45    0.5100   -1.30420   36.75750 9000.000
    86  783.53    2.243   14.64   81.0    1.7992    0.0230    0.72   38.00    5.90   30.46    0.5100   -1.30430   36.75750 9000.000
    88  782.37    2.256   14.52   82.0    1.7993    0.0230    0.74   38.00    6.00   30.48    0.5100   -1.30440   36.75750 9000.000
    90  781.18    2.269   14.49   81.0    1.7994    0.0230    0.76   37.00    5.90   30.50    0.5100   -1.30450   36.75750 9000.000
    92  780.11    2.280   14.52   80.0    1.7994    0.0231    0.78   36.00    5.90   30.50    0.5100   -1.30450   36.75730 9000.000
    94  779.12    2.291   14.42   79.0    1.7994    0.0231    0.80   36.00    5.90   30.51    0.5100   -1.30470   36.75720 9000.000
    96  778.01    2.303   14.27   80.0    1.7994    0.0231    0.82   35.00    5.80   30.50    0.5100   -1.30480   36.75720 9000.000
    98  776.79    2.317   14.20   80.0    1.7994    0.0232    0.84   35.00    5.70   30.51    0.5100   -1.30490   36.75720 9000.000
   100  775.78    2.328   14.14   79.0    1.7995    0.0232    0.86   34.00    5.60   30.51    0.5100   -1.30500   36.75710 9000.000
   102  774.98    2.336   14.10   79.0    1.7604    0.0227    0.87   34.00    5.50   30.52    0.5000   -1.30500   36.75700 9000.000
   104  774.03    2.347   13.98   79.0    1.7604    0.0227    0.89   34.00    5.40   30.52    0.5000   -1.30520   36.75690 9000.000
   106  772.96    2.358   13.89   80.0    1.7604    0.0228    0.91   33.00    5.30   30.52    0.5000   -1.30530   36.75690 9000.000
   108  771.85    2.371   13.82   81.0    1.7603    0.0228    0.93   33.00    5.20   30.50    0.5000   -1.30540   36.75690 9000.000
   110  770.73    2.383   13.74   81.0    1.7603    0.0228    0.95   33.00    5.10   30.50    0.5000   -1.30540   36.75690 9000.000
   112  769.55    2.396   13.64   80.0    1.7603    0.0229    0.97   32.00    5.10   30.50    0.5000   -1.30540   36.75680 9000.000
   114  768.27    2.410   13.49   80.0    1.7603    0.0229    0.99   31.00    5.00   30.50    0.5000   -1.30540   36.75680 9000.000
   116  766.96    2.424   13.34   81.0    1.7604    0.0230    1.02   31.00    5.00   30.52    0.5000   -1.30550   36.75670 9000.000
   118  765.65    2.439   13.19   82.0    1.7604    0.0230    1.04   30.00    5.00   30.52    0.5000   -1.30560   36.75670 9000.000
   120  764.48    2.452   13.08   82.0    1.7604    0.0230    1.06   29.00    5.00   30.52    0.5000   -1.30570   36.75660 9000.000
   122  763.52    2.462   13.00   82.0    1.7605    0.0231    1.08   28.00    5.00   30.53    0.5000   -1.30580   36.75650 9000.000
   124  762.68    2.471   12.95   82.0    1.7605    0.0231    1.09   27.00    5.00   30.53    0.5000   -1.30590   36.75640 9000.000
   126  761.88    2.480   12.92   83.0    1.7605    0.0231    1.11   27.00    5.10   30.53    0.5000   -1.30600   36.75650 9000.000
   128  760.87    2.491   12.79   83.0    1.7605    0.0231    1.13   26.00    5.10   30.53    0.5000   -1.30610   36.75650 9000.000
   130  759.70    2.504   12.71   84.0    1.7605    0.0232    1.15   26.00    5.10   30.54    0.5000   -1.30620   36.75650 9000.000
   132  758.46    2.518   12.74   82.0    1.7605    0.0232    1.17   27.00    5.20   30.54    0.5000   -1.30620   36.75640 9000.000
