36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:33 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200219
Launch Time (UT)                  : 07:46:02
Burst Pressure (hPa)              : 9.47
Integrated O3 to end of data (DU) : 189.42
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2633364
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33325
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.50    1.800   20.50   74.0    1.8885    0.0229    0.00  105.00    2.40   37.72    0.5200   -1.30180   36.75930 9000.000
     2  824.72    1.808   20.37   55.0    1.8886    0.0229    0.01   55.00    2.80   37.73    0.5200   -1.30190   36.75910 9000.000
     4  823.71    1.819   20.19   56.0    1.8886    0.0229    0.03   50.00    3.10   37.73    0.5200   -1.30200   36.75900 9000.000
     6  822.71    1.829   19.92   58.0    1.8886    0.0230    0.05   52.00    3.30   37.73    0.5200   -1.30200   36.75900 9000.000
     8  821.73    1.839   19.62   59.0    1.8886    0.0230    0.07   52.00    3.50   37.74    0.5200   -1.30190   36.75890 9000.000
    10  820.71    1.850   19.41   60.0    1.8886    0.0230    0.09   52.00    3.70   37.74    0.5200   -1.30200   36.75870 9000.000
    12  819.85    1.859   19.33   61.0    1.9288    0.0235    0.10   52.00    3.80   37.74    0.5300   -1.30220   36.75870 9000.000
    14  818.92    1.869   19.21   62.0    1.9288    0.0236    0.12   52.00    3.90   37.74    0.5300   -1.30230   36.75860 9000.000
    16  818.01    1.879   19.09   62.0    1.9288    0.0236    0.14   52.00    4.00   37.74    0.5300   -1.30230   36.75860 9000.000
    18  817.27    1.886   19.05   62.0    1.9690    0.0241    0.15   52.00    4.10   37.74    0.5400   -1.30230   36.75850 9000.000
    20  816.49    1.895   18.95   62.0    1.9691    0.0241    0.17   52.00    4.20   37.75    0.5400   -1.30230   36.75840 9000.000
    22  815.65    1.903   18.85   63.0    1.9691    0.0241    0.18   52.00    4.30   37.75    0.5400   -1.30240   36.75840 9000.000
    24  814.79    1.913   18.81   64.0    1.9692    0.0242    0.20   52.00    4.40   37.76    0.5400   -1.30240   36.75840 9000.000
    26  813.77    1.923   18.74   65.0    2.0093    0.0247    0.22   52.00    4.60   37.76    0.5500   -1.30240   36.75840 9000.000
    28  812.49    1.937   18.58   65.0    2.0094    0.0247    0.24   53.00    4.70   37.77    0.5500   -1.30240   36.75840 9000.000
    30  811.27    1.950   18.45   65.0    2.0095    0.0248    0.27   54.00    5.00   37.78    0.5500   -1.30240   36.75820 9000.000
    32  810.13    1.962   18.37   64.0    2.0095    0.0248    0.29   55.00    5.20   37.78    0.5500   -1.30260   36.75810 9000.000
    34  808.97    1.974   18.23   65.0    2.0096    0.0248    0.31   56.00    5.40   37.79    0.5500   -1.30270   36.75810 9000.000
    36  807.70    1.988   18.19   67.0    2.0096    0.0249    0.34   57.00    5.70   37.79    0.5500   -1.30280   36.75810 9000.000
