36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Mon Jun  5 11:13:35 2023
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20211124
Launch Time (UT)                  : 07:35:42
Burst Pressure (hPa)              : 13.08
Integrated O3 to end of data (DU) : 169.47
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : P5030150
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.450
Ozonesonde Instrument             : 1Z36886
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.15    1.790   23.20   56.0    2.9494    0.0358    0.00   20.00   16.00   35.70    0.7392   -1.30173   36.75935    1.779
     1  823.36    1.798   23.29   57.0    2.9789    0.0362    0.02   25.71    5.76   35.70    0.7462   -1.30179   36.75920    1.786
     2  822.99    1.802   22.68   58.0    3.0102    0.0366    0.03   42.72    2.09   35.71    0.7536   -1.30183   36.75913    1.791
     3  822.55    1.807   22.21   60.0    3.0102    0.0366    0.05   71.73    1.15   35.71    0.7536   -1.30186   36.75909    1.796
     4  822.11    1.811   22.02   60.0    3.0107    0.0366    0.06   71.17    1.19   35.71    0.7537   -1.30190   36.75907    1.800
     5  821.74    1.815   21.99   60.0    3.0209    0.0368    0.07   60.64    1.43   35.72    0.7561   -1.30195   36.75904    1.804
     6  821.36    1.819   21.93   60.0    3.0433    0.0371    0.08   54.79    1.63   35.72    0.7614   -1.30200   36.75899    1.809
     7  820.88    1.824   21.79   60.0    3.0518    0.0372    0.09   52.80    1.73   35.73    0.7634   -1.30204   36.75895    1.813
     8  820.37    1.830   21.66   60.0    3.0585    0.0373    0.11   52.50    1.76   35.73    0.7650   -1.30206   36.75890    1.819
     9  819.81    1.836   21.58   60.0    3.0606    0.0373    0.13   52.13    1.78   35.73    0.7655   -1.30205   36.75886    1.825
    10  819.19    1.842   21.56   60.0    3.0657    0.0374    0.14   51.71    1.79   35.73    0.7667   -1.30204   36.75883    1.832
    11  818.48    1.850   21.54   60.0    3.0665    0.0375    0.17   51.27    1.81   35.73    0.7669   -1.30202   36.75881    1.839
    12  817.78    1.857   21.49   60.0    3.0664    0.0375    0.19   50.82    1.82   35.72    0.7669   -1.30202   36.75880    1.846
    13  817.18    1.864   21.44   60.0    3.0665    0.0375    0.20   50.39    1.84   35.72    0.7669   -1.30203   36.75880    1.853
    14  816.66    1.869   21.40   61.0    3.0660    0.0375    0.22   49.99    1.85   35.72    0.7668   -1.30205   36.75881    1.858
    15  816.22    1.874   21.35   61.0    3.0655    0.0376    0.23   49.64    1.87   35.71    0.7667   -1.30207   36.75883    1.863
    16  815.79    1.878   21.28   61.0    3.0664    0.0376    0.24   49.34    1.89   35.71    0.7669   -1.30208   36.75886    1.868
    17  815.33    1.883   21.22   61.0    3.0663    0.0376    0.26   49.09    1.91   35.71    0.7669   -1.30207   36.75890    1.872
    18  814.94    1.887   21.15   61.0    3.0663    0.0376    0.27   48.89    1.94   35.70    0.7669   -1.30205   36.75891    1.876
    19  814.57    1.891   21.06   61.0    3.0701    0.0377    0.28   48.75    1.96   35.70    0.7678   -1.30202   36.75891    1.881
    20  814.13    1.896   20.93   61.0    3.0890    0.0379    0.29   48.69    1.99   35.70    0.7723   -1.30200   36.75889    1.885
    21  813.64    1.901   20.84   61.0    3.1109    0.0382    0.31   48.73    2.03   35.69    0.7775   -1.30198   36.75886    1.890
    22  813.11    1.907   20.80   61.0    3.1151    0.0383    0.32   48.87    2.06   35.69    0.7785   -1.30198   36.75881    1.896
    23  812.54    1.913   20.75   61.0    3.1150    0.0383    0.34   49.13    2.10   35.68    0.7785   -1.30200   36.75877    1.902
    24  811.99    1.919   20.70   62.0    3.1167    0.0384    0.36   49.49    2.14   35.68    0.7789   -1.30203   36.75874    1.908
    25  811.51    1.924   20.63   62.0    3.1292    0.0386    0.37   49.96    2.18   35.67    0.7819   -1.30208   36.75872    1.913
    26  811.10    1.928   20.54   62.0    3.1381    0.0387    0.39   50.52    2.22   35.67    0.7840   -1.30212   36.75873    1.917
    27  810.74    1.932   20.47   63.0    3.1422    0.0388    0.40   51.18    2.26   35.66    0.7850   -1.30218   36.75874    1.922
    28  810.33    1.937   20.42   63.0    3.1422    0.0388    0.41   51.92    2.30   35.66    0.7850   -1.30222   36.75875    1.926
    29  809.85    1.942   20.38   63.0    3.1418    0.0388    0.42   52.75    2.35   35.66    0.7849   -1.30227   36.75875    1.931
    30  809.41    1.946   20.34   63.0    3.1375    0.0388    0.44   53.66    2.39   35.65    0.7839   -1.30230   36.75874    1.935
    31  809.01    1.951   20.29   64.0    3.1426    0.0388    0.45   54.64    2.42   35.65    0.7851   -1.30232   36.75870    1.940
    32  808.62    1.955   20.25   64.0    3.1548    0.0390    0.46   55.70    2.45   35.65    0.7880   -1.30233   36.75865    1.944
    33  808.29    1.958   20.23   64.0    3.1547    0.0390    0.47   56.82    2.48   35.64    0.7880   -1.30232   36.75860    1.948
    34  807.94    1.962   20.21   64.0    3.1547    0.0390    0.48   57.99    2.50   35.64    0.7880   -1.30231   36.75855    1.951
    35  807.50    1.967   20.18   64.0    3.1547    0.0391    0.50   59.21    2.52   35.64    0.7880   -1.30229   36.75851    1.956
