36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Dec 18 12:08:07 2024
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20230301
Launch Time (UT)                  : 07:34:29
Burst Pressure (hPa)              : 28.08
Integrated O3 to end of data (DU) : 102.50
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : P5040224
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.850
Ozonesonde Instrument             : 1Z37061
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.45    1.790   22.00   54.0    2.4134    0.0292    0.00   50.00    6.00   34.11    0.6300   -1.30000   36.76000    1.780
     1  826.68    1.798   22.43   56.0    2.4544    0.0297    0.02   40.80    3.45   34.12    0.6400   -1.30000   36.76000    1.790
     2  826.33    1.801   22.25   56.0    2.4544    0.0297    0.03   32.91    2.67   34.12    0.6400   -1.30000   36.76000    1.790
     3  825.94    1.806   22.07   57.0    2.4546    0.0297    0.04   29.67    2.56   34.14    0.6400   -1.30000   36.76000    1.790
     4  825.52    1.810   21.87   57.0    2.4546    0.0297    0.05   30.23    2.75   34.14    0.6400   -1.30000   36.76000    1.800
     5  825.06    1.815   21.64   58.0    2.4547    0.0298    0.06   31.56    3.01   34.15    0.6400   -1.30000   36.76000    1.800
     6  824.52    1.821   21.39   59.0    2.4547    0.0298    0.07   32.56    3.24   34.15    0.6400   -1.30000   36.76000    1.810
     7  824.01    1.826   21.15   60.0    2.4548    0.0298    0.08   33.16    3.45   34.16    0.6400   -1.30000   36.76000    1.810
     8  823.54    1.831   20.91   60.0    2.4548    0.0298    0.09   33.56    3.62   34.16    0.6400   -1.30000   36.76000    1.820
     9  823.06    1.836   20.69   61.0    2.4548    0.0298    0.10   33.94    3.79   34.17    0.6400   -1.30000   36.76000    1.830
    10  822.65    1.840   20.49   61.0    2.4548    0.0298    0.11   34.30    3.95   34.17    0.6400   -1.30000   36.76000    1.830
    11  822.28    1.844   20.31   62.0    2.4549    0.0299    0.12   34.66    4.09   34.18    0.6400   -1.30000   36.76000    1.830
    12  821.95    1.848   20.16   62.0    2.4549    0.0299    0.13   35.00    4.23   34.18    0.6400   -1.30000   36.76000    1.840
    13  821.71    1.850   20.04   62.0    2.4959    0.0304    0.13   35.32    4.35   34.19    0.6500   -1.30000   36.76000    1.840
    14  821.43    1.853   19.94   63.0    2.4959    0.0304    0.14   35.62    4.46   34.19    0.6500   -1.30000   36.76000    1.840
    15  821.00    1.858   19.82   63.0    2.4959    0.0304    0.15   35.89    4.56   34.19    0.6500   -1.30000   36.76000    1.850
    16  820.51    1.863   19.72   63.0    2.5368    0.0309    0.16   36.14    4.64   34.19    0.6600   -1.30000   36.76000    1.850
    17  820.04    1.868   19.68   63.0    2.5368    0.0309    0.18   36.37    4.70   34.19    0.6600   -1.30000   36.76000    1.860
    18  819.61    1.872   19.65   63.0    2.5778    0.0315    0.19   36.56    4.75   34.20    0.6700   -1.30000   36.76000    1.860
    19  819.24    1.876   19.58   63.0    2.5778    0.0315    0.19   36.75    4.79   34.20    0.6700   -1.30000   36.76000    1.870
    20  818.94    1.879   19.52   63.0    2.5778    0.0315    0.20   36.91    4.82   34.20    0.6700   -1.30000   36.76000    1.870
    21  818.72    1.882   19.50   64.0    2.5778    0.0315    0.21   37.07    4.84   34.20    0.6700   -1.30000   36.76000    1.870
    22  818.54    1.883   19.48   64.0    2.5779    0.0315    0.21   37.23    4.84   34.20    0.6700   -1.30000   36.76000    1.870
    23  818.33    1.886   19.45   64.0    2.6189    0.0320    0.22   37.40    4.83   34.21    0.6800   -1.30000   36.76000    1.880
    24  818.06    1.888   19.45   64.0    2.6189    0.0320    0.22   37.58    4.82   34.21    0.6800   -1.30000   36.76000    1.880
    25  817.74    1.892   19.45   64.0    2.6189    0.0320    0.23   37.78    4.79   34.21    0.6800   -1.30000   36.76000    1.880
    26  817.45    1.895   19.42   64.0    2.6598    0.0325    0.24   37.99    4.76   34.21    0.6900   -1.30000   36.76000    1.880
    27  817.10    1.899   19.35   65.0    2.7008    0.0331    0.25   38.22    4.72   34.22    0.7000   -1.30000   36.76000    1.890
    28  816.65    1.903   19.27   65.0    2.7008    0.0331    0.26   38.47    4.67   34.22    0.7000   -1.30000   36.76000    1.890
    29  816.09    1.909   19.20   66.0    2.7008    0.0331    0.28   38.73    4.61   34.22    0.7000   -1.30000   36.76000    1.900
    30  815.58    1.915   19.14   66.0    2.7009    0.0331    0.29   39.02    4.56   34.23    0.7000   -1.30000   36.76000    1.900
    31  815.16    1.919   19.08   66.0    2.7009    0.0331    0.30   39.31    4.50   34.23    0.7000   -1.30000   36.76000    1.910
    32  814.76    1.923   19.04   66.0    2.7009    0.0331    0.31   39.63    4.43   34.23    0.7000   -1.30000   36.76000    1.910
    33  814.34    1.928   18.99   66.0    2.7009    0.0332    0.32   39.95    4.37   34.23    0.7000   -1.30000   36.76000    1.920
    34  813.94    1.932   18.96   66.0    2.7010    0.0332    0.33   40.29    4.31   34.24    0.7000   -1.30000   36.76000    1.920
    35  813.64    1.935   18.94   66.0    2.7010    0.0332    0.34   40.64    4.24   34.24    0.7000   -1.30000   36.76000    1.920
    36  813.34    1.938   18.94   66.0    2.7419    0.0337    0.35   41.00    4.18   34.24    0.7100   -1.30000   36.76000    1.930
    37  812.92    1.943   18.91   66.0    2.7420    0.0337    0.36   41.36    4.12   34.25    0.7100   -1.30000   36.76000    1.930
    38  812.46    1.948   18.87   66.0    2.7420    0.0337    0.37   41.71    4.06   34.25    0.7100   -1.30000   36.76000    1.940
    39  812.03    1.952   18.82   66.0    2.7420    0.0338    0.38   42.05    4.00   34.25    0.7100   -1.30000   36.76000    1.940
    40  811.59    1.957   18.78   66.0    2.7829    0.0343    0.39   42.37    3.94   34.25    0.7200   -1.30000   36.76000    1.950
    41  811.13    1.962   18.73   66.0    2.7830    0.0343    0.41   42.66    3.88   34.26    0.7200   -1.30000   36.76000    1.950
    42  810.72    1.966   18.67   67.0    2.7830    0.0343    0.42   42.92    3.82   34.26    0.7200   -1.30000   36.76000    1.960
    43  810.33    1.970   18.61   68.0    2.7831    0.0343    0.43   43.12    3.76   34.27    0.7200   -1.30000   36.76000    1.960
    44  809.91    1.975   18.55   68.0    2.7831    0.0344    0.44   43.28    3.71   34.27    0.7200   -1.30000   36.76000    1.960
    45  809.42    1.980   18.49   68.0    2.7831    0.0344    0.45   43.38    3.66   34.27    0.7200   -1.30000   36.76000    1.970
    46  808.90    1.985   18.44   68.0    2.7832    0.0344    0.47   43.43    3.60   34.28    0.7200   -1.30000   36.76000    1.970
    47  808.39    1.991   18.40   67.0    2.7832    0.0344    0.48   43.41    3.55   34.28    0.7200   -1.30000   36.76000    1.980
    48  807.89    1.996   18.38   67.0    2.7833    0.0345    0.49   43.34    3.50   34.29    0.7200   -1.30000   36.76000    1.990
    49  807.47    2.001   18.34   67.0    2.7833    0.0345    0.51   43.19    3.44   34.29    0.7200   -1.30000   36.76000    1.990
    50  807.05    2.005   18.29   68.0    2.7833    0.0345    0.52   42.99    3.39   34.29    0.7200   -1.30000   36.76000    1.990
    51  806.60    2.010   18.23   68.0    2.7834    0.0345    0.53   42.71    3.34   34.30    0.7200   -1.30000   36.76000    2.000
    52  806.15    2.015   18.16   69.0    2.7834    0.0345    0.54   42.38    3.28   34.30    0.7200   -1.30000   36.76000    2.000
    53  805.71    2.019   18.12   69.0    2.7834    0.0345    0.55   42.00    3.23   34.31    0.7200   -1.30000   36.76000    2.010
    54  805.32    2.023   18.10   68.0    2.7834    0.0346    0.56   41.56    3.18   34.31    0.7200   -1.30000   36.76000    2.010
    55  804.93    2.028   18.06   68.0    2.7834    0.0346    0.58   41.08    3.12   34.31    0.7200   -1.30000   36.76000    2.020
    56  804.43    2.033   18.01   69.0    2.8244    0.0351    0.59   40.56    3.06   34.32    0.7300   -1.30000   36.76000    2.020
    57  803.91    2.039   17.95   69.0    2.8244    0.0351    0.60   40.01    3.00   34.32    0.7300   -1.30000   36.76000    2.030
    58  803.40    2.044   17.89   70.0    2.8244    0.0352    0.62   39.43    2.95   34.32    0.7300   -1.30000   36.76000    2.030
    59  802.89    2.049   17.84   70.0    2.8244    0.0352    0.63   38.83    2.89   34.32    0.7300   -1.30000   36.76000    2.040
    60  802.37    2.055   17.79   70.0    2.8244    0.0352    0.65   38.22    2.83   34.32    0.7300   -1.30000   36.76000    2.040
    61  801.80    2.061   17.76   70.0    2.8245    0.0352    0.66   37.63    2.78   34.33    0.7300   -1.30000   36.76000    2.050
    62  801.25    2.067   17.74   70.0    2.8245    0.0353    0.68   37.09    2.72   34.33    0.7300   -1.30000   36.76000    2.060
    63  800.85    2.071   17.69   70.0    2.8245    0.0353    0.69   36.63    2.67   34.33    0.7300   -1.30000   36.76000    2.060
    64  800.47    2.075   17.63   70.0    2.8245    0.0353    0.70   36.28    2.62   34.33    0.7300   -1.30000   36.76000    2.060
    65  800.03    2.080   17.58   71.0    2.8245    0.0353    0.71   36.04    2.58   34.33    0.7300   -1.30000   36.76000    2.070
    66  799.57    2.085   17.54   71.0    2.8245    0.0353    0.72   35.95    2.53   34.33    0.7300   -1.30000   36.76000    2.070
    67  799.05    2.091   17.51   70.0    2.8246    0.0353    0.74   36.00    2.49   34.34    0.7300   -1.30000   36.76000    2.080
    68  798.49    2.097   17.48   70.0    2.8246    0.0354    0.75   36.21    2.46   34.34    0.7300   -1.30000   36.76000    2.090
    69  798.00    2.102   17.45   70.0    2.8246    0.0354    0.77   36.59    2.43   34.34    0.7300   -1.30000   36.76000    2.090
    70  797.55    2.107   17.40   71.0    2.8246    0.0354    0.78   37.14    2.40   34.34    0.7300   -1.30000   36.76000    2.100
    71  797.08    2.112   17.33   71.0    2.8247    0.0354    0.79   37.90    2.38   34.35    0.7300   -1.30000   36.76000    2.100
    72  796.58    2.117   17.26   72.0    2.8247    0.0355    0.81   38.86    2.37   34.35    0.7300   -1.30000   36.76000    2.110
    73  796.09    2.122   17.20   72.0    2.8247    0.0355    0.82   40.05    2.37   34.35    0.7300   -1.30000   36.76000    2.110
    74  795.58    2.128   17.15   72.0    2.8247    0.0355    0.84   41.46    2.38   34.35    0.7300   -1.30000   36.76000    2.120
    75  795.08    2.133   17.12   72.0    2.8248    0.0355    0.85   43.08    2.39   34.36    0.7300   -1.30000   36.76000    2.120
    76  794.55    2.139   17.08   72.0    2.8248    0.0356    0.86   44.88    2.42   34.36    0.7300   -1.30000   36.76000    2.130
    77  794.03    2.145   17.04   72.0    2.8249    0.0356    0.88   46.83    2.45   34.37    0.7300   -1.30000   36.76000    2.130
    78  793.55    2.150   17.00   72.0    2.8249    0.0356    0.89   48.89    2.50   34.37    0.7300   -1.30000   36.76000    2.140
    79  793.08    2.155   16.97   72.0    2.8249    0.0356    0.91   51.02    2.55   34.37    0.7300   -1.30000   36.76000    2.140
    80  792.55    2.160   16.93   72.0    2.8249    0.0356    0.92   53.19    2.61   34.37    0.7300   -1.30000   36.76000    2.150
    81  791.95    2.167   16.88   72.0    2.8249    0.0357    0.94   55.36    2.69   34.37    0.7300   -1.30000   36.76000    2.160
    82  791.38    2.173   16.82   73.0    2.8250    0.0357    0.95   57.51    2.76   34.38    0.7300   -1.30000   36.76000    2.160
    83  790.84    2.179   16.75   73.0    2.8250    0.0357    0.97   59.62    2.85   34.38    0.7300   -1.30000   36.76000    2.170
    84  790.30    2.185   16.67   73.0    2.8250    0.0357    0.98   61.67    2.94   34.38    0.7300   -1.30000   36.76000    2.170
    85  789.69    2.191   16.58   74.0    2.8251    0.0358    1.00   63.67    3.04   34.39    0.7300   -1.30000   36.76000    2.180
    86  789.13    2.197   16.51   75.0    2.8251    0.0358    1.02   65.60    3.14   34.39    0.7300   -1.30000   36.76000    2.190
    87  788.64    2.203   16.45   74.0    2.8251    0.0358    1.03   67.46    3.25   34.39    0.7300   -1.30000   36.76000    2.190
    88  788.09    2.209   16.41   74.0    2.8251    0.0358    1.05   69.26    3.36   34.39    0.7300   -1.30000   36.76000    2.200
    89  787.56    2.214   16.38   74.0    2.8252    0.0359    1.06   71.00    3.47   34.40    0.7300   -1.30000   36.76000    2.200
    90  787.02    2.220   16.34   74.0    2.8252    0.0359    1.08   72.68    3.57   34.40    0.7300   -1.30000   36.76000    2.210
    91  786.44    2.227   16.28   74.0    2.8252    0.0359    1.09   74.32    3.68   34.40    0.7300   -1.30000   36.76000    2.220
    92  785.83    2.233   16.21   75.0    2.8252    0.0360    1.11   75.91    3.78   34.40    0.7300   -1.30000   36.76000    2.220
