36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Dec 18 12:08:52 2024
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20230802
Launch Time (UT)                  : 07:19:23
Burst Pressure (hPa)              : 8.75
Integrated O3 to end of data (DU) : 200.77
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5010721
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.350
Ozonesonde Instrument             : 1Z36746
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  829.05    1.790   16.00   82.0    1.3673    0.0165    0.00  120.00   12.00   31.19    0.3700   -1.30000   36.76000    1.780
     1  828.34    1.797   16.76   79.0    1.3674    0.0165    0.01  126.60    5.11   31.20    0.3700   -1.30000   36.76000    1.790
     2  827.93    1.801   16.44   80.0    1.3674    0.0165    0.01  137.83    2.72   31.20    0.3700   -1.30000   36.76000    1.790
     3  827.60    1.805   16.21   81.0    1.3674    0.0165    0.02  146.52    2.10   31.20    0.3700   -1.30000   36.76000    1.790
     4  827.34    1.807   16.01   81.0    1.4088    0.0170    0.02  145.64    2.25   31.20    0.3800   -1.30000   36.76000    1.800
     5  827.04    1.810   15.87   82.0    1.4088    0.0170    0.03  142.54    2.58   31.20    0.3800   -1.30000   36.76000    1.800
     6  826.64    1.814   15.78   82.0    1.4089    0.0170    0.03  140.54    2.87   31.21    0.3800   -1.30000   36.76000    1.800
     7  826.19    1.819   15.73   82.0    1.4089    0.0171    0.04  139.59    3.06   31.21    0.3800   -1.30000   36.76000    1.810
     8  825.78    1.823   15.67   82.0    1.4089    0.0171    0.04  139.12    3.20   31.21    0.3800   -1.30000   36.76000    1.810
     9  825.20    1.829   15.61   82.0    1.4089    0.0171    0.05  138.66    3.32   31.22    0.3800   -1.30000   36.76000    1.820
    10  824.47    1.837   15.56   82.0    1.4089    0.0171    0.06  138.18    3.44   31.22    0.3800   -1.30000   36.76000    1.830
    11  823.84    1.843   15.51   82.0    1.4504    0.0176    0.07  137.70    3.54   31.22    0.3900   -1.30000   36.76000    1.830
    12  823.64    1.845   15.47   81.0    1.4504    0.0176    0.07  137.20    3.64   31.22    0.3900   -1.30000   36.76000    1.840
    13  823.31    1.849   15.42   81.0    1.4918    0.0181    0.08  136.68    3.73   31.22    0.4000   -1.30000   36.76000    1.840
    14  822.70    1.855   15.37   82.0    1.4918    0.0181    0.09  136.14    3.81   31.22    0.4000   -1.30000   36.76000    1.840
    15  822.08    1.862   15.33   82.0    1.5333    0.0187    0.09  135.58    3.88   31.22    0.4100   -1.30000   36.76000    1.850
    16  821.64    1.866   15.29   83.0    1.5333    0.0187    0.10  135.00    3.94   31.22    0.4100   -1.30000   36.76000    1.860
    17  821.29    1.870   15.26   83.0    1.5333    0.0187    0.11  134.41    4.00   31.22    0.4100   -1.30000   36.76000    1.860
    18  820.85    1.874   15.21   83.0    1.5747    0.0192    0.11  133.81    4.05   31.23    0.4200   -1.30000   36.76000    1.860
    19  820.36    1.879   15.16   82.0    1.6162    0.0197    0.12  133.19    4.09   31.23    0.4300   -1.30000   36.76000    1.870
    20  820.01    1.883   15.11   82.0    1.6162    0.0197    0.13  132.58    4.13   31.23    0.4300   -1.30000   36.76000    1.870
    21  819.77    1.885   15.07   82.0    1.6162    0.0197    0.13  131.97    4.17   31.24    0.4300   -1.30000   36.76000    1.870
    22  819.49    1.888   15.05   83.0    1.6162    0.0197    0.13  131.37    4.20   31.24    0.4300   -1.30000   36.76000    1.880
