36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Dec 18 12:07:54 2024
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20230208
Launch Time (UT)                  : 07:08:27
Burst Pressure (hPa)              : 6.60
Integrated O3 to end of data (DU) : 215.39
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5021130
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.250
Ozonesonde Instrument             : 1Z37055
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.800
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.15    1.790   21.20   55.0    2.3291    0.0283    0.00   20.00   12.00   35.94    0.5900   -1.30000   36.76000    1.780
     1  823.21    1.800   21.44   58.0    2.3292    0.0283    0.02   23.52    4.28   35.94    0.5900   -1.30000   36.76000    1.790
     2  823.17    1.800   21.04   59.0    2.3292    0.0283    0.02   34.19    1.48   35.95    0.5900   -1.30000   36.76000    1.790
     3  823.03    1.801   20.56   61.0    2.3292    0.0283    0.03   54.84    0.70   35.95    0.5900   -1.30000   36.76000    1.790
     4  822.88    1.803   20.34   62.0    2.3717    0.0288    0.03   51.25    0.77   35.96    0.6000   -1.30000   36.76000    1.790
     5  822.69    1.805   20.31   61.0    2.3717    0.0288    0.03   41.76    1.06   35.96    0.6000   -1.30000   36.76000    1.790
     6  822.50    1.807   20.30   61.0    2.3717    0.0288    0.04   37.07    1.32   35.97    0.6000   -1.30000   36.76000    1.800
     7  822.26    1.810   20.27   61.0    2.3717    0.0288    0.04   34.94    1.48   35.97    0.6000   -1.30000   36.76000    1.800
     8  821.92    1.813   20.25   61.0    2.3717    0.0289    0.05   33.73    1.59   35.97    0.6000   -1.30000   36.76000    1.800
     9  821.47    1.818   20.23   61.0    2.4142    0.0294    0.06   32.57    1.69   35.98    0.6100   -1.30000   36.76000    1.810
    10  820.95    1.823   20.22   61.0    2.4142    0.0294    0.07   31.46    1.81   35.98    0.6100   -1.30000   36.76000    1.810
    11  820.43    1.829   20.21   61.0    2.4142    0.0294    0.08   30.38    1.92   35.98    0.6100   -1.30000   36.76000    1.820
    12  820.03    1.833   20.18   61.0    2.4142    0.0294    0.09   29.32    2.04   35.98    0.6100   -1.30000   36.76000    1.820
    13  819.66    1.837   20.13   61.0    2.4142    0.0295    0.10   28.30    2.15   35.99    0.6100   -1.30000   36.76000    1.830
    14  819.29    1.841   20.06   61.0    2.4142    0.0295    0.11   27.30    2.27   35.99    0.6100   -1.30000   36.76000    1.830
    15  818.90    1.845   20.01   61.0    2.4143    0.0295    0.12   26.34    2.39   35.99    0.6100   -1.30000   36.76000    1.830
    16  818.41    1.850   20.00   61.0    2.4143    0.0295    0.13   25.43    2.51   36.00    0.6100   -1.30000   36.76000    1.840
    17  817.84    1.856   20.02   61.0    2.4143    0.0295    0.15   24.56    2.63   36.00    0.6100   -1.30000   36.76000    1.850
    18  817.28    1.862   20.04   61.0    2.4143    0.0295    0.16   23.73    2.75   36.00    0.6100   -1.30000   36.76000    1.850
    19  816.91    1.866   20.03   61.0    2.4567    0.0301    0.17   22.96    2.86   36.00    0.6200   -1.30000   36.76000    1.850
    20  816.66    1.869   20.00   61.0    2.4568    0.0301    0.17   22.24    2.97   36.01    0.6200   -1.30000   36.76000    1.860
    21  816.38    1.872   19.98   62.0    2.4568    0.0301    0.18   21.57    3.08   36.01    0.6200   -1.30000   36.76000    1.860
    22  815.97    1.876   19.98   62.0    2.4568    0.0301    0.19   20.96    3.18   36.01    0.6200   -1.30000   36.76000    1.870
    23  815.45    1.882   20.00   62.0    2.4568    0.0301    0.20   20.42    3.28   36.01    0.6200   -1.30000   36.76000    1.870
    24  814.94    1.887   20.01   62.0    2.4569    0.0301    0.21   19.96    3.37   36.02    0.6200   -1.30000   36.76000    1.880
    25  814.47    1.892   19.98   62.0    2.4569    0.0302    0.22   19.59    3.45   36.02    0.6200   -1.30000   36.76000    1.880
    26  814.08    1.896   19.93   62.0    2.4569    0.0302    0.23   19.32    3.53   36.02    0.6200   -1.30000   36.76000    1.890
    27  813.66    1.900   19.89   62.0    2.4569    0.0302    0.24   19.16    3.59   36.02    0.6200   -1.30000   36.76000    1.890
    28  813.20    1.905   19.85   62.0    2.4569    0.0302    0.26   19.11    3.65   36.02    0.6200   -1.30000   36.76000    1.890
    29  812.72    1.910   19.80   63.0    2.4569    0.0302    0.27   19.19    3.70   36.03    0.6200   -1.30000   36.76000    1.900
    30  812.25    1.915   19.72   63.0    2.4569    0.0302    0.28   19.39    3.74   36.03    0.6200   -1.30000   36.76000    1.900
    31  811.76    1.921   19.61   63.0    2.4569    0.0303    0.29   19.72    3.76   36.03    0.6200   -1.30000   36.76000    1.910
    32  811.26    1.926   19.52   64.0    2.4570    0.0303    0.30   20.18    3.78   36.03    0.6200   -1.30000   36.76000    1.910
    33  810.76    1.931   19.46   64.0    2.4570    0.0303    0.31   20.77    3.78   36.03    0.6200   -1.30000   36.76000    1.920
    34  810.26    1.937   19.43   64.0    2.4570    0.0303    0.33   21.50    3.78   36.03    0.6200   -1.30000   36.76000    1.930
    35  809.80    1.941   19.39   64.0    2.4570    0.0303    0.34   22.37    3.76   36.03    0.6200   -1.30000   36.76000    1.930
    36  809.29    1.947   19.31   64.0    2.4570    0.0304    0.35   23.38    3.74   36.03    0.6200   -1.30000   36.76000    1.940
    37  808.69    1.953   19.22   65.0    2.4570    0.0304    0.36   24.54    3.72   36.03    0.6200   -1.30000   36.76000    1.940
    38  808.13    1.959   19.16   65.0    2.4570    0.0304    0.38   25.85    3.68   36.03    0.6200   -1.30000   36.76000    1.950
    39  807.66    1.964   19.14   64.0    2.4570    0.0304    0.39   27.33    3.65   36.03    0.6200   -1.30000   36.76000    1.950
    40  807.15    1.970   19.09   64.0    2.4570    0.0304    0.40   28.97    3.61   36.04    0.6200   -1.30000   36.76000    1.960
    41  806.65    1.975   19.05   65.0    2.4570    0.0305    0.41   30.76    3.57   36.04    0.6200   -1.30000   36.76000    1.960
    42  805.98    1.982   19.02   65.0    2.4570    0.0305    0.43   32.67    3.54   36.04    0.6200   -1.30000   36.76000    1.970
