36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Dec 18 12:07:59 2024
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20230215
Launch Time (UT)                  : 08:07:23
Burst Pressure (hPa)              : 7.40
Integrated O3 to end of data (DU) : 211.66
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : P5040223
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.300
Ozonesonde Instrument             : 1Z37058
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.500
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.60    1.790   23.70   48.0    2.8710    0.0349    0.00  103.00    1.40   37.94    0.7200   -1.30000   36.76000    1.780
     1  822.80    1.798   24.50   41.0    2.8711    0.0349    0.02   57.36    1.70   37.95    0.7200   -1.30000   36.76000    1.790
     2  822.52    1.801   24.14   42.0    2.8711    0.0349    0.03   46.69    2.08   37.95    0.7200   -1.30000   36.76000    1.790
     3  822.16    1.805   23.77   42.0    2.8712    0.0349    0.04   44.16    2.28   37.96    0.7200   -1.30000   36.76000    1.790
     4  821.75    1.809   23.33   43.0    2.8712    0.0349    0.05   44.38    2.38   37.96    0.7200   -1.30000   36.76000    1.800
     5  821.33    1.814   22.87   44.0    2.9134    0.0355    0.06   45.19    2.45   37.96    0.7300   -1.30000   36.76000    1.800
     6  820.87    1.819   22.47   45.0    2.9135    0.0355    0.08   45.86    2.51   37.97    0.7300   -1.30000   36.76000    1.810
     7  820.32    1.824   22.26   45.0    2.9135    0.0355    0.09   46.27    2.58   37.97    0.7300   -1.30000   36.76000    1.810
     8  819.66    1.832   22.21   45.0    2.9135    0.0355    0.11   46.56    2.65   37.97    0.7300   -1.30000   36.76000    1.820
     9  819.06    1.838   22.21   45.0    2.9135    0.0356    0.13   46.87    2.71   37.97    0.7300   -1.30000   36.76000    1.830
    10  818.50    1.844   22.21   45.0    2.9136    0.0356    0.14   47.22    2.77   37.98    0.7300   -1.30000   36.76000    1.830
    11  817.91    1.850   22.19   45.0    2.9136    0.0356    0.16   47.61    2.82   37.98    0.7300   -1.30000   36.76000    1.840
    12  817.66    1.853   22.15   45.0    2.9559    0.0362    0.17   48.03    2.86   37.99    0.7400   -1.30000   36.76000    1.840
    13  817.39    1.856   22.19   45.0    2.9560    0.0362    0.17   48.50    2.91   38.00    0.7400   -1.30000   36.76000    1.850
    14  817.04    1.859   22.21   45.0    2.9560    0.0362    0.18   49.02    2.95   38.00    0.7400   -1.30000   36.76000    1.850
    15  816.54    1.865   22.17   45.0    2.9562    0.0362    0.20   49.57    3.00   38.02    0.7400   -1.30000   36.76000    1.850
    16  815.97    1.871   22.06   45.0    2.9563    0.0362    0.21   50.15    3.05   38.03    0.7400   -1.30000   36.76000    1.860
    17  815.44    1.876   21.94   45.0    2.9564    0.0363    0.23   50.75    3.10   38.04    0.7400   -1.30000   36.76000    1.870
    18  814.86    1.883   21.84   46.0    2.9987    0.0368    0.25   51.36    3.16   38.05    0.7500   -1.30000   36.76000    1.870
    19  814.24    1.889   21.81   46.0    2.9988    0.0368    0.26   51.99    3.23   38.06    0.7500   -1.30000   36.76000    1.880
    20  813.60    1.896   21.90   46.0    2.9989    0.0369    0.28   52.60    3.30   38.07    0.7500   -1.30000   36.76000    1.890
    21  812.92    1.903   21.96   45.0    2.9990    0.0369    0.30   53.20    3.38   38.08    0.7500   -1.30000   36.76000    1.890
    22  812.18    1.911   21.92   45.0    2.9991    0.0369    0.32   53.77    3.47   38.09    0.7500   -1.30000   36.76000    1.900
    23  811.45    1.919   21.84   45.0    2.9992    0.0370    0.35   54.30    3.58   38.10    0.7500   -1.30000   36.76000    1.910
    24  810.80    1.926   21.75   45.0    2.9571    0.0365    0.36   54.77    3.69   38.11    0.7400   -1.30000   36.76000    1.920
    25  810.16    1.933   21.63   46.0    2.9994    0.0370    0.38   55.19    3.81   38.12    0.7500   -1.30000   36.76000    1.920
    26  809.49    1.940   21.50   46.0    2.9994    0.0371    0.40   55.55    3.93   38.12    0.7500   -1.30000   36.76000    1.930
    27  808.85    1.947   21.39   46.0    2.9995    0.0371    0.42   55.85    4.07   38.13    0.7500   -1.30000   36.76000    1.940
    28  808.16    1.954   21.30   47.0    2.9995    0.0371    0.44   56.10    4.22   38.13    0.7500   -1.30000   36.76000    1.940
    29  807.45    1.962   21.21   47.0    2.9996    0.0371    0.46   56.29    4.37   38.14    0.7500   -1.30000   36.76000    1.950
    30  806.74    1.969   21.15   47.0    2.9574    0.0367    0.48   56.43    4.52   38.14    0.7400   -1.30000   36.76000    1.960
    31  806.03    1.977   21.10   47.0    2.9575    0.0367    0.50   56.53    4.68   38.15    0.7400   -1.30000   36.76000    1.970
    32  805.30    1.985   21.03   47.0    2.9576    0.0367    0.52   56.59    4.84   38.17    0.7400   -1.30000   36.76000    1.970
    33  804.60    1.992   20.94   48.0    2.9576    0.0368    0.54   56.60    5.00   38.17    0.7400   -1.30000   36.76000    1.980
    34  803.96    1.999   20.84   48.0    2.9577    0.0368    0.56   56.56    5.16   38.18    0.7400   -1.30000   36.76000    1.990
    35  803.38    2.006   20.75   48.0    2.9577    0.0368    0.58   56.46    5.31   38.18    0.7400   -1.30000   36.76000    1.990
    36  802.82    2.012   20.67   49.0    2.9578    0.0368    0.60   56.32    5.46   38.19    0.7400   -1.30000   36.76000    2.000
    37  802.25    2.018   20.57   49.0    2.9579    0.0369    0.61   56.12    5.60   38.20    0.7400   -1.30000   36.76000    2.010
    38  801.66    2.024   20.45   49.0    2.9580    0.0369    0.63   55.88    5.73   38.21    0.7400   -1.30000   36.76000    2.010
    39  800.99    2.031   20.33   50.0    2.9580    0.0369    0.65   55.60    5.85   38.21    0.7400   -1.30000   36.76000    2.020
    40  800.28    2.039   20.23   50.0    2.9581    0.0370    0.67   55.28    5.96   38.22    0.7400   -1.30000   36.76000    2.030
    41  799.59    2.046   20.14   50.0    2.9581    0.0370    0.69   54.92    6.06   38.22    0.7400   -1.30000   36.76000    2.040
    42  798.93    2.054   20.07   50.0    2.9582    0.0370    0.71   54.53    6.15   38.23    0.7400   -1.30000   36.76000    2.040
    43  798.37    2.060   20.03   50.0    2.9583    0.0371    0.73   54.10    6.23   38.24    0.7400   -1.30000   36.76000    2.050
    44  797.93    2.064   19.98   50.0    3.0006    0.0376    0.74   53.66    6.30   38.25    0.7500   -1.30000   36.76000    2.050
    45  797.57    2.068   19.92   50.0    3.0006    0.0376    0.75   53.19    6.36   38.25    0.7500   -1.30000   36.76000    2.060
    46  797.22    2.072   19.85   51.0    3.0007    0.0376    0.76   52.72    6.41   38.26    0.7500   -1.30000   36.76000    2.060
    47  796.87    2.076   19.79   51.0    3.0008    0.0377    0.77   52.23    6.44   38.27    0.7500   -1.30000   36.76000    2.060
    48  796.55    2.079   19.75   51.0    3.0008    0.0377    0.78   51.73    6.47   38.27    0.7500   -1.30000   36.76000    2.070
    49  796.26    2.082   19.70   51.0    3.0009    0.0377    0.79   51.22    6.49   38.28    0.7500   -1.30000   36.76000    2.070
    50  795.88    2.087   19.65   51.0    3.0010    0.0377    0.80   50.70    6.50   38.29    0.7500   -1.30000   36.76000    2.080
    51  795.42    2.092   19.59   51.0    3.0010    0.0377    0.81   50.19    6.51   38.29    0.7500   -1.30000   36.76000    2.080
    52  795.00    2.096   19.54   51.0    3.0011    0.0377    0.83   49.68    6.51   38.30    0.7500   -1.30000   36.76000    2.080
    53  794.70    2.099   19.50   52.0    3.0012    0.0378    0.84   49.19    6.51   38.31    0.7500   -1.30000   36.76000    2.090
    54  794.44    2.102   19.47   52.0    3.0012    0.0378    0.84   48.71    6.51   38.31    0.7500   -1.30000   36.76000    2.090
    55  794.17    2.105   19.43   52.0    3.0013    0.0378    0.85   48.25    6.50   38.32    0.7500   -1.30000   36.76000    2.090
    56  793.90    2.108   19.40   52.0    3.0013    0.0378    0.86   47.81    6.49   38.32    0.7500   -1.30000   36.76000    2.100
    57  793.59    2.111   19.36   52.0    3.0014    0.0378    0.87   47.40    6.47   38.33    0.7500   -1.30000   36.76000    2.100
    58  793.27    2.115   19.32   52.0    3.0014    0.0378    0.88   47.02    6.45   38.33    0.7500   -1.30000   36.76000    2.100
    59  792.89    2.119   19.28   51.0    3.0438    0.0384    0.89   46.67    6.43   38.34    0.7600   -1.30000   36.76000    2.110
    60  792.46    2.124   19.23   51.0    3.0438    0.0384    0.90   46.34    6.40   38.34    0.7600   -1.30000   36.76000    2.110
    61  792.06    2.128   19.18   51.0    3.0439    0.0384    0.91   46.04    6.36   38.35    0.7600   -1.30000   36.76000    2.120
    62  791.68    2.132   19.15   51.0    3.0439    0.0384    0.93   45.77    6.32   38.35    0.7600   -1.30000   36.76000    2.120
    63  791.22    2.137   19.15   51.0    3.0439    0.0385    0.94   45.52    6.28   38.35    0.7600   -1.30000   36.76000    2.130
    64  790.72    2.143   19.13   51.0    3.0440    0.0385    0.96   45.30    6.23   38.36    0.7600   -1.30000   36.76000    2.130
    65  790.25    2.148   19.06   52.0    3.0440    0.0385    0.97   45.09    6.17   38.36    0.7600   -1.30000   36.76000    2.140
    66  789.85    2.152   18.98   53.0    3.0440    0.0385    0.98   44.90    6.10   38.36    0.7600   -1.30000   36.76000    2.140
    67  789.48    2.156   18.91   53.0    3.0441    0.0386    0.99   44.72    6.03   38.37    0.7600   -1.30000   36.76000    2.150
    68  789.09    2.160   18.86   53.0    3.0441    0.0386    1.00   44.53    5.95   38.37    0.7600   -1.30000   36.76000    2.150
    69  788.67    2.165   18.83   53.0    3.0441    0.0386    1.02   44.34    5.87   38.37    0.7600   -1.30000   36.76000    2.150
    70  788.28    2.169   18.79   53.0    3.0442    0.0386    1.03   44.14    5.77   38.38    0.7600   -1.30000   36.76000    2.160
    71  787.97    2.172   18.75   53.0    3.0443    0.0386    1.04   43.92    5.67   38.39    0.7600   -1.30000   36.76000    2.160
    72  787.61    2.177   18.71   53.0    3.0443    0.0387    1.05   43.68    5.57   38.39    0.7600   -1.30000   36.76000    2.170
    73  787.17    2.181   18.70   54.0    3.0443    0.0387    1.06   43.41    5.45   38.39    0.7600   -1.30000   36.76000    2.170
    74  786.74    2.186   18.71   54.0    3.0444    0.0387    1.08   43.12    5.34   38.40    0.7600   -1.30000   36.76000    2.180
    75  786.28    2.191   18.69   54.0    3.0444    0.0387    1.09   42.82    5.22   38.40    0.7600   -1.30000   36.76000    2.180
    76  785.80    2.196   18.65   54.0    3.0444    0.0387    1.11   42.50    5.09   38.40    0.7600   -1.30000   36.76000    2.190
    77  785.43    2.200   18.61   54.0    3.0444    0.0388    1.12   42.16    4.97   38.40    0.7600   -1.30000   36.76000    2.190
    78  785.12    2.204   18.59   54.0    3.0444    0.0388    1.13   41.82    4.85   38.40    0.7600   -1.30000   36.76000    2.190
    79  784.74    2.208   18.56   54.0    3.0445    0.0388    1.14   41.47    4.73   38.41    0.7600   -1.30000   36.76000    2.200
    80  784.33    2.212   18.51   54.0    3.0445    0.0388    1.15   41.13    4.62   38.41    0.7600   -1.30000   36.76000    2.200
    81  783.97    2.216   18.47   54.0    3.0446    0.0388    1.16   40.81    4.51   38.42    0.7600   -1.30000   36.76000    2.210
    82  783.61    2.220   18.43   54.0    3.0446    0.0389    1.17   40.51    4.41   38.42    0.7600   -1.30000   36.76000    2.210
    83  783.19    2.225   18.39   55.0    3.0023    0.0383    1.19   40.26    4.31   38.42    0.7500   -1.30000   36.76000    2.210
    84  782.75    2.230   18.35   55.0    3.0024    0.0384    1.20   40.07    4.22   38.44    0.7500   -1.30000   36.76000    2.220
    85  782.33    2.234   18.32   55.0    3.0024    0.0384    1.21   39.95    4.15   38.44    0.7500   -1.30000   36.76000    2.220
    86  781.93    2.239   18.29   55.0    3.0024    0.0384    1.22   39.93    4.08   38.44    0.7500   -1.30000   36.76000    2.230
    87  781.52    2.243   18.24   55.0    3.0024    0.0384    1.24   40.02    4.03   38.44    0.7500   -1.30000   36.76000    2.230
    88  781.13    2.247   18.21   55.0    3.0025    0.0384    1.25   40.21    3.98   38.45    0.7500   -1.30000   36.76000    2.240
    89  780.73    2.252   18.18   55.0    3.0026    0.0385    1.26   40.51    3.95   38.46    0.7500   -1.30000   36.76000    2.240
    90  780.26    2.257   18.14   55.0    3.0026    0.0385    1.27   40.93    3.92   38.46    0.7500   -1.30000   36.76000    2.250
    91  779.73    2.263   18.10   55.0    3.0027    0.0385    1.29   41.46    3.90   38.47    0.7500   -1.30000   36.76000    2.250
    92  779.17    2.269   18.04   55.0    3.0028    0.0385    1.31   42.10    3.90   38.48    0.7500   -1.30000   36.76000    2.260
    93  778.63    2.275   17.97   55.0    3.0029    0.0386    1.32   42.86    3.90   38.49    0.7500   -1.30000   36.76000    2.260
    94  778.14    2.280   17.92   56.0    3.0029    0.0386    1.34   43.72    3.91   38.49    0.7500   -1.30000   36.76000    2.270
    95  777.67    2.285   17.91   56.0    3.0029    0.0386    1.35   44.68    3.93   38.49    0.7500   -1.30000   36.76000    2.270
    96  777.21    2.290   17.89   56.0    3.0030    0.0386    1.37   45.72    3.95   38.50    0.7500   -1.30000   36.76000    2.280
    97  776.74    2.296   17.84   56.0    3.0030    0.0387    1.38   46.81    3.98   38.50    0.7500   -1.30000   36.76000    2.280
    98  776.26    2.301   17.77   56.0    3.0031    0.0387    1.40   47.93    4.02   38.51    0.7500   -1.30000   36.76000    2.290
    99  775.76    2.306   17.73   56.0    3.0031    0.0387    1.41   49.06    4.05   38.51    0.7500   -1.30000   36.76000    2.300
   100  775.22    2.312   17.66   56.0    3.0031    0.0387    1.43   50.16    4.09   38.51    0.7500   -1.30000   36.76000    2.300
   101  774.67    2.319   17.57   57.0    3.0031    0.0388    1.44   51.24    4.13   38.51    0.7500   -1.30000   36.76000    2.310
   102  774.16    2.324   17.48   57.0    2.9609    0.0382    1.46   52.27    4.16   38.52    0.7400   -1.30000   36.76000    2.310
   103  773.69    2.329   17.38   57.0    2.9609    0.0383    1.47   53.26    4.20   38.52    0.7400   -1.30000   36.76000    2.320
   104  773.27    2.334   17.28   57.0    2.9609    0.0383    1.49   54.19    4.23   38.52    0.7400   -1.30000   36.76000    2.320
   105  772.85    2.339   17.21   57.0    3.0032    0.0389    1.50   55.08    4.25   38.52    0.7500   -1.30000   36.76000    2.330
   106  772.40    2.344   17.15   58.0    3.0032    0.0389    1.51   55.92    4.28   38.52    0.7500   -1.30000   36.76000    2.330
   107  771.88    2.349   17.07   58.0    3.0032    0.0389    1.53   56.72    4.29   38.52    0.7500   -1.30000   36.76000    2.340
   108  771.34    2.355   16.98   58.0    3.0033    0.0389    1.55   57.45    4.31   38.53    0.7500   -1.30000   36.76000    2.340
   109  770.81    2.361   16.91   59.0    3.0033    0.0390    1.56   58.13    4.32   38.53    0.7500   -1.30000   36.76000    2.350
   110  770.30    2.367   16.84   58.0    3.0033    0.0390    1.58   58.73    4.32   38.53    0.7500   -1.30000   36.76000    2.360
   111  769.78    2.373   16.78   59.0    3.0033    0.0390    1.59   59.26    4.32   38.53    0.7500   -1.30000   36.76000    2.360
