36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:14:19 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240320
Launch Time (UT)                  : 07:47:55
Burst Pressure (hPa)              : 8.62
Integrated O3 to end of data (DU) : 195.24
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5010371
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.350
Ozonesonde Instrument             : 1Z37036
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.95    1.790   24.00   64.0    2.6907    0.0327    0.00  103.00    3.90   35.79    0.6900   -1.30000   36.76000    1.780
     1  822.02    1.800   22.94   65.0    2.7321    0.0332    0.02   75.24    2.24   35.79    0.7000   -1.30000   36.76000    1.790
     2  821.44    1.806   22.55   65.0    2.7736    0.0338    0.04   54.42    2.02   35.80    0.7100   -1.30000   36.76000    1.790
     3  820.80    1.813   22.18   66.0    2.7736    0.0338    0.06   47.39    2.13   35.80    0.7100   -1.30000   36.76000    1.800
     4  820.25    1.818   21.99   67.0    2.7737    0.0338    0.07   47.88    2.31   35.81    0.7100   -1.30000   36.76000    1.810
     5  819.71    1.824   21.94   67.0    2.7737    0.0338    0.09   49.83    2.51   35.81    0.7100   -1.30000   36.76000    1.810
     6  819.18    1.830   21.90   67.0    2.8151    0.0344    0.10   51.19    2.71   35.81    0.7200   -1.30000   36.76000    1.820
     7  818.77    1.834   21.85   67.0    2.8152    0.0344    0.11   51.82    2.91   35.82    0.7200   -1.30000   36.76000    1.820
     8  818.27    1.839   21.80   67.0    2.8152    0.0344    0.12   52.09    3.11   35.82    0.7200   -1.30000   36.76000    1.830
     9  817.74    1.845   21.76   67.0    2.8152    0.0344    0.14   52.38    3.31   35.82    0.7200   -1.30000   36.76000    1.830
    10  817.14    1.852   21.71   67.0    2.8152    0.0345    0.16   52.70    3.51   35.82    0.7200   -1.30000   36.76000    1.840
    11  816.52    1.858   21.65   67.0    2.8152    0.0345    0.17   53.03    3.71   35.82    0.7200   -1.30000   36.76000    1.850
    12  816.04    1.863   21.57   67.0    2.8152    0.0345    0.19   53.38    3.91   35.82    0.7200   -1.30000   36.76000    1.850
    13  815.75    1.866   21.52   67.0    2.8152    0.0345    0.19   53.75    4.11   35.82    0.7200   -1.30000   36.76000    1.860
    14  815.41    1.870   21.49   67.0    2.8153    0.0345    0.20   54.13    4.30   35.83    0.7200   -1.30000   36.76000    1.860
    15  814.89    1.875   21.44   68.0    2.8567    0.0351    0.22   54.53    4.49   35.83    0.7300   -1.30000   36.76000    1.860
    16  814.27    1.882   21.33   68.0    2.8567    0.0351    0.23   54.95    4.67   35.83    0.7300   -1.30000   36.76000    1.870
    17  813.60    1.889   21.19   69.0    2.8981    0.0356    0.25   55.39    4.84   35.83    0.7400   -1.30000   36.76000    1.880
    18  812.95    1.896   21.05   69.0    2.8981    0.0356    0.27   55.86    5.00   35.83    0.7400   -1.30000   36.76000    1.890
    19  812.34    1.903   20.95   69.0    2.8981    0.0357    0.29   56.35    5.15   35.83    0.7400   -1.30000   36.76000    1.890
    20  811.75    1.909   20.88   69.0    2.8981    0.0357    0.30   56.88    5.30   35.83    0.7400   -1.30000   36.76000    1.900
    21  811.23    1.914   20.85   69.0    2.8981    0.0357    0.32   57.43    5.43   35.83    0.7400   -1.30000   36.76000    1.900
    22  810.73    1.920   20.84   69.0    2.8981    0.0357    0.33   58.00    5.55   35.83    0.7400   -1.30000   36.76000    1.910
    23  810.18    1.926   20.79   69.0    2.9395    0.0363    0.35   58.59    5.66   35.83    0.7500   -1.30000   36.76000    1.910
    24  809.59    1.932   20.73   70.0    2.9395    0.0363    0.37   59.20    5.77   35.83    0.7500   -1.30000   36.76000    1.920
    25  809.03    1.938   20.67   71.0    2.9809    0.0368    0.38   59.81    5.86   35.83    0.7600   -1.30000   36.76000    1.930
    26  808.48    1.944   20.60   71.0    2.9810    0.0369    0.40   60.42    5.94   35.83    0.7600   -1.30000   36.76000    1.930
    27  807.89    1.950   20.53   71.0    2.9810    0.0369    0.42   61.04    6.00   35.83    0.7600   -1.30000   36.76000    1.940
    28  807.30    1.957   20.47   72.0    2.9810    0.0369    0.43   61.64    6.06   35.83    0.7600   -1.30000   36.76000    1.950
    29  806.69    1.963   20.42   72.0    2.9810    0.0370    0.45   62.24    6.11   35.83    0.7600   -1.30000   36.76000    1.950
    30  806.20    1.968   20.38   72.0    2.9810    0.0370    0.46   62.83    6.14   35.83    0.7600   -1.30000   36.76000    1.960
    31  805.74    1.973   20.34   72.0    2.9810    0.0370    0.48   63.40    6.17   35.84    0.7600   -1.30000   36.76000    1.960
    32  805.08    1.980   20.30   72.0    2.9810    0.0370    0.50   63.96    6.18   35.84    0.7600   -1.30000   36.76000    1.970
    33  804.38    1.988   20.21   73.0    2.9810    0.0371    0.52   64.49    6.19   35.84    0.7600   -1.30000   36.76000    1.980
    34  803.75    1.995   20.10   73.0    2.9810    0.0371    0.54   65.00    6.18   35.84    0.7600   -1.30000   36.76000    1.980
    35  803.09    2.002   20.02   74.0    3.0225    0.0376    0.56   65.47    6.17   35.85    0.7700   -1.30000   36.76000    1.990
    36  802.46    2.009   19.95   74.0    3.0225    0.0377    0.57   65.90    6.15   35.85    0.7700   -1.30000   36.76000    2.000
    37  801.92    2.014   19.89   73.0    3.0225    0.0377    0.59   66.28    6.13   35.85    0.7700   -1.30000   36.76000    2.000
    38  801.45    2.020   19.84   74.0    3.0225    0.0377    0.60   66.62    6.10   35.85    0.7700   -1.30000   36.76000    2.010
    39  801.03    2.024   19.79   74.0    3.0225    0.0377    0.62   66.92    6.07   35.85    0.7700   -1.30000   36.76000    2.010
    40  800.51    2.030   19.74   74.0    3.0226    0.0378    0.63   67.17    6.04   35.86    0.7700   -1.30000   36.76000    2.020
    41  799.96    2.036   19.71   74.0    3.0226    0.0378    0.65   67.41    6.00   35.86    0.7700   -1.30000   36.76000    2.020
    42  799.46    2.041   19.70   74.0    3.0226    0.0378    0.66   67.62    5.96   35.86    0.7700   -1.30000   36.76000    2.030
    43  798.99    2.046   19.72   74.0    3.0640    0.0383    0.68   67.81    5.92   35.86    0.7800   -1.30000   36.76000    2.040
    44  798.51    2.051   19.70   74.0    3.0640    0.0384    0.69   67.98    5.88   35.86    0.7800   -1.30000   36.76000    2.040
    45  798.01    2.057   19.66   74.0    3.0641    0.0384    0.71   68.13    5.83   35.87    0.7800   -1.30000   36.76000    2.050
    46  797.51    2.062   19.62   74.0    3.0641    0.0384    0.72   68.27    5.79   35.87    0.7800   -1.30000   36.76000    2.050
    47  797.00    2.068   19.58   75.0    3.0641    0.0384    0.74   68.39    5.74   35.87    0.7800   -1.30000   36.76000    2.060
    48  796.42    2.074   19.54   75.0    3.0641    0.0385    0.76   68.51    5.70   35.87    0.7800   -1.30000   36.76000    2.060
    49  795.80    2.081   19.51   75.0    3.0642    0.0385    0.77   68.64    5.65   35.88    0.7800   -1.30000   36.76000    2.070
    50  795.19    2.087   19.48   75.0    3.0642    0.0385    0.79   68.79    5.61   35.88    0.7800   -1.30000   36.76000    2.080
    51  794.61    2.094   19.44   75.0    3.0642    0.0386    0.81   68.99    5.58   35.88    0.7800   -1.30000   36.76000    2.080
    52  794.07    2.099   19.40   75.0    3.0642    0.0386    0.83   69.23    5.54   35.88    0.7800   -1.30000   36.76000    2.090
