36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:16:02 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240925
Launch Time (UT)                  : 09:14:13
Burst Pressure (hPa)              : 7.16
Integrated O3 to end of data (DU) : 235.15
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : V4310332
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.300
Ozonesonde Instrument             : 1Z43014
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.500
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.80    1.790   20.60   62.0    3.1064    0.0376    0.00  170.00    2.10   33.86    0.8100   -1.30000   36.76000    1.780
     1  824.58    1.803   21.36   58.0    3.1066    0.0377    0.04  185.61    1.65   33.87    0.8100   -1.30000   36.76000    1.790
     2  824.40    1.804   21.16   58.0    3.1066    0.0377    0.04  193.32    1.58   33.87    0.8100   -1.30000   36.76000    1.790
     3  824.22    1.806   20.99   58.0    3.1470    0.0382    0.05  195.52    1.62   33.88    0.8200   -1.30000   36.76000    1.800
     4  823.95    1.809   20.73   59.0    3.1471    0.0382    0.06  194.77    1.70   33.89    0.8200   -1.30000   36.76000    1.800
     5  823.58    1.813   20.40   59.0    3.1471    0.0382    0.07  193.21    1.79   33.89    0.8200   -1.30000   36.76000    1.800
     6  823.22    1.817   20.07   61.0    3.1471    0.0382    0.08  191.64    1.87   33.89    0.8200   -1.30000   36.76000    1.810
     7  822.93    1.820   19.77   62.0    3.1472    0.0382    0.09  190.12    1.94   33.90    0.8200   -1.30000   36.76000    1.810
     8  822.63    1.823   19.47   62.0    3.1473    0.0383    0.09  188.49    2.00   33.91    0.8200   -1.30000   36.76000    1.810
     9  822.26    1.827   19.20   62.0    3.1877    0.0388    0.11  186.59    2.06   33.91    0.8300   -1.30000   36.76000    1.820
    10  821.83    1.831   19.03   63.0    3.2280    0.0393    0.12  184.40    2.11   33.91    0.8400   -1.30000   36.76000    1.820
    11  821.43    1.836   18.96   63.0    3.2685    0.0398    0.13  181.92    2.16   33.92    0.8500   -1.30000   36.76000    1.820
    12  820.95    1.841   18.91   63.0    3.2685    0.0398    0.15  179.13    2.21   33.92    0.8500   -1.30000   36.76000    1.830
    13  820.43    1.846   18.87   63.0    3.3088    0.0403    0.16  176.04    2.26   33.92    0.8600   -1.30000   36.76000    1.840
    14  819.90    1.852   18.84   63.0    3.3089    0.0404    0.18  172.68    2.32   33.93    0.8600   -1.30000   36.76000    1.840
    15  819.34    1.857   18.81   64.0    3.3090    0.0404    0.20  169.07    2.38   33.93    0.8600   -1.30000   36.76000    1.850
    16  818.77    1.863   18.81   64.0    3.3493    0.0409    0.22  165.25    2.45   33.93    0.8700   -1.30000   36.76000    1.850
    17  818.22    1.869   18.89   64.0    3.3494    0.0409    0.23  161.31    2.53   33.94    0.8700   -1.30000   36.76000    1.860
    18  817.64    1.875   19.00   63.0    3.3494    0.0410    0.25  157.31    2.62   33.94    0.8700   -1.30000   36.76000    1.860
    19  817.01    1.882   19.04   63.0    3.3494    0.0410    0.27  153.34    2.73   33.94    0.8700   -1.30000   36.76000    1.870
    20  816.42    1.888   18.97   63.0    3.3494    0.0410    0.29  149.49    2.85   33.94    0.8700   -1.30000   36.76000    1.880
    21  815.88    1.894   18.86   64.0    3.3494    0.0411    0.31  145.81    2.99   33.94    0.8700   -1.30000   36.76000    1.880
    22  815.36    1.899   18.75   64.0    3.3898    0.0416    0.33  142.35    3.14   33.94    0.8800   -1.30000   36.76000    1.890
    23  814.78    1.906   18.65   65.0    3.3898    0.0416    0.35  139.14    3.30   33.94    0.8800   -1.30000   36.76000    1.890
    24  814.20    1.912   18.56   65.0    3.3898    0.0416    0.37  136.19    3.47   33.94    0.8800   -1.30000   36.76000    1.900
    25  813.67    1.917   18.52   65.0    3.3898    0.0417    0.38  133.49    3.66   33.94    0.8800   -1.30000   36.76000    1.910
    26  813.13    1.923   18.51   65.0    3.3898    0.0417    0.40  131.06    3.84   33.94    0.8800   -1.30000   36.76000    1.910
    27  812.55    1.929   18.50   65.0    3.3898    0.0417    0.42  128.86    4.03   33.94    0.8800   -1.30000   36.76000    1.920
    28  811.94    1.936   18.47   65.0    3.4302    0.0422    0.44  126.90    4.21   33.94    0.8900   -1.30000   36.76000    1.920
    29  811.34    1.942   18.42   66.0    3.4302    0.0423    0.46  125.17    4.39   33.94    0.8900   -1.30000   36.76000    1.930
    30  810.68    1.949   18.33   66.0    3.4302    0.0423    0.48  123.63    4.57   33.94    0.8900   -1.30000   36.76000    1.940
    31  810.01    1.956   18.23   66.0    3.4302    0.0423    0.50  122.28    4.73   33.94    0.8900   -1.30000   36.76000    1.940
    32  809.39    1.962   18.19   67.0    3.4302    0.0424    0.52  121.10    4.88   33.94    0.8900   -1.30000   36.76000    1.950
