36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:14:03 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240125
Launch Time (UT)                  : 09:23:55
Burst Pressure (hPa)              : 8.21
Integrated O3 to end of data (DU) : 191.19
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5030100
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.300
Ozonesonde Instrument             : 1Z37040
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.300
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.80    1.790   25.90   59.0    3.8691    0.0470    0.00   50.00    2.00   38.71    0.9600   -1.30000   36.76000    1.780
     1  822.90    1.799   25.90   49.0    3.8691    0.0470    0.03   57.04    1.64   38.71    0.9600   -1.30000   36.76000    1.790
     2  822.65    1.802   25.02   50.0    3.9113    0.0475    0.04   60.37    1.55   38.72    0.9700   -1.30000   36.76000    1.790
     3  822.43    1.804   24.28   51.0    3.9113    0.0476    0.05   61.29    1.58   38.72    0.9700   -1.30000   36.76000    1.790
     4  822.25    1.806   23.77   53.0    3.9534    0.0481    0.06   60.90    1.65   38.72    0.9800   -1.30000   36.76000    1.800
     5  822.04    1.809   23.58   54.0    3.9535    0.0481    0.07   60.16    1.73   38.73    0.9800   -1.30000   36.76000    1.800
     6  821.85    1.811   23.56   54.0    3.9535    0.0481    0.07   59.45    1.81   38.73    0.9800   -1.30000   36.76000    1.800
     7  821.65    1.813   23.53   54.0    3.9956    0.0486    0.08   58.80    1.89   38.73    0.9900   -1.30000   36.76000    1.800
     8  821.40    1.815   23.44   53.0    4.0376    0.0492    0.09   58.20    1.96   38.73    1.0000   -1.30000   36.76000    1.800
     9  820.96    1.820   23.36   53.0    4.0376    0.0492    0.11   57.57    2.04   38.73    1.0000   -1.30000   36.76000    1.810
    10  820.41    1.826   23.32   53.0    4.0376    0.0492    0.13   56.95    2.12   38.73    1.0000   -1.30000   36.76000    1.820
    11  819.80    1.832   23.28   53.0    4.0375    0.0492    0.15   56.33    2.20   38.72    1.0000   -1.30000   36.76000    1.820
    12  819.13    1.839   23.24   53.0    4.0796    0.0498    0.18   55.71    2.29   38.72    1.0100   -1.30000   36.76000    1.830
    13  818.57    1.845   23.20   53.0    4.0794    0.0498    0.20   55.10    2.38   38.71    1.0100   -1.30000   36.76000    1.830
    14  818.17    1.850   23.16   54.0    4.0794    0.0499    0.22   54.49    2.48   38.71    1.0100   -1.30000   36.76000    1.840
    15  817.76    1.854   23.13   54.0    4.0795    0.0499    0.23   53.87    2.58   38.71    1.0100   -1.30000   36.76000    1.840
    16  817.25    1.860   23.09   55.0    4.0795    0.0499    0.25   53.25    2.68   38.71    1.0100   -1.30000   36.76000    1.850
    17  817.06    1.862   23.07   55.0    4.1215    0.0504    0.26   52.65    2.79   38.71    1.0200   -1.30000   36.76000    1.850
    18  816.58    1.867   23.03   55.0    4.1636    0.0510    0.28   52.05    2.90   38.71    1.0300   -1.30000   36.76000    1.860
    19  816.16    1.871   22.99   55.0    4.1636    0.0510    0.30   51.47    3.01   38.71    1.0300   -1.30000   36.76000    1.860
    20  815.74    1.876   22.94   55.0    4.1636    0.0510    0.31   50.92    3.13   38.71    1.0300   -1.30000   36.76000    1.860
    21  815.28    1.881   22.88   55.0    4.1636    0.0511    0.33   50.38    3.25   38.71    1.0300   -1.30000   36.76000    1.870
    22  814.89    1.885   22.81   55.0    4.1636    0.0511    0.35   49.88    3.37   38.71    1.0300   -1.30000   36.76000    1.870
    23  814.51    1.889   22.75   56.0    4.2056    0.0516    0.36   49.40    3.50   38.71    1.0400   -1.30000   36.76000    1.880
    24  814.14    1.893   22.69   56.0    4.2056    0.0517    0.38   48.94    3.62   38.71    1.0400   -1.30000   36.76000    1.880
    25  813.70    1.898   22.64   57.0    4.2477    0.0522    0.40   48.51    3.74   38.71    1.0500   -1.30000   36.76000    1.890
