36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:15:02 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240619
Launch Time (UT)                  : 08:30:03
Burst Pressure (hPa)              : 7.83
Integrated O3 to end of data (DU) : 212.94
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : V4250882
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.300
Ozonesonde Instrument             : 1Z43035
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.50    1.790   20.70   68.0    1.9186    0.0232    0.00  190.00    1.50   32.85    0.5300   -1.30000   36.76000    1.780
     1  825.91    1.796   19.43   75.0    1.9578    0.0237    0.01  172.69    1.89   32.85    0.5400   -1.30000   36.76000    1.780
     2  825.41    1.801   19.27   76.0    1.9579    0.0237    0.02  168.20    2.17   32.86    0.5400   -1.30000   36.76000    1.790
     3  824.81    1.807   19.04   76.0    1.9579    0.0237    0.03  167.15    2.37   32.86    0.5400   -1.30000   36.76000    1.800
     4  824.17    1.814   18.83   76.0    1.9579    0.0238    0.04  167.37    2.53   32.86    0.5400   -1.30000   36.76000    1.800
     5  823.63    1.820   18.65   76.0    1.9579    0.0238    0.05  167.79    2.68   32.86    0.5400   -1.30000   36.76000    1.810
     6  823.00    1.826   18.55   76.0    1.9579    0.0238    0.07  168.08    2.82   32.86    0.5400   -1.30000   36.76000    1.820
     7  822.21    1.834   18.48   76.0    1.9579    0.0238    0.08  168.19    2.97   32.86    0.5400   -1.30000   36.76000    1.820
     8  821.76    1.839   18.42   76.0    1.9970    0.0243    0.09  168.18    3.11   32.86    0.5500   -1.30000   36.76000    1.830
     9  821.31    1.844   18.37   77.0    1.9970    0.0243    0.10  168.13    3.26   32.85    0.5500   -1.30000   36.76000    1.830
    10  820.80    1.849   18.32   76.0    1.9970    0.0243    0.11  168.04    3.39   32.85    0.5500   -1.30000   36.76000    1.840
    11  820.39    1.854   18.27   76.0    1.9969    0.0243    0.12  167.91    3.53   32.84    0.5500   -1.30000   36.76000    1.840
    12  820.04    1.857   18.23   77.0    1.9968    0.0244    0.12  167.74    3.65   32.83    0.5500   -1.30000   36.76000    1.850
    13  819.68    1.861   18.20   77.0    2.0360    0.0248    0.13  167.54    3.77   32.83    0.5600   -1.30000   36.76000    1.850
    14  819.13    1.867   18.17   77.0    2.0359    0.0249    0.14  167.29    3.89   32.82    0.5600   -1.30000   36.76000    1.860
