DAY,MONTH,YEAR,DS,ZC
5,7,2023,,257.4
6,7,2023,259.6,266.6
7,7,2023,,270.5
8,7,2023,,267.6
9,7,2023,260.3,267.1
10,7,2023,267.7,266.2
11,7,2023,264.3,264.8
12,7,2023,,
13,7,2023,261.8,270.4
14,7,2023,286.9,267.5
15,7,2023,257.6,261.1
16,7,2023,256.6,261.4
17,7,2023,260.5,269.9
18,7,2023,,
19,7,2023,,
20,7,2023,753.8,
21,7,2023,259.2,257.3
24,7,2023,258.1,264.3
25,7,2023,262.2,263.9
26,7,2023,264.7,268.7
27,7,2023,263.5,268.7
28,7,2023,262.5,274.5
29,7,2023,264.1,275
30,7,2023,265.9,271
31,7,2023,270.8,271.9
1,8,2023,267.5,273.9
2,8,2023,259.4,272.1
3,8,2023,262.4,271.7
4,8,2023,261.3,274.5
5,8,2023,263,271.7
6,8,2023,262.1,269.5
7,8,2023,264.6,268.8
8,8,2023,267.8,273.4
9,8,2023,260.6,268.8
10,8,2023,264.1,272.1
11,8,2023,265.9,275.3
12,8,2023,264.9,269.3
13,8,2023,268.5,272.9
14,8,2023,270.5,272.4
15,8,2023,272.1,273.6
16,8,2023,270.5,275.3
17,8,2023,266.6,276.3
18,8,2023,272.1,277.5
19,8,2023,272.2,273.9
20,8,2023,271.2,269.5
21,8,2023,270.9,273.1
22,8,2023,270.6,273.4
23,8,2023,266.1,0
24,8,2023,275.1,272.6
25,8,2023,276.9,271.6
26,8,2023,,
27,8,2023,,
28,8,2023,264.9,263.9
29,8,2023,266.9,268.2
30,8,2023,261.8,263.9
31,8,2023,266.2,268.8
1,9,2023,271.3,270
2,9,2023,272.6,266.9
3,9,2023,274.5,270.4
4,9,2023,271.7,265.9
5,9,2023,273,268.9
6,9,2023,267.9,264.7
7,9,2023,262.4,266.6
8,9,2023,261,260.4
9,9,2023,263.4,261.4
10,9,2023,259.4,259.8
11,9,2023,264.5,257.5
12,9,2023,265.2,261.6
13,9,2023,267.3,265.7
14,9,2023,273.3,270
15,9,2023,270.7,268.8
16,9,2023,271.7,267.8
17,9,2023,269.8,263.4
18,9,2023,271.3,266.3
19,9,2023,274,269.9
20,9,2023,271,265.9
21,9,2023,267.1,261.5
22,9,2023,265.4,257.3
23,9,2023,263.9,259.3
24,9,2023,267.2,261.5
25,9,2023,265.5,259.4
26,9,2023,267.7,263
27,9,2023,643.4,256.9
28,9,2023,265.1,258.5
29,9,2023,267,260.3
30,9,2023,265.7,255.8
1,10,2023,266,258.3
2,10,2023,308.5,256.3
3,10,2023,268.2,260.1
4,10,2023,257.6,254.7
5,10,2023,259.5,259.2
6,10,2023,261.9,257.7
7,10,2023,265.9,258.3
8,10,2023,266,256.2
9,10,2023,265.7,258
10,10,2023,268.1,262
11,10,2023,263.9,258.9
12,10,2023,259.4,248.6
13,10,2023,261,251.5
14,10,2023,259.5,250.5
15,10,2023,265.1,256.6
16,10,2023,268.4,269.5
17,10,2023,267.6,264.8
18,10,2023,262.4,253.4
19,10,2023,262.5,266
20,10,2023,265.3,264.6
21,10,2023,262.9,263.3
22,10,2023,264.2,259.9
23,10,2023,268.7,266.1
24,10,2023,266,260.9
25,10,2023,266.2,262.5
26,10,2023,259.9,257.1
27,10,2023,262.6,255.7
28,10,2023,260.9,259
29,10,2023,257.3,254
30,10,2023,256,253.2
31,10,2023,254.2,253
1,11,2023,258.5,259
2,11,2023,255.1,252.2
3,11,2023,248.3,255.8
4,11,2023,,
5,11,2023,,
6,11,2023,,
7,11,2023,,
9,11,2023,250.7,241.3
13,11,2023,250.1,243.7
14,11,2023,251.7,243.4
15,11,2023,247.1,245.6
16,11,2023,243.2,245.5
17,11,2023,248.1,244.9
18,11,2023,257.3,249.8
19,11,2023,227.6,243
20,11,2023,246.6,244.3
21,11,2023,246.4,241.9
22,11,2023,244.2,244.8
23,11,2023,245.6,245.9
24,11,2023,241,238.7
25,11,2023,249.5,245.4
26,11,2023,248.9,244.7
27,11,2023,249.5,241.1
28,11,2023,246.6,241.6
29,11,2023,465.9,769.2
30,11,2023,674,
1,12,2023,680.6,
2,12,2023,,
4,12,2023,724,
5,12,2023,300.8,240.4
6,12,2023,247.6,239.4
7,12,2023,247.8,236.8
8,12,2023,248.6,237.5
9,12,2023,249.1,243.2
10,12,2023,250.1,246.5
11,12,2023,249.3,242.3
12,12,2023,248.2,245.5
13,12,2023,249.3,242.4
14,12,2023,249,243.9
15,12,2023,249.5,244.3
16,12,2023,245.8,247.7
17,12,2023,255.5,249.6
18,12,2023,256.4,247.8
19,12,2023,252.2,250.2
20,12,2023,252.8,246.1
21,12,2023,253,252.6
22,12,2023,255.1,251.1
23,12,2023,252.6,248.9
24,12,2023,252.6,247
25,12,2023,249.4,244.4
26,12,2023,252,248.4
27,12,2023,257.8,253.1
28,12,2023,262.8,255
29,12,2023,252.9,247.7
30,12,2023,248,242.9
1,1,2024,251.4,245.5
