DATE,DS,ZC
08/06/1997,272,
08/07/1997,285.6,
08/12/1997,270.6,
08/13/1997,269.5,
08/14/1997,274.7,
08/18/1997,273.3,
08/19/1997,266.2,
08/20/1997,265,
08/21/1997,262.6,
08/22/1997,267.6,
09/01/1997,268.1,
09/02/1997,272.9,
09/03/1997,276.6,
09/04/1997,280.8,
09/05/1997,281.3,
09/08/1997,281.1,
09/09/1997,276.5,
09/10/1997,280,
09/11/1997,274.8,
09/12/1997,275,
09/15/1997,270.7,
09/16/1997,270.8,
09/17/1997,283.6,
09/18/1997,280,
09/19/1997,281.3,
09/23/1997,268.6,
09/24/1997,268.1,
09/25/1997,268.6,
09/26/1997,272.9,
10/02/1997,274.1,
10/07/1997,264.1,
10/08/1997,264.9,
10/13/1997,268.5,
10/16/1997,267.9,
10/23/1997,259.1,
10/27/1997,271.1,
10/30/1997,262,
11/05/1997,250.8,
11/06/1997,246.9,
11/07/1997,253.2,
11/10/1997,250.8,
11/11/1997,256.2,
11/12/1997,252.9,
11/17/1997,245.9,
11/19/1997,247.4,
11/20/1997,249.9,
11/24/1997,240,
12/03/1997,235.9,
12/04/1997,235.2,
12/05/1997,236.2,
12/09/1997,243.1,
12/10/1997,244.4,
12/11/1997,251.6,
12/15/1997,237.1,
12/16/1997,237.7,
12/17/1997,238.9,
12/18/1997,242.1,
01/08/1998,240.8,
01/09/1998,236.4,
01/13/1998,233.5,
01/19/1998,240.7,
01/21/1998,236.8,
01/22/1998,234.2,
01/23/1998,232.6,
01/26/1998,240.6,
01/27/1998,237.8,
01/29/1998,240.9,
01/30/1998,240.8,
02/02/1998,242.1,
02/03/1998,242.1,
02/04/1998,244.2,
02/05/1998,244.6,
02/06/1998,251.6,
02/07/1998,240.5,
02/08/1998,252.3,
02/09/1998,246.5,
02/10/1998,240.8,
02/11/1998,249.6,
02/12/1998,243.9,
02/13/1998,242.2,
02/14/1998,240.5,
02/15/1998,243.9,
02/16/1998,248,
02/17/1998,242.5,
02/18/1998,255.6,
02/19/1998,240.6,
02/20/1998,246.3,
02/21/1998,243.4,
02/23/1998,247.3,
02/24/1998,247.8,
02/25/1998,240.3,
02/26/1998,247,
02/27/1998,243.4,
03/03/1998,245.5,
03/04/1998,222.1,
03/05/1998,249.7,
03/06/1998,242.5,
03/09/1998,242.9,
03/10/1998,250.6,
03/11/1998,246.2,
