36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20140618
Launch Time (UT)                  : 06:58:24
Burst Pressure (hPa)              : 10.28
Integrated O3 to end of data (DU) : 198.97
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123362
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25477
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.40    1.800   17.00   82.0    1.0340    0.0125    0.00 9000.00    0.00   33.51    0.3100   36.75900   -1.30200 9000.000
     2  825.85    1.806   16.70   68.0    1.0340    0.0125    0.01   82.00    1.50   33.52    0.3100   36.75900   -1.30200 9000.000
     4  825.14    1.813   16.47   72.0    1.0738    0.0130    0.01   86.00    1.80   33.52    0.3200   36.75900   -1.30200 9000.000
     6  824.03    1.824   16.36   75.0    1.0738    0.0130    0.02   80.00    1.90   33.53    0.3200   36.75900   -1.30200 9000.000
     8  823.06    1.835   16.32   77.0    1.0738    0.0130    0.03   79.00    2.10   33.53    0.3200   36.75900   -1.30200 9000.000
    10  822.20    1.844   16.28   78.0    1.0739    0.0131    0.04   77.00    2.20   33.54    0.3200   36.75900   -1.30200 9000.000
    12  821.19    1.854   16.14   79.0    1.0739    0.0131    0.05   75.00    2.30   33.54    0.3200   36.75900   -1.30200 9000.000
    14  820.15    1.865   16.00   80.0    1.1137    0.0136    0.06   73.00    2.30   33.54    0.3300   36.75900   -1.30200 9000.000
    16  819.15    1.875   15.84   80.0    1.1137    0.0136    0.07   71.00    2.30   33.54    0.3300   36.75900   -1.30200 9000.000
    18  818.09    1.886   15.66   81.0    1.1534    0.0141    0.09   69.00    2.30   33.53    0.3400   36.75900   -1.30200 9000.000
    20  817.11    1.896   15.57   82.0    1.1534    0.0141    0.10   67.00    2.30   33.53    0.3400   36.75900   -1.30200 9000.000
    22  816.16    1.906   15.46   82.0    1.1932    0.0146    0.11   66.00    2.20   33.53    0.3500   36.75900   -1.30200 9000.000
    24  815.13    1.917   15.36   83.0    1.2329    0.0151    0.12   64.00    2.20   33.53    0.3600   36.75900   -1.30200 9000.000
    26  814.11    1.928   15.29   83.0    1.2329    0.0151    0.13   63.00    2.10   33.53    0.3600   36.75800   -1.30200 9000.000
    28  813.22    1.937   15.22   84.0    1.2330    0.0152    0.14   62.00    2.00   33.54    0.3600   36.75800   -1.30200 9000.000
    30  812.31    1.946   15.13   84.0    1.2727    0.0157    0.15   61.00    1.90   33.54    0.3700   36.75800   -1.30200 9000.000
    32  811.40    1.956   15.03   84.0    1.2727    0.0157    0.17   60.00    1.80   33.54    0.3700   36.75800   -1.30200 9000.000
