36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150114
Launch Time (UT)                  : 07:04:06
Burst Pressure (hPa)              : 15.26
Integrated O3 to end of data (DU) : 130.83
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123582
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25523
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.42    1.800   20.91   34.0    2.2303    0.0271    0.00   37.00    4.20   34.98    0.6100   36.75900   -1.30200 9000.000
     2  822.07    1.814   20.65   35.0    2.2702    0.0276    0.03   37.00    4.70   34.98    0.6200   36.75900   -1.30200 9000.000
     4  820.67    1.829   20.33   36.0    2.2702    0.0277    0.06   37.00    5.30   34.98    0.6200   36.75900   -1.30200 9000.000
     6  819.24    1.844   20.03   37.0    2.2702    0.0277    0.09   37.00    5.70   34.98    0.6200   36.75900   -1.30200 9000.000
     8  817.95    1.857   19.85   38.0    2.2701    0.0278    0.12   38.00    6.10   34.97    0.6200   36.75900   -1.30200 9000.000
    10  816.73    1.870   19.70   38.0    2.3099    0.0283    0.15   38.00    6.40   34.97    0.6300   36.75800   -1.30200 9000.000
    12  815.50    1.883   19.66   38.0    2.3099    0.0283    0.17   39.00    6.60   34.97    0.6300   36.75800   -1.30300 9000.000
    14  814.32    1.896   19.59   38.0    2.3497    0.0289    0.20   40.00    6.70   34.97    0.6400   36.75800   -1.30300 9000.000
    16  813.06    1.909   19.44   38.0    2.3497    0.0289    0.23   41.00    6.80   34.97    0.6400   36.75800   -1.30300 9000.000
    18  811.67    1.924   19.30   39.0    2.3896    0.0294    0.26   42.00    6.80   34.97    0.6500   36.75800   -1.30300 9000.000
    20  810.16    1.940   19.06   40.0    2.4294    0.0300    0.30   44.00    6.70   34.97    0.6600   36.75800   -1.30300 9000.000
    22  808.45    1.958   18.84   40.0    2.4295    0.0301    0.34   45.00    6.60   34.98    0.6600   36.75800   -1.30300 9000.000
    24  806.72    1.976   18.62   41.0    2.4295    0.0301    0.38   47.00    6.60   34.98    0.6600   36.75800   -1.30300 9000.000
    26  805.23    1.992   18.37   41.0    2.4295    0.0302    0.41   49.00    6.50   34.99    0.6600   36.75800   -1.30300 9000.000
    28  803.85    2.007   18.03   41.0    2.4295    0.0302    0.45   51.00    6.40   34.99    0.6600   36.75800   -1.30300 9000.000
    30  802.43    2.022   17.68   42.0    2.4296    0.0303    0.48   52.00    6.40   35.00    0.6600   36.75800   -1.30300 9000.000
    32  800.85    2.039   17.34   42.0    2.4695    0.0308    0.52   52.00    6.40   35.00    0.6700   36.75800   -1.30300 9000.000
    34  799.35    2.055   17.15   43.0    2.4695    0.0309    0.56   53.00    6.40   35.00    0.6700   36.75800   -1.30300 9000.000
    36  797.76    2.072   17.12   43.0    2.5094    0.0315    0.59   52.00    6.50   35.01    0.6800   36.75700   -1.30300 9000.000
    38  795.99    2.091   17.08   44.0    2.5492    0.0320    0.64   51.00    6.50   35.01    0.6900   36.75700   -1.30400 9000.000
    40  794.24    2.109   16.76   44.0    2.5889    0.0326    0.68   49.00    6.60   35.00    0.7000   36.75700   -1.30400 9000.000
    42  792.65    2.127   16.46   44.0    2.5889    0.0327    0.72   47.00    6.70   35.00    0.7000   36.75700   -1.30400 9000.000
    44  790.95    2.145   16.40   45.0    2.5889    0.0327    0.77   44.00    6.90   35.00    0.7000   36.75700   -1.30400 9000.000
    46  789.26    2.163   16.27   45.0    2.6288    0.0333    0.81   41.00    7.00   35.00    0.7100   36.75700   -1.30400 9000.000
    48  787.70    2.180   16.04   46.0    2.6287    0.0334    0.85   38.00    7.20   34.99    0.7100   36.75700   -1.30400 9000.000
    50  786.24    2.196   15.89   47.0    2.6287    0.0334    0.89   35.00    7.40   34.99    0.7100   36.75700   -1.30400 9000.000
    52  784.78    2.211   15.78   47.0    2.6286    0.0335    0.93   32.00    7.50   34.98    0.7100   36.75700   -1.30400 9000.000
    54  783.19    2.229   15.58   47.0    2.6286    0.0336    0.97   30.00    7.70   34.98    0.7100   36.75700   -1.30400 9000.000
    56  781.70    2.245   15.40   47.0    2.6287    0.0336    1.01   28.00    7.90   34.99    0.7100   36.75700   -1.30400 9000.000
    58  780.61    2.257   15.34   47.0    2.6288    0.0337    1.04   26.00    8.00   35.00    0.7100   36.75700   -1.30500 9000.000
    60  779.54    2.268   15.29   47.0    2.6687    0.0342    1.07   26.00    8.10   35.01    0.7200   36.75700   -1.30500 9000.000
    62  778.23    2.283   15.15   46.0    2.6688    0.0343    1.11   25.00    8.10   35.02    0.7200   36.75700   -1.30500 9000.000
    64  776.71    2.299   14.97   46.0    2.6688    0.0344    1.15   25.00    8.10   35.02    0.7200   36.75700   -1.30500 9000.000
    66  775.10    2.317   14.80   46.0    2.6688    0.0344    1.19   25.00    8.00   35.02    0.7200   36.75600   -1.30500 9000.000
    68  773.40    2.335   14.57   45.0    2.7086    0.0350    1.24   26.00    8.00   35.02    0.7300   36.75600   -1.30500 9000.000
    70  771.69    2.354   14.43   43.0    2.7085    0.0351    1.28   27.00    7.90   35.01    0.7300   36.75600   -1.30600 9000.000
    72  770.11    2.371   14.28   43.0    2.7085    0.0352    1.33   28.00    7.70   35.01    0.7300   36.75600   -1.30600 9000.000
    74  768.73    2.386   14.12   45.0    2.7084    0.0352    1.37   29.00    7.50   35.00    0.7300   36.75600   -1.30600 9000.000
    76  767.39    2.401   13.97   47.0    2.7083    0.0353    1.40   30.00    7.40   34.99    0.7300   36.75600   -1.30600 9000.000
    78  765.91    2.417   13.78   47.0    2.7482    0.0359    1.45   31.00    7.10   34.99    0.7400   36.75600   -1.30600 9000.000
    80  764.47    2.433   13.65   47.0    2.7878    0.0365    1.49   31.00    6.90   34.97    0.7500   36.75600   -1.30600 9000.000
    82  762.95    2.450   13.49   47.0    2.7878    0.0365    1.53   32.00    6.70   34.97    0.7500   36.75600   -1.30600 9000.000
    84  761.28    2.468   13.29   47.0    2.7878    0.0366    1.58   31.00    6.40   34.97    0.7500   36.75600   -1.30600 9000.000
    86  759.60    2.487   13.15   46.0    2.7880    0.0367    1.63   31.00    6.20   34.99    0.7500   36.75600   -1.30600 9000.000
    88  758.01    2.505   13.05   46.0    2.7880    0.0368    1.67   30.00    5.90   34.99    0.7500   36.75600   -1.30600 9000.000
    90  756.33    2.523   12.88   48.0    2.7879    0.0369    1.72   29.00    5.70   34.98    0.7500   36.75500   -1.30600 9000.000
    92  754.78    2.540   12.68   51.0    2.7879    0.0369    1.77   28.00    5.50   34.98    0.7500   36.75500   -1.30700 9000.000
    94  753.54    2.554   12.52   52.0    2.7879    0.0370    1.80   27.00    5.40   34.98    0.7500   36.75500   -1.30700 9000.000
