36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150708
Launch Time (UT)                  : 07:54:44
Burst Pressure (hPa)              : 8.30
Integrated O3 to end of data (DU) : 200.82
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4313220
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25450
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.30    1.800   16.00   82.0    1.3067    0.0158    0.00    0.00    0.00   34.45    0.3900   36.75900   -1.30200 9000.000
     2  826.04    1.803   16.07   66.0    1.3067    0.0158    0.00 9000.00 9000.00   34.45    0.3900 9000.00000 9000.00000 9000.000
     4  825.79    1.805   15.96   70.0    1.3452    0.0163    0.01 9000.00 9000.00   34.45    0.4000 9000.00000 9000.00000 9000.000
     6  825.33    1.810   15.79   72.0    1.3836    0.0168    0.01 9000.00 9000.00   34.45    0.4100 9000.00000 9000.00000 9000.000
     8  824.47    1.819   15.68   73.0    1.3836    0.0168    0.02 9000.00 9000.00   34.44    0.4100 9000.00000 9000.00000 9000.000
    10  823.61    1.828   15.63   74.0    1.3836    0.0168    0.04 9000.00 9000.00   34.44    0.4100 9000.00000 9000.00000 9000.000
    12  822.62    1.838   15.52   74.0    1.4219    0.0173    0.05 9000.00 9000.00   34.43    0.4200 9000.00000 9000.00000 9000.000
    14  821.59    1.849   15.38   75.0    1.4603    0.0178    0.06 9000.00 9000.00   34.42    0.4300 9000.00000 9000.00000 9000.000
    16  820.63    1.859   15.29   75.0    1.4603    0.0178    0.08 9000.00 9000.00   34.41    0.4300 9000.00000 9000.00000 9000.000
    18  819.65    1.869   15.23   76.0    1.4987    0.0183    0.09 9000.00 9000.00   34.41    0.4400 9000.00000 9000.00000 9000.000
    20  818.58    1.880   15.13   76.0    1.4987    0.0183    0.11 9000.00 9000.00   34.41    0.4400 9000.00000 9000.00000 9000.000
    22  817.59    1.890   15.02   73.0    1.5371    0.0188    0.12 9000.00 9000.00   34.40    0.4500 9000.00000 9000.00000 9000.000
    24  816.70    1.899   14.93   71.0    1.5371    0.0188    0.13 9000.00 9000.00   34.40    0.4500 9000.00000 9000.00000 9000.000
    26  815.79    1.909   14.82   70.0    1.5370    0.0188    0.15 9000.00 9000.00   34.39    0.4500 9000.00000 9000.00000 9000.000
    28  814.94    1.918   14.78   70.0    1.5755    0.0193    0.16 9000.00 9000.00   34.39    0.4600 9000.00000 9000.00000 9000.000
    30  814.17    1.926   14.76   70.0    1.5755    0.0194    0.17 9000.00 9000.00   34.39    0.4600 9000.00000 9000.00000 9000.000
    32  813.38    1.934   14.67   70.0    1.6139    0.0198    0.18 9000.00 9000.00   34.40    0.4700 9000.00000 9000.00000 9000.000
    34  812.62    1.942   14.58   71.0    1.6139    0.0199    0.20 9000.00 9000.00   34.40    0.4700 9000.00000 9000.00000 9000.000
    36  811.84    1.950   14.49   71.0    1.6524    0.0204    0.21 9000.00 9000.00   34.40    0.4800 9000.00000 9000.00000 9000.000
    38  810.91    1.960   14.38   71.0    1.6524    0.0204    0.22 9000.00 9000.00   34.41    0.4800 9000.00000 9000.00000 9000.000
    40  809.79    1.971   14.26   72.0    1.6909    0.0209    0.24 9000.00 9000.00   34.42    0.4900 9000.00000 9000.00000 9000.000
    42  808.74    1.982   14.16   73.0    1.6909    0.0209    0.26 9000.00 9000.00   34.42    0.4900 9000.00000 9000.00000 9000.000
    44  807.98    1.990   14.11   73.0    1.6910    0.0209    0.27 9000.00 9000.00   34.43    0.4900 9000.00000 9000.00000 9000.000
    46  807.36    1.997   14.08   72.0    1.6910    0.0209    0.28 9000.00 9000.00   34.43    0.4900 9000.00000 9000.00000 9000.000
    48  806.60    2.005   14.00   72.0    1.6910    0.0210    0.29 9000.00 9000.00   34.43    0.4900 9000.00000 9000.00000 9000.000
    50  805.77    2.013   13.91   72.0    1.7295    0.0215    0.31 9000.00 9000.00   34.44    0.5000 9000.00000 9000.00000 9000.000
    52  804.73    2.024   13.80   73.0    1.7679    0.0220    0.33 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    54  803.63    2.036   13.67   74.0    1.7679    0.0220    0.34 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    56  802.66    2.046   13.58   74.0    1.7679    0.0220    0.36 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    58  801.97    2.053   13.53   74.0    1.7295    0.0216    0.37 9000.00 9000.00   34.44    0.5000 9000.00000 9000.00000 9000.000
    60  801.29    2.060   13.46   74.0    1.7295    0.0216    0.39 9000.00 9000.00   34.44    0.5000 9000.00000 9000.00000 9000.000
    62  800.45    2.069   13.37   75.0    1.7679    0.0221    0.40 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    64  799.61    2.078   13.31   75.0    1.7679    0.0221    0.41 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    66  798.90    2.086   13.25   75.0    1.7678    0.0221    0.43 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
    68  798.26    2.092   13.20   76.0    1.7678    0.0221    0.44 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
    70  797.55    2.100   13.13   76.0    1.7678    0.0222    0.45 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
    72  796.76    2.108   13.03   76.0    1.7678    0.0222    0.46 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
    74  795.92    2.117   12.96   76.0    1.7678    0.0222    0.48 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
    76  795.13    2.125   12.89   77.0    1.7679    0.0222    0.49 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    78  794.39    2.133   12.82   77.0    1.7679    0.0223    0.51 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    80  793.61    2.141   12.73   77.0    1.7679    0.0223    0.52 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
    82  792.88    2.149   12.64   78.0    1.7679    0.0223    0.53 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
    84  792.19    2.157   12.57   77.0    1.7679    0.0223    0.54 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
    86  791.30    2.166   12.48   77.0    1.7679    0.0223    0.56 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
    88  790.25    2.177   12.36   78.0    1.7679    0.0224    0.58 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
    90  789.21    2.188   12.26   79.0    1.7680    0.0224    0.60 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
    92  788.44    2.197   12.21   79.0    1.7680    0.0224    0.61 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
    94  787.88    2.202   12.17   79.0    1.7680    0.0224    0.62 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
    96  787.19    2.210   12.10   79.0    1.7679    0.0225    0.63 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
    98  786.35    2.219   11.98   80.0    1.7679    0.0225    0.65 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
   100  785.62    2.227   11.90   80.0    1.7679    0.0225    0.66 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
   102  785.11    2.232   11.87   80.0    1.7679    0.0225    0.67 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
   104  784.60    2.237   11.82   80.0    1.7679    0.0225    0.68 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
   106  783.95    2.244   11.73   81.0    1.7679    0.0226    0.69 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
   108  783.24    2.252   11.68   81.0    1.7679    0.0226    0.70 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
   110  782.42    2.261   11.62   81.0    1.7680    0.0226    0.72 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
   112  781.66    2.269   11.55   82.0    1.7681    0.0226    0.73 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   114  780.94    2.277   11.49   82.0    1.7681    0.0226    0.74 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   116  780.10    2.286   11.37   82.0    1.7681    0.0227    0.76 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   118  779.13    2.296   11.27   83.0    1.7681    0.0227    0.78 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   120  778.05    2.308   11.15   83.0    1.7681    0.0227    0.80 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   122  777.20    2.317   11.06   84.0    1.7681    0.0227    0.81 9000.00 9000.00   34.47    0.5100 9000.00000 9000.00000 9000.000
   124  776.51    2.324   11.02   84.0    1.7680    0.0228    0.82 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
   126  775.68    2.333   10.93   84.0    1.7680    0.0228    0.84 9000.00 9000.00   34.46    0.5100 9000.00000 9000.00000 9000.000
   128  774.74    2.343   10.83   85.0    1.7679    0.0228    0.86 9000.00 9000.00   34.45    0.5100 9000.00000 9000.00000 9000.000
   130  773.93    2.352   10.77   85.0    1.7679    0.0228    0.87 9000.00 9000.00   34.44    0.5100 9000.00000 9000.00000 9000.000
   132  773.29    2.359   10.73   86.0    1.7678    0.0229    0.88 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
   134  772.58    2.367   10.65   86.0    1.7678    0.0229    0.89 9000.00 9000.00   34.42    0.5100 9000.00000 9000.00000 9000.000
   136  771.87    2.374   10.57   86.0    1.7678    0.0229    0.91 9000.00 9000.00   34.42    0.5100 9000.00000 9000.00000 9000.000
   138  771.15    2.382   10.51   87.0    1.7678    0.0229    0.92 9000.00 9000.00   34.42    0.5100 9000.00000 9000.00000 9000.000
   142  769.54    2.399   10.33   88.0    1.7678    0.0230    0.95 9000.00 9000.00   34.42    0.5100 9000.00000 9000.00000 9000.000
   144  768.59    2.410   10.23   89.0    1.7678    0.0230    0.97 9000.00 9000.00   34.42    0.5100 9000.00000 9000.00000 9000.000
   146  767.59    2.421   10.12   89.0    1.7678    0.0230    0.98 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
   148  766.58    2.432   10.03   90.0    1.7678    0.0231    1.00 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
   150  765.72    2.441    9.95   89.0    1.7293    0.0226    1.02 9000.00 9000.00   34.42    0.5000 9000.00000 9000.00000 9000.000
   152  765.08    2.448    9.91   88.0    1.7293    0.0226    1.03 9000.00 9000.00   34.41    0.5000 9000.00000 9000.00000 9000.000
   154  764.31    2.456    9.84   88.0    1.7292    0.0226    1.04 9000.00 9000.00   34.40    0.5000 9000.00000 9000.00000 9000.000
   156  763.33    2.467    9.69   89.0    1.7292    0.0227    1.06 9000.00 9000.00   34.40    0.5000 9000.00000 9000.00000 9000.000
   158  762.27    2.479    9.57   91.0    1.7292    0.0227    1.08 9000.00 9000.00   34.40    0.5000 9000.00000 9000.00000 9000.000
   160  761.24    2.490    9.47   92.0    1.7292    0.0227    1.10 9000.00 9000.00   34.40    0.5000 9000.00000 9000.00000 9000.000
   162  760.36    2.500    9.37   92.0    1.7293    0.0227    1.11 9000.00 9000.00   34.41    0.5000 9000.00000 9000.00000 9000.000
   164  759.55    2.508    9.26   92.0    1.6908    0.0223    1.13 9000.00 9000.00   34.40    0.4900 9000.00000 9000.00000 9000.000
   166  758.91    2.515    9.20   93.0    1.6907    0.0223    1.14 9000.00 9000.00   34.39    0.4900 9000.00000 9000.00000 9000.000
   168  758.26    2.523    9.15   93.0    1.6906    0.0223    1.15 9000.00 9000.00   34.37    0.4900 9000.00000 9000.00000 9000.000
   170  757.53    2.530    9.06   94.0    1.7290    0.0228    1.16 9000.00 9000.00   34.36    0.5000 9000.00000 9000.00000 9000.000
   172  756.77    2.539    9.00   94.0    1.7289    0.0228    1.18 9000.00 9000.00   34.35    0.5000 9000.00000 9000.00000 9000.000
   174  755.86    2.549    8.95   94.0    1.7289    0.0229    1.19 9000.00 9000.00   34.35    0.5000 9000.00000 9000.00000 9000.000
   176  754.96    2.559    8.86   95.0    1.7289    0.0229    1.21 9000.00 9000.00   34.35    0.5000 9000.00000 9000.00000 9000.000
   178  754.12    2.568    8.77   95.0    1.7289    0.0229    1.23 9000.00 9000.00   34.34    0.5000 9000.00000 9000.00000 9000.000
   180  753.53    2.574    8.71   96.0    1.7289    0.0229    1.24 9000.00 9000.00   34.34    0.5000 9000.00000 9000.00000 9000.000
   182  752.97    2.581    8.67   96.0    1.6905    0.0225    1.25 9000.00 9000.00   34.35    0.4900 9000.00000 9000.00000 9000.000
   184  752.31    2.588    8.61   96.0    1.6905    0.0225    1.26 9000.00 9000.00   34.35    0.4900 9000.00000 9000.00000 9000.000
   186  751.67    2.595    8.57   96.0    1.6906    0.0225    1.27 9000.00 9000.00   34.36    0.4900 9000.00000 9000.00000 9000.000
   188  751.04    2.602    8.53   96.0    1.6906    0.0225    1.28 9000.00 9000.00   34.36    0.4900 9000.00000 9000.00000 9000.000
   190  750.23    2.611    8.44   97.0    1.6906    0.0225    1.30 9000.00 9000.00   34.37    0.4900 9000.00000 9000.00000 9000.000
   192  749.22    2.622    8.38   97.0    1.6906    0.0226    1.31 9000.00 9000.00   34.37    0.4900 9000.00000 9000.00000 9000.000
   194  748.19    2.633    8.34   97.0    1.6907    0.0226    1.33 9000.00 9000.00   34.38    0.4900 9000.00000 9000.00000 9000.000
   196  747.34    2.643    8.31   98.0    1.6907    0.0226    1.35 9000.00 9000.00   34.38    0.4900 9000.00000 9000.00000 9000.000
   198  746.59    2.651    8.29   98.0    1.6907    0.0226    1.36 9000.00 9000.00   34.38    0.4900 9000.00000 9000.00000 9000.000
   200  745.73    2.661    8.23   98.0    1.6907    0.0227    1.38 9000.00 9000.00   34.38    0.4900 9000.00000 9000.00000 9000.000
   202  744.80    2.671    8.16   98.0    1.6906    0.0227    1.39 9000.00 9000.00   34.36    0.4900 9000.00000 9000.00000 9000.000
   204  743.70    2.683    8.11   98.0    1.6906    0.0227    1.41 9000.00 9000.00   34.36    0.4900 9000.00000 9000.00000 9000.000
   206  742.51    2.697    8.03   98.0    1.6905    0.0228    1.43 9000.00 9000.00   34.35    0.4900 9000.00000 9000.00000 9000.000
   208  741.51    2.708    7.97   98.0    1.6905    0.0228    1.45 9000.00 9000.00   34.35    0.4900 9000.00000 9000.00000 9000.000
   210  740.71    2.717    7.92   98.0    1.6521    0.0223    1.47 9000.00 9000.00   34.35    0.4800 9000.00000 9000.00000 9000.000
   212  739.95    2.725    7.89   98.0    1.6521    0.0223    1.48 9000.00 9000.00   34.35    0.4800 9000.00000 9000.00000 9000.000
   214  739.19    2.734    7.86   98.0    1.6521    0.0224    1.49 9000.00 9000.00   34.35    0.4800 9000.00000 9000.00000 9000.000
   216  738.34    2.743    7.79   98.0    1.6522    0.0224    1.51 9000.00 9000.00   34.36    0.4800 9000.00000 9000.00000 9000.000
   218  737.41    2.753    7.70   97.0    1.6905    0.0229    1.52 9000.00 9000.00   34.35    0.4900 9000.00000 9000.00000 9000.000
   220  736.47    2.764    7.59   97.0    1.6905    0.0230    1.54 9000.00 9000.00   34.34    0.4900 9000.00000 9000.00000 9000.000
   222  735.52    2.775    7.54   97.0    1.6905    0.0230    1.56 9000.00 9000.00   34.34    0.4900 9000.00000 9000.00000 9000.000
   224  734.51    2.786    7.50   97.0    1.6905    0.0230    1.58 9000.00 9000.00   34.34    0.4900 9000.00000 9000.00000 9000.000
   226  733.50    2.797    7.49   97.0    1.6904    0.0230    1.60 9000.00 9000.00   34.33    0.4900 9000.00000 9000.00000 9000.000
   228  732.48    2.809    7.45   97.0    1.6904    0.0231    1.61 9000.00 9000.00   34.32    0.4900 9000.00000 9000.00000 9000.000
   230  731.55    2.819    7.39   97.0    1.6903    0.0231    1.63 9000.00 9000.00   34.31    0.4900 9000.00000 9000.00000 9000.000
   232  730.58    2.830    7.30   97.0    1.6518    0.0226    1.65 9000.00 9000.00   34.30    0.4800 9000.00000 9000.00000 9000.000
   234  729.52    2.842    7.19   96.0    1.6518    0.0226    1.67 9000.00 9000.00   34.29    0.4800 9000.00000 9000.00000 9000.000
   236  728.63    2.852    7.14   96.0    1.6518    0.0227    1.68 9000.00 9000.00   34.29    0.4800 9000.00000 9000.00000 9000.000
   238  727.75    2.862    7.08   96.0    1.6517    0.0227    1.70 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   240  726.79    2.873    6.98   96.0    1.6517    0.0227    1.72 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   242  725.85    2.884    6.91   96.0    1.6517    0.0228    1.73 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   244  724.93    2.894    6.88   96.0    1.6517    0.0228    1.75 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   246  724.07    2.904    6.95   96.0    1.6517    0.0228    1.77 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   248  723.16    2.914    7.04   93.0    1.6517    0.0228    1.78 9000.00 9000.00   34.28    0.4800 9000.00000 9000.00000 9000.000
   250  722.27    2.925    7.21   89.0    1.6134    0.0223    1.80 9000.00 9000.00   34.29    0.4700 9000.00000 9000.00000 9000.000
   252  721.54    2.933    7.41   86.0    1.6134    0.0224    1.81 9000.00 9000.00   34.29    0.4700 9000.00000 9000.00000 9000.000
   254  720.89    2.940    7.37   85.0    1.6134    0.0224    1.82 9000.00 9000.00   34.30    0.4700 9000.00000 9000.00000 9000.000
   256  720.25    2.948    7.28   84.0    1.6135    0.0224    1.83 9000.00 9000.00   34.31    0.4700 9000.00000 9000.00000 9000.000
   258  719.61    2.955    7.33   80.0    1.6135    0.0224    1.84 9000.00 9000.00   34.31    0.4700 9000.00000 9000.00000 9000.000
   260  718.96    2.963    7.44   77.0    1.6135    0.0224    1.86 9000.00 9000.00   34.31    0.4700 9000.00000 9000.00000 9000.000
   262  718.21    2.971    7.53   76.0    1.6135    0.0225    1.87 9000.00 9000.00   34.32    0.4700 9000.00000 9000.00000 9000.000
   264  717.47    2.980    7.58   76.0    1.5752    0.0220    1.88 9000.00 9000.00   34.33    0.4600 9000.00000 9000.00000 9000.000
   266  716.73    2.988    7.65   74.0    1.5752    0.0220    1.90 9000.00 9000.00   34.34    0.4600 9000.00000 9000.00000 9000.000
   268  715.93    2.997    7.70   72.0    1.5752    0.0220    1.91 9000.00 9000.00   34.34    0.4600 9000.00000 9000.00000 9000.000
   270  715.16    3.006    7.63   70.0    1.5753    0.0220    1.92 9000.00 9000.00   34.35    0.4600 9000.00000 9000.00000 9000.000
   272  714.54    3.013    7.54   70.0    1.5368    0.0215    1.93 9000.00 9000.00   34.35    0.4500 9000.00000 9000.00000 9000.000
   274  713.90    3.021    7.65   68.0    1.5369    0.0215    1.94 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   276  713.15    3.029    7.93   67.0    1.5369    0.0216    1.96 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   278  712.32    3.039    8.15   66.0    1.5369    0.0216    1.97 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   280  711.48    3.049    8.24   66.0    1.5369    0.0216    1.99 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   282  710.73    3.057    8.36   67.0    1.5369    0.0216    2.00 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   284  710.05    3.065    8.43   67.0    1.4985    0.0211    2.01 9000.00 9000.00   34.36    0.4400 9000.00000 9000.00000 9000.000
   286  709.32    3.074    8.36   67.0    1.4985    0.0211    2.02 9000.00 9000.00   34.36    0.4400 9000.00000 9000.00000 9000.000
   288  708.54    3.083    8.28   67.0    1.5369    0.0217    2.03 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   290  707.76    3.092    8.43   67.0    1.5369    0.0217    2.05 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
   292  706.99    3.101    8.63   66.0    1.5369    0.0217    2.06 9000.00 9000.00   34.36    0.4500 9000.00000 9000.00000 9000.000
