36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20151118
Launch Time (UT)                  : 07:01:24
Burst Pressure (hPa)              : 7.67
Integrated O3 to end of data (DU) : 213.28
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253191
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25428
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.50    1.800   19.30   78.0    1.9600    0.0238    0.00   70.00    3.00   34.27    0.5400   36.75900   -1.30200 9000.000
     2  821.37    1.812   19.08   61.0    2.0401    0.0248    0.02   24.00 9000.00   34.28    0.5600   36.75900   -1.30200 9000.000
     4  820.27    1.823   18.86   63.0    2.1201    0.0258    0.04   24.00    2.60   34.28    0.5800   36.75900   -1.30200 9000.000
     6  819.11    1.836   18.59   63.0    2.1201    0.0259    0.07   27.00    2.90   34.28    0.5800   36.75900   -1.30100 9000.000
     8  818.05    1.847   18.36   65.0    2.1202    0.0259    0.09   30.00    3.00   34.29    0.5800   36.75900   -1.30100 9000.000
    10  817.07    1.857   18.27   66.0    2.1202    0.0259    0.11   32.00    3.10   34.29    0.5800   36.75900   -1.30100 9000.000
    12  815.84    1.870   18.19   67.0    2.1602    0.0265    0.13   35.00    3.20   34.29    0.5900   36.75900   -1.30100 9000.000
    14  814.41    1.885   18.18   69.0    2.2402    0.0275    0.17   38.00    3.30   34.29    0.6100   36.75900   -1.30100 9000.000
    16  812.97    1.900   18.30   70.0    2.2402    0.0276    0.20   42.00    3.40   34.30    0.6100   36.75900   -1.30100 9000.000
    18  811.75    1.913   18.34   70.0    2.2802    0.0281    0.22   46.00    3.40   34.30    0.6200   36.75900   -1.30100 9000.000
    20  810.52    1.926   18.26   71.0    2.2803    0.0281    0.25   49.00    3.40   34.31    0.6200   36.75900   -1.30100 9000.000
    22  809.18    1.940   18.10   71.0    2.2803    0.0282    0.28   53.00    3.50   34.31    0.6200   36.75900   -1.30100 9000.000
    24  807.76    1.955   17.91   71.0    2.2803    0.0282    0.31   56.00    3.50   34.31    0.6200   36.75900   -1.30100 9000.000
    26  806.32    1.971   17.71   72.0    2.3203    0.0288    0.34   59.00    3.50   34.31    0.6300   36.75900   -1.30100 9000.000
    28  804.89    1.986   17.58   73.0    2.3204    0.0288    0.38   62.00    3.60   34.32    0.6300   36.75900   -1.30100 9000.000
    30  803.33    2.003   17.39   73.0    2.3204    0.0289    0.41   64.00    3.60   34.32    0.6300   36.75800   -1.30100 9000.000
    32  801.74    2.019   17.24   74.0    2.3204    0.0289    0.45   65.00    3.70   34.32    0.6300   36.75800   -1.30100 9000.000
    34  800.23    2.036   17.06   74.0    2.3204    0.0290    0.48   66.00    3.70   34.32    0.6300   36.75800   -1.30100 9000.000
    36  799.03    2.048   16.99   74.0    2.3204    0.0290    0.51   66.00    3.80   34.32    0.6300   36.75800   -1.30100 9000.000
    38  797.80    2.062   16.87   74.0    2.3205    0.0291    0.54   66.00    3.80   34.33    0.6300   36.75800   -1.30100 9000.000
