36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20160209
Launch Time (UT)                  : 08:07:15
Burst Pressure (hPa)              : 8.10
Integrated O3 to end of data (DU) : 56.97
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : L1743136
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25443
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  830.50    1.800   21.58   72.0    2.2886    0.0276    0.00  190.00    1.00   33.18    0.6500   36.75930    1.30180 9000.000
     2  824.68    1.861   20.92   67.0    2.2886    0.0278    0.13  270.00    1.20   33.19    0.6500   36.75910    1.30180 9000.000
     4  823.64    1.872   20.68   67.0    2.2887    0.0278    0.15  278.00    1.40   33.20    0.6500   36.75910    1.30180 9000.000
     6  822.73    1.882   20.38   68.0    2.2887    0.0278    0.17  274.00    1.60   33.20    0.6500   36.75920    1.30180 9000.000
     8  821.99    1.889   20.13   68.0    2.2888    0.0278    0.19  272.00    1.70   33.21    0.6500   36.75930    1.30180 9000.000
    10  821.16    1.898   19.96   69.0    2.2888    0.0279    0.20  270.00    1.80   33.21    0.6500   36.75930    1.30170 9000.000
    12  820.23    1.908   19.87   70.0    2.2888    0.0279    0.22  268.00    1.90   33.21    0.6500   36.75930    1.30170 9000.000
    14  819.10    1.920   19.75   70.0    2.3269    0.0284    0.25  265.00    2.00   33.21    0.6600   36.75930    1.30180 9000.000
    16  817.84    1.933   19.61   71.0    2.3269    0.0285    0.28  263.00    2.10   33.21    0.6600   36.75940    1.30180 9000.000
    18  816.62    1.946   19.48   72.0    2.3269    0.0285    0.31  260.00    2.20   33.21    0.6600   36.75950    1.30180 9000.000
    20  815.68    1.956   19.39   72.0    2.3269    0.0285    0.33  258.00    2.30   33.20    0.6600   36.75950    1.30170 9000.000
    22  814.99    1.963   19.33   72.0    2.3650    0.0290    0.34  256.00    2.40   33.20    0.6700   36.75950    1.30170 9000.000
    24  814.25    1.971   19.27   73.0    2.3649    0.0290    0.36  254.00    2.40   33.19    0.6700   36.75940    1.30180 9000.000
    26  813.46    1.979   19.20   73.0    2.4030    0.0295    0.38  253.00    2.50   33.18    0.6800   36.75950    1.30190 9000.000
    28  812.53    1.989   19.08   73.0    2.4030    0.0296    0.40  252.00    2.60   33.18    0.6800   36.75960    1.30190 9000.000
    30  811.56    2.000   18.96   74.0    2.4030    0.0296    0.42  252.00    2.70   33.18    0.6800   36.75970    1.30190 9000.000
    32  810.53    2.010   18.86   74.0    2.4030    0.0296    0.45  252.00    2.80   33.18    0.6800   36.75980    1.30190 9000.000
    34  809.50    2.022   18.77   74.0    2.4029    0.0297    0.47  253.00    2.80   33.17    0.6800   36.75980    1.30190 9000.000
    36  808.45    2.033   18.71   75.0    2.4029    0.0297    0.50  254.00    2.90   33.17    0.6800   36.75980    1.30200 9000.000
    38  807.27    2.045   18.64   75.0    2.4029    0.0298    0.52  255.00    2.90   33.17    0.6800   36.75990    1.30210 9000.000
    40  806.12    2.057   18.55   75.0    2.4029    0.0298    0.55  256.00    3.00   33.17    0.6800   36.76000    1.30210 9000.000
    42  805.04    2.069   18.44   75.0    2.4411    0.0303    0.58  258.00    3.00   33.18    0.6900   36.76010    1.30200 9000.000
    44  803.94    2.081   18.31   76.0    2.4411    0.0304    0.60  259.00    3.00   33.18    0.6900   36.76000    1.30190 9000.000
    46  802.86    2.092   18.18   76.0    2.4411    0.0304    0.63  261.00    3.10   33.18    0.6900   36.76000    1.30200 9000.000
    48  801.67    2.105   18.02   77.0    2.4411    0.0305    0.66  262.00    3.10   33.18    0.6900   36.76000    1.30210 9000.000
    50  800.51    2.118   17.87   77.0    2.4030    0.0300    0.68  263.00    3.10   33.18    0.6800   36.76020    1.30210 9000.000
    52  799.44    2.129   17.79   77.0    2.4029    0.0301    0.71  263.00    3.10   33.17    0.6800   36.76030    1.30210 9000.000
    54  798.39    2.140   17.73   77.0    2.4029    0.0301    0.73  264.00    3.10   33.17    0.6800   36.76030    1.30200 9000.000
    56  797.32    2.152   17.64   78.0    2.4029    0.0301    0.76  265.00    3.10   33.17    0.6800   36.76030    1.30200 9000.000
