36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20170405
Launch Time (UT)                  : 08:23:02
Burst Pressure (hPa)              : 8.45
Integrated O3 to end of data (DU) : 214.36
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4215100
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28377
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.00    1.800   22.90   53.0    2.9050    0.0352    0.00   70.00    2.50   37.19    0.7600   36.75930   -1.30180 9000.000
     2  823.03    1.821   22.54   47.0    2.9048    0.0353    0.05   74.00    2.80   37.17    0.7600   36.75920   -1.30180 9000.000
     4  821.60    1.836   22.29   48.0    2.9457    0.0359    0.10   77.00    3.00   37.17    0.7700   36.75910   -1.30180 9000.000
     6  820.18    1.851   22.02   49.0    2.9458    0.0359    0.14   78.00    3.20   37.18    0.7700   36.75890   -1.30180 9000.000
     8  818.67    1.867   21.72   50.0    2.9050    0.0355    0.18   78.00    3.40   37.19    0.7600   36.75880   -1.30180 9000.000
    10  817.25    1.882   21.44   51.0    2.8232    0.0345    0.22   78.00    3.60   37.19    0.7400   36.75880   -1.30190 9000.000
    12  816.02    1.895   21.20   52.0    2.8232    0.0346    0.25   77.00    3.70   37.20    0.7400   36.75880   -1.30200 9000.000
    14  814.94    1.907   21.05   51.0    2.8232    0.0346    0.28   77.00    3.80   37.20    0.7400   36.75880   -1.30200 9000.000
    16  813.89    1.918   20.91   51.0    2.8232    0.0347    0.31   76.00    3.90   37.20    0.7400   36.75880   -1.30190 9000.000
    18  812.69    1.931   20.61   52.0    2.8642    0.0352    0.34   75.00    4.00   37.20    0.7500   36.75860   -1.30190 9000.000
    20  811.35    1.945   20.33   53.0    2.8642    0.0353    0.38   74.00    4.10   37.20    0.7500   36.75840   -1.30190 9000.000
    22  810.11    1.958   20.12   54.0    2.8641    0.0354    0.41   73.00    4.20   37.19    0.7500   36.75840   -1.30190 9000.000
    24  808.97    1.970   20.02   55.0    2.9050    0.0359    0.45   72.00    4.30   37.19    0.7600   36.75840   -1.30200 9000.000
    26  807.71    1.984   19.88   56.0    2.9050    0.0360    0.48   71.00    4.40   37.19    0.7600   36.75840   -1.30200 9000.000
    28  806.45    1.997   19.73   57.0    2.9459    0.0365    0.52   70.00    4.50   37.19    0.7700   36.75820   -1.30210 9000.000
    30  805.17    2.011   19.64   57.0    2.9461    0.0366    0.55   69.00    4.70   37.21    0.7700   36.75810   -1.30210 9000.000
    32  803.82    2.025   19.53   58.0    2.9871    0.0372    0.59   68.00    4.80   37.22    0.7800   36.75800   -1.30210 9000.000
    34  802.55    2.039   19.39   58.0    2.9872    0.0372    0.63   67.00    4.90   37.23    0.7800   36.75810   -1.30210 9000.000
    36  801.49    2.050   19.31   58.0    2.9875    0.0373    0.66   67.00    5.10   37.26    0.7800   36.75800   -1.30220 9000.000
    38  800.42    2.062   19.17   58.0    2.9876    0.0373    0.69   66.00    5.20   37.27    0.7800   36.75790   -1.30220 9000.000
    40  799.26    2.074   19.01   58.0    2.9877    0.0374    0.73   65.00    5.30   37.28    0.7800   36.75780   -1.30230 9000.000
    42  798.05    2.087   18.87   59.0    2.9878    0.0374    0.76   65.00    5.40   37.29    0.7800   36.75760   -1.30230 9000.000
    44  796.67    2.102   18.79   60.0    2.9880    0.0375    0.80   64.00    5.50   37.31    0.7800   36.75750   -1.30230 9000.000
    46  795.12    2.119   18.67   60.0    3.0290    0.0381    0.85   64.00    5.60   37.32    0.7900   36.75750   -1.30230 9000.000
    48  793.60    2.135   18.51   61.0    3.0291    0.0382    0.90   64.00    5.60   37.33    0.7900   36.75740   -1.30240 9000.000
    50  792.26    2.150   18.51   61.0    3.0291    0.0382    0.94   64.00    5.70   37.33    0.7900   36.75730   -1.30250 9000.000
    52  790.99    2.164   18.49   61.0    3.0292    0.0383    0.98   65.00    5.70   37.34    0.7900   36.75720   -1.30260 9000.000
    54  789.56    2.179   18.36   61.0    2.9884    0.0378    1.02   65.00    5.60   37.35    0.7800   36.75700   -1.30260 9000.000
    56  788.01    2.196   18.12   62.0    2.9884    0.0379    1.07   67.00    5.60   37.35    0.7800   36.75700   -1.30270 9000.000
    58  786.57    2.212   17.95   62.0    2.9884    0.0380    1.11   68.00    5.50   37.35    0.7800   36.75700   -1.30270 9000.000
    60  785.11    2.228   17.72   63.0    2.9884    0.0381    1.15   70.00    5.40   37.36    0.7800   36.75690   -1.30280 9000.000
    62  783.69    2.243   17.39   64.0    2.9885    0.0381    1.19   72.00    5.30   37.37    0.7800   36.75680   -1.30280 9000.000
    64  782.26    2.259   17.18   65.0    2.9478    0.0377    1.24   74.00    5.20   37.39    0.7700   36.75660   -1.30280 9000.000
    66  780.71    2.276   16.95   65.0    2.9478    0.0378    1.28   77.00    5.00   37.39    0.7700   36.75650   -1.30280 9000.000
    68  779.24    2.292   16.77   66.0    2.9888    0.0384    1.33   79.00    4.90   37.40    0.7800   36.75640   -1.30300 9000.000
    70  777.95    2.306   16.78   67.0    2.9888    0.0384    1.37   82.00    4.70   37.40    0.7800   36.75640   -1.30300 9000.000
    72  776.91    2.317   16.71   67.0    2.9889    0.0385    1.40   84.00    4.50   37.41    0.7800   36.75630   -1.30290 9000.000
    74  775.80    2.330   16.55   68.0    2.9889    0.0385    1.43   86.00    4.40   37.41    0.7800   36.75620   -1.30280 9000.000
    76  774.46    2.344   16.37   68.0    2.9889    0.0386    1.47   88.00    4.20   37.41    0.7800   36.75600   -1.30280 9000.000
    78  773.04    2.360   16.15   68.0    2.9889    0.0387    1.52   89.00    4.00   37.41    0.7800   36.75590   -1.30280 9000.000
    80  771.43    2.378   15.96   69.0    3.0299    0.0393    1.57   90.00    3.90   37.41    0.7900   36.75590   -1.30290 9000.000
    82  769.70    2.397   15.81   70.0    3.0300    0.0394    1.62   90.00    3.80   37.42    0.7900   36.75590   -1.30280 9000.000
    84  768.07    2.415   15.66   71.0    2.9891    0.0389    1.67   89.00    3.70   37.43    0.7800   36.75590   -1.30280 9000.000
    86  766.57    2.431   15.50   71.0    2.9891    0.0390    1.72   88.00    3.70   37.43    0.7800   36.75580   -1.30280 9000.000
    88  765.01    2.449   15.38   72.0    2.9892    0.0391    1.76   87.00    3.70   37.44    0.7800   36.75580   -1.30280 9000.000
    90  763.58    2.465   15.35   72.0    2.9483    0.0386    1.81   85.00    3.80   37.44    0.7700   36.75570   -1.30270 9000.000
    92  762.31    2.479   15.14   72.0    2.9894    0.0392    1.85   83.00    4.00   37.46    0.7800   36.75560   -1.30280 9000.000
    94  761.02    2.493   14.84   73.0    2.9894    0.0393    1.89   82.00    4.20   37.46    0.7800   36.75560   -1.30290 9000.000
    96  759.70    2.508   14.71   72.0    2.9895    0.0394    1.93   81.00    4.40   37.47    0.7800   36.75550   -1.30290 9000.000
    98  758.35    2.523   14.59   70.0    2.9895    0.0394    1.97   80.00    4.60   37.47    0.7800   36.75550   -1.30280 9000.000
   100  757.22    2.536   14.41   69.0    2.9896    0.0395    2.01   80.00    4.90   37.48    0.7800   36.75540   -1.30280 9000.000
   102  756.33    2.546   14.34   70.0    2.9896    0.0395    2.03   80.00    5.10   37.48    0.7800   36.75530   -1.30290 9000.000
   104  755.40    2.556   14.34   70.0    2.9896    0.0396    2.06   80.00    5.40   37.48    0.7800   36.75510   -1.30300 9000.000
   106  754.27    2.569   14.21   70.0    2.9897    0.0396    2.10   80.00    5.60   37.49    0.7800   36.75500   -1.30300 9000.000
   108  752.96    2.583   14.04   71.0    2.9897    0.0397    2.14   81.00    5.80   37.49    0.7800   36.75490   -1.30290 9000.000
   110  751.58    2.599   13.83   73.0    2.9898    0.0398    2.18   81.00    5.90   37.50    0.7800   36.75490   -1.30290 9000.000
   112  750.41    2.612   13.76   74.0    2.9899    0.0398    2.22   82.00    6.00   37.51    0.7800   36.75470   -1.30300 9000.000
   114  749.32    2.624   13.72   73.0    2.9900    0.0399    2.25   83.00    6.10   37.52    0.7800   36.75450   -1.30310 9000.000
   116  748.27    2.636   13.62   73.0    2.9900    0.0400    2.29   83.00    6.20   37.52    0.7800   36.75440   -1.30310 9000.000
   118  747.39    2.646   13.55   73.0    2.9491    0.0395    2.31   84.00    6.20   37.53    0.7700   36.75430   -1.30300 9000.000
   120  746.39    2.657   13.46   73.0    2.9902    0.0401    2.35   85.00    6.20   37.54    0.7800   36.75420   -1.30300 9000.000
   122  745.22    2.671   13.31   74.0    2.9903    0.0401    2.38   85.00    6.20   37.55    0.7800   36.75420   -1.30300 9000.000
   124  743.95    2.685   13.18   75.0    2.9903    0.0402    2.42   86.00    6.20   37.55    0.7800   36.75400   -1.30310 9000.000
   126  742.56    2.701   13.01   76.0    2.9904    0.0403    2.47   87.00    6.20   37.56    0.7800   36.75390   -1.30310 9000.000
   128  741.24    2.716   12.83   78.0    2.9904    0.0403    2.51   87.00    6.20   37.56    0.7800   36.75380   -1.30310 9000.000
   130  740.15    2.728   12.66   80.0    2.9904    0.0404    2.54   88.00    6.10   37.56    0.7800   36.75370   -1.30300 9000.000
   132  739.22    2.739   12.49   82.0    2.9905    0.0405    2.57   89.00    6.10   37.57    0.7800   36.75360   -1.30300 9000.000
   134  738.31    2.749   12.43   82.0    2.9906    0.0405    2.60   89.00    6.00   37.58    0.7800   36.75340   -1.30310 9000.000
   136  737.17    2.762   12.29   81.0    2.9907    0.0406    2.64   90.00    5.90   37.59    0.7800   36.75330   -1.30320 9000.000
   138  736.05    2.775   12.11   83.0    2.9907    0.0406    2.67   91.00    5.90   37.59    0.7800   36.75320   -1.30310 9000.000
   140  734.94    2.788   12.01   84.0    2.9906    0.0407    2.71   91.00    5.80   37.58    0.7800   36.75300   -1.30300 9000.000
   142  733.68    2.802   11.83   86.0    2.9907    0.0408    2.75   92.00    5.70   37.59    0.7800   36.75300   -1.30300 9000.000
   144  732.42    2.816   11.68   87.0    2.9907    0.0408    2.79   93.00    5.70   37.59    0.7800   36.75290   -1.30310 9000.000
   146  731.09    2.832   11.56   87.0    2.9907    0.0409    2.83   93.00    5.70   37.59    0.7800   36.75280   -1.30310 9000.000
   148  729.93    2.845   11.44   87.0    2.9498    0.0404    2.87   93.00    5.70   37.60    0.7700   36.75260   -1.30310 9000.000
   150  729.06    2.855   11.37   89.0    2.9499    0.0405    2.90   93.00    5.70   37.61    0.7700   36.75260   -1.30300 9000.000
   152  728.06    2.866   11.34   88.0    2.9909    0.0411    2.93   93.00    5.80   37.61    0.7800   36.75260   -1.30290 9000.000
   154  726.93    2.879   11.26   88.0    2.9909    0.0411    2.97   93.00    5.90   37.61    0.7800   36.75250   -1.30300 9000.000
   156  725.72    2.893   11.11   90.0    2.9910    0.0412    3.01   93.00    6.00   37.62    0.7800   36.75230   -1.30310 9000.000
   158  724.43    2.908   10.95   90.0    2.9910    0.0413    3.05   92.00    6.10   37.62    0.7800   36.75220   -1.30300 9000.000
   160  723.30    2.921   10.81   91.0    2.9910    0.0414    3.09   91.00    6.30   37.63    0.7800   36.75210   -1.30300 9000.000
   162  722.17    2.934   10.70   92.0    2.9910    0.0414    3.12   91.00    6.40   37.63    0.7800   36.75210   -1.30300 9000.000
   164  720.87    2.950   10.57   93.0    2.9501    0.0409    3.17   90.00    6.60   37.63    0.7700   36.75200   -1.30300 9000.000
   166  719.63    2.964   10.52   93.0    2.9502    0.0410    3.21   89.00    6.70   37.64    0.7700   36.75180   -1.30300 9000.000
   168  718.41    2.978   10.77   82.0    2.9502    0.0411    3.25   89.00    6.90   37.64    0.7700   36.75160   -1.30300 9000.000
   170  717.04    2.994   11.15   69.0    2.9503    0.0411    3.29   88.00    7.00   37.65    0.7700   36.75140   -1.30300 9000.000
   172  715.78    3.009   11.12   69.0    2.9504    0.0412    3.33   87.00    7.00   37.66    0.7700   36.75130   -1.30300 9000.000
   174  714.62    3.022   11.08   66.0    2.9504    0.0413    3.37   86.00    7.10   37.66    0.7700   36.75110   -1.30300 9000.000
   176  713.47    3.036   10.95   66.0    2.9504    0.0414    3.41   85.00    7.20   37.66    0.7700   36.75100   -1.30300 9000.000
   178  712.33    3.049   10.76   67.0    2.9505    0.0414    3.44   84.00    7.30   37.67    0.7700   36.75090   -1.30310 9000.000
   180  711.19    3.062   10.70   70.0    2.9505    0.0415    3.48   83.00    7.40   37.67    0.7700   36.75090   -1.30310 9000.000
   182  709.96    3.077   10.79   65.0    2.9505    0.0416    3.52   82.00    7.60   37.67    0.7700   36.75080   -1.30300 9000.000
   184  708.84    3.090   10.78   64.0    2.9096    0.0410    3.56   81.00    7.70   37.68    0.7600   36.75070   -1.30300 9000.000
   186  707.81    3.102   10.64   62.0    2.9096    0.0411    3.59   80.00    8.00   37.68    0.7600   36.75040   -1.30310 9000.000
   188  706.57    3.117   10.58   57.0    2.9097    0.0412    3.63   78.00    8.20   37.69    0.7600   36.75030   -1.30310 9000.000
   190  705.28    3.132   10.59   54.0    2.9097    0.0413    3.67   77.00    8.50   37.69    0.7600   36.75020   -1.30320 9000.000
   192  704.02    3.147   10.75   52.0    2.9098    0.0413    3.71   76.00    8.70   37.70    0.7600   36.75020   -1.30320 9000.000
   194  702.95    3.160   10.99   45.0    2.9098    0.0414    3.75   75.00    9.00   37.70    0.7600   36.75000   -1.30320 9000.000
