36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 16 January, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20171122
Launch Time (UT)                  : 07:07:49
Burst Pressure (hPa)              : 6.75
Integrated O3 to end of data (DU) : 215.82
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423868
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28412
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.40    1.800   18.90   73.0    2.3989    0.0291    0.00  139.00    1.00   35.15    0.6500   -1.30180   36.75930 9000.000
     2  822.41    1.810   19.41   60.0    2.4390    0.0297    0.02   71.00    1.10   35.16    0.6600   -1.30190   36.75910 9000.000
     4  821.02    1.825   19.16   60.0    2.4391    0.0297    0.06   63.00    1.20   35.17    0.6600   -1.30190   36.75910 9000.000
     6  819.55    1.840   18.97   60.0    2.4391    0.0298    0.09   64.00    1.40   35.18    0.6600   -1.30190   36.75910 9000.000
     8  818.24    1.854   18.74   61.0    2.4391    0.0298    0.12   63.00    1.50   35.18    0.6600   -1.30190   36.75910 9000.000
    10  817.04    1.867   18.57   63.0    2.4391    0.0299    0.15   62.00    1.70   35.18    0.6600   -1.30180   36.75900 9000.000
    12  815.81    1.880   18.49   64.0    2.4392    0.0299    0.18   61.00    1.80   35.19    0.6600   -1.30180   36.75890 9000.000
    14  814.48    1.894   18.37   65.0    2.4392    0.0299    0.21   60.00    1.90   35.19    0.6600   -1.30180   36.75880 9000.000
    16  813.14    1.908   18.08   65.0    2.4392    0.0300    0.24   59.00    2.00   35.19    0.6600   -1.30190   36.75880 9000.000
    18  811.97    1.920   17.91   66.0    2.4392    0.0300    0.27   58.00    2.20   35.19    0.6600   -1.30200   36.75880 9000.000
    20  810.88    1.932   17.86   66.0    2.4393    0.0301    0.29   58.00    2.30   35.20    0.6600   -1.30200   36.75880 9000.000
    22  809.71    1.944   17.75   67.0    2.4793    0.0306    0.32   58.00    2.40   35.20    0.6700   -1.30210   36.75880 9000.000
    24  808.41    1.958   17.59   67.0    2.4793    0.0307    0.35   57.00    2.60   35.20    0.6700   -1.30210   36.75880 9000.000
    26  807.20    1.971   17.40   68.0    2.5194    0.0312    0.38   57.00    2.70   35.21    0.6800   -1.30210   36.75880 9000.000
    28  806.11    1.982   17.26   68.0    2.5194    0.0313    0.41   57.00    2.80   35.21    0.6800   -1.30200   36.75870 9000.000
    30  804.96    1.994   17.10   69.0    2.5195    0.0313    0.44   57.00    3.00   35.23    0.6800   -1.30200   36.75870 9000.000
    32  803.90    2.006   16.95   69.0    2.5195    0.0313    0.47   56.00    3.10   35.23    0.6800   -1.30200   36.75860 9000.000
    34  803.11    2.014   16.79   70.0    2.5195    0.0314    0.49   55.00    3.20   35.23    0.6800   -1.30210   36.75850 9000.000
    36  802.27    2.023   16.60   71.0    2.5196    0.0314    0.51   54.00    3.30   35.24    0.6800   -1.30220   36.75840 9000.000
    38  801.18    2.035   16.46   72.0    2.5196    0.0314    0.53   52.00    3.40   35.24    0.6800   -1.30230   36.75840 9000.000
    40  799.91    2.048   16.36   72.0    2.5596    0.0320    0.56   51.00    3.50   35.24    0.6900   -1.30240   36.75840 9000.000
    42  798.71    2.061   16.25   72.0    2.5996    0.0325    0.60   49.00    3.50   35.24    0.7000   -1.30240   36.75830 9000.000
    44  797.77    2.071   16.15   72.0    2.5997    0.0326    0.62   47.00    3.50   35.25    0.7000   -1.30230   36.75830 9000.000
