36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 14 June, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180307
Launch Time (UT)                  : 08:16:55
Burst Pressure (hPa)              : 7.98
Integrated O3 to end of data (DU) : 188.86
Radiosonde                        : OIF-92
Radiosonde Serial Number          : N1413144
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28400
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.60    1.800   22.10   59.0    3.3389    0.0405    0.00   64.00    3.50   39.51    0.8600   -1.30180   36.75930 9000.000
     2  823.55    1.811   20.86   42.0    3.3389    0.0405    0.03   86.00    1.80   39.51    0.8600   -1.30190   36.75910 9000.000
     4  822.47    1.822   20.72   46.0    3.4215    0.0416    0.07   87.00    1.90   39.52    0.8800   -1.30180   36.75900 9000.000
     6  821.37    1.834   20.61   48.0    3.4214    0.0417    0.10   85.00    2.20   39.51    0.8800   -1.30180   36.75900 9000.000
     8  820.24    1.846   20.52   49.0    3.4214    0.0417    0.14   84.00    2.40   39.51    0.8800   -1.30180   36.75890 9000.000
    10  819.11    1.858   20.40   50.0    3.5038    0.0428    0.18   83.00    2.50   39.51    0.9000   -1.30180   36.75890 9000.000
    12  817.95    1.870   20.28   51.0    3.5037    0.0428    0.22   81.00    2.70   39.50    0.9000   -1.30180   36.75880 9000.000
    14  816.77    1.883   20.19   52.0    3.5449    0.0434    0.26   80.00    2.80   39.50    0.9100   -1.30180   36.75870 9000.000
    16  815.60    1.895   20.12   52.0    3.5861    0.0440    0.30   78.00    2.90   39.50    0.9200   -1.30190   36.75860 9000.000
    18  814.60    1.906   20.08   53.0    3.5861    0.0440    0.33   76.00    3.00   39.50    0.9200   -1.30190   36.75860 9000.000
    20  813.74    1.915   20.00   53.0    3.5859    0.0441    0.36   74.00    3.00   39.48    0.9200   -1.30190   36.75860 9000.000
    22  813.00    1.922   19.96   53.0    3.5859    0.0441    0.39   72.00    3.10   39.48    0.9200   -1.30190   36.75860 9000.000
    24  812.22    1.931   19.98   52.0    3.6271    0.0447    0.42   70.00    3.10   39.48    0.9300   -1.30180   36.75840 9000.000
    26  811.23    1.941   19.95   52.0    3.7095    0.0457    0.45   68.00    3.10   39.48    0.9500   -1.30190   36.75840 9000.000
