36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 8 November, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20180620
Launch Time (UT)                  : 07:14:05
Burst Pressure (hPa)              : 32.53
Integrated O3 to end of data (DU) : 75.92
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423310
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32334
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O) (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : No
Applied background current (uA)   : 0.030
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.00    1.800   15.70   82.0    1.5716    0.0190    0.00  188.00    1.10   30.82    0.4300   -1.30180   36.75930 9000.000
     2  825.38    1.817   15.49   78.0    1.5716    0.0190    0.02  189.00    1.00   30.83    0.4300   -1.30180   36.75910 9000.000
     4  824.27    1.828   15.32   78.0    1.6110    0.0195    0.04  190.00    1.10   30.84    0.4400   -1.30180   36.75900 9000.000
     6  823.15    1.840   15.26   80.0    1.6110    0.0196    0.06  189.00    1.20   30.84    0.4400   -1.30170   36.75900 9000.000
     8  822.17    1.850   15.24   81.0    1.6110    0.0196    0.07  189.00    1.30   30.84    0.4400   -1.30160   36.75910 9000.000
    10  821.26    1.859   15.16   81.0    1.6110    0.0196    0.09  187.00    1.40   30.84    0.4400   -1.30160   36.75920 9000.000
    12  820.23    1.870   14.99   81.0    1.6110    0.0196    0.10  185.00    1.50   30.84    0.4400   -1.30170   36.75920 9000.000
    14  819.10    1.882   14.83   82.0    1.6502    0.0201    0.12  182.00    1.50   30.83    0.4500   -1.30170   36.75920 9000.000
    16  818.09    1.892   14.72   83.0    1.6502    0.0202    0.14  179.00    1.60   30.83    0.4500   -1.30160   36.75920 9000.000
    18  817.17    1.902   14.62   83.0    1.6502    0.0202    0.15  175.00    1.60   30.83    0.4500   -1.30150   36.75920 9000.000
    20  816.19    1.912   14.53   84.0    1.6895    0.0207    0.17  171.00    1.60   30.82    0.4600   -1.30140   36.75930 9000.000
    22  815.11    1.923   14.41   84.0    1.6894    0.0207    0.19  167.00    1.50   30.81    0.4600   -1.30140   36.75930 9000.000
    24  814.17    1.933   14.29   85.0    1.6893    0.0207    0.20  162.00    1.50   30.80    0.4600   -1.30140   36.75920 9000.000
    26  813.31    1.942   14.22   85.0    1.6893    0.0208    0.22  158.00    1.50   30.80    0.4600   -1.30140   36.75910 9000.000
    28  812.33    1.952   14.16   85.0    1.6893    0.0208    0.23  155.00    1.50   30.80    0.4600   -1.30140   36.75900 9000.000
    30  811.22    1.963   14.07   85.0    1.7285    0.0213    0.25  151.00    1.40   30.77    0.4700   -1.30140   36.75900 9000.000
    32  809.95    1.977   13.95   85.0    1.7283    0.0213    0.27  149.00    1.30   30.75    0.4700   -1.30150   36.75910 9000.000
    34  808.71    1.990   13.84   84.0    1.7283    0.0214    0.29  147.00    1.30   30.74    0.4700   -1.30140   36.75910 9000.000
    36  807.44    2.003   13.71   84.0    1.7282    0.0214    0.31  146.00    1.20   30.73    0.4700   -1.30130   36.75910 9000.000
    38  806.02    2.018   13.56   85.0    1.7282    0.0214    0.34  145.00    1.10   30.72    0.4700   -1.30120   36.75910 9000.000
    40  804.63    2.032   13.43   86.0    1.7282    0.0215    0.36  145.00    1.00   30.72    0.4700   -1.30120   36.75900 9000.000
    42  803.20    2.047   13.33   88.0    1.7674    0.0220    0.39  145.00    0.90   30.71    0.4800   -1.30120   36.75900 9000.000
    44  801.70    2.063   13.20   89.0    1.7673    0.0220    0.41  146.00    0.80   30.70    0.4800   -1.30120   36.75890 9000.000
    46  800.38    2.077   13.02   90.0    1.7673    0.0221    0.43  147.00    0.70   30.69    0.4800   -1.30110   36.75890 9000.000
    48  799.40    2.087   12.92   91.0    1.7279    0.0216    0.45  147.00    0.60   30.68    0.4700   -1.30120   36.75900 9000.000
    50  798.50    2.097   12.85   92.0    1.7278    0.0216    0.47  145.00    0.60   30.66    0.4700   -1.30130   36.75900 9000.000
    52  797.50    2.107   12.78   92.0    1.7278    0.0217    0.48  143.00    0.60   30.65    0.4700   -1.30130   36.75900 9000.000
    54  796.37    2.119   12.66   90.0    1.7277    0.0217    0.50  142.00    0.60   30.64    0.4700   -1.30120   36.75910 9000.000
    56  795.27    2.131   12.51   91.0    1.7277    0.0217    0.52  140.00    0.60   30.63    0.4700   -1.30120   36.75910 9000.000
    58  794.26    2.142   12.37   92.0    1.7276    0.0218    0.54  138.00    0.60   30.62    0.4700   -1.30130   36.75910 9000.000
    60  793.19    2.153   12.25   93.0    1.7275    0.0218    0.56  136.00    0.70   30.61    0.4700   -1.30130   36.75900 9000.000
    62  792.12    2.164   12.13   95.0    1.7275    0.0218    0.58  134.00    0.70   30.61    0.4700   -1.30130   36.75900 9000.000
    64  791.29    2.173   12.03   95.0    1.7275    0.0218    0.59  132.00    0.70   30.61    0.4700   -1.30120   36.75890 9000.000
    66  790.57    2.181   11.97   96.0    1.7275    0.0219    0.60  130.00    0.70   30.61    0.4700   -1.30110   36.75890 9000.000
    68  789.61    2.191   11.91   96.0    1.7275    0.0219    0.62  128.00    0.70   30.61    0.4700   -1.30100   36.75890 9000.000
    70  788.57    2.202   11.86   97.0    1.7275    0.0219    0.64  127.00    0.70   30.60    0.4700   -1.30100   36.75890 9000.000
    72  787.64    2.212   11.86   98.0    1.7275    0.0219    0.65  125.00    0.60   30.60    0.4700   -1.30110   36.75890 9000.000
