36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 8 November, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20181003
Launch Time (UT)                  : 06:25:18
Burst Pressure (hPa)              : 6.60
Integrated O3 to end of data (DU) : 226.38
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423874
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32321
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : No
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.70    1.800   17.00   79.0    2.2251    0.0270    0.00   90.00    2.00   31.92    0.6100   -1.30180   36.75930 9000.000
     2  824.03    1.807   16.99   62.0    2.2251    0.0270    0.01   43.00    2.60   31.92    0.6100   -1.30190   36.75910 9000.000
     4  823.03    1.817   16.97   63.0    2.2251    0.0270    0.04   44.00    2.90   31.92    0.6100   -1.30190   36.75910 9000.000
     6  821.78    1.830   16.93   65.0    2.2642    0.0276    0.06   47.00    3.20   31.92    0.6200   -1.30200   36.75910 9000.000
     8  820.64    1.842   16.90   66.0    2.3032    0.0281    0.09   50.00    3.50   31.92    0.6300   -1.30210   36.75900 9000.000
    10  819.70    1.852   16.74   67.0    2.3032    0.0281    0.11   52.00    3.80   31.92    0.6300   -1.30220   36.75890 9000.000
    12  818.83    1.861   16.59   67.0    2.3031    0.0281    0.13   55.00    4.00   31.91    0.6300   -1.30230   36.75880 9000.000
    14  818.07    1.869   16.48   68.0    2.3422    0.0286    0.14   57.00    4.20   31.91    0.6400   -1.30230   36.75880 9000.000
    16  817.20    1.878   16.33   69.0    2.3812    0.0291    0.16   60.00    4.30   31.91    0.6500   -1.30230   36.75880 9000.000
    18  816.32    1.887   16.24   69.0    2.3812    0.0292    0.18   63.00    4.30   31.91    0.6500   -1.30230   36.75870 9000.000
    20  815.59    1.895   16.21   69.0    2.4202    0.0297    0.20   66.00    4.30   31.91    0.6600   -1.30230   36.75850 9000.000
    22  814.68    1.904   16.09   70.0    2.4202    0.0297    0.22   68.00    4.30   31.91    0.6600   -1.30240   36.75840 9000.000
    24  813.67    1.915   15.92   71.0    2.4593    0.0302    0.25   71.00    4.30   31.91    0.6700   -1.30250   36.75830 9000.000
    26  812.70    1.925   15.81   72.0    2.4593    0.0303    0.27   73.00    4.20   31.91    0.6700   -1.30260   36.75830 9000.000
    28  811.75    1.935   15.73   72.0    2.4594    0.0303    0.29   75.00    4.10   31.92    0.6700   -1.30260   36.75820 9000.000
    30  810.82    1.945   15.60   73.0    2.4984    0.0308    0.32   77.00    4.00   31.92    0.6800   -1.30250   36.75820 9000.000
