36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 7 March, 2019
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20190116
Launch Time (UT)                  : 06:57:45
Burst Pressure (hPa)              : 6.29
Integrated O3 to end of data (DU) : 212.47
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1413155
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z32951
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.800
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.60    1.800   19.60   74.0    1.7392    0.0211    0.00   10.00    2.00   34.71    0.4900   -1.30180   36.75930 9000.000
     2  824.61    1.810   19.22   59.0    1.7393    0.0211    0.02   57.00    2.30   34.72    0.4900   -1.30180   36.75920 9000.000
     4  823.39    1.823   18.76   54.0    1.7393    0.0211    0.04   58.00    2.70   34.73    0.4900   -1.30180   36.75910 9000.000
     6  822.08    1.837   18.46   56.0    1.7393    0.0212    0.06   55.00    3.00   34.73    0.4900   -1.30190   36.75900 9000.000
     8  820.80    1.850   18.27   58.0    1.7393    0.0212    0.08   53.00    3.40   34.73    0.4900   -1.30190   36.75900 9000.000
    10  819.70    1.862   18.07   59.0    1.7393    0.0212    0.10   51.00    3.70   34.73    0.4900   -1.30190   36.75890 9000.000
    12  818.67    1.872   17.89   59.0    1.7393    0.0212    0.12   49.00    4.00   34.72    0.4900   -1.30200   36.75880 9000.000
    14  817.47    1.885   17.83   60.0    1.7393    0.0213    0.14   47.00    4.30   34.72    0.4900   -1.30200   36.75860 9000.000
    16  816.32    1.897   17.83   61.0    1.7788    0.0218    0.16   44.00    4.50   34.72    0.5000   -1.30200   36.75860 9000.000
    18  815.30    1.908   17.68   62.0    1.7788    0.0218    0.17   42.00    4.70   34.72    0.5000   -1.30210   36.75860 9000.000
    20  814.15    1.920   17.39   63.0    1.7788    0.0218    0.19   39.00    4.90   34.72    0.5000   -1.30210   36.75860 9000.000
    22  813.01    1.932   17.24   63.0    1.8183    0.0224    0.21   37.00    5.00   34.72    0.5100   -1.30230   36.75850 9000.000
    24  812.04    1.942   17.20   63.0    1.8182    0.0224    0.23   34.00    5.10   34.71    0.5100   -1.30240   36.75840 9000.000
    26  811.13    1.952   17.14   62.0    1.8182    0.0224    0.25   32.00    5.20   34.71    0.5100   -1.30250   36.75830 9000.000
    28  810.07    1.963   17.00   64.0    1.8182    0.0224    0.26   30.00    5.20   34.71    0.5100   -1.30260   36.75820 9000.000
    30  808.95    1.975   16.86   65.0    1.8578    0.0230    0.28   28.00    5.20   34.71    0.5200   -1.30270   36.75820 9000.000
    32  808.06    1.984   16.78   66.0    1.8578    0.0230    0.30   27.00    5.20   34.71    0.5200   -1.30270   36.75820 9000.000
    34  807.16    1.993   16.68   67.0    1.8578    0.0230    0.32   26.00    5.10   34.71    0.5200   -1.30280   36.75830 9000.000
    36  806.12    2.004   16.57   67.0    1.8578    0.0230    0.34   25.00    5.10   34.71    0.5200   -1.30290   36.75830 9000.000
    38  805.17    2.014   16.51   67.0    1.8578    0.0231    0.35   25.00    5.00   34.72    0.5200   -1.30300   36.75820 9000.000
    40  804.31    2.024   16.40   67.0    1.8578    0.0231    0.37   25.00    4.80   34.72    0.5200   -1.30320   36.75820 9000.000
    42  803.42    2.033   16.27   67.0    1.8578    0.0231    0.39   26.00    4.70   34.72    0.5200   -1.30330   36.75800 9000.000
    44  802.47    2.043   16.17   66.0    1.8974    0.0236    0.40   27.00    4.60   34.72    0.5300   -1.30330   36.75790 9000.000
    46  801.56    2.053   16.14   66.0    1.8974    0.0237    0.42   28.00    4.50   34.72    0.5300   -1.30330   36.75790 9000.000
    48  800.65    2.062   16.09   67.0    1.8974    0.0237    0.44   29.00    4.40   34.72    0.5300   -1.30330   36.75790 9000.000
    50  799.55    2.074   15.97   68.0    1.8974    0.0237    0.46   31.00    4.30   34.72    0.5300   -1.30340   36.75800 9000.000
    52  798.31    2.087   15.87   69.0    1.9370    0.0243    0.48   33.00    4.20   34.73    0.5400   -1.30360   36.75800 9000.000
    54  796.94    2.102   15.78   69.0    1.9370    0.0243    0.51   35.00    4.10   34.73    0.5400   -1.30370   36.75790 9000.000
    56  795.50    2.117   15.68   69.0    1.9370    0.0243    0.54   37.00    4.00   34.73    0.5400   -1.30370   36.75770 9000.000
    58  794.14    2.132   15.51   69.0    1.9370    0.0244    0.56   40.00    4.00   34.73    0.5400   -1.30370   36.75770 9000.000
    60  792.84    2.146   15.31   70.0    1.9370    0.0244    0.59   43.00    4.00   34.73    0.5400   -1.30370   36.75770 9000.000
    62  791.52    2.160   15.18   71.0    1.9369    0.0245    0.61   46.00    3.90   34.72    0.5400   -1.30380   36.75770 9000.000
    64  790.23    2.174   15.07   71.0    1.9369    0.0245    0.64   49.00    3.90   34.72    0.5400   -1.30390   36.75770 9000.000
    66  788.91    2.188   14.94   71.0    1.9370    0.0246    0.66   52.00    3.90   34.73    0.5400   -1.30400   36.75760 9000.000
    68  787.56    2.203   14.79   72.0    1.9370    0.0246    0.69   55.00    3.90   34.73    0.5400   -1.30410   36.75750 9000.000
    70  786.35    2.216   14.68   74.0    1.9370    0.0246    0.71   59.00    3.90   34.73    0.5400   -1.30400   36.75750 9000.000
    72  785.32    2.227   14.76   74.0    1.9370    0.0247    0.73   62.00    3.90   34.74    0.5400   -1.30400   36.75740 9000.000
    74  784.29    2.238   14.80   74.0    1.9370    0.0247    0.75   66.00    3.90   34.74    0.5400   -1.30410   36.75730 9000.000
    76  783.18    2.250   14.72   75.0    1.9370    0.0247    0.77   69.00    4.00   34.74    0.5400   -1.30420   36.75730 9000.000
    78  782.04    2.262   14.60   75.0    1.9371    0.0248    0.80   71.00    4.00   34.75    0.5400   -1.30410   36.75720 9000.000
    80  780.77    2.276   14.53   75.0    1.9371    0.0248    0.82   74.00    4.00   34.75    0.5400   -1.30410   36.75720 9000.000
    82  779.60    2.289   14.48   75.0    1.8976    0.0243    0.84   76.00    4.00   34.75    0.5300   -1.30410   36.75710 9000.000
    84  778.41    2.302   14.28   75.0    1.8976    0.0244    0.87   78.00    4.00   34.76    0.5300   -1.30420   36.75700 9000.000
    86  776.91    2.318   13.95   76.0    1.8976    0.0244    0.90   79.00    4.00   34.76    0.5300   -1.30430   36.75690 9000.000
    88  775.46    2.334   13.80   77.0    1.8976    0.0245    0.92   79.00    4.00   34.75    0.5300   -1.30430   36.75680 9000.000
    90  774.25    2.347   13.83   77.0    1.8976    0.0245    0.95   80.00    4.00   34.75    0.5300   -1.30420   36.75670 9000.000
    92  773.04    2.360   13.74   77.0    1.9371    0.0251    0.97   79.00    4.00   34.75    0.5400   -1.30410   36.75670 9000.000
    94  771.88    2.373   13.63   78.0    1.9371    0.0251    0.99   78.00    4.00   34.76    0.5400   -1.30420   36.75660 9000.000
    96  770.57    2.387   13.53   79.0    1.9767    0.0257    1.02   77.00    4.00   34.76    0.5500   -1.30420   36.75660 9000.000
    98  769.26    2.401   13.33   79.0    2.0162    0.0262    1.05   76.00    4.00   34.76    0.5600   -1.30420   36.75650 9000.000
   100  767.84    2.417   13.10   79.0    2.0163    0.0263    1.08   74.00    4.00   34.77    0.5600   -1.30420   36.75630 9000.000
   102  766.44    2.432   12.86   81.0    2.0558    0.0268    1.11   72.00    4.00   34.77    0.5700   -1.30420   36.75630 9000.000
   104  765.28    2.445   12.71   82.0    2.0953    0.0274    1.13   69.00    4.00   34.77    0.5800   -1.30430   36.75630 9000.000
   106  763.91    2.460   12.57   83.0    2.1350    0.0279    1.16   67.00    4.10   34.78    0.5900   -1.30440   36.75630 9000.000
   108  762.34    2.478   12.37   83.0    2.2140    0.0290    1.20   65.00    4.10   34.78    0.6100   -1.30450   36.75620 9000.000
   110  760.95    2.493   12.20   84.0    2.2536    0.0296    1.23   62.00    4.20   34.78    0.6200   -1.30440   36.75610 9000.000
   112  759.73    2.506   12.08   85.0    2.2537    0.0297    1.26   60.00    4.20   34.80    0.6200   -1.30440   36.75600 9000.000
   114  758.42    2.521   11.93   85.0    2.3329    0.0308    1.29   58.00    4.30   34.81    0.6400   -1.30450   36.75600 9000.000
   116  756.87    2.538   11.69   85.0    2.4119    0.0319    1.33   56.00    4.30   34.81    0.6600   -1.30450   36.75590 9000.000
   118  755.37    2.555   11.49   87.0    2.5306    0.0335    1.36   55.00    4.30   34.81    0.6900   -1.30450   36.75590 9000.000
   120  754.02    2.570   11.38   87.0    2.5701    0.0341    1.40   53.00    4.30   34.81    0.7000   -1.30460   36.75570 9000.000
   122  752.69    2.585   11.31   88.0    2.6097    0.0347    1.44   52.00    4.30   34.82    0.7100   -1.30460   36.75560 9000.000
