36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 7 March, 2019
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20190228
Launch Time (UT)                  : 06:33:37
Burst Pressure (hPa)              : 7.77
Integrated O3 to end of data (DU) : 213.72
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1423487
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33237
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.048
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.60    1.800   21.40   49.0    1.8975    0.0230    0.00   70.00    3.00   42.17    0.5000   -1.30180   36.75930 9000.000
     2  822.90    1.807   21.27   37.0    1.9395    0.0236    0.01   63.00    3.70   42.18    0.5100   -1.30180   36.75910 9000.000
     4  821.69    1.820   21.04   38.0    1.9815    0.0241    0.04   62.00    4.20   42.18    0.5200   -1.30190   36.75900 9000.000
     6  820.36    1.834   20.79   39.0    1.9815    0.0242    0.06   61.00    4.70   42.18    0.5200   -1.30180   36.75890 9000.000
     8  819.15    1.847   20.57   40.0    1.9815    0.0242    0.08   60.00    5.20   42.18    0.5200   -1.30180   36.75880 9000.000
    10  818.13    1.858   20.42   40.0    1.9814    0.0242    0.10   59.00    5.70   42.17    0.5200   -1.30190   36.75870 9000.000
    12  816.99    1.870   20.37   41.0    2.0233    0.0248    0.13   58.00    6.10   42.16    0.5300   -1.30200   36.75850 9000.000
    14  815.68    1.883   20.26   42.0    2.0233    0.0248    0.15   57.00    6.50   42.15    0.5300   -1.30210   36.75840 9000.000
    16  814.47    1.896   20.08   42.0    2.0232    0.0248    0.17   56.00    6.80   42.14    0.5300   -1.30210   36.75830 9000.000
    18  813.39    1.908   19.92   42.0    2.0651    0.0254    0.20   55.00    7.00   42.13    0.5400   -1.30230   36.75810 9000.000
    20  812.32    1.919   19.70   43.0    2.0651    0.0254    0.22   54.00    7.20   42.12    0.5400   -1.30240   36.75810 9000.000
    22  811.29    1.930   19.42   43.0    2.1070    0.0260    0.24   53.00    7.30   42.11    0.5500   -1.30240   36.75800 9000.000
