36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Wed Aug 12 15:19:39 2020
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20191121
Launch Time (UT)                  : 08:09:55
Burst Pressure (hPa)              : 6.98
Integrated O3 to end of data (DU) : 289.27
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1413135
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33328
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.50    1.800   21.60   68.0    3.5240    0.0428    0.00  176.00    2.00   38.16    0.9200   -1.30180   36.75930 9000.000
     2  821.99    1.816   21.35   49.0    3.5647    0.0434    0.05   64.00    1.10   38.17    0.9300   -1.30180   36.75910 9000.000
     4  820.85    1.828   21.16   51.0    3.6457    0.0444    0.09   59.00    1.30   38.17    0.9500   -1.30180   36.75910 9000.000
     6  819.55    1.842   20.86   53.0    3.6861    0.0450    0.14   64.00    1.50   38.16    0.9600   -1.30180   36.75920 9000.000
     8  818.05    1.857   20.59   55.0    3.7266    0.0456    0.19   63.00    1.60   38.16    0.9700   -1.30180   36.75910 9000.000
    10  816.47    1.874   20.41   58.0    3.7670    0.0461    0.25   63.00    1.70   38.15    0.9800   -1.30180   36.75900 9000.000
    12  814.88    1.891   20.28   60.0    3.8479    0.0472    0.31   62.00    1.80   38.14    1.0000   -1.30190   36.75890 9000.000
    14  813.37    1.907   20.24   62.0    3.8884    0.0478    0.36   62.00    1.90   38.14    1.0100   -1.30200   36.75880 9000.000
    16  812.13    1.920   20.13   63.0    3.9287    0.0484    0.41   62.00    1.90   38.12    1.0200   -1.30210   36.75880 9000.000
    18  810.97    1.933   19.94   63.0    3.9692    0.0489    0.45   63.00    1.90   38.12    1.0300   -1.30210   36.75890 9000.000
    20  809.90    1.944   19.78   61.0    4.0096    0.0495    0.50   64.00    2.00   38.11    1.0400   -1.30200   36.75890 9000.000
