36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:20 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200115
Launch Time (UT)                  : 07:41:05
Burst Pressure (hPa)              : 6.95
Integrated O3 to end of data (DU) : 203.76
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2643160
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33320
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.10    1.800   19.20   81.0    2.2104    0.0268    0.00   19.00    1.60   35.31    0.6100   -1.30180   36.75930 9000.000
     2  824.19    1.809   19.14   60.0    2.2498    0.0273    0.02   75.00    3.20   35.31    0.6200   -1.30180   36.75900 9000.000
     4  823.21    1.820   19.08   61.0    2.2894    0.0278    0.04   80.00    3.70   35.32    0.6300   -1.30180   36.75890 9000.000
     6  822.10    1.831   18.98   63.0    2.2894    0.0278    0.07   77.00    4.10   35.32    0.6300   -1.30180   36.75890 9000.000
     8  821.01    1.843   18.86   65.0    2.2894    0.0279    0.09   75.00    4.40   35.32    0.6300   -1.30190   36.75870 9000.000
    10  819.95    1.854   18.76   65.0    2.3289    0.0284    0.11   74.00    4.70   35.32    0.6400   -1.30190   36.75850 9000.000
    12  818.97    1.864   18.63   66.0    2.3683    0.0289    0.13   73.00    5.00   35.31    0.6500   -1.30190   36.75840 9000.000
    14  818.03    1.874   18.51   67.0    2.3683    0.0290    0.16   72.00    5.30   35.31    0.6500   -1.30180   36.75850 9000.000
    16  816.92    1.886   18.33   68.0    2.3683    0.0290    0.18   71.00    5.50   35.31    0.6500   -1.30190   36.75840 9000.000
    18  815.87    1.897   18.23   69.0    2.4077    0.0295    0.21   69.00    5.60   35.30    0.6600   -1.30190   36.75830 9000.000
    20  814.97    1.906   18.18   69.0    2.4077    0.0295    0.23   68.00    5.70   35.30    0.6600   -1.30200   36.75810 9000.000
    22  814.07    1.916   18.07   69.0    2.4472    0.0301    0.25   67.00    5.80   35.30    0.6700   -1.30210   36.75800 9000.000
    24  813.18    1.925   17.98   70.0    2.4472    0.0301    0.27   65.00    5.80   35.30    0.6700   -1.30220   36.75800 9000.000
    26  812.39    1.933   17.99   70.0    2.4866    0.0306    0.29   63.00    5.90   35.30    0.6800   -1.30230   36.75780 9000.000
    28  811.68    1.941   18.00   70.0    2.4867    0.0306    0.31   62.00    5.80   35.31    0.6800   -1.30220   36.75770 9000.000
    30  810.92    1.949   17.88   70.0    2.4867    0.0307    0.32   60.00    5.80   35.31    0.6800   -1.30220   36.75760 9000.000
    32  810.10    1.958   17.69   71.0    2.4867    0.0307    0.34   58.00    5.80   35.31    0.6800   -1.30230   36.75760 9000.000
    34  809.39    1.965   17.63   72.0    2.5262    0.0312    0.36   55.00    5.70   35.31    0.6900   -1.30230   36.75750 9000.000
    36  808.70    1.972   17.58   72.0    2.5262    0.0312    0.38   53.00    5.60   35.31    0.6900   -1.30240   36.75730 9000.000
    38  807.72    1.983   17.42   72.0    2.5263    0.0313    0.40   50.00    5.60   35.32    0.6900   -1.30250   36.75720 9000.000
    40  806.70    1.994   17.30   73.0    2.5658    0.0318    0.43   47.00    5.50   35.32    0.7000   -1.30260   36.75720 9000.000
    42  805.63    2.005   17.20   73.0    2.5658    0.0318    0.45   45.00    5.50   35.34    0.7000   -1.30260   36.75710 9000.000
    44  804.68    2.015   17.11   73.0    2.5658    0.0319    0.48   42.00    5.40   35.34    0.7000   -1.30270   36.75710 9000.000
    46  803.83    2.024   17.13   72.0    2.5658    0.0319    0.50   40.00    5.40   35.34    0.7000   -1.30290   36.75700 9000.000
    48  803.05    2.033   17.17   73.0    2.5659    0.0320    0.52   38.00    5.40   35.34    0.7000   -1.30290   36.75700 9000.000
    50  802.15    2.042   17.10   73.0    2.6053    0.0325    0.54   36.00    5.30   35.34    0.7100   -1.30290   36.75700 9000.000
