36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:23 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200122
Launch Time (UT)                  : 07:13:53
Burst Pressure (hPa)              : 5.88
Integrated O3 to end of data (DU) : 207.09
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2513318
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33321
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.80    1.800   19.30   72.0    1.9303    0.0234    0.00   97.00    1.40   36.94    0.5300   -1.30180   36.75930 9000.000
     2  823.19    1.806   19.80   60.0    1.9705    0.0239    0.01   22.00    1.60   36.95    0.5400   -1.30180   36.75920 9000.000
     4  822.34    1.815   19.70   62.0    1.9706    0.0240    0.03   21.00    1.70   36.95    0.5400   -1.30190   36.75910 9000.000
     6  821.44    1.825   19.50   63.0    1.9706    0.0240    0.04   28.00    1.80   36.96    0.5400   -1.30200   36.75910 9000.000
     8  820.52    1.834   19.38   64.0    1.9706    0.0240    0.06   30.00    1.80   36.96    0.5400   -1.30210   36.75900 9000.000
    10  819.32    1.847   19.23   65.0    1.9706    0.0241    0.08   33.00    1.90   36.96    0.5400   -1.30210   36.75910 9000.000
    12  818.06    1.860   19.12   65.0    2.0108    0.0246    0.11   36.00    1.90   36.96    0.5500   -1.30210   36.75920 9000.000
    14  816.90    1.872   19.04   65.0    2.0109    0.0246    0.13   39.00    1.90   36.97    0.5500   -1.30210   36.75910 9000.000
    16  815.77    1.884   18.96   64.0    2.0109    0.0247    0.15   41.00    2.00   36.97    0.5500   -1.30210   36.75890 9000.000
    18  814.55    1.897   18.75   65.0    2.0511    0.0252    0.18   43.00    2.00   36.97    0.5600   -1.30220   36.75890 9000.000
    20  813.28    1.911   18.56   67.0    2.0511    0.0252    0.20   44.00    2.00   36.97    0.5600   -1.30210   36.75890 9000.000
    22  812.02    1.924   18.39   68.0    2.0512    0.0253    0.23   45.00    2.00   36.98    0.5600   -1.30210   36.75890 9000.000
    24  810.89    1.936   18.23   69.0    2.0512    0.0253    0.25   46.00    2.00   36.98    0.5600   -1.30210   36.75890 9000.000
    26  809.89    1.947   18.17   69.0    2.0914    0.0258    0.27   45.00    2.00   36.98    0.5700   -1.30220   36.75890 9000.000
    28  808.65    1.960   18.03   69.0    2.0915    0.0259    0.30   44.00    2.10   36.99    0.5700   -1.30230   36.75890 9000.000
    30  807.35    1.974   17.87   70.0    2.1317    0.0264    0.32   43.00    2.10   36.99    0.5800   -1.30240   36.75890 9000.000
    32  806.16    1.986   17.78   71.0    2.1317    0.0264    0.35   42.00    2.20   36.99    0.5800   -1.30230   36.75880 9000.000
    34  805.02    1.998   17.70   71.0    2.1317    0.0265    0.37   40.00    2.20   37.00    0.5800   -1.30230   36.75870 9000.000
    36  804.04    2.009   17.61   71.0    2.1317    0.0265    0.39   39.00    2.20   37.00    0.5800   -1.30230   36.75870 9000.000
    38  803.10    2.019   17.52   71.0    2.1318    0.0265    0.41   37.00    2.30   37.01    0.5800   -1.30230   36.75880 9000.000
    40  802.12    2.029   17.40   72.0    2.1720    0.0271    0.43   35.00    2.30   37.01    0.5900   -1.30240   36.75880 9000.000
    42  801.13    2.040   17.34   72.0    2.1721    0.0271    0.45   34.00    2.30   37.02    0.5900   -1.30250   36.75870 9000.000
    44  799.88    2.053   17.17   72.0    2.1721    0.0272    0.48   32.00    2.30   37.02    0.5900   -1.30260   36.75860 9000.000
    46  798.55    2.067   16.93   73.0    2.1721    0.0272    0.51   30.00    2.20   37.02    0.5900   -1.30260   36.75860 9000.000
    48  797.46    2.079   16.80   74.0    2.1722    0.0272    0.53   27.00    2.20   37.03    0.5900   -1.30270   36.75860 9000.000
    50  796.51    2.089   16.78   73.0    2.2124    0.0278    0.55   24.00    2.20   37.03    0.6000   -1.30260   36.75850 9000.000
    52  795.41    2.101   16.63   73.0    2.2125    0.0278    0.58   22.00    2.10   37.04    0.6000   -1.30260   36.75850 9000.000
    54  794.19    2.114   16.43   74.0    2.2125    0.0279    0.60   19.00    2.10   37.04    0.6000   -1.30270   36.75850 9000.000
    56  792.91    2.128   16.30   75.0    2.2527    0.0284    0.63   17.00    2.10   37.04    0.6100   -1.30280   36.75850 9000.000
    58  791.67    2.141   16.11   76.0    2.2528    0.0285    0.66   15.00    2.10   37.05    0.6100   -1.30280   36.75850 9000.000
    60  790.60    2.153   16.03   76.0    2.2528    0.0285    0.68   14.00    2.20   37.05    0.6100   -1.30280   36.75850 9000.000
    62  789.48    2.165   15.97   76.0    2.2529    0.0285    0.71   14.00    2.20   37.06    0.6100   -1.30280   36.75860 9000.000
    64  788.14    2.179   15.80   76.0    2.2529    0.0286    0.74   15.00    2.30   37.06    0.6100   -1.30280   36.75850 9000.000
    66  786.92    2.193   15.65   77.0    2.2530    0.0286    0.77   16.00    2.40   37.07    0.6100   -1.30290   36.75850 9000.000
    68  785.79    2.205   15.54   77.0    2.2530    0.0287    0.79   18.00    2.60   37.07    0.6100   -1.30300   36.75860 9000.000
    70  784.68    2.217   15.45   78.0    2.2932    0.0292    0.82   20.00    2.70   37.07    0.6200   -1.30310   36.75850 9000.000
    72  783.56    2.229   15.38   78.0    2.2932    0.0293    0.84   22.00    2.90   37.07    0.6200   -1.30310   36.75850 9000.000
    74  782.28    2.243   15.20   78.0    2.2932    0.0293    0.87   23.00    3.20   37.08    0.6200   -1.30310   36.75840 9000.000
    76  780.98    2.257   14.99   79.0    2.2933    0.0294    0.90   25.00    3.40   37.09    0.6200   -1.30300   36.75840 9000.000
    78  779.78    2.270   14.88   80.0    2.2933    0.0294    0.93   26.00    3.70   37.09    0.6200   -1.30310   36.75850 9000.000
    80  778.52    2.284   14.80   81.0    2.2934    0.0295    0.96   26.00    3.90   37.10    0.6200   -1.30330   36.75850 9000.000
    82  777.42    2.296   14.71   81.0    2.2935    0.0295    0.99   26.00    4.20   37.11    0.6200   -1.30330   36.75840 9000.000
    84  776.36    2.307   14.58   82.0    2.2935    0.0295    1.01   26.00    4.50   37.11    0.6200   -1.30340   36.75820 9000.000
    86  775.10    2.321   14.38   83.0    2.2935    0.0296    1.04   25.00    4.80   37.11    0.6200   -1.30340   36.75820 9000.000
    88  773.99    2.333   14.23   84.0    2.2935    0.0296    1.07   25.00    5.00   37.12    0.6200   -1.30340   36.75820 9000.000
    90  773.17    2.342   14.17   85.0    2.2936    0.0297    1.09   24.00    5.30   37.13    0.6200   -1.30360   36.75820 9000.000
    92  772.35    2.351   14.12   85.0    2.2936    0.0297    1.10   23.00    5.50   37.13    0.6200   -1.30380   36.75810 9000.000
    94  771.46    2.361   14.06   86.0    2.2936    0.0297    1.13   22.00    5.80   37.13    0.6200   -1.30390   36.75800 9000.000
    96  770.47    2.372   13.98   87.0    2.2936    0.0298    1.15   21.00    6.00   37.13    0.6200   -1.30390   36.75800 9000.000
    98  769.38    2.384   13.90   87.0    2.2936    0.0298    1.17   20.00    6.20   37.13    0.6200   -1.30390   36.75800 9000.000
   100  768.25    2.396   13.92   86.0    2.2936    0.0299    1.20   20.00    6.40   37.13    0.6200   -1.30400   36.75800 9000.000
   102  767.15    2.408   13.99   82.0    2.2938    0.0299    1.23   20.00    6.50   37.15    0.6200   -1.30420   36.75800 9000.000
   104  766.33    2.417   13.91   80.0    2.2938    0.0299    1.25   19.00    6.70   37.15    0.6200   -1.30440   36.75790 9000.000
   106  765.66    2.425   13.82   83.0    2.2938    0.0300    1.26   19.00    6.80   37.15    0.6200   -1.30450   36.75790 9000.000
   108  764.86    2.434   13.67   85.0    2.2938    0.0300    1.28 9000.00 9000.00   37.15    0.6200 9000.00000 9000.00000 9000.000
   110  763.77    2.446   13.65   84.0    2.2939    0.0300    1.31 9000.00 9000.00   37.16    0.6200 9000.00000 9000.00000 9000.000
   112  762.62    2.458   14.03   78.0    2.2939    0.0301    1.33 9000.00 9000.00   37.17    0.6200 9000.00000 9000.00000 9000.000
   114  761.73    2.468   14.50   72.0    2.2939    0.0301    1.36 9000.00 9000.00   37.17    0.6200 9000.00000 9000.00000 9000.000
   116  760.98    2.477   14.68   69.0    2.2940    0.0301    1.37 9000.00 9000.00   37.17    0.6200 9000.00000 9000.00000 9000.000
   118  760.08    2.487   14.87   66.0    2.2940    0.0302    1.39 9000.00 9000.00   37.18    0.6200 9000.00000 9000.00000 9000.000
   120  758.92    2.500   14.96   65.0    2.2940    0.0302    1.42 9000.00 9000.00   37.19    0.6200 9000.00000 9000.00000 9000.000
   122  757.72    2.513   14.86   64.0    2.2940    0.0303    1.45 9000.00 9000.00   37.19    0.6200 9000.00000 9000.00000 9000.000
   124  756.73    2.524   14.81   64.0    2.2940    0.0303    1.47 9000.00 9000.00   37.19    0.6200 9000.00000 9000.00000 9000.000
   126  756.04    2.532   14.81   64.0    2.2941    0.0303    1.49 9000.00 9000.00   37.20    0.6200 9000.00000 9000.00000 9000.000
   128  755.41    2.539   14.78   63.0    2.2941    0.0304    1.51 9000.00 9000.00   37.20    0.6200 9000.00000 9000.00000 9000.000
   130  754.66    2.547   14.71   63.0    2.2941    0.0304    1.52 9000.00 9000.00   37.20    0.6200 9000.00000 9000.00000 9000.000
   132  753.78    2.557   14.60   63.0    2.3344    0.0310    1.55 9000.00 9000.00   37.20    0.6300 9000.00000 9000.00000 9000.000
   134  752.77    2.569   14.49   63.0    2.3344    0.0310    1.57 9000.00 9000.00   37.20    0.6300 9000.00000 9000.00000 9000.000
   136  751.84    2.579   14.41   63.0    2.3344    0.0310    1.59 9000.00 9000.00   37.20    0.6300 9000.00000 9000.00000 9000.000
   138  751.00    2.588   14.40   62.0    2.3345    0.0311    1.61 9000.00 9000.00   37.21    0.6300 9000.00000 9000.00000 9000.000
   140  750.23    2.597   14.42   61.0    2.3345    0.0311    1.63 9000.00 9000.00   37.21    0.6300 9000.00000 9000.00000 9000.000
   142  749.58    2.604   14.41   61.0    2.3345    0.0311    1.65 9000.00 9000.00   37.22    0.6300 9000.00000 9000.00000 9000.000
   144  748.80    2.613   14.33   61.0    2.3345    0.0312    1.67 9000.00 9000.00   37.22    0.6300 9000.00000 9000.00000 9000.000
   146  747.90    2.623   14.23   61.0    2.3748    0.0318    1.69 9000.00 9000.00   37.22    0.6400 9000.00000 9000.00000 9000.000
   148  746.97    2.634   14.18   61.0    2.3748    0.0318    1.71 9000.00 9000.00   37.22    0.6400 9000.00000 9000.00000 9000.000
   150  746.23    2.642   14.20   61.0    2.3749    0.0318    1.73 9000.00 9000.00   37.23    0.6400 9000.00000 9000.00000 9000.000
   152  745.60    2.649   14.14   61.0    2.3749    0.0319    1.75 9000.00 9000.00   37.23    0.6400 9000.00000 9000.00000 9000.000
   154  744.81    2.658   14.05   61.0    2.3749    0.0319    1.77 9000.00 9000.00   37.23    0.6400 9000.00000 9000.00000 9000.000
   156  743.92    2.668   14.00   61.0    2.3749    0.0319    1.79 9000.00 9000.00   37.23    0.6400 9000.00000 9000.00000 9000.000
   158  743.10    2.678   14.07   61.0    2.4152    0.0325    1.81 9000.00 9000.00   37.24    0.6500 9000.00000 9000.00000 9000.000
   160  742.28    2.687   14.20   60.0    2.4152    0.0325    1.83 9000.00 9000.00   37.24    0.6500 9000.00000 9000.00000 9000.000
   162  741.43    2.697   14.29   59.0    2.4152    0.0326    1.85 9000.00 9000.00   37.24    0.6500 9000.00000 9000.00000 9000.000
   164  740.56    2.707   14.27   58.0    2.4555    0.0332    1.88 9000.00 9000.00   37.24    0.6600 9000.00000 9000.00000 9000.000
   166  739.73    2.716   14.20   58.0    2.4555    0.0332    1.90 9000.00 9000.00   37.24    0.6600 9000.00000 9000.00000 9000.000
   168  739.00    2.725   14.15   57.0    2.4556    0.0332    1.92 9000.00 9000.00   37.26    0.6600 9000.00000 9000.00000 9000.000
   170  738.24    2.733   14.01   57.0    2.4556    0.0333    1.94 9000.00 9000.00   37.26    0.6600 9000.00000 9000.00000 9000.000
   172  737.41    2.743   13.83   58.0    2.4959    0.0338    1.96 9000.00 9000.00   37.27    0.6700 9000.00000 9000.00000 9000.000
   174  736.51    2.753   13.71   59.0    2.5362    0.0344    1.98 9000.00 9000.00   37.27    0.6800 9000.00000 9000.00000 9000.000
   176  735.61    2.763   13.67   59.0    2.5362    0.0345    2.01 9000.00 9000.00   37.27    0.6800 9000.00000 9000.00000 9000.000
   178  734.85    2.772   13.69   59.0    2.5362    0.0345    2.03 9000.00 9000.00   37.27    0.6800 9000.00000 9000.00000 9000.000
   180  734.17    2.780   13.62   59.0    2.5363    0.0345    2.05 9000.00 9000.00   37.28    0.6800 9000.00000 9000.00000 9000.000
   182  733.40    2.789   13.48   59.0    2.5363    0.0346    2.07 9000.00 9000.00   37.28    0.6800 9000.00000 9000.00000 9000.000
   184  732.56    2.798   13.35   60.0    2.5765    0.0352    2.09 9000.00 9000.00   37.28    0.6900 9000.00000 9000.00000 9000.000
   186  731.69    2.808   13.26   60.0    2.5765    0.0352    2.12 9000.00 9000.00   37.28    0.6900 9000.00000 9000.00000 9000.000
   188  730.70    2.820   13.18   61.0    2.6169    0.0358    2.14 9000.00 9000.00   37.29    0.7000 9000.00000 9000.00000 9000.000
   190  729.64    2.832   13.10   61.0    2.6169    0.0359    2.17 9000.00 9000.00   37.29    0.7000 9000.00000 9000.00000 9000.000
   192  728.68    2.843   13.06   61.0    2.6169    0.0359    2.20 9000.00 9000.00   37.29    0.7000 9000.00000 9000.00000 9000.000
   194  727.87    2.852   13.11   61.0    2.6169    0.0360    2.22 9000.00 9000.00   37.29    0.7000 9000.00000 9000.00000 9000.000
   196  727.10    2.861   13.11   61.0    2.6170    0.0360    2.25 9000.00 9000.00   37.30    0.7000 9000.00000 9000.00000 9000.000
   198  726.40    2.869   13.02   60.0    2.6170    0.0360    2.27 9000.00 9000.00   37.30    0.7000 9000.00000 9000.00000 9000.000
   200  725.68    2.878   12.87   60.0    2.6170    0.0361    2.29 9000.00 9000.00   37.30    0.7000 9000.00000 9000.00000 9000.000
   202  724.88    2.887   12.70   60.0    2.6572    0.0367    2.31 9000.00 9000.00   37.30    0.7100 9000.00000 9000.00000 9000.000
   204  724.10    2.896   12.61   61.0    2.6573    0.0367    2.33 9000.00 9000.00   37.31    0.7100 9000.00000 9000.00000 9000.000
   206  723.33    2.905   12.61   61.0    2.6573    0.0367    2.35 9000.00 9000.00   37.31    0.7100 9000.00000 9000.00000 9000.000
   208  722.64    2.913   12.66   61.0    2.6574    0.0368    2.37 9000.00 9000.00   37.32    0.7100 9000.00000 9000.00000 9000.000
   210  722.05    2.920   12.71   60.0    2.6574    0.0368    2.39 9000.00 9000.00   37.32    0.7100 9000.00000 9000.00000 9000.000
   212  721.41    2.928   12.72   60.0    2.6977    0.0374    2.41 9000.00 9000.00   37.32    0.7200 9000.00000 9000.00000 9000.000
   214  720.72    2.935   12.66   60.0    2.6977    0.0374    2.43 9000.00 9000.00   37.32    0.7200 9000.00000 9000.00000 9000.000
   216  720.00    2.944   12.67   60.0    2.7380    0.0380    2.45 9000.00 9000.00   37.32    0.7300 9000.00000 9000.00000 9000.000
   218  719.19    2.953   12.75   59.0    2.7381    0.0381    2.48 9000.00 9000.00   37.33    0.7300 9000.00000 9000.00000 9000.000
   220  718.48    2.962   12.78   58.0    2.7381    0.0381    2.50 9000.00 9000.00   37.33    0.7300 9000.00000 9000.00000 9000.000
   222  717.75    2.970   12.76   57.0    2.7381    0.0381    2.52 9000.00 9000.00   37.34    0.7300 9000.00000 9000.00000 9000.000
   224  717.00    2.979   12.70   57.0    2.7381    0.0382    2.54 9000.00 9000.00   37.34    0.7300 9000.00000 9000.00000 9000.000
   226  716.31    2.987   12.62   57.0    2.7381    0.0382    2.56 9000.00 9000.00   37.34    0.7300 9000.00000 9000.00000 9000.000
   228  715.60    2.995   12.54   57.0    2.7382    0.0383    2.58 9000.00 9000.00   37.35    0.7300 9000.00000 9000.00000 9000.000
