36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:36 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200226
Launch Time (UT)                  : 07:31:27
Burst Pressure (hPa)              : 6.43
Integrated O3 to end of data (DU) : 200.52
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2653512
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33247
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.10    1.800   20.40   76.0    1.3072    0.0158    0.00   72.00    0.50   36.70    0.3600   -1.30180   36.75930 9000.000
     2  824.66    1.805   20.19   59.0    1.3481    0.0163    0.01   15.00    1.80   36.71    0.3700   -1.30180   36.75910 9000.000
     4  823.80    1.814   19.98   61.0    1.3890    0.0169    0.02    8.00    2.30   36.72    0.3800   -1.30190   36.75910 9000.000
     6  822.69    1.825   19.75   63.0    1.3890    0.0169    0.03    9.00    2.60   36.72    0.3800   -1.30190   36.75910 9000.000
     8  821.80    1.835   19.59   65.0    1.4299    0.0174    0.04    7.00    2.90   36.73    0.3900   -1.30190   36.75910 9000.000
    10  821.00    1.843   19.52   66.0    1.4299    0.0174    0.05    6.00    3.30   36.73    0.3900   -1.30200   36.75900 9000.000
    12  819.99    1.854   19.36   66.0    1.4708    0.0179    0.07    5.00    3.60   36.74    0.4000   -1.30210   36.75890 9000.000
    14  819.06    1.863   19.25   66.0    1.5117    0.0185    0.08    4.00    3.90   36.74    0.4100   -1.30220   36.75900 9000.000
    16  818.29    1.872   19.23   67.0    1.5117    0.0185    0.09    3.00    4.20   36.75    0.4100   -1.30230   36.75900 9000.000
    18  817.43    1.881   19.19   68.0    1.5526    0.0190    0.11    3.00    4.50   36.75    0.4200   -1.30240   36.75900 9000.000
    20  816.38    1.892   19.07   68.0    1.5526    0.0190    0.12    3.00    4.70   36.76    0.4200   -1.30260   36.75900 9000.000
    22  815.30    1.903   18.90   69.0    1.5935    0.0195    0.14    4.00    4.80   36.76    0.4300   -1.30260   36.75900 9000.000
    24  814.23    1.914   18.67   68.0    1.5935    0.0196    0.15    5.00    4.90   36.77    0.4300   -1.30260   36.75900 9000.000
    26  813.30    1.924   18.50   69.0    1.6344    0.0201    0.17    6.00    5.00   36.77    0.4400   -1.30270   36.75910 9000.000
    28  812.37    1.934   18.44   70.0    1.6344    0.0201    0.18    8.00    5.10   36.77    0.4400   -1.30290   36.75910 9000.000
    30  811.30    1.945   18.36   70.0    1.6344    0.0201    0.20   10.00    5.10   36.77    0.4400   -1.30300   36.75910 9000.000
    32  810.06    1.959   18.23   70.0    1.6753    0.0207    0.22   12.00    5.20   36.77    0.4500   -1.30300   36.75910 9000.000
    34  808.79    1.972   18.09   71.0    1.6753    0.0207    0.24   14.00    5.20   36.77    0.4500   -1.30310   36.75900 9000.000
    36  807.58    1.985   17.98   71.0    1.6753    0.0207    0.26   16.00    5.30   36.78    0.4500   -1.30320   36.75900 9000.000
    38  806.48    1.997   17.90   72.0    1.7162    0.0213    0.28   18.00    5.30   36.78    0.4600   -1.30340   36.75900 9000.000
    40  805.34    2.009   17.79   72.0    1.7162    0.0213    0.30   20.00    5.30   36.79    0.4600   -1.30350   36.75890 9000.000
    42  804.18    2.021   17.67   73.0    1.7163    0.0213    0.32   21.00    5.40   36.80    0.4600   -1.30360   36.75880 9000.000
    44  803.08    2.033   17.55   73.0    1.7163    0.0214    0.34   22.00    5.40   36.80    0.4600   -1.30360   36.75870 9000.000
    46  802.00    2.044   17.44   73.0    1.7163    0.0214    0.36   23.00    5.40   36.81    0.4600   -1.30360   36.75870 9000.000
    48  800.93    2.056   17.36   74.0    1.7164    0.0214    0.37   24.00    5.40   36.82    0.4600   -1.30370   36.75880 9000.000
    50  799.90    2.067   17.29   74.0    1.7572    0.0220    0.39   24.00    5.50   36.82    0.4700   -1.30380   36.75870 9000.000
    52  798.74    2.079   17.15   75.0    1.7573    0.0220    0.41   24.00    5.50   36.83    0.4700   -1.30400   36.75860 9000.000
    54  797.43    2.093   17.00   75.0    1.7574    0.0220    0.43   24.00    5.50   36.84    0.4700   -1.30400   36.75850 9000.000
    56  796.20    2.106   16.85   76.0    1.7574    0.0221    0.46   24.00    5.40   36.84    0.4700   -1.30410   36.75850 9000.000
