36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Mon Jun  5 11:23:04 2023
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20220202
Launch Time (UT)                  : 07:53:09
Burst Pressure (hPa)              : 5.83
Integrated O3 to end of data (DU) : 196.91
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : P5040245
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.250
Ozonesonde Instrument             : 1Z37094
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.55    1.790   22.00   66.0    2.2835    0.0277    0.00   50.00   14.00   35.46    0.6040   -1.30173   36.75935    1.779
     1  823.34    1.803   23.12   58.0    2.3104    0.0281    0.03   51.49    5.64   35.47    0.6105   -1.30177   36.75919    1.788
     2  823.14    1.805   22.76   58.0    2.3113    0.0281    0.03   54.51    2.59   35.48    0.6107   -1.30179   36.75911    1.793
     3  822.87    1.808   22.45   59.0    2.3254    0.0283    0.04   57.66    1.69   35.49    0.6141   -1.30182   36.75906    1.797
     4  822.68    1.809   22.09   60.0    2.3386    0.0284    0.04   57.22    1.81   35.49    0.6173   -1.30186   36.75903    1.799
     5  822.31    1.813   21.71   61.0    2.3395    0.0284    0.05   55.89    2.18   35.50    0.6175   -1.30190   36.75900    1.803
     6  821.79    1.819   21.48   62.0    2.3502    0.0286    0.06   55.04    2.48   35.50    0.6201   -1.30194   36.75897    1.808
     7  821.30    1.824   21.38   63.0    2.3651    0.0288    0.07   54.57    2.66   35.51    0.6237   -1.30197   36.75895    1.813
     8  820.74    1.830   21.32   63.0    2.3659    0.0288    0.09   54.25    2.76   35.51    0.6239   -1.30199   36.75894    1.819
     9  820.19    1.836   21.25   63.0    2.3680    0.0289    0.10   53.92    2.87   35.51    0.6244   -1.30199   36.75892    1.825
    10  819.65    1.842   21.18   62.0    2.3697    0.0289    0.11   53.59    2.96   35.52    0.6248   -1.30198   36.75890    1.831
    11  818.99    1.849   21.11   62.0    2.3759    0.0290    0.13   53.25    3.05   35.52    0.6263   -1.30198   36.75885    1.838
    12  818.38    1.855   21.04   63.0    2.3813    0.0291    0.14   52.89    3.14   35.52    0.6276   -1.30199   36.75879    1.844
    13  817.86    1.860   20.98   63.0    2.3855    0.0292    0.15   52.54    3.23   35.53    0.6286   -1.30203   36.75874    1.849
    14  817.45    1.865   20.92   63.0    2.3896    0.0292    0.16   52.19    3.30   35.53    0.6296   -1.30207   36.75870    1.854
    15  816.86    1.871   20.85   63.0    2.3905    0.0293    0.17   51.85    3.38   35.54    0.6298   -1.30213   36.75868    1.861
    16  816.14    1.879   20.78   63.0    2.3905    0.0293    0.19   51.54    3.45   35.54    0.6298   -1.30217   36.75867    1.867
    17  815.50    1.885   20.70   63.0    2.3905    0.0293    0.21   51.27    3.51   35.54    0.6298   -1.30220   36.75866    1.875
    18  814.85    1.893   20.62   63.0    2.3906    0.0293    0.22   51.05    3.57   35.55    0.6298   -1.30221   36.75865    1.882
    19  814.13    1.900   20.54   63.0    2.3906    0.0294    0.24   50.89    3.63   35.55    0.6298   -1.30220   36.75865    1.889
    20  813.51    1.907   20.46   63.0    2.3943    0.0294    0.25   50.80    3.68   35.55    0.6307   -1.30220   36.75864    1.896
    21  812.91    1.913   20.36   63.0    2.4034    0.0296    0.27   50.78    3.73   35.56    0.6329   -1.30219   36.75863    1.902
    22  812.31    1.919   20.22   63.0    2.4059    0.0296    0.28   50.83    3.77   35.56    0.6335   -1.30220   36.75863    1.909
    23  811.70    1.926   20.12   64.0    2.4063    0.0296    0.29   50.96    3.81   35.56    0.6336   -1.30221   36.75863    1.915
    24  811.12    1.932   20.10   65.0    2.4088    0.0297    0.31   51.16    3.84   35.56    0.6342   -1.30223   36.75863    1.921
    25  810.44    1.939   20.10   65.0    2.4105    0.0297    0.32   51.44    3.87   35.57    0.6346   -1.30225   36.75860    1.928
