36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:13:54 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240103
Launch Time (UT)                  : 07:50:45
Burst Pressure (hPa)              : 6.23
Integrated O3 to end of data (DU) : 203.83
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5030101
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.250
Ozonesonde Instrument             : 1Z37041
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.05    1.790   24.70   64.0    2.0270    0.0246    0.00   40.00    2.40   35.57    0.5300   -1.30000   36.76000    1.780
     1  823.18    1.799   20.64   72.0    2.0270    0.0246    0.02   43.35    1.87   35.57    0.5300   -1.30000   36.76000    1.790
     2  823.01    1.801   20.62   71.0    2.0683    0.0251    0.02   45.14    1.72   35.57    0.5400   -1.30000   36.76000    1.790
     3  822.70    1.804   20.38   72.0    2.0683    0.0251    0.03   45.77    1.73   35.57    0.5400   -1.30000   36.76000    1.790
     4  822.41    1.807   20.28   72.0    2.0684    0.0252    0.03   45.77    1.80   35.58    0.5400   -1.30000   36.76000    1.800
     5  822.11    1.810   20.21   73.0    2.0684    0.0252    0.04   45.66    1.88   35.58    0.5400   -1.30000   36.76000    1.800
     6  821.69    1.815   20.13   73.0    2.0684    0.0252    0.05   45.63    1.95   35.58    0.5400   -1.30000   36.76000    1.800
     7  821.26    1.819   20.06   73.0    2.1098    0.0257    0.06   45.74    2.00   35.59    0.5500   -1.30000   36.76000    1.810
     8  820.88    1.823   19.99   74.0    2.1098    0.0257    0.06   45.96    2.04   35.59    0.5500   -1.30000   36.76000    1.810
     9  820.49    1.827   19.95   73.0    2.1098    0.0257    0.07   46.29    2.07   35.59    0.5500   -1.30000   36.76000    1.820
    10  820.12    1.831   19.92   73.0    2.1098    0.0257    0.08   46.74    2.10   35.59    0.5500   -1.30000   36.76000    1.820
    11  819.82    1.834   19.91   73.0    2.1098    0.0257    0.08   47.34    2.11   35.59    0.5500   -1.30000   36.76000    1.820
    12  819.41    1.839   19.88   73.0    2.1098    0.0257    0.09   48.10    2.12   35.59    0.5500   -1.30000   36.76000    1.830
    13  818.99    1.843   19.85   74.0    2.1513    0.0263    0.10   49.04    2.12   35.60    0.5600   -1.30000   36.76000    1.830
    14  818.48    1.849   19.84   74.0    2.1513    0.0263    0.11   50.15    2.12   35.60    0.5600   -1.30000   36.76000    1.840
    15  818.05    1.853   19.84   73.0    2.1513    0.0263    0.12   51.43    2.11   35.60    0.5600   -1.30000   36.76000    1.840
    16  817.78    1.856   19.82   73.0    2.1513    0.0263    0.13   52.88    2.11   35.60    0.5600   -1.30000   36.76000    1.850
    17  817.50    1.859   19.77   73.0    2.1927    0.0268    0.13   54.47    2.10   35.60    0.5700   -1.30000   36.76000    1.850
    18  817.10    1.863   19.71   74.0    2.1927    0.0268    0.14   56.19    2.10   35.60    0.5700   -1.30000   36.76000    1.850
    19  816.74    1.867   19.67   74.0    2.1927    0.0268    0.15   58.01    2.10   35.60    0.5700   -1.30000   36.76000    1.860
    20  816.29    1.872   19.65   75.0    2.2340    0.0274    0.16   59.91    2.10   35.60    0.5800   -1.30000   36.76000    1.860
    21  815.73    1.878   19.63   75.0    2.2340    0.0274    0.17   61.86    2.11   35.60    0.5800   -1.30000   36.76000    1.870
    22  815.12    1.884   19.60   75.0    2.2340    0.0274    0.18   63.81    2.12   35.60    0.5800   -1.30000   36.76000    1.870
    23  814.57    1.890   19.55   75.0    2.2340    0.0274    0.20   65.72    2.14   35.60    0.5800   -1.30000   36.76000    1.880
    24  814.07    1.895   19.48   75.0    2.2340    0.0274    0.21   67.54    2.16   35.60    0.5800   -1.30000   36.76000    1.880
    25  813.65    1.900   19.41   76.0    2.2340    0.0275    0.22   69.22    2.20   35.60    0.5800   -1.30000   36.76000    1.890
    26  813.26    1.904   19.33   76.0    2.2340    0.0275    0.22   70.70    2.24   35.60    0.5800   -1.30000   36.76000    1.890
    27  812.89    1.908   19.28   77.0    2.2340    0.0275    0.23   71.95    2.29   35.60    0.5800   -1.30000   36.76000    1.900
    28  812.56    1.911   19.25   77.0    2.2340    0.0275    0.24   72.93    2.34   35.60    0.5800   -1.30000   36.76000    1.900
    29  812.26    1.914   19.22   77.0    2.2340    0.0275    0.25   73.63    2.40   35.60    0.5800   -1.30000   36.76000    1.900
    30  812.01    1.917   19.20   77.0    2.2340    0.0275    0.25   74.06    2.46   35.60    0.5800   -1.30000   36.76000    1.910
    31  811.76    1.920   19.19   77.0    2.2340    0.0275    0.26   74.21    2.52   35.60    0.5800   -1.30000   36.76000    1.910
    32  811.47    1.923   19.16   77.0    2.2340    0.0275    0.26   74.11    2.58   35.60    0.5800   -1.30000   36.76000    1.910
    33  811.13    1.926   19.13   77.0    2.2340    0.0275    0.27   73.77    2.65   35.60    0.5800   -1.30000   36.76000    1.920
    34  810.73    1.931   19.10   77.0    2.2340    0.0276    0.28   73.22    2.71   35.60    0.5800   -1.30000   36.76000    1.920
    35  810.42    1.934   19.06   77.0    2.2341    0.0276    0.29   72.47    2.78   35.61    0.5800   -1.30000   36.76000    1.920
    36  810.12    1.937   19.03   77.0    2.2341    0.0276    0.29   71.54    2.84   35.61    0.5800   -1.30000   36.76000    1.930
