36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:13:59 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240110
Launch Time (UT)                  : 08:34:04
Burst Pressure (hPa)              : 6.60
Integrated O3 to end of data (DU) : 194.45
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : R5010381
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.250
Ozonesonde Instrument             : 1Z37044
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.75    1.790   20.60   74.0    2.2689    0.0276    0.00   70.00    3.00   35.72    0.5900   -1.30000   36.76000    1.780
     1  822.42    1.793   19.94   74.0    2.3102    0.0281    0.01   24.18    1.85   35.72    0.6000   -1.30000   36.76000    1.780
     2  822.37    1.794   19.86   75.0    2.3927    0.0291    0.01    0.72    2.03   35.72    0.6200   -1.30000   36.76000    1.780
     3  822.00    1.798   19.66   75.0    2.3927    0.0291    0.02  355.69    2.24   35.72    0.6200   -1.30000   36.76000    1.790
     4  821.75    1.800   19.47   74.0    2.3927    0.0291    0.02  357.70    2.38   35.72    0.6200   -1.30000   36.76000    1.790
     5  821.49    1.803   19.31   75.0    2.4340    0.0296    0.03    1.24    2.49   35.72    0.6300   -1.30000   36.76000    1.790
     6  821.26    1.805   19.22   76.0    2.4340    0.0296    0.03    4.41    2.61   35.73    0.6300   -1.30000   36.76000    1.790
     7  821.02    1.808   19.18   76.0    2.4340    0.0296    0.04    6.96    2.72   35.73    0.6300   -1.30000   36.76000    1.800
     8  820.49    1.813   19.11   77.0    2.4340    0.0297    0.05    9.22    2.84   35.73    0.6300   -1.30000   36.76000    1.800
     9  819.73    1.821   19.00   77.0    2.4340    0.0297    0.07   11.56    2.94   35.73    0.6300   -1.30000   36.76000    1.810
    10  819.34    1.826   18.90   77.0    2.4340    0.0297    0.08   13.99    3.03   35.73    0.6300   -1.30000   36.76000    1.810
    11  819.05    1.829   18.85   77.0    2.4340    0.0297    0.09   16.49    3.11   35.73    0.6300   -1.30000   36.76000    1.820
    12  818.79    1.831   18.83   77.0    2.4340    0.0297    0.09   19.06    3.19   35.73    0.6300   -1.30000   36.76000    1.820
    13  818.36    1.836   18.82   77.0    2.4754    0.0302    0.10   21.68    3.26   35.74    0.6400   -1.30000   36.76000    1.830
    14  817.88    1.841   18.82   77.0    2.4754    0.0303    0.11   24.34    3.31   35.74    0.6400   -1.30000   36.76000    1.830
    15  817.40    1.846   18.82   77.0    2.4754    0.0303    0.13   27.03    3.36   35.74    0.6400   -1.30000   36.76000    1.840
    16  816.86    1.852   18.81   76.0    2.4755    0.0303    0.14   29.73    3.41   35.75    0.6400   -1.30000   36.76000    1.840
    17  816.37    1.857   18.80   76.0    2.4755    0.0303    0.15   32.42    3.44   35.75    0.6400   -1.30000   36.76000    1.850
    18  815.91    1.862   18.77   76.0    2.4755    0.0303    0.16   35.07    3.47   35.75    0.6400   -1.30000   36.76000    1.850
    19  815.48    1.866   18.72   77.0    2.4756    0.0304    0.17   37.66    3.49   35.76    0.6400   -1.30000   36.76000    1.860
    20  814.95    1.872   18.66   77.0    2.4756    0.0304    0.18   40.16    3.51   35.76    0.6400   -1.30000   36.76000    1.860
    21  814.37    1.878   18.61   78.0    2.4756    0.0304    0.20   42.54    3.52   35.76    0.6400   -1.30000   36.76000    1.870
    22  813.77    1.884   18.58   78.0    2.4756    0.0304    0.21   44.79    3.52   35.76    0.6400   -1.30000   36.76000    1.870
    23  813.13    1.891   18.57   78.0    2.4756    0.0304    0.23   46.87    3.51   35.77    0.6400   -1.30000   36.76000    1.880
