36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Tue Jan 21 15:15:36 2025
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20240814
Launch Time (UT)                  : 09:29:21
Burst Pressure (hPa)              : 7.34
Integrated O3 to end of data (DU) : 208.71
Radiosonde                        : Vaisala RS41
Radiosonde Serial Number          : V3251084
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.300
Ozonesonde Instrument             : 1Z43021
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.038
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.00    1.790   22.00   60.0    2.6003    0.0315    0.00    0.00    0.00   33.07    0.6800   -1.30000   36.76000    1.780
     1  824.07    1.799   21.17   63.0    2.6813    0.0325    0.02  270.04    0.93   33.07    0.7000   -1.30000   36.76000    1.790
     2  823.88    1.801   20.68   64.0    2.6814    0.0325    0.03  270.54    1.30   33.08    0.7000   -1.30000   36.76000    1.790
     3  823.66    1.804   20.25   66.0    2.6814    0.0326    0.03  271.09    1.43   33.08    0.7000   -1.30000   36.76000    1.790
     4  823.40    1.806   20.05   66.0    2.6815    0.0326    0.04  271.68    1.45   33.09    0.7000   -1.30000   36.76000    1.800
     5  823.06    1.810   20.00   66.0    2.7220    0.0331    0.05  272.19    1.44   33.09    0.7100   -1.30000   36.76000    1.800
     6  822.63    1.815   19.96   66.0    2.7220    0.0331    0.06  272.54    1.41   33.09    0.7100   -1.30000   36.76000    1.800
     7  822.13    1.820   19.91   66.0    2.7220    0.0331    0.07  272.65    1.39   33.09    0.7100   -1.30000   36.76000    1.810
     8  821.81    1.823   19.86   66.0    2.7220    0.0331    0.08  272.47    1.36   33.09    0.7100   -1.30000   36.76000    1.810
     9  821.79    1.824   19.82   66.0    2.7219    0.0331    0.08  271.94    1.33   33.08    0.7100   -1.30000   36.76000    1.810
    10  821.54    1.826   19.86   66.0    2.7219    0.0331    0.09  269.42    1.23   33.07    0.7100   -1.30000   36.76000    1.820
